,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Abdominopelvic accidental puncture or laceration rate (PSI 15),Death rate for CABG surgery patients (MORT 30 CABG),Death rate for COPD patients (MORT 30 COPD),Death rate for stroke patients (MORT 30 STK),Heart failure 30-Day Mortality Rate (MORT 30 HF),Iatrogenic pneumothorax rate (PSI 6),Infections from a large venous catheter (PSI 7),Patient safety and adverse events composite (PSI 90),Pneumonia 30-Day Mortality Rate (MORT 30 PN)
668,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER (100109),2017,Acute Care,Voluntary non-profit - Church,189.0,27.538455,-81.506881,FL,13.7,,,7.6,13.0,11.9,,,,15.7
669,OSCEOLA REGIONAL MEDICAL CENTER (100110),2017,Acute Care,Proprietary,345.0,28.300923,-81.410854,FL,12.6,,3.9,7.5,10.5,9.2,,,,15.1
670,UF HEALTH SHANDS HOSPITAL (100113),2017,Acute Care,Voluntary non-profit - Private,942.0,29.639223,-82.343325,FL,13.5,,2.2,6.2,17.6,9.6,,,,11.7
671,BAPTIST MEDICAL CENTER - BEACHES (100117),2017,Acute Care,Voluntary non-profit - Private,137.0,30.274527,-81.399469,FL,14.8,,,7.3,10.5,11.8,,,,12.7
672,FLORIDA HOSPITAL FLAGLER (100118),2017,Acute Care,Voluntary non-profit - Church,126.0,29.478987,-81.190089,FL,14.6,,,7.7,14.4,12.9,,,,19.1
673,BARTOW REGIONAL MEDICAL CENTER (100121),2017,Acute Care,Proprietary,72.0,27.919146,-81.846254,FL,14.1,,,8.3,14.1,11.4,,,,13.5
674,NORTH OKALOOSA MEDICAL CENTER (100122),2017,Acute Care,Voluntary non-profit - Private,110.0,30.736947,-86.561842,FL,12.2,,,8.9,15.9,12.9,,,,16.5
675,SANTA ROSA MEDICAL CENTER (100124),2017,Acute Care,Proprietary,117.0,30.632616,-87.06825,FL,12.8,,,7.2,15.0,11.4,,,,14.4
676,HOMESTEAD HOSPITAL (100125),2017,Acute Care,Voluntary non-profit - Private,156.0,25.477839,-80.430371,FL,14.2,,,7.9,14.2,11.6,,,,15.8
677,PALMS OF PASADENA HOSPITAL (100126),2017,Acute Care,Proprietary,217.0,27.753517,-82.738176,FL,12.8,,,8.0,15.9,13.7,,,,19.5
678,MORTON PLANT HOSPITAL (100127),2017,Acute Care,Voluntary non-profit - Private,638.0,27.951912,-82.803874,FL,13.1,,3.0,8.4,14.4,12.7,,,,17.0
679,TAMPA GENERAL HOSPITAL (100128),2017,Acute Care,Voluntary non-profit - Private,958.0,27.937272,-82.459128,FL,14.0,,2.8,6.3,18.8,9.8,,,,13.9
680,LAKESIDE MEDICAL CENTER (100130),2017,Acute Care,Government - Hospital District or Authority,58.0,26.725684,-80.670079,FL,,,,8.7,,12.5,,,,15.0
681,AVENTURA HOSPITAL AND MEDICAL CENTER (100131),2017,Acute Care,Voluntary non-profit - Private,417.0,25.969859,-80.144257,FL,13.6,,4.1,5.9,12.4,10.5,,,,12.8
682,SOUTH FLORIDA BAPTIST HOSPITAL (100132),2017,Acute Care,Voluntary non-profit - Private,142.0,28.016163,-82.138002,FL,13.3,,,7.7,13.1,14.5,,,,13.9
683,TALLAHASSEE MEMORIAL HOSPITAL (100135),2017,Acute Care,Voluntary non-profit - Private,544.0,30.455849,-84.261757,FL,14.4,,4.3,8.4,17.5,13.0,,,,16.7
684,HEART OF FLORIDA REGIONAL MEDICAL CENTER (100137),2017,Acute Care,Proprietary,193.0,28.180334,-81.639954,FL,15.4,,,7.9,13.8,11.0,,,,15.9
685,BAPTIST MEDICAL CENTER - NASSAU (100140),2017,Acute Care,Government - Local,54.0,30.653028,-81.449462,FL,13.5,,,8.6,14.3,11.1,,,,17.1
686,JACKSON HOSPITAL (100142),2017,Acute Care,Government - Hospital District or Authority,70.0,30.78748,-85.240932,FL,14.8,,,7.2,15.0,10.3,,,,16.7
687,LOWER KEYS MEDICAL CENTER (100150),2017,Acute Care,Proprietary,128.0,24.581573,-81.743688,FL,14.9,,,7.3,16.2,12.8,,,,14.2
688,MAYO CLINIC (100151),2017,Acute Care,Voluntary non-profit - Private,266.0,30.263702,-81.437533,FL,12.7,,2.5,7.4,14.2,9.6,,,,15.1
689,SOUTH MIAMI HOSPITAL (100154),2017,Acute Care,Voluntary non-profit - Private,428.0,25.703051,-80.293367,FL,12.4,,3.0,9.4,13.9,13.8,,,,14.8
690,LAKE CITY MEDICAL CENTER (100156),2017,Acute Care,Voluntary non-profit - Private,83.0,30.18398,-82.68627,FL,13.3,,,6.7,12.5,9.9,,,,15.5
691,LAKELAND REGIONAL MEDICAL CENTER (100157),2017,Acute Care,Voluntary non-profit - Private,850.0,28.059671,-81.953248,FL,14.9,,3.6,9.3,18.9,12.4,,,,17.0
692,CENTRAL FLORIDA REGIONAL HOSPITAL (100161),2017,Acute Care,Proprietary,222.0,28.816202,-81.283577,FL,11.0,,3.5,8.0,14.1,10.4,,,,15.3
693,DOCTORS HOSPITAL OF SARASOTA (100166),2017,Acute Care,Proprietary,155.0,27.298975,-82.454848,FL,14.2,,,8.9,15.6,11.0,,,,17.2
694,PLANTATION GENERAL HOSPITAL (100167),2017,Acute Care,Proprietary,626.0,26.126461,-80.20417,FL,11.4,,3.7,5.3,11.4,11.0,,,,14.0
695,BOCA RATON REGIONAL HOSPITAL (100168),2017,Acute Care,Voluntary non-profit - Private,367.0,26.359599,-80.102211,FL,14.1,,2.8,8.1,14.1,10.3,,,,14.5
696,FLORIDA HOSPITAL TAMPA (100173),2017,Acute Care,Voluntary non-profit - Private,518.0,28.069226,-82.424525,FL,13.4,,3.6,9.2,15.6,11.5,,,,18.4
697,DESOTO MEMORIAL HOSPITAL (100175),2017,Acute Care,Voluntary non-profit - Private,49.0,27.227388,-81.851675,FL,13.8,,,9.5,15.3,11.6,,,,16.1
698,PALM BEACH GARDENS MEDICAL CENTER (100176),2017,Acute Care,Proprietary,199.0,26.830685,-80.085388,FL,12.5,,3.4,7.6,11.9,9.4,,,,15.1
699,CAPE CANAVERAL HOSPITAL (100177),2017,Acute Care,Voluntary non-profit - Private,150.0,28.357879,-80.622733,FL,13.0,,,7.2,13.2,12.6,,,,14.4
700,MEMORIAL HOSPITAL JACKSONVILLE (100179),2017,Acute Care,Proprietary,421.0,30.287633,-81.602405,FL,15.1,,3.2,6.9,12.4,9.5,,,,15.9
701,ST PETERSBURG GENERAL HOSPITAL (100180),2017,Acute Care,Proprietary,174.0,27.806299,-82.727297,FL,13.9,,,8.0,13.8,11.8,,,,16.6
702,LARKIN COMMUNITY HOSPITAL (100181),2017,Acute Care,Proprietary,125.0,25.705493,-80.293469,FL,,,,7.7,13.1,11.1,,,,12.8
703,CORAL GABLES HOSPITAL (100183),2017,Acute Care,Proprietary,245.0,,,FL,13.1,,,6.7,13.5,9.3,,,,13.3
704,PALMETTO GENERAL HOSPITAL (100187),2017,Acute Care,Proprietary,338.0,25.884168,-80.324568,FL,14.7,,2.6,6.7,15.4,11.4,,,,17.3
705,NORTHWEST MEDICAL CENTER (100189),2017,Acute Care,Proprietary,245.0,26.262903,-80.201905,FL,12.9,,3.3,7.7,14.4,12.4,,,,14.0
706,MEDICAL CENTER OF TRINITY (100191),2017,Acute Care,Proprietary,301.0,28.206014,-82.660964,FL,13.1,,3.7,8.6,14.8,12.4,,,,19.2
707,BROWARD HEALTH IMPERIAL POINT (100200),2017,Acute Care,Government - Hospital District or Authority,187.0,26.206881,-80.108057,FL,14.1,,,7.1,,12.8,,,,14.8
708,NORTH FLORIDA REGIONAL MEDICAL CENTER (100204),2017,Acute Care,Proprietary,411.0,29.659699,-82.411597,FL,13.9,,5.0,6.4,13.8,12.2,,,,14.7
709,MEMORIAL HOSPITAL OF TAMPA (100206),2017,Acute Care,Proprietary,236.0,27.937443,-82.489816,FL,,,,7.8,13.4,10.5,,,,16.5
710,KENDALL REGIONAL MEDICAL CENTER (100209),2017,Acute Care,Proprietary,423.0,,,FL,13.5,,,5.9,12.7,10.4,,,,15.3
711,BAYFRONT HEALTH DADE CITY (100211),2017,Acute Care,Proprietary,120.0,28.348587,-82.201685,FL,12.9,,,7.8,15.7,13.9,,,,19.0
712,OCALA REGIONAL MEDICAL CENTER (100212),2017,Acute Care,Proprietary,351.0,29.174744,-82.137839,FL,16.7,,4.1,10.8,18.8,15.1,,,,21.2
713,BLAKE MEDICAL CENTER (100213),2017,Acute Care,Proprietary,382.0,27.482176,-82.620468,FL,13.3,,4.6,8.7,16.0,12.3,,,,18.9
714,SEBASTIAN RIVER MEDICAL CENTER (100217),2017,Acute Care,Proprietary,156.0,27.844359,-80.488128,FL,14.8,,,8.1,12.7,12.3,,,,12.8
715,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM (100220),2017,Acute Care,Government - Hospital District or Authority,440.0,26.543016,-81.848589,FL,13.1,,,7.7,15.7,10.4,,,,16.0
716,FORT WALTON BEACH MEDICAL CENTER (100223),2017,Acute Care,Proprietary,260.0,30.454676,-86.632069,FL,13.9,,3.3,9.4,17.8,15.1,,,,16.9
717,UNIVERSITY HOSPITAL AND MEDICAL CENTER (100224),2017,Acute Care,Proprietary,311.0,26.211385,-80.252543,FL,13.1,,,6.7,13.7,9.7,,,,15.0
718,ORANGE PARK MEDICAL CENTER (100226),2017,Acute Care,Voluntary non-profit - Other,306.0,30.164807,-81.738598,FL,13.7,,2.7,5.6,15.3,12.0,,,,17.0
719,WESTSIDE REGIONAL MEDICAL CENTER (100228),2017,Acute Care,Proprietary,231.0,26.120882,-80.258429,FL,12.8,,3.9,8.5,15.9,10.8,,,,16.1
720,MEMORIAL HOSPITAL PEMBROKE (100230),2017,Acute Care,Government - Hospital District or Authority,268.0,26.030929,-80.24612,FL,11.8,,,7.8,13.0,11.2,,,,12.3
721,WEST FLORIDA HOSPITAL (100231),2017,Acute Care,Proprietary,476.0,30.515161,-87.21692,FL,13.9,,3.6,7.5,13.3,11.4,,,,17.8
722,PUTNAM COMMUNITY MEDICAL CENTER (100232),2017,Acute Care,Proprietary,96.0,29.642378,-81.693518,FL,15.0,,,6.5,12.9,13.3,,,,15.5
723,FAWCETT MEMORIAL HOSPITAL (100236),2017,Acute Care,Proprietary,242.0,26.987872,-82.097729,FL,12.5,,3.8,7.3,14.9,11.4,,,,17.8
724,NORTHSIDE HOSPITAL (100238),2017,Acute Care,Proprietary,220.0,27.826053,-82.700001,FL,12.7,,2.9,7.3,16.2,10.1,,,,15.1
725,GULF COAST REGIONAL MEDICAL CENTER (100242),2017,Acute Care,Proprietary,210.0,30.189682,-85.666124,FL,13.3,,,6.9,14.4,9.9,,,,16.1
726,BRANDON REGIONAL HOSPITAL (100243),2017,Acute Care,Proprietary,417.0,27.934002,-82.288303,FL,11.8,,1.9,6.6,14.6,10.7,,,,14.7
727,CAPE CORAL HOSPITAL (100244),2017,Acute Care,Government - Hospital District or Authority,289.0,26.639321,-81.940946,FL,14.2,,,7.6,14.8,10.9,,,,15.4
728,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE (100246),2017,Acute Care,Proprietary,381.0,27.431942,-80.347352,FL,13.2,,3.9,8.8,14.1,11.5,,,,16.9
729,LARGO MEDICAL CENTER (100248),2017,Acute Care,Proprietary,364.0,27.914914,-82.802671,FL,13.4,,2.7,8.1,16.5,12.3,,,,19.0
730,SEVEN RIVERS REGIONAL MEDICAL CENTER (100249),2017,Acute Care,Proprietary,126.0,28.950896,-82.625866,FL,14.1,,,12.1,17.9,13.1,,,,20.3
731,RAULERSON HOSPITAL (100252),2017,Acute Care,Proprietary,100.0,27.260537,-80.829875,FL,11.7,,,6.1,14.2,9.1,,,,18.1
732,JUPITER MEDICAL CENTER (100253),2017,Acute Care,Voluntary non-profit - Private,200.0,26.922824,-80.094539,FL,12.9,,,7.1,14.4,11.6,,,,13.0
733,CAPITAL REGIONAL MEDICAL CENTER (100254),2017,Acute Care,Proprietary,249.0,30.475376,-84.230728,FL,13.5,,3.3,7.0,14.8,10.9,,,,17.2
734,TAMPA COMMUNITY HOSPITAL (100255),2017,Acute Care,Proprietary,208.0,,,FL,13.9,,,8.2,15.3,10.6,,,,16.2
735,REGIONAL MEDICAL CENTER BAYONET POINT (100256),2017,Acute Care,Proprietary,283.0,28.360743,-82.690148,FL,14.5,,2.8,8.1,16.5,14.7,,,,17.7
736,DELRAY MEDICAL CENTER (100258),2017,Acute Care,Proprietary,480.0,26.439246,-80.127919,FL,13.1,,3.5,10.0,14.2,11.7,,,,16.0
737,SOUTH BAY HOSPITAL (100259),2017,Acute Care,Proprietary,124.0,27.71239,-82.365168,FL,14.2,,,6.5,12.9,13.5,,,,16.4
738,ST LUCIE MEDICAL CENTER (100260),2017,Acute Care,Proprietary,225.0,27.288027,-80.29591,FL,13.3,,,9.2,14.9,13.7,,,,18.5
739,OAK HILL HOSPITAL (100264),2017,Acute Care,Voluntary non-profit - Other,279.0,28.533305,-82.534495,FL,13.4,,3.4,9.3,16.3,12.3,,,,18.6
740,MEASE COUNTRYSIDE HOSPITAL (100265),2017,Acute Care,Voluntary non-profit - Private,313.0,28.040326,-82.708971,FL,12.4,,,7.8,14.2,14.2,,,,17.9
741,GULF BREEZE HOSPITAL (100266),2017,Acute Care,Voluntary non-profit - Other,66.0,30.358649,-87.156803,FL,12.7,,,7.6,11.0,9.1,,,,13.4
742,ENGLEWOOD COMMUNITY HOSPITAL (100267),2017,Acute Care,Proprietary,100.0,26.949009,-82.327951,FL,13.8,,,7.6,13.0,9.4,,,,15.9
743,WEST BOCA MEDICAL CENTER (100268),2017,Acute Care,Proprietary,195.0,26.354571,-80.203236,FL,13.8,,,9.2,13.1,12.9,,,,15.6
744,PALMS WEST HOSPITAL (100269),2017,Acute Care,Proprietary,199.0,26.681928,-80.251439,FL,14.8,,,8.3,13.8,12.6,,,,14.6
745,WELLINGTON REGIONAL MEDICAL CENTER LLC (100275),2017,Acute Care,Proprietary,222.0,26.650806,-80.204858,FL,14.2,,,10.1,15.3,15.3,,,,17.4
746,BROWARD HEALTH CORAL SPRINGS (100276),2017,Acute Care,Government - Hospital District or Authority,204.0,26.268779,-80.254161,FL,13.2,,,8.2,13.5,10.0,,,,15.7
747,DOUGLAS GARDENS HOSPITAL (100277),2017,Acute Care,Voluntary non-profit - Private,457.0,25.822972,-80.191767,FL,,,,,,,,,,14.3
748,MEMORIAL HOSPITAL WEST (100281),2017,Acute Care,Government - Hospital District or Authority,415.0,26.013281,-80.309457,FL,13.2,,,9.1,11.6,9.9,,,,11.8
749,WESTCHESTER GENERAL HOSPITAL (100284),2017,Acute Care,Proprietary,158.0,25.74804,-80.317224,FL,12.9,,,5.7,,11.0,,,,14.8
750,MEMORIAL HOSPITAL MIRAMAR (100285),2017,Acute Care,Voluntary non-profit - Other,178.0,25.991087,-80.376005,FL,12.8,,,8.2,,11.4,,,,14.0
751,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE (100286),2017,Acute Care,Proprietary,207.0,26.211764,-81.730707,FL,13.4,,,7.9,17.3,12.5,,,,15.4
752,GOOD SAMARITAN MEDICAL CENTER (100287),2017,Acute Care,Proprietary,333.0,26.725062,-80.049968,FL,13.6,,,9.5,15.6,11.3,,,,13.6
753,ST MARY'S MEDICAL CENTER (100288),2017,Acute Care,Proprietary,456.0,26.753208,-80.062803,FL,,,,8.5,21.5,11.0,,,,18.8
754,CLEVELAND CLINIC HOSPITAL (100289),2017,Acute Care,Proprietary,187.0,26.080401,-80.365467,FL,14.0,,2.6,7.6,13.1,10.8,,,,14.1
755,"VILLAGES REGIONAL HOSPITAL, THE (100290)",2017,Acute Care,Voluntary non-profit - Private,271.0,28.94944,-81.958131,FL,13.4,,,8.9,15.0,12.7,,,,17.9
756,WUESTHOFF MEDICAL CENTER-MELBOURNE (100291),2017,Acute Care,Voluntary non-profit - Private,109.0,28.109804,-80.67261,FL,14.1,,,7.2,15.3,10.0,,,,12.6
757,SACRED HEART HOSPITAL ON THE EMERALD COAST (100292),2017,Acute Care,Voluntary non-profit - Other,62.0,30.376819,-86.306823,FL,14.9,,,8.8,13.8,12.1,,,,16.5
758,DOCTORS HOSPITAL (100296),2017,Acute Care,Voluntary non-profit - Other,256.0,25.724611,-80.273181,FL,14.4,,,6.7,13.8,9.1,,,,14.3
759,LAKEWOOD RANCH MEDICAL CENTER (100299),2017,Acute Care,Proprietary,123.0,27.392671,-82.434725,FL,13.7,,,8.9,14.1,13.0,,,,15.8
760,ST CLOUD REGIONAL MEDICAL CENTER (100302),2017,Acute Care,Proprietary,84.0,28.242414,-81.302658,FL,13.3,,,6.6,14.9,13.6,,,,17.4
761,ST VINCENT'S MEDICAL CENTER SOUTHSIDE (100307),2017,Acute Care,Voluntary non-profit - Private,298.0,30.253096,-81.584126,FL,14.7,,,7.5,13.7,12.3,,,,14.7
762,SACRED HEART HOSPITAL ON THE GULF (100313),2017,Acute Care,Voluntary non-profit - Private,19.0,29.776562,-85.287605,FL,,,,6.9,,10.6,,,,13.6
763,WEST KENDALL BAPTIST HOSPITAL (100314),2017,Acute Care,Voluntary non-profit - Private,132.0,25.679344,-80.456967,FL,13.3,,,7.0,14.3,10.3,,,,11.7
764,VIERA HOSPITAL (100315),2017,Acute Care,Voluntary non-profit - Private,84.0,28.229812,-80.729434,FL,14.5,,,7.2,11.6,13.4,,,,13.5
765,PALM BAY HOSPITAL (100316),2017,Acute Care,Proprietary,139.0,27.99833,-80.61208,FL,15.7,,,6.5,13.6,11.7,,,,16.1
766,FLORIDA HOSPITAL WESLEY CHAPEL (100319),2017,Acute Care,Voluntary non-profit - Private,126.0,28.193718,-82.353402,FL,14.2,,,7.4,14.1,9.6,,,,14.4
767,POINCIANA MEDICAL CENTER (100320),2017,Acute Care,Proprietary,66.0,28.142723,-81.472985,FL,,,,7.1,,10.8,,,,17.0
768,ST VINCENTS MEDICAL CENTER - CLAY COUNTY (100321),2017,Acute Care,Voluntary non-profit - Private,98.0,30.111135,-81.831298,FL,13.4,,,6.8,13.3,10.0,,,,16.8
769,FLORIDA HOSPITAL WAUCHULA (101300),2017,Critical Access,Voluntary non-profit - Private,25.0,,,FL,,,,7.0,,10.5,,,,15.2
770,SHANDS LIVE OAK REGIONAL MEDICAL CENTER (101301),2017,Critical Access,Proprietary,22.0,,,FL,13.3,,,8.8,,10.7,,,,18.0
771,NORTHWEST FLORIDA COMMUNITY HOSPITAL (101308),2017,Critical Access,Voluntary non-profit - Private,59.0,30.76457,-85.542643,FL,,,,7.8,,15.5,,,,16.3
772,HENDRY REGIONAL MEDICAL CENTER (101309),2017,Critical Access,Voluntary non-profit - Other,25.0,26.753239,-80.942276,FL,,,,8.1,,12.6,,,,16.2
773,SHANDS STARKE REGIONAL MEDICAL CENTER (101310),2017,Critical Access,Proprietary,25.0,29.941907,-82.10165,FL,,,,7.6,,11.0,,,,15.4
774,MADISON COUNTY MEMORIAL HOSPITAL (101311),2017,Critical Access,Government - Hospital District or Authority,23.0,30.471413,-83.419898,FL,,,,7.2,,12.9,,,,15.4
775,FISHERMEN'S HOSPITAL (101312),2017,Critical Access,Voluntary non-profit - Private,16.0,24.71113,-81.09472,FL,,,,8.0,,11.3,,,,13.7
776,MARINERS HOSPITAL (101313),2017,Critical Access,Voluntary non-profit - Private,24.0,25.005408,-80.521301,FL,,,,7.5,,11.4,,,,15.9
777,HAMILTON MEDICAL CENTER (110001),2017,Acute Care,Voluntary non-profit - Private,253.0,34.788884,-84.983657,GA,13.7,,,8.8,15.1,10.4,,,,17.4
778,UPSON REGIONAL MEDICAL CENTER (110002),2017,Acute Care,Voluntary non-profit - Other,106.0,32.887252,-84.336109,GA,16.2,,,8.6,15.0,14.4,,,,19.6
779,"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC (110003)",2017,Acute Care,Voluntary non-profit - Private,251.0,31.226007,-82.349239,GA,13.1,,,8.7,14.5,11.6,,,,18.9
780,NORTHSIDE HOSPITAL FORSYTH (110005),2017,Acute Care,Voluntary non-profit - Private,265.0,34.178588,-84.139246,GA,14.9,,,8.4,16.7,11.7,,,,19.1
781,ST MARY'S HOSPITAL (110006),2017,Acute Care,Voluntary non-profit - Private,262.0,33.945929,-83.404467,GA,14.2,,,9.4,17.3,12.0,,,,16.8
782,PHOEBE PUTNEY MEMORIAL HOSPITAL (110007),2017,Acute Care,Government - Hospital District or Authority,478.0,31.590229,-84.156267,GA,15.1,,4.5,10.5,16.1,14.2,,,,20.8
783,NORTHSIDE HOSPITAL CHEROKEE (110008),2017,Acute Care,Voluntary non-profit - Other,123.0,34.227523,-84.460562,GA,14.1,,,10.4,16.4,15.1,,,,17.2
784,EMORY UNIVERSITY HOSPITAL (110010),2017,Acute Care,Voluntary non-profit - Private,612.0,33.791881,-84.320977,GA,11.7,,2.6,7.5,16.5,9.9,,,,14.0
785,TANNER MEDICAL CENTER - CARROLLTON (110011),2017,Acute Care,Government - Hospital District or Authority,175.0,33.570555,-85.072464,GA,13.5,,,9.9,18.9,13.4,,,,19.6
786,TANNER MEDICAL CENTER VILLA RICA (110015),2017,Acute Care,Government - Hospital District or Authority,118.0,33.742992,-84.919477,GA,14.4,,,7.9,14.0,13.0,,,,19.2
787,WELLSTAR WEST GEORGIA MEDICAL CENTER (110016),2017,Acute Care,Government - Hospital District or Authority,456.0,33.031301,-85.056671,GA,14.9,,,8.1,14.4,10.3,,,,15.5
788,PIEDMONT NEWTON HOSPITAL (110018),2017,Acute Care,Voluntary non-profit - Private,92.0,33.602673,-83.848082,GA,15.5,,,8.3,17.5,15.0,,,,16.1
789,GORDON HOSPITAL (110023),2017,Acute Care,Voluntary non-profit - Church,69.0,34.511878,-84.92537,GA,13.0,,,8.4,12.7,11.5,,,,16.4
790,CANDLER HOSPITAL (110024),2017,Acute Care,Voluntary non-profit - Other,260.0,32.027361,-81.101731,GA,13.7,,,8.3,14.1,10.7,,,,14.3
791,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS (110025),2017,Acute Care,Government - Hospital District or Authority,308.0,31.173785,-81.484516,GA,14.7,,,10.0,14.8,13.0,,,,16.7
792,ELBERT MEMORIAL HOSPITAL (110026),2017,Acute Care,Government - Hospital District or Authority,52.0,34.113068,-82.875601,GA,,,,9.1,15.5,11.5,,,,15.2
793,"ST MARY'S SACRED HEART HOSPITAL, INC (110027)",2017,Acute Care,Voluntary non-profit - Private,80.0,34.439485,-83.130855,GA,,,,7.2,14.6,11.6,,,,18.0
794,UNIVERSITY HOSPITAL (110028),2017,Acute Care,Voluntary non-profit - Other,530.0,33.472989,-81.981332,GA,16.2,,4.8,7.4,14.5,11.5,,,,17.2
795,"NORTHEAST GEORGIA MEDICAL CENTER, INC (110029)",2017,Acute Care,Government - Local,856.0,34.30335,-83.81737,GA,12.8,,2.7,9.3,13.5,10.1,,,,17.5
796,CARTERSVILLE MEDICAL CENTER (110030),2017,Acute Care,Voluntary non-profit - Private,116.0,,,GA,13.4,,,7.6,16.9,9.3,,,,15.9
797,WELLSTAR SPALDING REGIONAL HOSPITAL (110031),2017,Acute Care,Proprietary,160.0,33.239215,-84.265671,GA,15.4,,,7.5,14.8,12.3,,,,19.4
798,STEPHENS COUNTY HOSPITAL (110032),2017,Acute Care,Government - Hospital District or Authority,75.0,34.59302,-83.347172,GA,13.6,,,8.0,14.8,10.4,,,,11.9
799,AU MEDICAL CENTER (110034),2017,Acute Care,Voluntary non-profit - Other,481.0,33.471029,-81.991453,GA,12.8,,4.2,9.8,18.3,11.3,,,,16.6
800,WELLSTAR KENNESTONE HOSPITAL (110035),2017,Acute Care,Voluntary non-profit - Other,617.0,33.968128,-84.551241,GA,12.9,,2.3,8.0,16.1,10.4,,,,14.7
801,"MEMORIAL HEALTH UNIV MED CEN, INC (110036)",2017,Acute Care,Voluntary non-profit - Other,534.0,32.031785,-81.091827,GA,15.7,,5.4,9.0,15.6,11.8,,,,14.1
802,JOHN D ARCHBOLD MEMORIAL HOSPITAL (110038),2017,Acute Care,Voluntary non-profit - Private,328.0,,,GA,14.1,,,6.8,13.3,11.7,,,,14.0
803,TRINITY HOSPITAL OF AUGUSTA (110039),2017,Acute Care,Proprietary,150.0,,,GA,,,,10.2,,12.9,,,,17.8
804,NORTHRIDGE MEDICAL CENTER (110040),2017,Acute Care,Government - Hospital District or Authority,217.0,34.218475,-83.469116,GA,,,,7.7,,12.9,,,,18.5
805,HABERSHAM COUNTY MEDICAL CTR (110041),2017,Acute Care,Government - Hospital District or Authority,137.0,34.405879,-83.485989,GA,,,,8.1,15.3,13.7,,,,15.9
806,WELLSTAR PAULDING HOSPITAL (110042),2017,Acute Care,Voluntary non-profit - Other,259.0,33.902429,-84.782727,GA,13.9,,,6.8,,10.1,,,,14.2
807,ST JOSEPH'S HOSPITAL - SAVANNAH (110043),2017,Acute Care,Voluntary non-profit - Private,246.0,31.985079,-81.152792,GA,16.5,,2.8,7.4,15.6,12.3,,,,17.5
808,PHOEBE SUMTER MEDICAL CENTER (110044),2017,Acute Care,Government - Hospital District or Authority,54.0,32.06425,-84.255376,GA,14.2,,,9.4,14.9,11.4,,,,21.6
809,NORTHEAST GEORGIA MEDICAL CENTER BARROW (110045),2017,Acute Care,Proprietary,55.0,34.007701,-83.706706,GA,,,,6.9,,11.5,,,,14.5
810,CLEARVIEW  REGIONAL MEDICAL CENTER (110046),2017,Acute Care,Proprietary,81.0,33.798635,-83.746316,GA,14.1,,,7.9,13.0,13.2,,,,16.7
811,MURRAY MEDICAL CENTER (110050),2017,Acute Care,Voluntary non-profit - Private,28.0,34.779951,-84.782125,GA,,,,7.4,,12.2,,,,14.5
812,UNION GENERAL HOSPITAL (110051),2017,Acute Care,Government - Hospital District or Authority,190.0,34.884842,-83.963026,GA,13.4,,,7.9,15.2,13.7,,,,15.7
813,FLOYD MEDICAL CENTER (110054),2017,Acute Care,Government - Hospital District or Authority,293.0,34.260454,-85.179957,GA,15.0,,,7.1,17.3,12.7,,,,16.8
814,MIDTOWN MEDICAL CENTER (110064),2017,Acute Care,Voluntary non-profit - Other,367.0,32.481728,-84.982008,GA,14.7,,,9.2,17.4,11.7,,,,19.2
815,HOUSTON MEDICAL CENTER (110069),2017,Acute Care,Voluntary non-profit - Private,236.0,32.618198,-83.62941,GA,12.6,,,6.2,13.9,9.4,,,,13.5
816,APPLING HOSPITAL (110071),2017,Acute Care,Government - Hospital District or Authority,158.0,31.768768,-82.349351,GA,,,,8.2,,12.3,,,,15.2
817,DORMINY MEDICAL CENTER (110073),2017,Acute Care,Government - Hospital District or Authority,60.0,31.697918,-83.260975,GA,,,,7.9,,11.6,,,,18.3
818,PIEDMONT ATHENS REGIONAL MEDICAL CENTER (110074),2017,Acute Care,Voluntary non-profit - Other,350.0,33.962377,-83.397733,GA,12.5,,3.5,7.3,15.8,11.6,,,,14.2
819,EAST GEORGIA REGIONAL MEDICAL CENTER (110075),2017,Acute Care,Proprietary,146.0,32.415171,-81.76865,GA,15.2,,,9.4,12.8,13.0,,,,18.5
820,DEKALB MEDICAL CENTER (110076),2017,Acute Care,Voluntary non-profit - Private,431.0,33.79216,-84.282679,GA,14.5,,,8.6,14.0,14.4,,,,16.8
821,EMORY UNIVERSITY HOSPITAL MIDTOWN (110078),2017,Acute Care,Voluntary non-profit - Private,481.0,33.769592,-84.385188,GA,11.7,,2.0,7.2,12.8,9.3,,,,15.3
822,GRADY MEMORIAL HOSPITAL (110079),2017,Acute Care,Voluntary non-profit - Other,938.0,33.752156,-84.382609,GA,13.8,,,6.6,20.4,10.9,,,,16.6
823,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC (110082)",2017,Acute Care,Voluntary non-profit - Private,294.0,33.908634,-84.35182,GA,14.6,,2.1,7.5,13.0,10.4,,,,15.1
