,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Acute Myocardial Infarction 30-Day Readmission Rate (READM 30 AMI),Heart failure 30-Day Mortality Rate (MORT 30 HF),Heart failure 30-Day Readmission Rate (READM 30 HF),Hospital-wide readmission rate after discharge (READM 30 HOSP WIDE),Pneumonia 30-Day Mortality Rate (MORT 30 PN),Pneumonia 30-Day Readmission Rate (READM 30 PN),Rate of readmission after hip/knee surgery (READM 30 HIP KNEE)
719,BAPTIST MEDICAL CENTER  BEACHES (100117),2014,Acute Care,Voluntary non-profit - Private,137.0,30.274527,-81.399469,FL,15.8,17.4,12.8,25.4,,10.5,19.1,5.4
720,FLORIDA HOSPITAL FLAGLER (100118),2014,Acute Care,Voluntary non-profit - Church,126.0,29.478987,-81.190089,FL,16.7,19.4,13.6,22.1,,11.4,16.3,5.2
721,BARTOW REGIONAL MEDICAL CENTER (100121),2014,Acute Care,Proprietary,72.0,27.919146,-81.846254,FL,16.2,,11.9,25.5,,10.2,17.3,
722,NORTH OKALOOSA MEDICAL CENTER (100122),2014,Acute Care,Voluntary non-profit - Private,110.0,30.736947,-86.561842,FL,17.1,19.3,10.8,23.9,,13.4,18.2,
723,SANTA ROSA MEDICAL CENTER (100124),2014,Acute Care,Proprietary,117.0,30.632616,-87.06825,FL,15.6,17.6,12.6,22.7,,14.8,17.4,5.5
724,HOMESTEAD HOSPITAL (100125),2014,Acute Care,Voluntary non-profit - Private,156.0,25.477839,-80.430371,FL,16.6,19.2,12.2,26.3,,11.9,18.0,
725,PALMS OF PASADENA HOSPITAL (100126),2014,Acute Care,Proprietary,217.0,27.753517,-82.738176,FL,15.8,18.6,14.3,23.8,,12.2,16.3,5.7
726,MORTON PLANT HOSPITAL (100127),2014,Acute Care,Voluntary non-profit - Private,638.0,27.951912,-82.803874,FL,13.9,17.2,12.8,20.5,,12.7,16.6,4.4
727,TAMPA GENERAL HOSPITAL (100128),2014,Acute Care,Voluntary non-profit - Private,958.0,27.937272,-82.459128,FL,13.5,18.6,10.4,23.9,,11.7,17.4,4.4
728,LAKESIDE MEDICAL CENTER (100130),2014,Acute Care,Government - Hospital District or Authority,58.0,26.725684,-80.670079,FL,14.3,,11.4,23.4,,11.3,18.6,
729,AVENTURA HOSPITAL AND MEDICAL CENTER (100131),2014,Acute Care,Voluntary non-profit - Private,417.0,25.969859,-80.144257,FL,14.0,19.6,10.9,24.1,,9.0,19.1,5.1
730,SOUTH FLORIDA BAPTIST HOSPITAL (100132),2014,Acute Care,Voluntary non-profit - Private,142.0,28.016163,-82.138002,FL,13.8,18.5,11.8,22.9,,9.6,18.3,5.4
731,TALLAHASSEE MEMORIAL HOSPITAL (100135),2014,Acute Care,Voluntary non-profit - Private,544.0,30.455849,-84.261757,FL,16.1,17.1,12.5,19.0,,12.2,16.5,4.4
732,HEART OF FLORIDA REGIONAL MEDICAL CENTER (100137),2014,Acute Care,Proprietary,193.0,28.180334,-81.639954,FL,14.3,19.1,9.4,25.6,,11.9,18.5,4.1
733,BAPTIST MEDICAL CENTER - NASSAU (100140),2014,Acute Care,Government - Local,54.0,30.653028,-81.449462,FL,16.2,,12.6,20.0,,11.6,17.1,
734,JACKSON HOSPITAL (100142),2014,Acute Care,Government - Hospital District or Authority,70.0,30.78748,-85.240932,FL,13.9,17.0,10.2,22.7,,11.9,18.0,5.1
735,LOWER KEYS MEDICAL CENTER (100150),2014,Acute Care,Proprietary,128.0,24.581573,-81.743688,FL,15.9,,11.6,25.1,,10.6,18.5,5.5
736,MAYO CLINIC (100151),2014,Acute Care,Voluntary non-profit - Private,266.0,30.263702,-81.437533,FL,14.1,16.8,11.4,25.7,,10.5,18.9,5.6
737,"SOUTH MIAMI HOSPITAL, INC (100154)",2014,Acute Care,Voluntary non-profit - Private,428.0,25.703051,-80.293367,FL,15.5,17.4,9.5,22.5,,12.6,16.1,5.0
738,LAKE CITY MEDICAL CENTER (100156),2014,Acute Care,Voluntary non-profit - Private,83.0,30.18398,-82.68627,FL,13.1,20.0,10.1,23.4,,11.7,21.4,
739,LAKELAND REGIONAL MEDICAL CENTER (100157),2014,Acute Care,Voluntary non-profit - Private,850.0,28.059671,-81.953248,FL,14.4,18.9,11.0,22.7,,10.1,16.8,6.2
740,CENTRAL FLORIDA REGIONAL HOSPITAL (100161),2014,Acute Care,Proprietary,222.0,28.816202,-81.283577,FL,18.1,18.1,9.8,24.9,,12.0,18.4,5.2
741,DOCTORS HOSPITAL OF SARASOTA (100166),2014,Acute Care,Proprietary,155.0,27.298975,-82.454848,FL,14.9,17.0,11.5,20.7,,13.8,16.9,4.8
742,PLANTATION GENERAL HOSPITAL (100167),2014,Acute Care,Proprietary,626.0,26.126461,-80.20417,FL,14.9,18.6,10.6,23.7,,10.5,17.0,5.1
743,BOCA RATON REGIONAL HOSPITAL (100168),2014,Acute Care,Voluntary non-profit - Private,367.0,26.359599,-80.102211,FL,12.7,17.8,10.6,19.1,,10.9,14.7,4.1
744,FLORIDA HOSPITAL TAMPA (100173),2014,Acute Care,Voluntary non-profit - Private,518.0,28.069226,-82.424525,FL,15.0,18.1,11.9,22.5,,11.4,20.7,4.7
745,DESOTO MEMORIAL HOSPITAL (100175),2014,Acute Care,Voluntary non-profit - Private,49.0,27.227388,-81.851675,FL,16.2,18.2,12.1,24.6,,14.8,20.6,
746,PALM BEACH GARDENS MEDICAL CENTER (100176),2014,Acute Care,Proprietary,199.0,26.830685,-80.085388,FL,12.7,18.5,8.7,22.1,,10.3,17.0,6.6
747,CAPE CANAVERAL HOSPITAL (100177),2014,Acute Care,Voluntary non-profit - Private,150.0,28.357879,-80.622733,FL,15.4,16.8,12.9,23.1,,13.7,17.9,5.9
748,MEMORIAL HOSPITAL JACKSONVILLE (100179),2014,Acute Care,Proprietary,421.0,30.287633,-81.602405,FL,16.3,20.3,9.7,23.9,,11.5,19.9,6.1
749,ST PETERSBURG GENERAL HOSPITAL (100180),2014,Acute Care,Proprietary,174.0,27.806299,-82.727297,FL,16.1,,9.1,22.4,,12.2,18.2,5.0
750,LARKIN COMMUNITY HOSPITAL (100181),2014,Acute Care,Proprietary,125.0,25.705493,-80.293469,FL,15.8,18.2,11.9,25.4,,10.5,19.4,
751,CORAL GABLES HOSPITAL (100183),2014,Acute Care,Proprietary,245.0,,,FL,14.5,17.8,10.9,25.5,,9.6,16.9,6.1
752,PALMETTO GENERAL HOSPITAL (100187),2014,Acute Care,Proprietary,338.0,25.884168,-80.324568,FL,17.5,19.0,11.5,24.5,,13.6,19.8,6.7
753,NORTHWEST MEDICAL CENTER (100189),2014,Acute Care,Proprietary,245.0,26.262903,-80.201905,FL,14.5,18.8,10.6,23.7,,10.2,17.1,5.6
754,MEDICAL CENTER OF TRINITY (100191),2014,Acute Care,Proprietary,301.0,28.206014,-82.660964,FL,14.4,19.3,12.7,26.3,,13.2,17.0,6.7
755,BROWARD HEALTH IMPERIAL POINT (100200),2014,Acute Care,Government - Hospital District or Authority,187.0,26.206881,-80.108057,FL,16.3,18.9,11.7,23.4,,15.0,16.3,5.6
756,NORTH FLORIDA REGIONAL MEDICAL CENTER (100204),2014,Acute Care,Proprietary,411.0,29.659699,-82.411597,FL,14.4,17.3,9.7,22.8,,12.3,17.6,5.5
757,MEMORIAL HOSPITAL OF TAMPA (100206),2014,Acute Care,Proprietary,236.0,27.937443,-82.489816,FL,17.0,,9.7,22.1,,11.9,18.7,5.1
758,KENDALL REGIONAL MEDICAL CENTER (100209),2014,Acute Care,Proprietary,423.0,,,FL,13.7,19.8,10.7,25.0,,10.8,19.7,6.8
759,BAYFRONT HEALTH DADE CITY (100211),2014,Acute Care,Proprietary,120.0,28.348587,-82.201685,FL,14.7,18.6,12.9,23.1,,13.3,19.8,5.2
760,OCALA REGIONAL MEDICAL CENTER (100212),2014,Acute Care,Proprietary,351.0,29.174744,-82.137839,FL,13.9,19.3,11.7,20.4,,11.2,18.9,3.8
761,BLAKE MEDICAL CENTER (100213),2014,Acute Care,Proprietary,382.0,27.482176,-82.620468,FL,15.2,16.8,13.3,21.7,,10.1,18.4,3.8
762,SEBASTIAN RIVER MEDICAL CENTER (100217),2014,Acute Care,Proprietary,156.0,27.844359,-80.488128,FL,13.8,20.0,9.1,23.0,,11.3,17.2,6.4
763,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM (100220),2014,Acute Care,Government - Hospital District or Authority,440.0,26.543016,-81.848589,FL,16.7,17.1,11.6,25.4,,11.6,17.6,5.0
764,FORT WALTON BEACH MEDICAL CENTER (100223),2014,Acute Care,Proprietary,260.0,30.454676,-86.632069,FL,14.7,19.0,12.3,22.0,,13.1,16.5,5.4
765,UNIVERSITY HOSPITAL AND MEDICAL CENTER (100224),2014,Acute Care,Proprietary,311.0,26.211385,-80.252543,FL,14.8,18.9,11.6,22.4,,12.4,17.7,5.8
766,ORANGE PARK MEDICAL CENTER (100226),2014,Acute Care,Voluntary non-profit - Other,306.0,30.164807,-81.738598,FL,17.2,17.8,13.7,23.7,,14.6,16.6,5.2
767,WESTSIDE REGIONAL MEDICAL CENTER (100228),2014,Acute Care,Proprietary,231.0,26.120882,-80.258429,FL,14.6,18.6,12.7,24.3,,14.1,18.1,5.4
768,MEMORIAL HOSPITAL PEMBROKE (100230),2014,Acute Care,Government - Hospital District or Authority,268.0,26.030929,-80.24612,FL,13.4,,12.0,24.3,,10.3,18.2,
769,WEST FLORIDA HOSPITAL (100231),2014,Acute Care,Proprietary,476.0,30.515161,-87.21692,FL,16.1,17.9,13.3,22.4,,11.9,16.8,4.8
770,PUTNAM COMMUNITY MEDICAL CENTER (100232),2014,Acute Care,Proprietary,96.0,29.642378,-81.693518,FL,15.4,19.0,13.4,26.0,,14.6,17.5,5.4
771,WEST PALM HOSPITAL (100234),2014,Acute Care,Proprietary,242.0,,,FL,16.6,18.8,13.2,21.8,,13.8,17.3,5.3
772,FAWCETT MEMORIAL HOSPITAL (100236),2014,Acute Care,Proprietary,242.0,26.987872,-82.097729,FL,14.3,18.1,9.7,23.0,,11.6,19.3,5.5
773,NORTHSIDE HOSPITAL (100238),2014,Acute Care,Proprietary,220.0,27.826053,-82.700001,FL,16.9,22.0,10.8,24.0,,12.2,20.5,5.8
774,EDWARD WHITE HOSPITAL (100239),2014,Acute Care,Proprietary,124.0,,,FL,15.1,,11.7,21.8,,11.7,18.0,6.1
775,GULF COAST REGIONAL MEDICAL CENTER (100242),2014,Acute Care,Proprietary,210.0,30.189682,-85.666124,FL,15.9,18.9,11.5,21.8,,12.3,14.7,5.0
776,BRANDON REGIONAL HOSPITAL (100243),2014,Acute Care,Proprietary,417.0,27.934002,-82.288303,FL,14.4,18.0,11.0,22.6,,10.3,20.5,5.3
777,CAPE CORAL HOSPITAL (100244),2014,Acute Care,Government - Hospital District or Authority,289.0,26.639321,-81.940946,FL,14.5,19.5,11.7,22.5,,13.7,17.4,5.4
778,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE (100246),2014,Acute Care,Proprietary,381.0,27.431942,-80.347352,FL,14.4,17.8,11.6,23.7,,9.0,17.7,5.1
779,LARGO MEDICAL CENTER (100248),2014,Acute Care,Proprietary,364.0,27.914914,-82.802671,FL,17.0,19.7,12.3,24.1,,11.8,17.9,4.9
780,SEVEN RIVERS REGIONAL MEDICAL CENTER (100249),2014,Acute Care,Proprietary,126.0,28.950896,-82.625866,FL,17.4,15.7,13.2,21.4,,18.4,15.5,5.6
781,RAULERSON HOSPITAL (100252),2014,Acute Care,Proprietary,100.0,27.260537,-80.829875,FL,12.2,20.2,10.1,24.8,,12.2,18.0,6.1
782,JUPITER MEDICAL CENTER (100253),2014,Acute Care,Voluntary non-profit - Private,200.0,26.922824,-80.094539,FL,15.0,16.2,11.3,22.1,,8.1,15.4,5.0
783,CAPITAL REGIONAL MEDICAL CENTER (100254),2014,Acute Care,Proprietary,249.0,30.475376,-84.230728,FL,16.9,20.2,12.4,27.4,,10.9,17.4,4.8
784,TOWN & COUNTRY HOSPITAL (100255),2014,Acute Care,Proprietary,208.0,,,FL,15.0,17.8,9.8,24.3,,10.1,17.3,5.8
785,REGIONAL MEDICAL CENTER BAYONET POINT (100256),2014,Acute Care,Proprietary,283.0,28.360743,-82.690148,FL,15.9,18.4,11.0,24.9,,12.4,15.7,5.1
786,DELRAY MEDICAL CENTER (100258),2014,Acute Care,Proprietary,480.0,26.439246,-80.127919,FL,14.4,17.1,11.1,22.9,,9.4,16.8,4.4
787,SOUTH BAY HOSPITAL (100259),2014,Acute Care,Proprietary,124.0,27.71239,-82.365168,FL,15.2,18.9,9.7,25.9,,11.0,15.2,7.3
788,ST LUCIE MEDICAL CENTER (100260),2014,Acute Care,Proprietary,225.0,27.288027,-80.29591,FL,15.6,18.2,14.9,22.8,,13.4,18.4,5.2
789,OAK HILL HOSPITAL (100264),2014,Acute Care,Voluntary non-profit - Other,279.0,28.533305,-82.534495,FL,17.7,19.3,13.9,23.3,,13.1,18.6,5.9
790,MEASE COUNTRYSIDE HOSPITAL (100265),2014,Acute Care,Voluntary non-profit - Private,313.0,28.040326,-82.708971,FL,13.4,17.1,12.5,22.8,,10.7,16.4,5.0
791,GULF BREEZE HOSPITAL (100266),2014,Acute Care,Voluntary non-profit - Other,66.0,30.358649,-87.156803,FL,15.2,18.5,11.4,22.7,,12.1,17.1,4.3
792,ENGLEWOOD COMMUNITY HOSPITAL (100267),2014,Acute Care,Proprietary,100.0,26.949009,-82.327951,FL,13.5,18.7,11.6,21.1,,12.5,16.8,5.3
793,WEST BOCA MEDICAL CENTER (100268),2014,Acute Care,Proprietary,195.0,26.354571,-80.203236,FL,15.0,17.9,13.5,23.5,,10.4,17.8,4.8
794,PALMS WEST HOSPITAL (100269),2014,Acute Care,Proprietary,199.0,26.681928,-80.251439,FL,13.2,18.4,10.4,23.7,,11.4,18.0,5.5
795,WELLINGTON REGIONAL MEDICAL CENTER (100275),2014,Acute Care,Proprietary,222.0,26.650806,-80.204858,FL,17.5,19.1,13.6,23.6,,11.8,17.5,6.0
796,BROWARD HEALTH CORAL SPRINGS (100276),2014,Acute Care,Government - Hospital District or Authority,204.0,26.268779,-80.254161,FL,15.7,17.4,10.1,25.5,,13.1,17.3,5.7
797,MEMORIAL HOSPITAL WEST (100281),2014,Acute Care,Government - Hospital District or Authority,415.0,26.013281,-80.309457,FL,15.0,19.5,10.4,25.7,,11.1,19.0,6.9
798,WESTCHESTER GENERAL HOSPITAL (100284),2014,Acute Care,Proprietary,158.0,25.74804,-80.317224,FL,14.8,18.5,11.7,24.3,,10.7,20.1,
799,MEMORIAL HOSPITAL MIRAMAR (100285),2014,Acute Care,Voluntary non-profit - Other,178.0,25.991087,-80.376005,FL,15.6,,10.8,26.2,,10.1,16.4,5.0
800,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE (100286),2014,Acute Care,Proprietary,207.0,26.211764,-81.730707,FL,14.8,17.2,13.5,23.2,,12.6,17.9,6.0
801,GOOD SAMARITAN MEDICAL CENTER (100287),2014,Acute Care,Proprietary,333.0,26.725062,-80.049968,FL,14.4,17.9,10.0,22.9,,10.4,17.0,5.4
802,ST MARY'S MEDICAL CENTER (100288),2014,Acute Care,Proprietary,456.0,26.753208,-80.062803,FL,16.0,,11.0,24.7,,10.6,17.7,5.6
803,CLEVELAND CLINIC HOSPITAL (100289),2014,Acute Care,Proprietary,187.0,26.080401,-80.365467,FL,15.4,19.9,9.1,23.0,,9.9,19.0,5.7
804,"VILLAGES REGIONAL HOSPITAL, THE (100290)",2014,Acute Care,Voluntary non-profit - Private,271.0,28.94944,-81.958131,FL,16.3,18.9,13.2,24.1,,12.8,16.7,5.9
805,WUESTHOFF MEDICAL CENTER - MELBOURNE (100291),2014,Acute Care,Voluntary non-profit - Private,109.0,28.109804,-80.67261,FL,16.6,19.2,10.1,24.6,,11.0,18.6,5.4
806,SACRED HEART HOSPITAL ON THE EMERALD COAST (100292),2014,Acute Care,Voluntary non-profit - Other,62.0,30.376819,-86.306823,FL,16.4,17.4,12.5,20.4,,11.5,15.6,4.1
807,DOCTORS HOSPITAL INC (100296),2014,Acute Care,Voluntary non-profit - Other,256.0,25.724611,-80.273181,FL,13.0,19.7,9.2,22.9,,9.0,17.0,4.7
808,LAKEWOOD RANCH MEDICAL CENTER (100299),2014,Acute Care,Proprietary,123.0,27.392671,-82.434725,FL,14.8,16.7,12.1,21.3,,11.7,17.0,4.6
809,ST CLOUD REGIONAL MEDICAL CENTER (100302),2014,Acute Care,Proprietary,84.0,28.242414,-81.302658,FL,13.7,17.8,12.2,23.0,,13.3,19.9,5.6
810,ST VINCENT'S MEDICAL CENTER SOUTHSIDE (100307),2014,Acute Care,Voluntary non-profit - Private,298.0,30.253096,-81.584126,FL,15.9,19.6,8.8,22.4,,11.5,18.0,6.6
811,SACRED HEART HOSPITAL ON THE GULF (100313),2014,Acute Care,Voluntary non-profit - Private,19.0,29.776562,-85.287605,FL,,,,22.7,,10.9,18.0,
812,WEST KENDALL BAPTIST HOSPITAL (100314),2014,Acute Care,Voluntary non-profit - Private,132.0,25.679344,-80.456967,FL,,,12.2,21.8,,9.7,19.4,
813,VIERA HOSPITAL (100315),2014,Acute Care,Voluntary non-profit - Private,84.0,28.229812,-80.729434,FL,,,10.5,24.1,,10.9,16.6,5.2
814,PALM BAY HOSPITAL (100316),2014,Acute Care,Proprietary,139.0,27.99833,-80.61208,FL,,,12.2,22.1,,11.6,17.8,5.0
815,VA NORTH FLORIDA/SOUTH GEORGIA HEALTHCARE SYSTEM (10057F),2014,Acute Care (VA),Government - Federal,,,,,16.7,19.3,10.5,25.8,,9.2,19.7,
816,TAMPA VA MEDICAL CENTER (10063F),2014,Acute Care (VA),Government - Federal,,,,,14.4,22.2,11.1,27.8,,10.4,20.7,
817,MIAMI VA MEDICAL CENTER (10064F),2014,Acute Care (VA),Government - Federal,,,,,15.0,19.1,9.8,25.4,,11.5,16.3,
818,W PALM BEACH VA MEDICAL CENTER (10065F),2014,Acute Care (VA),Government - Federal,,,,,15.4,20.2,9.5,26.4,,8.5,19.5,
819,FLORIDA HOSPITAL WAUCHULA (101300),2014,Critical Access,Voluntary non-profit - Private,25.0,,,FL,,,,,,11.0,16.8,
820,SHANDS LIVE OAK REGIONAL MEDICAL CENTER (101301),2014,Critical Access,Proprietary,22.0,,,FL,,,12.7,21.4,,16.9,14.5,
821,NORTHWEST FLORIDA COMMUNITY HOSPITAL (101308),2014,Critical Access,Voluntary non-profit - Private,59.0,30.76457,-85.542643,FL,,,12.6,21.4,,13.5,15.7,
822,HENDRY REGIONAL MEDICAL CENTER (101309),2014,Critical Access,Voluntary non-profit - Other,25.0,26.753239,-80.942276,FL,,,12.3,24.2,,11.7,18.7,
823,SHANDS STARKE REGIONAL MEDICAL CENTER (101310),2014,Critical Access,Proprietary,25.0,29.941907,-82.10165,FL,,,11.2,26.8,,10.0,18.3,
824,MADISON COUNTY MEMORIAL HOSPITAL (101311),2014,Critical Access,Government - Hospital District or Authority,23.0,30.471413,-83.419898,FL,,,11.8,23.7,,10.9,16.9,
825,FISHERMEN'S HOSPITAL (101312),2014,Critical Access,Voluntary non-profit - Private,16.0,24.71113,-81.09472,FL,,,10.5,23.2,,10.8,16.8,5.6
826,MARINERS HOSPITAL (101313),2014,Critical Access,Voluntary non-profit - Private,24.0,25.005408,-80.521301,FL,,,10.2,23.2,,10.6,15.8,5.3
827,HAMILTON MEDICAL CENTER (110001),2014,Acute Care,Voluntary non-profit - Private,253.0,34.788884,-84.983657,GA,15.6,16.2,12.1,22.5,,12.5,17.2,5.6
828,UPSON REGIONAL MEDICAL CENTER (110002),2014,Acute Care,Voluntary non-profit - Other,106.0,32.887252,-84.336109,GA,15.8,19.6,13.3,23.2,,16.2,18.4,4.8
829,"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC (110003)",2014,Acute Care,Voluntary non-profit - Private,251.0,31.226007,-82.349239,GA,16.1,18.4,12.7,24.2,,12.8,18.0,6.2
830,HUTCHESON MEDICAL CENTER (110004),2014,Acute Care,Government - Hospital District or Authority,241.0,,,GA,15.7,19.2,13.8,20.5,,10.7,16.5,
831,NORTHSIDE HOSPITAL FORSYTH (110005),2014,Acute Care,Voluntary non-profit - Private,265.0,34.178588,-84.139246,GA,12.9,18.0,11.4,24.2,,14.2,18.2,5.2
832,ST MARY'S HOSPITAL (110006),2014,Acute Care,Voluntary non-profit - Private,262.0,33.945929,-83.404467,GA,16.1,18.2,12.1,22.7,,14.0,16.0,5.0
833,PHOEBE PUTNEY MEMORIAL HOSPITAL (110007),2014,Acute Care,Government - Hospital District or Authority,478.0,31.590229,-84.156267,GA,14.4,18.0,14.0,21.6,,14.2,16.9,5.0
834,NORTHSIDE HOSPITAL CHEROKEE (110008),2014,Acute Care,Voluntary non-profit - Other,123.0,34.227523,-84.460562,GA,17.9,17.2,14.4,22.7,,14.7,18.8,4.8
835,EMORY UNIVERSITY HOSPITAL (110010),2014,Acute Care,Voluntary non-profit - Private,612.0,33.791881,-84.320977,GA,14.7,17.5,10.4,19.3,,13.4,17.1,3.7
836,TANNER MEDICAL CENTER - CARROLLTON (110011),2014,Acute Care,Government - Hospital District or Authority,175.0,33.570555,-85.072464,GA,16.0,17.9,13.8,24.1,,10.5,16.9,4.6
837,TANNER MEDICAL CENTER VILLA RICA (110015),2014,Acute Care,Government - Hospital District or Authority,118.0,33.742992,-84.919477,GA,13.9,,11.0,21.1,,9.4,17.2,
838,WEST GEORGIA MEDICAL CENTER (110016),2014,Acute Care,Government - Hospital District or Authority,456.0,33.031301,-85.056671,GA,19.1,18.4,10.9,24.8,,10.8,16.9,5.7
839,NEWTON MEDICAL CENTER (110018),2014,Acute Care,Voluntary non-profit - Private,92.0,33.602673,-83.848082,GA,15.0,18.5,11.6,21.6,,12.7,18.1,4.9
840,GORDON HOSPITAL (110023),2014,Acute Care,Voluntary non-profit - Church,69.0,34.511878,-84.92537,GA,14.3,18.9,11.3,25.0,,9.2,18.9,6.6
841,CANDLER HOSPITAL (110024),2014,Acute Care,Voluntary non-profit - Other,260.0,32.027361,-81.101731,GA,14.4,19.8,11.8,23.3,,10.0,18.4,5.6
842,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS (110025),2014,Acute Care,Government - Hospital District or Authority,308.0,31.173785,-81.484516,GA,15.2,17.1,10.9,20.7,,13.2,17.3,4.5
843,ELBERT MEMORIAL HOSPITAL (110026),2014,Acute Care,Government - Hospital District or Authority,52.0,34.113068,-82.875601,GA,,,10.8,21.2,,11.1,19.9,
844,"TY COBB REGIONAL MEDICAL CENTER, LLC (110027)",2014,Acute Care,Voluntary non-profit - Private,80.0,34.439485,-83.130855,GA,,,10.3,22.7,,14.3,15.8,
845,UNIVERSITY HOSPITAL (110028),2014,Acute Care,Voluntary non-profit - Other,530.0,33.472989,-81.981332,GA,15.0,18.2,11.6,22.5,,12.5,18.2,4.7
846,"NORTHEAST GEORGIA MEDICAL CENTER, INC (110029)",2014,Acute Care,Government - Local,856.0,34.30335,-83.81737,GA,14.2,17.3,11.1,20.0,,12.4,18.2,5.6
847,CARTERSVILLE MEDICAL CENTER (110030),2014,Acute Care,Voluntary non-profit - Private,116.0,,,GA,15.7,17.4,12.3,23.7,,13.8,17.7,4.9
848,SPALDING REGIONAL HOSPITAL (110031),2014,Acute Care,Proprietary,160.0,33.239215,-84.265671,GA,16.5,16.4,11.5,24.1,,11.8,19.8,5.9
849,STEPHENS COUNTY HOSPITAL (110032),2014,Acute Care,Government - Hospital District or Authority,75.0,34.59302,-83.347172,GA,14.3,19.2,10.4,20.8,,13.5,18.2,5.5
850,MEDICAL COLLEGE OF GA HOSPITALS AND CLINICS (110034),2014,Acute Care,Voluntary non-profit - Other,481.0,33.471029,-81.991453,GA,14.1,19.1,10.8,25.9,,14.8,17.3,5.6
851,WELLSTAR KENNESTONE HOSPITAL (110035),2014,Acute Care,Voluntary non-profit - Other,617.0,33.968128,-84.551241,GA,14.5,18.6,12.1,24.1,,12.8,19.3,6.1
852,"MEMORIAL HEALTH UNIV MED CEN, INC (110036)",2014,Acute Care,Voluntary non-profit - Other,534.0,32.031785,-81.091827,GA,14.7,18.9,12.5,23.2,,12.2,15.5,6.1
853,JOHN D ARCHBOLD MEMORIAL HOSPITAL (110038),2014,Acute Care,Voluntary non-profit - Private,328.0,,,GA,15.8,16.3,9.5,19.6,,14.6,17.1,5.1
854,TRINITY HOSPITAL OF AUGUSTA (110039),2014,Acute Care,Proprietary,150.0,,,GA,14.6,18.6,12.7,23.2,,15.3,19.4,5.9
855,NORTHRIDGE MEDICAL CENTER (110040),2014,Acute Care,Government - Hospital District or Authority,217.0,34.218475,-83.469116,GA,15.0,17.7,10.7,22.7,,13.2,16.7,
856,HABERSHAM COUNTY MEDICAL CTR (110041),2014,Acute Care,Government - Hospital District or Authority,137.0,34.405879,-83.485989,GA,16.4,,11.5,23.1,,10.7,16.7,6.0
857,WELLSTAR PAULDING HOSPITAL (110042),2014,Acute Care,Voluntary non-profit - Other,259.0,33.902429,-84.782727,GA,,,12.0,24.5,,11.1,18.0,6.0
858,ST JOSEPH'S HOSPITAL - SAVANNAH (110043),2014,Acute Care,Voluntary non-profit - Private,246.0,31.985079,-81.152792,GA,14.4,18.2,13.6,20.9,,15.7,16.6,4.6
859,PHOEBE SUMTER MEDICAL CENTER (110044),2014,Acute Care,Government - Hospital District or Authority,54.0,32.06425,-84.255376,GA,,,12.7,21.9,,14.7,16.4,5.3
860,BARROW REGIONAL MEDICAL CENTER (110045),2014,Acute Care,Proprietary,55.0,34.007701,-83.706706,GA,,,12.1,23.5,,10.4,15.9,
861,CLEARVIEW  REGIONAL MEDICAL CENTER (110046),2014,Acute Care,Proprietary,81.0,33.798635,-83.746316,GA,16.3,18.3,12.6,24.2,,11.6,19.7,5.7
862,MURRAY MEDICAL CENTER (110050),2014,Acute Care,Voluntary non-profit - Private,28.0,34.779951,-84.782125,GA,,,11.5,21.9,,11.0,16.6,
863,UNION GENERAL HOSPITAL (110051),2014,Acute Care,Government - Hospital District or Authority,190.0,34.884842,-83.963026,GA,16.7,,16.0,21.2,,13.8,15.6,
864,FLOYD MEDICAL CENTER (110054),2014,Acute Care,Government - Hospital District or Authority,293.0,34.260454,-85.179957,GA,16.4,16.4,14.9,21.4,,11.2,16.0,6.1
865,MIDTOWN MEDICAL CENTER (110064),2014,Acute Care,Voluntary non-profit - Other,367.0,32.481728,-84.982008,GA,16.2,19.8,13.7,19.5,,18.8,18.2,
866,HOUSTON MEDICAL CENTER (110069),2014,Acute Care,Voluntary non-profit - Private,236.0,32.618198,-83.62941,GA,15.4,20.8,9.4,25.4,,10.0,18.2,7.0
867,APPLING HOSPITAL (110071),2014,Acute Care,Government - Hospital District or Authority,158.0,31.768768,-82.349351,GA,,,12.1,23.9,,13.5,18.9,
868,DORMINY MEDICAL CENTER (110073),2014,Acute Care,Government - Hospital District or Authority,60.0,31.697918,-83.260975,GA,15.5,,12.2,22.7,,11.8,17.6,
869,ATHENS REGIONAL MEDICAL CENTER (110074),2014,Acute Care,Voluntary non-profit - Other,350.0,33.962377,-83.397733,GA,15.3,16.4,12.3,20.7,,9.6,16.8,5.5
870,EAST GEORGIA REGIONAL MEDICAL CENTER (110075),2014,Acute Care,Proprietary,146.0,32.415171,-81.76865,GA,16.6,17.7,11.8,26.6,,18.0,20.6,5.2
871,DEKALB MEDICAL CENTER (110076),2014,Acute Care,Voluntary non-profit - Private,431.0,33.79216,-84.282679,GA,16.2,18.9,13.1,22.7,,12.3,18.1,5.4
