,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdominopelvic accidental puncture or laceration rate (PSI 15),Death rate for surgical inpatients w/ serious treatable complications (PSI 4),Iatrogenic pneumothorax rate (PSI 6),In-hospital fall with hip fracture rate (PSI 8),Infections from a large venous catheter (PSI 7),Patient safety and adverse events composite (PSI 90),Perioperative pulmonary embolism or deep vein thrombosis rate (PSI 12),Postoperative sepsis rate (PSI 13),Postoperative wound dehiscence rate (PSI 14),Pressure ulcer rate (PSI 3)
817,EVANS MEMORIAL HOSPITAL (110142),2016,Acute Care,Government - Hospital District or Authority,79.0,32.164133,-81.900403,GA,1.38,,0.4,,0.17,0.88,,,,0.44
818,WELLSTAR COBB HOSPITAL (110143),2016,Acute Care,Voluntary non-profit - Other,377.0,33.856701,-84.601561,GA,1.98,139.65,0.41,0.06,0.09,1.09,6.13,9.36,2.46,0.72
819,SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS (110146),2016,Acute Care,Government - Hospital District or Authority,40.0,30.781226,-81.616234,GA,1.08,,0.39,0.06,0.16,0.75,4.31,,2.24,0.37
820,OCONEE REGIONAL MEDICAL CENTER (110150),2016,Acute Care,Voluntary non-profit - Private,113.0,33.088431,-83.245145,GA,1.92,,0.43,0.06,0.15,0.91,3.85,,2.78,0.25
821,PERRY HOSPITAL (110153),2016,Acute Care,Voluntary non-profit - Private,39.0,32.459475,-83.711227,GA,1.26,,0.39,0.06,0.16,0.87,5.69,,,0.28
822,NORTHSIDE HOSPITAL (110161),2016,Acute Care,Voluntary non-profit - Private,558.0,33.907895,-84.354754,GA,0.58,131.1,0.39,0.06,0.21,0.97,9.96,9.42,2.41,0.12
823,COLISEUM MEDICAL CENTERS (110164),2016,Acute Care,Voluntary non-profit - Private,257.0,32.847315,-83.62027,GA,1.63,179.15,0.3,0.06,0.2,0.83,4.04,10.2,2.02,0.13
824,SOUTHERN REGIONAL MEDICAL CENTER (110165),2016,Acute Care,Voluntary non-profit - Private,272.0,33.577524,-84.390432,GA,1.91,167.97,0.36,0.06,0.12,0.89,3.87,10.19,3.2,0.15
825,REDMOND REGIONAL MEDICAL CENTER (110168),2016,Acute Care,Proprietary,225.0,34.278191,-85.194131,GA,1.38,168.86,0.38,0.06,0.18,0.72,3.3,8.63,2.0,0.09
826,DOCTORS HOSPITAL (110177),2016,Acute Care,Proprietary,292.0,33.482477,-82.091092,GA,1.48,145.97,0.33,0.06,0.16,1.03,6.3,7.63,2.14,1.74
827,WELLSTAR DOUGLAS HOSPITAL (110184),2016,Acute Care,Voluntary non-profit - Private,102.0,33.738973,-84.73305,GA,1.06,116.8,0.5,0.06,0.23,0.94,7.21,9.45,2.16,0.18
828,CHESTATEE REGIONAL HOSPITAL (110187),2016,Acute Care,Proprietary,48.0,,,GA,1.53,,0.4,0.06,0.17,0.85,4.18,9.76,,0.41
829,FANNIN REGIONAL HOSPITAL (110189),2016,Acute Care,Proprietary,50.0,34.916923,-84.375509,GA,1.57,,0.39,0.06,0.16,0.87,4.44,,2.26,0.37
830,FLINT RIVER COMMUNITY HOSPITAL (110190),2016,Acute Care,Proprietary,47.0,32.295415,-84.030228,GA,1.42,,0.41,,0.17,0.9,,,,
831,PIEDMONT HENRY HOSPITAL (110191),2016,Acute Care,Government - Hospital District or Authority,310.0,33.508996,-84.225561,GA,1.42,122.95,0.43,0.06,0.11,0.74,3.6,6.58,2.07,0.1
832,EASTSIDE MEDICAL CENTER (110192),2016,Acute Care,Proprietary,276.0,33.877259,-84.019645,GA,1.28,134.11,0.46,0.06,0.12,0.7,3.04,8.67,2.14,0.13
833,DONALSONVILLE HOSPITAL INC (110194),2016,Acute Care,Voluntary non-profit - Private,138.0,31.050707,-84.880123,GA,1.19,,0.4,0.06,0.17,0.82,4.93,,2.29,0.43
834,WELLSTAR NORTH FULTON HOSPITAL (110198),2016,Acute Care,Proprietary,201.0,34.062989,-84.322477,GA,2.45,125.09,0.53,0.06,0.14,1.07,3.55,,2.25,0.68
835,NORTHSIDE MEDICAL CENTER (110200),2016,Acute Care,Proprietary,93.0,32.53588,-84.954383,GA,1.28,,0.45,0.06,0.29,0.71,2.58,8.1,,0.39
836,COLISEUM NORTHSIDE HOSPITAL (110201),2016,Acute Care,Proprietary,86.0,32.869861,-83.694361,GA,1.11,,0.38,0.06,0.16,0.68,3.34,9.06,,0.3
837,NORTH GEORGIA MEDICAL CENTER (110205),2016,Acute Care,Proprietary,140.0,,,GA,1.21,,0.4,0.06,0.17,0.89,5.82,,,0.4
838,TURNING POINT HOSPITAL (110209),2016,Acute Care,Proprietary,64.0,31.129247,-83.77355,GA,0.53,,0.31,,0.04,0.66,,,,
839,PIEDMONT FAYETTE HOSPITAL (110215),2016,Acute Care,Voluntary non-profit - Private,218.0,33.450593,-84.510526,GA,1.89,104.21,0.42,0.06,0.19,1.04,6.23,7.26,4.2,0.09
840,PIEDMONT MOUNTAINSIDE HOSPITAL INC (110225),2016,Acute Care,Voluntary non-profit - Other,50.0,34.447466,-84.446561,GA,1.33,116.46,0.55,0.06,0.15,0.84,4.64,9.06,2.2,0.24
841,DEKALB MEDICAL CENTER AT HILLANDALE (110226),2016,Acute Care,Government - Hospital District or Authority,92.0,33.705488,-84.146927,GA,1.75,,0.56,0.06,0.15,1.06,6.52,,2.27,0.26
842,"PIEDMONT NEWNAN HOSPITAL, INC (110229)",2016,Acute Care,Voluntary non-profit - Private,145.0,33.359363,-84.754062,GA,1.65,115.71,0.39,0.06,0.13,0.82,3.83,9.1,2.18,0.14
843,EMORY JOHNS CREEK HOSPITAL (110230),2016,Acute Care,Proprietary,122.0,34.067466,-84.175187,GA,2.65,110.04,0.35,0.06,0.14,0.98,2.82,8.9,2.2,0.22
844,SOUTHEASTERN REGIONAL MEDICAL CENTER (110233),2016,Acute Care,Proprietary,46.0,33.386391,-84.757419,GA,1.92,,0.4,0.06,,1.08,6.49,,2.26,0.37
845,SGMC BERRIEN CAMPUS (110234),2016,Acute Care,Government - Hospital District or Authority,54.0,31.203629,-83.238337,GA,1.42,,0.41,,0.17,0.9,,,,0.45
846,THE QUEENS MEDICAL CENTER (120001),2016,Acute Care,Voluntary non-profit - Private,585.0,21.308307,-157.854965,HI,1.24,165.56,0.36,0.06,0.09,1.04,8.32,15.2,1.78,0.26
847,MAUI MEMORIAL MEDICAL CENTER (120002),2016,Acute Care,Government - State,217.0,20.884455,-156.488087,HI,1.96,161.87,0.5,0.06,0.13,0.85,2.7,9.29,2.7,0.18
848,WAHIAWA GENERAL HOSPITAL (120004),2016,Acute Care,Voluntary non-profit - Private,157.0,21.498511,-158.027299,HI,1.2,,0.38,0.06,0.16,1.0,7.99,,,0.3
849,HILO MEDICAL CENTER (120005),2016,Acute Care,Government - State,264.0,19.717467,-155.113513,HI,0.81,,0.35,0.06,0.15,0.63,3.83,,2.22,0.22
850,CASTLE MEDICAL CENTER (120006),2016,Acute Care,Voluntary non-profit - Church,160.0,21.381502,-157.757229,HI,2.26,134.49,0.34,0.06,0.14,0.99,4.12,10.91,2.2,0.21
851,KUAKINI MEDICAL CENTER (120007),2016,Acute Care,Voluntary non-profit - Private,342.0,21.322211,-157.856211,HI,1.5,150.92,0.45,0.06,0.15,0.79,2.35,10.22,2.15,1.06
852,KAISER FOUNDATION HOSPITAL (120011),2016,Acute Care,Voluntary non-profit - Private,283.0,21.362292,-157.900139,HI,2.1,,0.37,0.06,0.15,1.05,5.01,9.31,2.26,0.87
853,WILCOX MEMORIAL HOSPITAL (120014),2016,Acute Care,Government - Federal,72.0,21.987043,-159.366198,HI,1.41,,0.38,0.06,0.15,0.77,3.48,11.02,2.24,0.26
854,KONA COMMUNITY HOSPITAL (120019),2016,Acute Care,Government - State,93.0,19.519237,-155.917719,HI,1.11,,0.38,0.06,0.16,0.75,4.34,,2.28,0.3
855,STRAUB CLINIC AND HOSPITAL (120022),2016,Acute Care,Proprietary,159.0,21.302268,-157.850921,HI,1.15,120.82,0.43,0.06,0.12,0.74,3.5,11.47,2.11,0.5
856,PALI MOMI MEDICAL CENTER (120026),2016,Acute Care,Proprietary,121.0,21.383988,-157.937675,HI,1.65,163.34,0.32,0.06,0.14,0.83,2.96,8.77,3.17,1.15
857,NORTH HAWAII COMMUNITY HOSPITAL (120028),2016,Acute Care,Voluntary non-profit - Private,34.0,,,HI,1.54,,0.4,0.06,0.17,1.0,6.61,,,0.4
858,ST LUKE'S MAGIC VALLEY RMC (130002),2016,Acute Care,Voluntary non-profit - Private,205.0,42.591595,-114.496998,ID,1.78,125.9,0.39,0.06,0.11,0.91,4.88,9.6,2.02,0.15
859,ST JOSEPH REGIONAL MEDICAL CENTER (130003),2016,Acute Care,Voluntary non-profit - Private,122.0,46.417121,-117.024997,ID,1.98,136.71,0.45,0.06,0.33,0.96,4.1,10.24,2.07,0.21
860,ST LUKE'S REGIONAL MEDICAL CENTER (130006),2016,Acute Care,Voluntary non-profit - Private,569.0,43.612157,-116.192202,ID,0.67,138.35,0.34,0.06,0.08,0.72,5.59,14.39,1.61,0.09
861,ST ALPHONSUS REGIONAL MEDICAL CENTER (130007),2016,Acute Care,Voluntary non-profit - Church,380.0,43.614072,-116.253622,ID,1.55,143.67,0.45,0.06,0.31,1.12,7.33,16.91,2.83,0.14
862,SAINT ALPHONSUS MEDICAL CENTER - NAMPA (130013),2016,Acute Care,Voluntary non-profit - Church,128.0,43.596332,-116.519174,ID,0.88,,0.36,0.06,0.14,0.7,3.84,9.35,2.18,0.94
863,WEST VALLEY MEDICAL CENTER (130014),2016,Acute Care,Proprietary,108.0,43.65422,-116.69564,ID,1.16,,0.42,0.06,0.15,0.7,2.73,8.56,2.23,0.89
864,EASTERN IDAHO REGIONAL MEDICAL CENTER (130018),2016,Acute Care,Proprietary,313.0,43.470276,-111.990159,ID,1.26,161.29,0.56,0.06,0.27,0.75,3.54,7.18,1.99,0.14
865,MADISON MEMORIAL HOSPITAL (130025),2016,Acute Care,Government - Local,68.0,43.826051,-111.773148,ID,2.17,,0.39,0.06,0.16,1.01,4.63,8.89,2.27,0.34
866,PORTNEUF MEDICAL CENTER (130028),2016,Acute Care,Proprietary,168.0,42.872621,-112.4189,ID,1.6,141.99,0.36,0.06,0.13,0.88,4.56,12.46,2.15,0.18
867,KOOTENAI HEALTH (130049),2016,Acute Care,Government - Hospital District or Authority,286.0,47.694597,-116.792669,ID,1.74,139.48,0.33,0.06,0.15,0.75,2.4,10.45,2.35,0.12
868,TREASURE VALLEY HOSPITAL (130063),2016,Acute Care,Proprietary,11.0,43.611289,-116.290332,ID,1.39,,0.41,,0.17,0.86,4.72,,,
869,MOUNTAIN VIEW HOSPITAL (130065),2016,Acute Care,Proprietary,41.0,43.472524,-111.988717,ID,1.96,,0.39,0.06,0.17,0.88,3.63,7.44,2.29,0.28
870,NORTHWEST SPECIALTY HOSPITAL (130066),2016,Acute Care,Proprietary,34.0,47.71441,-116.924455,ID,1.72,,0.4,0.06,0.17,0.92,4.59,9.83,2.29,
871,IDAHO DOCTORS HOSPITAL (130067),2016,Acute Care,Proprietary,8.0,,,ID,,,,,,0.9,,,,
872,GRAHAM HOSPITAL ASSOCIATION (140001),2016,Acute Care,Voluntary non-profit - Other,86.0,40.553293,-90.038115,IL,1.6,,0.45,0.06,0.28,0.86,3.79,9.48,2.21,0.34
873,ALTON MEMORIAL HOSPITAL (140002),2016,Acute Care,Voluntary non-profit - Private,157.0,,,IL,2.12,116.95,0.42,0.06,0.13,1.0,4.75,10.32,2.69,0.17
874,PRESENCE SAINT JOSEPH MEDICAL CENTER (140007),2016,Acute Care,Voluntary non-profit - Church,457.0,41.528248,-88.134645,IL,1.13,94.26,0.5,0.06,0.18,1.11,9.66,11.82,2.33,0.06
875,LOYOLA GOTTLIEB MEMORIAL HOSPITAL (140008),2016,Acute Care,Voluntary non-profit - Private,227.0,41.908342,-87.841101,IL,1.42,131.55,0.31,0.06,0.13,0.88,5.41,10.25,2.11,0.53
876,EVANSTON HOSPITAL (140010),2016,Acute Care,Voluntary non-profit - Other,737.0,42.0653,-87.683293,IL,1.32,84.85,0.29,0.06,0.18,1.45,15.75,8.68,1.81,0.04
877,HERRIN HOSPITAL (140011),2016,Acute Care,Voluntary non-profit - Private,113.0,37.801613,-89.026508,IL,1.19,98.79,0.39,0.06,0.13,0.69,3.01,12.17,2.18,0.21
878,KATHERINE SHAW BETHEA HOSPITAL (140012),2016,Acute Care,Voluntary non-profit - Private,80.0,41.84423,-89.480131,IL,1.96,121.94,0.43,0.06,0.15,0.93,3.45,14.44,2.21,0.29
879,PROCTOR HOSPITAL (140013),2016,Acute Care,Voluntary non-profit - Private,162.0,40.752496,-89.593254,IL,1.71,138.35,0.35,0.06,0.13,0.82,3.71,8.58,2.74,0.23
880,BLESSING HOSPITAL (140015),2016,Acute Care,Voluntary non-profit - Private,310.0,40.393084,-91.344081,IL,2.36,119.59,0.51,0.06,0.19,1.04,4.22,9.16,2.51,0.15
881,MT SINAI HOSPITAL MEDICAL CENTER (140018),2016,Acute Care,Voluntary non-profit - Private,280.0,,,IL,1.99,139.48,0.45,0.06,0.23,1.22,7.77,9.22,2.79,0.76
882,SHELBY MEMORIAL HOSPITAL (140019),2016,Acute Care,Voluntary non-profit - Private,30.0,39.405801,-88.807113,IL,1.4,,0.4,,0.17,0.89,,,,0.46
883,COPLEY MEMORIAL HOSPITAL (140029),2016,Acute Care,Voluntary non-profit - Private,210.0,41.727722,-88.268415,IL,2.13,110.52,0.39,0.06,0.2,1.04,5.43,9.48,2.6,0.14
884,SHERMAN HOSPITAL (140030),2016,Acute Care,Voluntary non-profit - Private,255.0,42.070221,-88.331468,IL,1.02,114.55,0.38,0.06,0.17,0.79,6.07,6.7,1.94,0.08
885,ST ANTHONYS MEMORIAL HOSPITAL (140032),2016,Acute Care,Voluntary non-profit - Church,137.0,39.124496,-88.549274,IL,1.29,164.71,0.36,0.06,0.15,0.76,4.36,8.12,2.71,0.18
886,VISTA MEDICAL CENTER WEST (140033),2016,Acute Care,Voluntary non-profit - Church,78.0,42.359402,-87.866605,IL,1.42,,0.41,,0.17,0.9,,,,0.48
887,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA (140034),2016,Acute Care,Voluntary non-profit - Church,112.0,38.530809,-89.115999,IL,1.05,,0.36,0.06,0.14,0.78,4.39,11.47,2.2,0.83
888,GALESBURG COTTAGE HOSPITAL (140040),2016,Acute Care,Proprietary,128.0,40.955483,-90.366199,IL,1.42,,0.36,0.06,0.15,0.88,5.26,10.91,2.24,0.25
889,CGH MEDICAL CENTER (140043),2016,Acute Care,Government - Local,94.0,41.801564,-89.696733,IL,1.13,144.75,0.6,0.06,0.13,0.69,2.64,10.21,2.67,0.22
890,GOOD SAMARITAN REGIONAL HLTH CENTER (140046),2016,Acute Care,Voluntary non-profit - Private,129.0,38.3149,-88.93,IL,1.69,129.27,0.37,0.06,0.21,0.81,2.98,11.67,2.17,0.15
891,ADVOCATE TRINITY HOSPITAL (140048),2016,Acute Care,Voluntary non-profit - Other,237.0,41.726211,-87.56725,IL,0.71,132.27,0.32,0.06,0.12,1.01,10.49,10.81,2.12,0.15
892,WEST SUBURBAN MEDICAL CENTER (140049),2016,Acute Care,Voluntary non-profit - Other,183.0,41.89184,-87.777471,IL,1.14,161.67,0.47,0.06,0.12,0.89,5.99,13.52,2.12,0.18
893,OSF SAINT ANTHONY'S HEALTH CENTER (140052),2016,Acute Care,Voluntary non-profit - Church,104.0,,,IL,1.38,116.39,0.42,0.06,0.14,0.84,4.23,12.87,2.77,0.32
894,ST JOHNS HOSPITAL (140053),2016,Acute Care,Voluntary non-profit - Church,409.0,39.807289,-89.644833,IL,2.39,141.96,0.33,0.06,0.12,1.08,5.13,11.38,3.7,0.11
895,MACNEAL  HOSPITAL (140054),2016,Acute Care,Proprietary,319.0,41.832002,-87.792783,IL,1.37,173.43,0.37,0.06,0.1,0.92,5.79,9.66,2.08,0.74
896,PASSAVANT AREA HOSPITAL (140058),2016,Acute Care,Voluntary non-profit - Private,111.0,39.745268,-90.259912,IL,0.75,125.67,0.37,0.06,0.15,0.64,3.79,10.62,2.71,0.29
897,JERSEY COMMUNITY HOSPITAL (140059),2016,Acute Care,Government - Local,46.0,39.109906,-90.341622,IL,1.24,,0.46,0.06,0.17,0.82,4.55,,,0.41
898,PALOS COMMUNITY HOSPITAL (140062),2016,Acute Care,Voluntary non-profit - Private,386.0,41.668955,-87.815976,IL,0.81,108.08,0.32,0.06,0.07,0.94,9.55,8.73,1.85,0.05
899,RUSH OAK PARK HOSPITAL (140063),2016,Acute Care,Voluntary non-profit - Church,222.0,41.879026,-87.803818,IL,1.3,135.87,0.34,0.06,0.14,0.74,3.96,8.53,2.74,0.19
900,ST MARY MEDICAL CENTER (140064),2016,Acute Care,Voluntary non-profit - Church,88.0,40.98702,-90.363609,IL,1.08,,0.36,0.06,0.14,0.72,3.91,11.78,2.2,0.24
901,ADVENTIST LA GRANGE MEMORIAL HOSPITAL (140065),2016,Acute Care,Voluntary non-profit - Church,179.0,41.797382,-87.888407,IL,1.76,125.04,0.31,0.06,0.1,0.92,5.01,12.27,2.56,0.1
902,SAINT FRANCIS MEDICAL CENTER (140067),2016,Acute Care,Voluntary non-profit - Church,651.0,40.702366,-89.589985,IL,2.18,147.24,0.48,0.06,0.21,1.1,3.99,19.42,3.13,0.57
903,ROSELAND COMMUNITY HOSPITAL (140068),2016,Acute Care,Voluntary non-profit - Other,136.0,41.692562,-87.624734,IL,1.25,,0.38,0.06,0.15,0.82,4.88,,,0.29
904,TOUCHETTE REGIONAL HOSPITAL INC (140077),2016,Acute Care,Voluntary non-profit - Private,124.0,38.571324,-90.10767,IL,1.56,,0.4,,0.15,0.92,5.1,,,0.41
905,PRESENCE SAINT FRANCIS HOSPITAL (140080),2016,Acute Care,Voluntary non-profit - Church,191.0,42.023951,-87.685159,IL,0.9,125.84,0.33,0.06,0.11,0.76,5.69,9.79,2.62,0.13
906,LOUIS A WEISS MEMORIAL HOSPITAL (140082),2016,Acute Care,Proprietary,164.0,41.966521,-87.648898,IL,1.34,126.56,0.69,0.06,0.21,1.13,7.37,10.17,2.66,1.08
907,LORETTO HOSPITAL (140083),2016,Acute Care,Voluntary non-profit - Private,146.0,41.872042,-87.764443,IL,1.06,,0.44,0.06,0.22,0.84,5.78,,,0.27
908,VISTA MEDICAL CENTER EAST (140084),2016,Acute Care,Voluntary non-profit - Other,190.0,42.378264,-87.830964,IL,1.82,149.06,0.34,0.06,0.2,0.96,5.16,8.85,2.15,0.4
909,THE UNIVERSITY OF CHICAGO MEDICAL CENTER (140088),2016,Acute Care,Voluntary non-profit - Private,620.0,41.787956,-87.604925,IL,0.35,150.18,0.34,0.06,0.13,0.96,10.2,15.58,2.19,0.18
910,MC DONOUGH DISTRICT HOSPITAL (140089),2016,Acute Care,Government - Hospital District or Authority,66.0,40.447907,-90.66403,IL,1.46,,0.39,0.06,0.16,0.8,3.85,9.35,2.78,0.36
911,THE CARLE FOUNDATION HOSPITAL (140091),2016,Acute Care,Voluntary non-profit - Private,390.0,40.117423,-88.213888,IL,0.84,140.32,0.49,0.06,0.08,0.87,6.78,9.68,2.26,0.62
912,PRESENCE UNITED SAMARITANS MEDICAL CENTER (140093),2016,Acute Care,Voluntary non-profit - Church,159.0,40.136197,-87.644908,IL,1.35,,0.41,0.06,0.14,0.79,4.18,,2.24,0.17
913,SAINT ANTHONY HOSPITAL (140095),2016,Acute Care,Voluntary non-profit - Church,151.0,41.855538,-87.698272,IL,1.21,,0.44,0.06,0.15,0.86,5.65,9.91,2.24,0.26
914,MIDWESTERN REGION MED CENTER (140100),2016,Acute Care,Proprietary,72.0,42.44897,-87.82684,IL,1.67,,0.39,0.06,,0.9,4.56,,2.23,0.36
915,MORRIS HOSPITAL & HEALTHCARE CENTERS (140101),2016,Acute Care,Voluntary non-profit - Private,88.0,41.368907,-88.426016,IL,0.95,122.69,0.31,0.06,0.13,0.8,5.62,,2.23,0.67
916,ST BERNARD HOSPITAL (140103),2016,Acute Care,Voluntary non-profit - Private,193.0,41.778114,-87.633273,IL,0.93,,0.35,0.06,0.12,0.7,4.38,,2.83,0.27
917,OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER (140110),2016,Acute Care,Voluntary non-profit - Private,97.0,41.356417,-88.82536,IL,1.07,,0.39,0.06,0.15,0.77,4.68,10.89,2.22,0.32
918,PRESENCE COVENANT MEDICAL CENTER (140113),2016,Acute Care,Voluntary non-profit - Church,198.0,40.117391,-88.227123,IL,1.31,132.6,0.37,0.06,0.12,0.79,4.7,8.09,2.14,0.21
919,SWEDISH COVENANT HOSPITAL (140114),2016,Acute Care,Voluntary non-profit - Church,299.0,41.975219,-87.698918,IL,1.5,135.35,0.49,0.06,0.11,0.87,4.61,11.41,2.56,0.11
920,THOREK MEMORIAL HOSPITAL (140115),2016,Acute Care,Voluntary non-profit - Private,154.0,41.954556,-87.650899,IL,1.35,136.56,0.42,0.06,0.19,0.82,4.25,,2.27,0.3
921,CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL (140116),2016,Acute Care,Voluntary non-profit - Other,236.0,42.3189,-88.279787,IL,1.04,93.07,0.39,0.06,0.11,0.76,4.9,9.07,2.12,0.35
922,PRESENCE RESURRECTION MEDICAL CENTER (140117),2016,Acute Care,Voluntary non-profit - Church,468.0,41.988458,-87.81257,IL,0.77,121.52,0.34,0.06,0.09,0.63,3.78,11.96,4.03,0.07
923,METROSOUTH MEDICAL CENTER (140118),2016,Acute Care,Proprietary,291.0,,,IL,1.41,147.03,0.35,0.06,0.12,0.95,7.05,8.3,2.17,0.15
924,RUSH UNIVERSITY MEDICAL CENTER (140119),2016,Acute Care,Voluntary non-profit - Private,677.0,41.875166,-87.66851,IL,0.83,119.18,0.19,0.06,0.11,0.66,4.98,9.06,1.78,0.21
925,PEKIN MEMORIAL HOSPITAL (140120),2016,Acute Care,Voluntary non-profit - Private,97.0,40.563142,-89.633191,IL,1.12,,0.48,0.06,0.26,0.76,3.93,10.41,2.21,0.22
926,ADVENTIST HINSDALE HOSPITAL (140122),2016,Acute Care,Voluntary non-profit - Church,266.0,41.805329,-87.920062,IL,0.94,95.55,0.4,0.06,0.18,0.79,5.48,11.15,2.58,0.12
927,JOHN H STROGER JR HOSPITAL (140124),2016,Acute Care,Government - Local,434.0,41.874041,-87.674311,IL,1.12,132.71,0.63,0.06,0.24,0.98,6.81,7.88,2.14,0.66
928,GATEWAY REGIONAL MEDICAL CENTER (140125),2016,Acute Care,Proprietary,331.0,38.700891,-90.144958,IL,1.36,,0.51,0.06,0.25,0.92,5.69,9.55,2.27,0.23
929,ADVOCATE BROMENN MEDICAL CENTER (140127),2016,Acute Care,Voluntary non-profit - Church,215.0,40.496332,-88.99096,IL,1.6,149.52,0.32,0.06,0.12,0.87,4.83,9.79,2.17,0.22
930,NORTHWESTERN LAKE FOREST HOSPITAL (140130),2016,Acute Care,Voluntary non-profit - Other,132.0,42.259134,-87.866327,IL,1.44,137.36,0.48,0.06,0.13,0.9,5.3,8.51,2.2,0.46
931,HOLY CROSS HOSPITAL (140133),2016,Acute Care,Voluntary non-profit - Private,221.0,41.770008,-87.691909,IL,1.21,137.52,0.41,0.06,0.11,1.04,8.42,9.39,2.75,0.48
932,DECATUR MEMORIAL HOSPITAL (140135),2016,Acute Care,Voluntary non-profit - Other,227.0,39.866492,-88.960912,IL,1.8,124.97,0.25,0.06,0.1,0.89,5.17,7.91,1.94,0.08
933,GREENVILLE REGIONAL HOSPITAL (140137),2016,Acute Care,Voluntary non-profit - Private,74.0,38.90188,-89.408677,IL,1.39,,0.4,,0.17,0.89,,,,0.45
934,ST MARGARETS HOSPITAL (140143),2016,Acute Care,Voluntary non-profit - Private,56.0,41.328409,-89.192633,IL,1.45,,0.39,0.06,0.16,0.76,3.28,9.72,2.25,0.35
935,ST JOSEPHS HOSPITAL (140145),2016,Acute Care,Voluntary non-profit - Church,49.0,38.625154,-89.524944,IL,1.72,,0.4,0.06,0.16,0.91,4.46,,2.84,0.41
936,RICHLAND MEMORIAL HOSPITAL (140147),2016,Acute Care,Voluntary non-profit - Private,88.0,38.735021,-88.077125,IL,1.13,,0.39,0.06,0.16,0.82,5.34,9.61,2.29,0.34
937,MEMORIAL MEDICAL CENTER (140148),2016,Acute Care,Voluntary non-profit - Private,465.0,39.808778,-89.654586,IL,1.52,153.54,0.56,0.06,0.12,0.92,5.21,9.88,3.08,0.07
938,UNIVERSITY OF ILLINOIS HOSPITAL (140150),2016,Acute Care,Government - State,498.0,41.869224,-87.670529,IL,1.69,120.07,0.51,0.06,0.18,1.55,13.72,10.71,3.44,0.89
939,PRESENCE ST MARYS HOSPITAL (140155),2016,Acute Care,Voluntary non-profit - Other,177.0,41.121113,-87.871768,IL,0.8,127.26,0.37,0.06,0.13,1.08,9.92,13.08,2.17,0.87
940,MERCY HOSPITAL AND MEDICAL CENTER (140158),2016,Acute Care,Voluntary non-profit - Private,11375.0,41.847053,-87.623583,IL,2.09,117.46,0.37,0.06,0.11,1.35,10.5,12.06,3.18,0.11
941,FHN MEMORIAL HOSPITAL (140160),2016,Acute Care,Voluntary non-profit - Private,100.0,42.295894,-89.637947,IL,2.18,150.08,0.33,0.06,0.13,1.01,5.01,8.81,2.17,0.23
942,SAINT JAMES HOSPITAL (140161),2016,Acute Care,Voluntary non-profit - Church,42.0,40.873402,-88.678583,IL,1.3,,0.4,0.06,0.16,0.92,6.12,9.97,,0.4
943,ST JOSEPH MEDICAL CENTER (140162),2016,Acute Care,Voluntary non-profit - Church,149.0,40.480118,-88.955385,IL,1.14,137.0,0.31,0.06,0.31,0.66,3.0,8.19,2.17,0.21
944,MEMORIAL HOSPITAL OF CARBONDALE (140164),2016,Acute Care,Voluntary non-profit - Private,164.0,37.727973,-89.220121,IL,2.05,116.25,0.47,0.06,0.1,0.92,3.53,9.78,2.51,0.18
945,ST MARYS HOSPITAL (140166),2016,Acute Care,Voluntary non-profit - Private,220.0,39.82635,-88.93191,IL,3.33,146.62,0.45,0.06,0.19,1.34,5.11,13.5,2.68,0.16
946,IROQUOIS MEMORIAL HOSPITAL (140167),2016,Acute Care,Voluntary non-profit - Private,67.0,40.765541,-87.732666,IL,1.36,,0.38,0.06,0.16,1.02,6.37,,2.24,1.42
947,FRANCISCAN ST JAMES HEALTH (140172),2016,Acute Care,Proprietary,274.0,,,IL,2.21,112.67,0.42,0.06,0.31,1.35,8.09,15.01,2.6,0.84
948,PRESENCE MERCY MEDICAL CENTER (140174),2016,Acute Care,Voluntary non-profit - Church,281.0,41.786906,-88.328909,IL,1.32,132.75,0.41,0.06,0.12,0.85,5.5,8.24,2.67,0.16
949,CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL (140176),2016,Acute Care,Voluntary non-profit - Private,113.0,,,IL,0.94,121.0,0.5,0.06,0.13,0.73,3.98,,2.16,0.6
950,JACKSON PARK HOSPITAL (140177),2016,Acute Care,Voluntary non-profit - Private,181.0,41.757332,-87.58571,IL,1.03,,0.43,0.06,0.13,0.9,6.91,,,0.29
951,LITTLE COMPANY OF MARY HOSPITAL (140179),2016,Acute Care,Voluntary non-profit - Other,258.0,41.720902,-87.691966,IL,0.93,129.22,0.55,0.06,0.29,0.95,7.35,10.06,1.97,0.32
952,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER (140180),2016,Acute Care,Voluntary non-profit - Church,450.0,41.903104,-87.683213,IL,0.95,115.09,0.33,0.06,0.08,0.61,3.16,7.88,2.6,0.38
953,SOUTH SHORE HOSPITAL (140181),2016,Acute Care,Voluntary non-profit - Private,136.0,41.749496,-87.568623,IL,1.04,,0.35,0.06,0.27,0.7,3.87,,2.26,0.18
