,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI SIR,CDI SIR,CLABSI SIR,MRSA SIR,SSI SIR,Total HAC Score
952,ADVOCATE CONDELL MEDICAL CENTER (140202),2023,Acute Care,Voluntary non-profit - Private,269.0,42.274563,-87.95165,IL,0.591,0.57,1.253,0.804,1.19,0.0
953,HUMBOLDT PARK HEALTH (140206),2023,Acute Care,Voluntary non-profit - Private,181.0,41.900481,-87.699288,IL,0.0,0.278,0.0,,,0.0
954,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER (140208),2023,Acute Care,Voluntary non-profit - Church,731.0,41.720316,-87.732364,IL,0.491,0.828,0.801,1.266,1.366,0.0
955,METHODIST MEDICAL CENTER OF ILLINOIS (140209),2023,Acute Care,Voluntary non-profit - Private,280.0,40.700181,-89.5946,IL,0.111,0.5,1.252,1.342,1.537,0.0
956,HARRISBURG MEDICAL CENTER (140210),2023,Acute Care,Voluntary non-profit - Other,71.0,,,IL,,,,,,0.0
957,NORTHWESTERN MEDICINE DELNOR COMMUNITY HOSPITAL (140211),2023,Acute Care,Voluntary non-profit - Other,149.0,41.886345,-88.340414,IL,0.56,0.317,0.716,0.0,1.012,0.0
958,SILVER CROSS HOSPITAL  AND MEDICAL CENTERS (140213),2023,Acute Care,Voluntary non-profit - Private,299.0,41.54543,-87.986049,IL,1.162,0.311,0.817,0.294,0.534,0.0
959,PRESENCE SAINT JOSEPH HOSPITAL - ELGIN (140217),2023,Acute Care,Voluntary non-profit - Church,184.0,42.036242,-88.327934,IL,2.867,0.36,,,,0.0
960,ADVOCATE LUTHERAN GENERAL HOSPITAL (140223),2023,Acute Care,Voluntary non-profit - Church,630.0,42.039748,-87.848146,IL,0.878,0.676,0.508,0.652,1.272,0.0
961,PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO (140224),2023,Acute Care,Voluntary non-profit - Church,322.0,41.933928,-87.636418,IL,0.638,0.654,0.448,0.0,0.48,0.0
962,SWEDISH AMERICAN HOSPITAL (140228),2023,Acute Care,Voluntary non-profit - Other,313.0,42.266943,-89.07355,IL,1.549,0.755,0.888,1.268,0.362,0.0
963,EDWARD HOSPITAL (140231),2023,Acute Care,Voluntary non-profit - Private,297.0,41.761426,-88.149239,IL,1.68,0.505,0.913,0.461,1.105,0.0
964,OSF SAINT ANTHONY MEDICAL CENTER (140233),2023,Acute Care,Voluntary non-profit - Church,238.0,42.265778,-89.0073,IL,1.14,0.49,0.464,0.81,0.482,0.0
965,ST MARGARET'S HEALTH - PERU (140234),2023,Acute Care,Voluntary non-profit - Private,55.0,41.328769,-89.125188,IL,,0.792,,,,0.0
966,JAVON BEA HOSPITAL (140239),2023,Acute Care,Voluntary non-profit - Private,299.0,42.298434,-89.096782,IL,0.77,0.54,0.933,0.785,0.0,0.0
967,NORTHWESTERN MEDICINE CENTRAL DUPAGE HOSPITAL (140242),2023,Acute Care,Voluntary non-profit - Private,375.0,41.873765,-88.158095,IL,0.227,0.514,0.336,0.0,0.829,0.0
968,COMMUNITY FIRST MEDICAL CENTER (140251),2023,Acute Care,Voluntary non-profit - Private,274.0,41.94585,-87.768287,IL,0.424,1.088,1.697,1.316,1.441,0.0
969,NORTHWEST COMMUNITY HOSPITAL 1 (140252),2023,Acute Care,Voluntary non-profit - Private,435.0,42.066604,-87.992951,IL,1.131,0.378,1.762,1.019,0.314,0.0
970,ALEXIAN BROTHERS MEDICAL CENTER 1 (140258),2023,Acute Care,Voluntary non-profit - Church,372.0,42.003705,-88.014996,IL,0.618,0.274,0.453,0.309,0.0,0.0
971,GENESIS HLTH SYSTEM DBA GENESIS MDL CTR-ILLINI (140275),2023,Acute Care,Government - Local,236.0,41.493068,-90.419997,IL,0.575,0.552,,,2.388,0.0
972,LOYOLA UNIVERSITY MEDICAL CENTER (140276),2023,Acute Care,Voluntary non-profit - Private,518.0,41.858732,-87.83321,IL,0.576,0.403,1.196,1.613,0.0,0.0
973,TRINITY ROCK ISLAND (140280),2023,Acute Care,Voluntary non-profit - Other,328.0,41.483649,-90.572799,IL,1.275,0.383,1.599,0.502,0.0,0.0
974,NORTHWESTERN MEMORIAL HOSPITAL (140281),2023,Acute Care,Voluntary non-profit - Private,896.0,41.894995,-87.621364,IL,0.686,0.744,0.918,0.431,0.728,0.0
975,NORTHWESTERN MEDICINE KISHWAUKEE HOSPITAL (140286),2023,Acute Care,Voluntary non-profit - Private,97.0,41.96188,-88.72226,IL,0.0,0.238,0.0,,1.335,0.0
976,ADVOCATE GOOD SAMARITAN HOSPITAL (140288),2023,Acute Care,Voluntary non-profit - Church,306.0,41.819137,-88.01022,IL,0.422,0.458,0.872,0.45,0.542,0.0
977,ANDERSON HOSPITAL (140289),2023,Acute Care,Voluntary non-profit - Private,147.0,38.738127,-89.946422,IL,0.768,0.546,1.255,0.928,0.0,0.0
978,ST ALEXIUS MEDICAL CENTER (140290),2023,Acute Care,Voluntary non-profit - Church,306.0,42.052409,-88.144445,IL,0.523,0.27,0.611,0.221,0.908,0.0
979,ADVOCATE GOOD SHEPHERD HOSPITAL (140291),2023,Acute Care,Voluntary non-profit - Church,168.0,42.193415,-88.177959,IL,0.37,0.096,0.0,0.0,1.015,0.0
980,ADVENTIST GLENOAKS (140292),2023,Acute Care,Voluntary non-profit - Other,139.0,41.915166,-88.058597,IL,0.664,0.316,0.423,0.0,,0.0
981,CROSSROADS COMMUNITY HOSPITAL (140294),2023,Acute Care,Proprietary,48.0,38.312314,-88.936788,IL,,,,,,0.0
982,PROVIDENT HOSPITAL OF CHICAGO (140300),2023,Acute Care,Government - Local,43.0,41.802158,-87.614193,IL,,,,,,0.0
983,ADVENTHEALTH BOLINGBROOK (140304),2023,Acute Care,Voluntary non-profit - Private,136.0,41.679388,-88.083883,IL,0.419,0.331,2.449,,0.0,0.0
984,JOHNSON MEMORIAL HOSPITAL (150001),2023,Acute Care,Government - Local,83.0,39.480598,-86.076663,IN,,0.156,,,,0.0
985,METHODIST HOSPITALS INC (150002),2023,Acute Care,Voluntary non-profit - Private,490.0,41.599436,-87.357023,IN,0.398,0.682,1.357,0.489,0.98,0.0
986,FRANCISCAN HEALTH HAMMOND (150004),2023,Acute Care,Voluntary non-profit - Church,214.0,41.61449,-87.52201,IN,5.394,0.934,0.766,,,0.0
987,HENDRICKS REGIONAL HEALTH (150005),2023,Acute Care,Government - Local,128.0,39.76071,-86.500995,IN,1.101,1.036,0.63,0.0,1.364,0.0
988,NORTHWEST HEALTH-LA PORTE (150006),2023,Acute Care,Voluntary non-profit - Private,143.0,41.609838,-86.723855,IN,1.431,0.469,1.958,,0.0,0.0
989,COMMUNITY HOWARD REGIONAL HEALTH INC. (150007),2023,Acute Care,Voluntary non-profit - Private,119.0,40.446835,-86.127103,IN,0.0,0.557,,0.918,0.527,0.0
990,ST CATHERINE HOSPITAL INC (150008),2023,Acute Care,Voluntary non-profit - Private,188.0,41.634064,-87.448542,IN,2.27,0.966,2.845,0.932,0.847,0.0
991,CLARK MEMORIAL HOSPITAL (150009),2023,Acute Care,Voluntary non-profit - Other,176.0,38.282784,-85.749248,IN,2.157,0.671,1.404,0.589,0.286,0.0
992,ASCENSION ST VINCENT KOKOMO (150010),2023,Acute Care,Voluntary non-profit - Church,144.0,40.487218,-86.155487,IN,1.592,0.494,4.353,,0.0,0.0
993,MARION GENERAL HOSPITAL (150011),2023,Acute Care,Voluntary non-profit - Private,119.0,40.563853,-85.665139,IN,1.086,1.125,,,0.0,0.0
994,SAINT JOSEPH REGIONAL MEDICAL CENTER (150012),2023,Acute Care,Voluntary non-profit - Private,286.0,41.704501,-86.174459,IN,0.097,0.248,0.268,0.408,0.255,0.0
995,FRANCISCAN HEALTH MICHIGAN CITY (150015),2023,Acute Care,Voluntary non-profit - Church,160.0,,,IN,0.519,0.835,1.412,1.404,0.98,0.0
996,LUTHERAN HOSPITAL OF INDIANA (150017),2023,Acute Care,Proprietary,389.0,41.037374,-85.245885,IN,0.425,0.471,0.914,0.364,0.796,0.0
997,ELKHART GENERAL HOSPITAL (150018),2023,Acute Care,Government - Local,261.0,41.678761,-85.991833,IN,0.604,0.563,0.233,0.551,1.775,0.0
998,PARKVIEW REGIONAL MEDICAL CENTER (150021),2023,Acute Care,Voluntary non-profit - Private,713.0,41.187063,-85.09946,IN,0.864,0.529,0.684,0.272,0.951,0.0
999,FRANCISCAN HEALTH CRAWFORDSVILLE (150022),2023,Acute Care,Voluntary non-profit - Church,42.0,40.066073,-86.908085,IN,,0.553,,,,0.0
1000,UNION HOSPITAL INC (150023),2023,Acute Care,Voluntary non-profit - Other,278.0,39.484862,-87.407085,IN,0.224,0.495,0.68,1.032,0.181,0.0
1001,ESKENAZI HEALTH (150024),2023,Acute Care,Government - Local,325.0,39.78053,-86.17345,IN,0.673,0.286,0.52,2.144,1.102,0.0
1002,GOSHEN HOSPITAL (150026),2023,Acute Care,Voluntary non-profit - Private,118.0,41.564326,-85.829995,IN,0.375,0.795,0.416,0.938,1.072,0.0
1003,HENRY COUNTY MEMORIAL HOSPITAL (150030),2023,Acute Care,Government - Local,61.0,39.942474,-85.36501,IN,0.0,0.473,,,,0.0
1004,ST MARY MEDICAL CENTER INC (150034),2023,Acute Care,Voluntary non-profit - Private,198.0,41.512654,-87.258902,IN,0.781,0.654,0.242,0.0,0.496,0.0
1005,NORTHWEST HEALTH - PORTER (150035),2023,Acute Care,Proprietary,251.0,41.55007,-87.051316,IN,0.443,0.402,0.629,1.005,1.482,0.0
1006,HANCOCK REGIONAL HOSPITAL (150037),2023,Acute Care,Government - Local,88.0,39.794952,-85.769604,IN,,0.602,,,,0.0
1007,GOOD SAMARITAN HOSPITAL (150042),2023,Acute Care,Voluntary non-profit - Other,187.0,38.67292,-87.534213,IN,0.331,0.333,1.846,1.34,0.0,0.0
1008,BAPTIST HEALTH FLOYD (150044),2023,Acute Care,Government - Local,221.0,38.300506,-85.83508,IN,1.262,0.494,1.322,1.687,1.382,0.0
1009,PARKVIEW DEKALB HOSPITAL (150045),2023,Acute Care,Voluntary non-profit - Private,49.0,41.367669,-85.035573,IN,,0.0,,,,0.0
1010,TERRE HAUTE REGIONAL HOSPITAL (150046),2023,Acute Care,Proprietary,195.0,39.419624,-87.406837,IN,0.0,0.558,0.0,,0.0,0.0
1011,"ST JOSEPH HEALTH SYSTEM, LLC (150047)",2023,Acute Care,Proprietary,136.0,41.078891,-85.148873,IN,,0.0,,,,0.0
1012,REID HEALTH (150048),2023,Acute Care,Voluntary non-profit - Private,220.0,39.86303,-84.887765,IN,0.212,0.531,0.898,0.744,0.251,0.0
1013,INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL (150051),2023,Acute Care,Voluntary non-profit - Private,266.0,39.161402,-86.540528,IN,0.0,0.125,0.272,0.0,1.073,0.0
1014,INDIANA UNIVERSITY HEALTH (150056),2023,Acute Care,Voluntary non-profit - Private,1296.0,39.790571,-86.165259,IN,0.449,0.531,0.907,1.054,1.066,0.0
1015,FRANCISCAN HEALTH MOORESVILLE (150057),2023,Acute Care,Voluntary non-profit - Church,87.0,39.609322,-86.356098,IN,1.844,0.22,,,0.931,0.0
1016,MEMORIAL HOSPITAL OF SOUTH BEND (150058),2023,Acute Care,Voluntary non-profit - Private,445.0,41.683711,-86.25057,IN,0.622,0.247,0.695,0.943,1.476,0.0
1017,RIVERVIEW HEALTH (150059),2023,Acute Care,Government - Local,153.0,40.047026,-86.024081,IN,2.945,0.491,2.964,,6.285,0.0
1018,DAVIESS COMMUNITY HOSPITAL (150061),2023,Acute Care,Voluntary non-profit - Other,74.0,38.658695,-87.160319,IN,,0.0,,,,0.0
1019,SCHNECK MEDICAL CENTER (150065),2023,Acute Care,Government - Local,89.0,38.956734,-85.891356,IN,,1.084,,,0.824,0.0
1020,NORTON-KING'S DAUGHTERS' HEALTH (150069),2023,Acute Care,Voluntary non-profit - Private,78.0,,,IN,0.583,0.796,,,,0.0
1021,MEMORIAL HOSPITAL (150072),2023,Acute Care,Government - Local,64.0,40.762465,-86.361246,IN,,0.0,,,,0.0
1022,COMMUNITY HOSPITAL EAST (150074),2023,Acute Care,Voluntary non-profit - Private,312.0,39.787241,-86.073803,IN,0.59,0.504,0.956,0.89,2.002,0.0
1023,BLUFFTON REGIONAL MEDICAL CENTER (150075),2023,Acute Care,Proprietary,68.0,40.737645,-85.171494,IN,,0.0,,,,0.0
1024,SAINT JOSEPH REGIONAL MEDICAL CENTER - PLYMOUTH (150076),2023,Acute Care,Voluntary non-profit - Church,45.0,41.335555,-86.331756,IN,,0.0,,,,0.0
1025,DEACONESS HOSPITAL INC (150082),2023,Acute Care,Voluntary non-profit - Private,525.0,37.983147,-87.570729,IN,0.49,0.364,0.724,1.585,0.805,0.0
1026,ASCENSION ST VINCENT HOSPITAL (150084),2023,Acute Care,Voluntary non-profit - Church,807.0,39.911996,-86.196008,IN,0.745,0.562,0.416,0.887,0.147,0.0
1027,ST ELIZABETH DEARBORN HOSPITAL (150086),2023,Acute Care,Government - Local,74.0,39.112922,-84.883951,IN,0.756,1.188,0.405,,0.915,0.0
1028,ASCENSION ST VINCENT ANDERSON (150088),2023,Acute Care,Voluntary non-profit - Private,207.0,40.096257,-85.680467,IN,0.822,0.341,1.023,1.056,,0.0
1029,INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL (150089),2023,Acute Care,Voluntary non-profit - Private,332.0,40.197622,-85.414363,IN,0.088,0.266,0.771,0.632,1.416,0.0
1030,FRANCISCAN HEALTH DYER (150090),2023,Acute Care,Voluntary non-profit - Private,158.0,41.494365,-87.524166,IN,2.112,0.598,1.171,0.947,1.013,0.0
1031,PARKVIEW HUNTINGTON HOSPITAL (150091),2023,Acute Care,Voluntary non-profit - Private,36.0,40.905739,-85.490603,IN,,0.564,,,,0.0
1032,MAJOR HOSPITAL (150097),2023,Acute Care,Government - Local,52.0,39.560017,-85.78397,IN,0.735,0.97,0.83,,,0.0
1033,ASCENSION ST VINCENT EVANSVILLE (150100),2023,Acute Care,Voluntary non-profit - Private,424.0,37.962408,-87.50554,IN,0.211,0.477,0.174,0.391,0.0,0.0
1034,PARKVIEW WHITLEY HOSPITAL (150101),2023,Acute Care,Voluntary non-profit - Private,57.0,41.160261,-85.466571,IN,,1.303,,,,0.0
1035,NORTHWEST HEALTH - STARKE (150102),2023,Acute Care,Proprietary,39.0,41.288064,-86.621937,IN,,,,,,0.0
1036,WITHAM HEALTH SERVICES (150104),2023,Acute Care,Government - Local,89.0,40.076909,-86.475209,IN,,0.0,,,,0.0
1037,FRANCISCAN HEALTH LAFAYETTE (150109),2023,Acute Care,Voluntary non-profit - Church,190.0,40.393845,-86.838378,IN,1.105,1.051,0.884,1.022,1.304,0.0
1038,COLUMBUS REGIONAL HOSPITAL (150112),2023,Acute Care,Government - Local,196.0,39.215872,-85.896854,IN,0.367,1.067,1.103,0.664,1.574,0.0
1039,COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY (150113),2023,Acute Care,Voluntary non-profit - Private,135.0,40.130781,-85.691569,IN,1.497,0.553,0.0,1.781,0.408,0.0
1040,MEMORIAL HOSPITAL AND HEALTH CARE CENTER (150115),2023,Acute Care,Voluntary non-profit - Church,149.0,38.393743,-86.941281,IN,,1.838,,,1.898,0.0
1041,COMMUNITY HOSPITAL (150125),2023,Acute Care,Voluntary non-profit - Private,447.0,41.549671,-87.505971,IN,1.799,0.362,0.367,0.566,0.531,0.0
1042,FRANCISCAN HEALTH CROWN POINT (150126),2023,Acute Care,Voluntary non-profit - Church,221.0,41.396497,-87.364436,IN,1.021,0.66,0.924,1.768,0.344,0.0
1043,"COMMUNITY HOSPITAL SOUTH, INC. (150128)",2023,Acute Care,Voluntary non-profit - Private,159.0,39.635538,-86.133908,IN,0.49,0.322,0.349,2.878,1.251,0.0
1044,KOSCIUSKO COMMUNITY HOSPITAL (150133),2023,Acute Care,Proprietary,72.0,41.24643,-85.82832,IN,,0.404,,,,0.0
1045,PARKVIEW NOBLE HOSPITAL (150146),2023,Acute Care,Voluntary non-profit - Private,31.0,41.448459,-85.29478,IN,,0.0,,,,0.0
1046,WOMEN'S HOSPITAL THE (150149),2023,Acute Care,Proprietary,74.0,37.973548,-87.449109,IN,,0.0,0.725,,0.499,0.0
1047,DUPONT HOSPITAL LLC (150150),2023,Acute Care,Proprietary,131.0,41.178689,-85.110603,IN,2.746,0.183,0.911,0.0,0.529,0.0
1048,ST VINCENT HEART CENTER (150153),2023,Acute Care,Proprietary,107.0,39.938311,-86.158722,IN,1.859,0.386,0.396,,,0.0
1049,ASCENSION ST VINCENT CARMEL (150157),2023,Acute Care,Voluntary non-profit - Church,144.0,39.983065,-86.14716,IN,0.0,0.656,2.83,,0.0,0.0
1050,IU HEALTH WEST HOSPITAL (150158),2023,Acute Care,Proprietary,133.0,39.782568,-86.343731,IN,0.931,0.347,1.481,0.366,1.466,0.0
1051,ORTHOINDY HOSPITAL (150160),2023,Acute Care,Physician,38.0,39.906702,-86.266258,IN,,,,,,0.0
1052,INDIANA UNIVERSITY HEALTH NORTH HOSPITAL (150161),2023,Acute Care,Proprietary,156.0,39.959275,-86.162356,IN,0.0,0.179,0.576,0.0,0.778,0.0
1053,FRANCISCAN HEALTH INDIANAPOLIS (150162),2023,Acute Care,Voluntary non-profit - Church,436.0,39.648365,-86.082674,IN,1.032,0.917,1.469,1.01,0.766,0.0
1054,FRANCISCAN HEALTH MUNSTER (150165),2023,Acute Care,Voluntary non-profit - Private,54.0,41.537258,-87.512328,IN,3.446,1.271,0.727,,1.996,0.0
1055,PINNACLE HOSPITAL (150166),2023,Acute Care,Physician,18.0,41.449118,-87.330069,IN,,,,,,0.0
1056,ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH (150167),2023,Acute Care,Voluntary non-profit - Private,37.0,41.188662,-85.103292,IN,,,,,,0.0
1057,THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR (150168),2023,Acute Care,Proprietary,39.0,41.037352,-85.245918,IN,,,,,,0.0
1058,COMMUNITY HOSPITAL NORTH (150169),2023,Acute Care,Voluntary non-profit - Private,330.0,39.900033,-86.043072,IN,1.334,0.476,0.867,1.2,1.341,0.0
1059,PHYSICIANS' MEDICAL CENTER LLC (150172),2023,Acute Care,Physician,11.0,38.340032,-85.827064,IN,,,,,,0.0
1060,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL (150173),2023,Acute Care,Voluntary non-profit - Private,180.0,40.403025,-86.807164,IN,0.399,0.119,1.101,0.769,0.768,0.0
1061,UNITY PHYSICIANS HOSPITAL (150177),2023,Acute Care,Proprietary,29.0,41.700723,-86.176781,IN,,,,,,0.0
1062,FAIRBANKS (150179),2023,Acute Care,Voluntary non-profit - Private,80.0,39.902814,-86.039284,IN,,0.0,,,,0.0
1063,ASCENSION ST VINCENT FISHERS (150181),2023,Acute Care,Voluntary non-profit - Private,46.0,39.988852,-85.918844,IN,,0.563,,,,0.0
1064,MONROE HOSPITAL (150183),2023,Acute Care,Proprietary,32.0,39.121202,-86.573323,IN,,0.0,,,,0.0
1065,FRANCISCAN HEALTH ORTHOPEDIC HOSPITAL CARMEL (150193),2023,Acute Care,Voluntary non-profit - Church,21.0,,,IN,,,,,,0.0
1066,UNITYPOINT HEALTH - MARSHALLTOWN (160001),2023,Acute Care,Voluntary non-profit - Private,60.0,42.04805,-92.905914,IA,,,,,,0.0
1067,ST ANTHONY REGIONAL HOSPITAL & NURSING HOME (160005),2023,Acute Care,Voluntary non-profit - Church,147.0,42.056982,-94.867981,IA,,0.464,,,,0.0
1068,BLESSING HEALTH KEOKUK (160008),2023,Acute Care,Voluntary non-profit - Private,50.0,40.406952,-91.388116,IA,,,,,,0.0
1069,TRINITY MUSCATINE (160013),2023,Acute Care,Voluntary non-profit - Private,39.0,41.434173,-91.052727,IA,,0.0,,,,0.0
1070,TRINITY REGIONAL MEDICAL CENTER (160016),2023,Acute Care,Voluntary non-profit - Private,70.0,42.490278,-94.191337,IA,2.647,0.835,2.242,,0.0,0.0
1071,CHI HEALTH MERCY COUNCIL BLUFFS (160028),2023,Acute Care,Voluntary non-profit - Private,168.0,41.269636,-95.838201,IA,1.045,0.291,1.635,0.74,0.0,0.0
1072,MERCY HOSPITAL (160029),2023,Acute Care,Voluntary non-profit - Church,220.0,41.663541,-91.528653,IA,0.503,0.746,2.222,,0.822,0.0
1073,MARY GREELEY MEDICAL CENTER (160030),2023,Acute Care,Government - Local,207.0,42.032391,-93.610624,IA,1.397,1.209,1.931,1.093,0.799,0.0
1074,MERCYONE NEWTON MEDICAL CENTER (160032),2023,Acute Care,Government - Local,48.0,41.702413,-93.051177,IA,,,,,,0.0
1075,GENESIS MEDICAL CENTER-DAVENPORT (160033),2023,Acute Care,Voluntary non-profit - Other,324.0,41.542837,-90.556958,IA,0.743,0.385,1.979,1.292,1.052,0.0
1076,"SARTORI MEMORIAL HOSPITAL, INC (160040)",2023,Acute Care,Voluntary non-profit - Church,50.0,42.533922,-92.455969,IA,,1.622,,,,0.0
1077,ST LUKES HOSPITAL (160045),2023,Acute Care,Voluntary non-profit - Private,342.0,41.985632,-91.659013,IA,0.877,0.251,0.148,0.605,0.0,0.0
1078,METHODIST JENNIE EDMUNDSON (160047),2023,Acute Care,Voluntary non-profit - Private,112.0,41.268309,-95.836128,IA,2.561,1.024,0.688,1.224,2.017,0.0
1079,SOUTHEAST IOWA REGIONAL MEDICAL CENTER (160057),2023,Acute Care,Voluntary non-profit - Private,320.0,40.807369,-91.170278,IA,0.454,0.896,0.0,0.0,0.579,0.0
1080,UNIVERSITY OF IOWA HOSPITAL & CLINICS (160058),2023,Acute Care,Government - State,741.0,41.661203,-91.550759,IA,0.897,0.417,0.69,0.693,0.723,0.0
1081,MERCYONE NORTH IOWA MEDICAL CENTER (160064),2023,Acute Care,Voluntary non-profit - Church,218.0,43.148377,-93.216102,IA,1.024,0.124,1.851,0.681,0.0,0.0
1082,MERCYONE WATERLOO MEDICAL CENTER (160067),2023,Acute Care,Voluntary non-profit - Private,214.0,42.463867,-92.345787,IA,0.903,0.826,2.795,1.003,0.876,0.0
1083,MERCYONE DUBUQUE MEDICAL CENTER (160069),2023,Acute Care,Voluntary non-profit - Church,197.0,42.493145,-90.67435,IA,0.917,0.082,0.954,0.0,0.678,0.0
1084,MERCY MEDICAL CENTER - CEDAR RAPIDS (160079),2023,Acute Care,Voluntary non-profit - Church,302.0,41.978904,-91.654798,IA,0.133,0.285,0.499,0.854,0.634,0.0
1085,MERCYONE CLINTON MEDICAL CENTER (160080),2023,Acute Care,Voluntary non-profit - Private,192.0,41.860543,-90.188155,IA,0.989,0.233,,,0.0,0.0
1086,UNITYPOINT HEALTH - DES MOINES IOWA METHODIST MEDI (160082),2023,Acute Care,Voluntary non-profit - Private,505.0,41.590777,-93.633131,IA,1.012,0.654,1.11,1.227,0.589,0.0
1087,MERCYONE DES MOINES MEDICAL CENTER (160083),2023,Acute Care,Voluntary non-profit - Private,592.0,41.599577,-93.625702,IA,0.617,0.532,0.929,0.95,0.348,0.0
1088,OTTUMWA REGIONAL HEALTH CENTER (160089),2023,Acute Care,Proprietary,115.0,,,IA,0.0,0.841,,,,0.0
1089,BROADLAWNS MEDICAL CENTER (160101),2023,Acute Care,Government - Local,111.0,41.615097,-93.641155,IA,0.0,0.655,1.951,,,0.0
1090,TRINITY - BETTENDORF (160104),2023,Acute Care,Voluntary non-profit - Private,79.0,41.566105,-90.51736,IA,1.043,0.166,4.01,,0.306,0.0
1091,ALLEN HOSPITAL (160110),2023,Acute Care,Voluntary non-profit - Private,200.0,42.525753,-92.337758,IA,0.696,0.417,1.2,0.452,0.652,0.0
1092,SPENCER MUNICIPAL HOSPITAL (160112),2023,Acute Care,Government - Local,70.0,43.150009,-95.143842,IA,,0.75,,,1.772,0.0
1093,FINLEY HOSPITAL (160117),2023,Acute Care,Voluntary non-profit - Private,108.0,42.495413,-90.687573,IA,0.404,0.309,1.542,,0.0,0.0
1094,LAKES REGIONAL HEALTHCARE (160124),2023,Acute Care,Voluntary non-profit - Other,44.0,43.418396,-95.126312,IA,,0.0,,,,0.0
1095,ST LUKES REGIONAL MEDICAL CENTER (160146),2023,Acute Care,Voluntary non-profit - Private,183.0,42.5186,-96.406029,IA,0.563,0.337,1.504,0.387,0.273,0.0
1096,GRINNELL REGIONAL MEDICAL CENTER (160147),2023,Acute Care,Voluntary non-profit - Private,45.0,41.743278,-92.734728,IA,,1.022,,,,0.0
1097,MERCYONE SIOUXLAND MEDICAL CENTER (160153),2023,Acute Care,Voluntary non-profit - Private,205.0,42.495329,-96.400061,IA,0.0,0.659,2.474,1.017,0.0,0.0
1098,VIA CHRISTI HOSPITAL PITTSBURG INC (170006),2023,Acute Care,Voluntary non-profit - Private,92.0,37.38153,-94.68385,KS,,0.0,,,,0.0
1099,SAINT JOHN HOSPITAL (170009),2023,Acute Care,Voluntary non-profit - Other,63.0,39.283683,-94.903472,KS,,0.0,,,,0.0
1100,SALINA REGIONAL HEALTH CENTER (170012),2023,Acute Care,Voluntary non-profit - Private,205.0,38.833271,-97.610525,KS,0.0,0.891,0.562,0.67,0.0,0.0
1101,HAYS MEDICAL CENTER (170013),2023,Acute Care,Voluntary non-profit - Other,143.0,38.879604,-99.299273,KS,,0.47,0.0,,0.0,0.0
1102,ADVENTHEALTH OTTAWA (170014),2023,Acute Care,Government - Local,46.0,38.597285,-95.268759,KS,,0.566,,,,0.0
1103,UNIVERSITY OF KANSAS HEALTH SYSTEM - ST FRANCIS CAMPUS (170016),2023,Acute Care,Voluntary non-profit - Church,269.0,39.056107,-95.696692,KS,1.066,0.406,0.0,0.0,0.632,0.0
1104,SUSAN B ALLEN MEMORIAL HOSPITAL (170017),2023,Acute Care,Voluntary non-profit - Private,46.0,37.817438,-96.858795,KS,,1.051,,,,0.0
1105,HUTCHINSON REGIONAL MEDICAL CENTER INC (170020),2023,Acute Care,Proprietary,173.0,38.079485,-97.892275,KS,0.447,0.292,0.0,,0.611,0.0
1106,CENTURA ST. CATHERINE HOSPITAL-GARDEN CITY (170023),2023,Acute Care,Voluntary non-profit - Private,98.0,37.968871,-100.868615,KS,0.0,0.161,3.526,,0.0,0.0
1107,PRATT REGIONAL MEDICAL CENTER (170027),2023,Acute Care,Voluntary non-profit - Private,83.0,37.645365,-98.729367,KS,,0.0,,,,0.0
1108,UNIVERSITY OF KANSAS HOSPITAL (170040),2023,Acute Care,Government - Hospital District or Authority,770.0,39.055395,-94.608229,KS,0.737,0.858,0.732,0.808,1.09,0.0
1109,OLATHE MEDICAL CENTER (170049),2023,Acute Care,Voluntary non-profit - Private,246.0,38.854524,-94.823673,KS,0.0,0.61,0.856,0.402,0.665,0.0
