,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI Score,CLABSI Score,PSI-90 Score,Domain 1 Score,Domain 2 Score,Total HAC Score
671,PLANTATION GENERAL HOSPITAL (100167),2015,Acute Care,Proprietary,626.0,26.126461,-80.20417,FL,7.0,6.0,5.0,5.0,6.5,5.975
672,BOCA RATON REGIONAL HOSPITAL (100168),2015,Acute Care,Voluntary non-profit - Private,367.0,26.359599,-80.102211,FL,5.0,6.0,4.0,4.0,5.5,4.975
673,FLORIDA HOSPITAL TAMPA (100173),2015,Acute Care,Voluntary non-profit - Private,518.0,28.069226,-82.424525,FL,7.0,8.0,3.0,3.0,7.5,5.925
674,DESOTO MEMORIAL HOSPITAL (100175),2015,Acute Care,Voluntary non-profit - Private,49.0,27.227388,-81.851675,FL,6.0,,5.0,5.0,6.0,5.65
675,PALM BEACH GARDENS MEDICAL CENTER (100176),2015,Acute Care,Proprietary,199.0,26.830685,-80.085388,FL,2.0,3.0,9.0,9.0,2.5,4.775
676,CAPE CANAVERAL HOSPITAL (100177),2015,Acute Care,Voluntary non-profit - Private,150.0,28.357879,-80.622733,FL,4.0,1.0,8.0,8.0,2.5,4.425
677,MEMORIAL HOSPITAL JACKSONVILLE (100179),2015,Acute Care,Proprietary,421.0,30.287633,-81.602405,FL,10.0,4.0,8.0,8.0,7.0,7.35
678,ST PETERSBURG GENERAL HOSPITAL (100180),2015,Acute Care,Proprietary,174.0,27.806299,-82.727297,FL,10.0,10.0,3.0,3.0,10.0,7.55
679,LARKIN COMMUNITY HOSPITAL (100181),2015,Acute Care,Proprietary,125.0,25.705493,-80.293469,FL,1.0,8.0,2.0,2.0,4.5,3.625
680,CORAL GABLES HOSPITAL (100183),2015,Acute Care,Proprietary,245.0,,,FL,5.0,10.0,1.0,1.0,7.5,5.225
681,PALMETTO GENERAL HOSPITAL (100187),2015,Acute Care,Proprietary,338.0,25.884168,-80.324568,FL,8.0,8.0,6.0,6.0,8.0,7.3
682,NORTHWEST MEDICAL CENTER (100189),2015,Acute Care,Proprietary,245.0,26.262903,-80.201905,FL,10.0,9.0,2.0,2.0,9.5,6.875
683,MEDICAL CENTER OF TRINITY (100191),2015,Acute Care,Proprietary,301.0,28.206014,-82.660964,FL,5.0,5.0,8.0,8.0,5.0,6.05
684,BROWARD HEALTH IMPERIAL POINT (100200),2015,Acute Care,Government - Hospital District or Authority,187.0,26.206881,-80.108057,FL,9.0,10.0,3.0,3.0,9.5,7.225
685,NORTH FLORIDA REGIONAL MEDICAL CENTER (100204),2015,Acute Care,Proprietary,411.0,29.659699,-82.411597,FL,9.0,10.0,1.0,1.0,9.5,6.525
686,MEMORIAL HOSPITAL OF TAMPA (100206),2015,Acute Care,Proprietary,236.0,27.937443,-82.489816,FL,3.0,5.0,6.0,6.0,4.0,4.7
687,KENDALL REGIONAL MEDICAL CENTER (100209),2015,Acute Care,Proprietary,423.0,,,FL,10.0,9.0,7.0,7.0,9.5,8.625
688,BAYFRONT HEALTH DADE CITY (100211),2015,Acute Care,Proprietary,120.0,28.348587,-82.201685,FL,4.0,10.0,3.0,3.0,7.0,5.6
689,OCALA REGIONAL MEDICAL CENTER (100212),2015,Acute Care,Proprietary,351.0,29.174744,-82.137839,FL,3.0,5.0,2.0,2.0,4.0,3.3
690,BLAKE MEDICAL CENTER (100213),2015,Acute Care,Proprietary,382.0,27.482176,-82.620468,FL,7.0,2.0,5.0,5.0,4.5,4.675
691,SEBASTIAN RIVER MEDICAL CENTER (100217),2015,Acute Care,Proprietary,156.0,27.844359,-80.488128,FL,7.0,6.0,3.0,3.0,6.5,5.275
692,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM (100220),2015,Acute Care,Government - Hospital District or Authority,440.0,26.543016,-81.848589,FL,9.0,8.0,10.0,10.0,8.5,9.025
693,FORT WALTON BEACH MEDICAL CENTER (100223),2015,Acute Care,Proprietary,260.0,30.454676,-86.632069,FL,2.0,6.0,5.0,5.0,4.0,4.35
694,UNIVERSITY HOSPITAL AND MEDICAL CENTER (100224),2015,Acute Care,Proprietary,311.0,26.211385,-80.252543,FL,2.0,6.0,6.0,6.0,4.0,4.7
695,ORANGE PARK MEDICAL CENTER (100226),2015,Acute Care,Voluntary non-profit - Other,306.0,30.164807,-81.738598,FL,7.0,10.0,1.0,1.0,8.5,5.875
696,WESTSIDE REGIONAL MEDICAL CENTER (100228),2015,Acute Care,Proprietary,231.0,26.120882,-80.258429,FL,6.0,9.0,4.0,4.0,7.5,6.275
697,MEMORIAL HOSPITAL PEMBROKE (100230),2015,Acute Care,Government - Hospital District or Authority,268.0,26.030929,-80.24612,FL,6.0,7.0,3.0,3.0,6.5,5.275
698,WEST FLORIDA HOSPITAL (100231),2015,Acute Care,Proprietary,476.0,30.515161,-87.21692,FL,6.0,7.0,2.0,2.0,6.5,4.925
699,PUTNAM COMMUNITY MEDICAL CENTER (100232),2015,Acute Care,Proprietary,96.0,29.642378,-81.693518,FL,9.0,9.0,1.0,1.0,9.0,6.2
700,WEST PALM HOSPITAL (100234),2015,Acute Care,Proprietary,242.0,,,FL,5.0,8.0,2.0,2.0,6.5,4.925
701,FAWCETT MEMORIAL HOSPITAL (100236),2015,Acute Care,Proprietary,242.0,26.987872,-82.097729,FL,4.0,8.0,6.0,6.0,6.0,6.0
702,NORTHSIDE HOSPITAL (100238),2015,Acute Care,Proprietary,220.0,27.826053,-82.700001,FL,8.0,9.0,4.0,4.0,8.5,6.925
703,EDWARD WHITE HOSPITAL (100239),2015,Acute Care,Proprietary,124.0,,,FL,1.0,4.0,3.0,3.0,2.5,2.675
704,ANNE BATES LEACH EYE HOSPITAL (100240),2015,Acute Care,Voluntary non-profit - Private,56.0,,,FL,,,6.0,6.0,,6.0
705,GULF COAST REGIONAL MEDICAL CENTER (100242),2015,Acute Care,Proprietary,210.0,30.189682,-85.666124,FL,1.0,3.0,5.0,5.0,2.0,3.05
706,BRANDON REGIONAL HOSPITAL (100243),2015,Acute Care,Proprietary,417.0,27.934002,-82.288303,FL,6.0,10.0,3.0,3.0,8.0,6.25
707,CAPE CORAL HOSPITAL (100244),2015,Acute Care,Government - Hospital District or Authority,289.0,26.639321,-81.940946,FL,5.0,7.0,10.0,10.0,6.0,7.4
708,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE (100246),2015,Acute Care,Proprietary,381.0,27.431942,-80.347352,FL,2.0,4.0,3.0,3.0,3.0,3.0
709,LARGO MEDICAL CENTER (100248),2015,Acute Care,Proprietary,364.0,27.914914,-82.802671,FL,2.0,2.0,9.0,9.0,2.0,4.45
710,SEVEN RIVERS REGIONAL MEDICAL CENTER (100249),2015,Acute Care,Proprietary,126.0,28.950896,-82.625866,FL,5.0,1.0,5.0,5.0,3.0,3.7
711,RAULERSON HOSPITAL (100252),2015,Acute Care,Proprietary,100.0,27.260537,-80.829875,FL,3.0,1.0,1.0,1.0,2.0,1.65
712,JUPITER MEDICAL CENTER (100253),2015,Acute Care,Voluntary non-profit - Private,200.0,26.922824,-80.094539,FL,5.0,6.0,10.0,10.0,5.5,7.075
713,CAPITAL REGIONAL MEDICAL CENTER (100254),2015,Acute Care,Proprietary,249.0,30.475376,-84.230728,FL,6.0,8.0,6.0,6.0,7.0,6.65
714,TAMPA COMMUNITY HOSPITAL (100255),2015,Acute Care,Proprietary,208.0,,,FL,1.0,5.0,9.0,9.0,3.0,5.1
715,REGIONAL MEDICAL CENTER BAYONET POINT (100256),2015,Acute Care,Proprietary,283.0,28.360743,-82.690148,FL,7.0,8.0,1.0,1.0,7.5,5.225
716,DELRAY MEDICAL CENTER (100258),2015,Acute Care,Proprietary,480.0,26.439246,-80.127919,FL,2.0,2.0,1.0,1.0,2.0,1.65
717,SOUTH BAY HOSPITAL (100259),2015,Acute Care,Proprietary,124.0,27.71239,-82.365168,FL,1.0,8.0,10.0,10.0,4.5,6.425
718,ST LUCIE MEDICAL CENTER (100260),2015,Acute Care,Proprietary,225.0,27.288027,-80.29591,FL,2.0,3.0,5.0,5.0,2.5,3.375
719,OAK HILL HOSPITAL (100264),2015,Acute Care,Voluntary non-profit - Other,279.0,28.533305,-82.534495,FL,3.0,3.0,3.0,3.0,3.0,3.0
720,MEASE COUNTRYSIDE HOSPITAL (100265),2015,Acute Care,Voluntary non-profit - Private,313.0,28.040326,-82.708971,FL,4.0,5.0,6.0,6.0,4.5,5.025
721,GULF BREEZE HOSPITAL (100266),2015,Acute Care,Voluntary non-profit - Other,66.0,30.358649,-87.156803,FL,7.0,6.0,1.0,1.0,6.5,4.575
722,ENGLEWOOD COMMUNITY HOSPITAL (100267),2015,Acute Care,Proprietary,100.0,26.949009,-82.327951,FL,1.0,1.0,1.0,1.0,1.0,1.0
723,WEST BOCA MEDICAL CENTER (100268),2015,Acute Care,Proprietary,195.0,26.354571,-80.203236,FL,6.0,5.0,2.0,2.0,5.5,4.275
724,PALMS WEST HOSPITAL (100269),2015,Acute Care,Proprietary,199.0,26.681928,-80.251439,FL,2.0,6.0,4.0,4.0,4.0,4.0
725,WELLINGTON REGIONAL MEDICAL CENTER (100275),2015,Acute Care,Proprietary,222.0,26.650806,-80.204858,FL,6.0,7.0,1.0,1.0,6.5,4.575
726,BROWARD HEALTH CORAL SPRINGS (100276),2015,Acute Care,Government - Hospital District or Authority,204.0,26.268779,-80.254161,FL,10.0,10.0,8.0,8.0,10.0,9.3
727,DOUGLAS GARDENS HOSPITAL (100277),2015,Acute Care,Voluntary non-profit - Private,457.0,25.822972,-80.191767,FL,,,7.0,7.0,,7.0
728,MEMORIAL HOSPITAL WEST (100281),2015,Acute Care,Government - Hospital District or Authority,415.0,26.013281,-80.309457,FL,7.0,5.0,7.0,7.0,6.0,6.35
729,WESTCHESTER GENERAL HOSPITAL (100284),2015,Acute Care,Proprietary,158.0,25.74804,-80.317224,FL,1.0,1.0,2.0,2.0,1.0,1.35
730,MEMORIAL HOSPITAL MIRAMAR (100285),2015,Acute Care,Voluntary non-profit - Other,178.0,25.991087,-80.376005,FL,6.0,6.0,6.0,6.0,6.0,6.0
731,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE (100286),2015,Acute Care,Proprietary,207.0,26.211764,-81.730707,FL,7.0,10.0,3.0,3.0,8.5,6.575
732,GOOD SAMARITAN MEDICAL CENTER (100287),2015,Acute Care,Proprietary,333.0,26.725062,-80.049968,FL,5.0,6.0,4.0,4.0,5.5,4.975
733,ST MARY'S MEDICAL CENTER (100288),2015,Acute Care,Proprietary,456.0,26.753208,-80.062803,FL,5.0,4.0,5.0,5.0,4.5,4.675
734,CLEVELAND CLINIC HOSPITAL (100289),2015,Acute Care,Proprietary,187.0,26.080401,-80.365467,FL,2.0,1.0,3.0,3.0,1.5,2.025
735,"VILLAGES REGIONAL HOSPITAL, THE (100290)",2015,Acute Care,Voluntary non-profit - Private,271.0,28.94944,-81.958131,FL,10.0,7.0,3.0,3.0,8.5,6.575
736,WUESTHOFF MEDICAL CENTER - MELBOURNE (100291),2015,Acute Care,Voluntary non-profit - Private,109.0,28.109804,-80.67261,FL,6.0,10.0,6.0,6.0,8.0,7.3
737,SACRED HEART HOSPITAL ON THE EMERALD COAST (100292),2015,Acute Care,Voluntary non-profit - Other,62.0,30.376819,-86.306823,FL,6.0,7.0,1.0,1.0,6.5,4.575
738,DOCTORS HOSPITAL INC (100296),2015,Acute Care,Voluntary non-profit - Other,256.0,25.724611,-80.273181,FL,1.0,8.0,9.0,9.0,4.5,6.075
739,LAKEWOOD RANCH MEDICAL CENTER (100299),2015,Acute Care,Proprietary,123.0,27.392671,-82.434725,FL,6.0,7.0,2.0,2.0,6.5,4.925
740,ST CLOUD REGIONAL MEDICAL CENTER (100302),2015,Acute Care,Proprietary,84.0,28.242414,-81.302658,FL,2.0,10.0,9.0,9.0,6.0,7.05
741,ST VINCENT'S MEDICAL CENTER SOUTHSIDE (100307),2015,Acute Care,Voluntary non-profit - Private,298.0,30.253096,-81.584126,FL,4.0,3.0,5.0,5.0,3.5,4.025
742,SACRED HEART HOSPITAL ON THE GULF (100313),2015,Acute Care,Voluntary non-profit - Private,19.0,29.776562,-85.287605,FL,,,5.0,5.0,,5.0
743,WEST KENDALL BAPTIST HOSPITAL (100314),2015,Acute Care,Voluntary non-profit - Private,132.0,25.679344,-80.456967,FL,3.0,6.0,9.0,9.0,4.5,6.075
744,VIERA HOSPITAL (100315),2015,Acute Care,Voluntary non-profit - Private,84.0,28.229812,-80.729434,FL,1.0,4.0,8.0,8.0,2.5,4.425
745,PALM BAY HOSPITAL (100316),2015,Acute Care,Proprietary,139.0,27.99833,-80.61208,FL,7.0,4.0,7.0,7.0,5.5,6.025
746,FLORIDA HOSPITAL WESLEY CHAPEL (100319),2015,Acute Care,Voluntary non-profit - Private,126.0,28.193718,-82.353402,FL,1.0,5.0,8.0,8.0,3.0,4.75
747,HAMILTON MEDICAL CENTER (110001),2015,Acute Care,Voluntary non-profit - Private,253.0,34.788884,-84.983657,GA,6.0,8.0,7.0,7.0,7.0,7.0
748,UPSON REGIONAL MEDICAL CENTER (110002),2015,Acute Care,Voluntary non-profit - Other,106.0,32.887252,-84.336109,GA,1.0,1.0,2.0,2.0,1.0,1.35
749,"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC (110003)",2015,Acute Care,Voluntary non-profit - Private,251.0,31.226007,-82.349239,GA,9.0,8.0,7.0,7.0,8.5,7.975
750,HUTCHESON MEDICAL CENTER (110004),2015,Acute Care,Government - Hospital District or Authority,241.0,,,GA,10.0,1.0,10.0,10.0,5.5,7.075
751,NORTHSIDE HOSPITAL FORSYTH (110005),2015,Acute Care,Voluntary non-profit - Private,265.0,34.178588,-84.139246,GA,7.0,3.0,8.0,8.0,5.0,6.05
752,ST MARY'S HOSPITAL (110006),2015,Acute Care,Voluntary non-profit - Private,262.0,33.945929,-83.404467,GA,3.0,1.0,2.0,2.0,2.0,2.0
753,PHOEBE PUTNEY MEMORIAL HOSPITAL (110007),2015,Acute Care,Government - Hospital District or Authority,478.0,31.590229,-84.156267,GA,9.0,9.0,1.0,1.0,9.0,6.2
754,NORTHSIDE HOSPITAL CHEROKEE (110008),2015,Acute Care,Voluntary non-profit - Other,123.0,34.227523,-84.460562,GA,3.0,3.0,9.0,9.0,3.0,5.1
755,EMORY UNIVERSITY HOSPITAL (110010),2015,Acute Care,Voluntary non-profit - Private,612.0,33.791881,-84.320977,GA,9.0,7.0,8.0,8.0,8.0,8.0
756,TANNER MEDICAL CENTER - CARROLLTON (110011),2015,Acute Care,Government - Hospital District or Authority,175.0,33.570555,-85.072464,GA,7.0,1.0,1.0,1.0,4.0,2.95
757,TANNER MEDICAL CENTER VILLA RICA (110015),2015,Acute Care,Government - Hospital District or Authority,118.0,33.742992,-84.919477,GA,4.0,1.0,6.0,6.0,2.5,3.725
758,WEST GEORGIA MEDICAL CENTER (110016),2015,Acute Care,Government - Hospital District or Authority,456.0,33.031301,-85.056671,GA,3.0,1.0,1.0,1.0,2.0,1.65
759,NEWTON MEDICAL CENTER (110018),2015,Acute Care,Voluntary non-profit - Private,92.0,33.602673,-83.848082,GA,7.0,6.0,3.0,3.0,6.5,5.275
760,GORDON HOSPITAL (110023),2015,Acute Care,Voluntary non-profit - Church,69.0,34.511878,-84.92537,GA,1.0,1.0,1.0,1.0,1.0,1.0
761,CANDLER HOSPITAL (110024),2015,Acute Care,Voluntary non-profit - Other,260.0,32.027361,-81.101731,GA,10.0,6.0,9.0,9.0,8.0,8.35
762,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS (110025),2015,Acute Care,Government - Hospital District or Authority,308.0,31.173785,-81.484516,GA,5.0,10.0,2.0,2.0,7.5,5.575
763,ELBERT MEMORIAL HOSPITAL (110026),2015,Acute Care,Government - Hospital District or Authority,52.0,34.113068,-82.875601,GA,,,7.0,7.0,,7.0
764,"TY COBB REGIONAL MEDICAL CENTER, LLC (110027)",2015,Acute Care,Voluntary non-profit - Private,80.0,34.439485,-83.130855,GA,,,2.0,2.0,,2.0
765,UNIVERSITY HOSPITAL (110028),2015,Acute Care,Voluntary non-profit - Other,530.0,33.472989,-81.981332,GA,6.0,9.0,2.0,2.0,7.5,5.575
766,"NORTHEAST GEORGIA MEDICAL CENTER, INC (110029)",2015,Acute Care,Government - Local,856.0,34.30335,-83.81737,GA,6.0,3.0,2.0,2.0,4.5,3.625
767,CARTERSVILLE MEDICAL CENTER (110030),2015,Acute Care,Voluntary non-profit - Private,116.0,,,GA,7.0,10.0,9.0,9.0,8.5,8.675
768,SPALDING REGIONAL HOSPITAL (110031),2015,Acute Care,Proprietary,160.0,33.239215,-84.265671,GA,9.0,9.0,1.0,1.0,9.0,6.2
769,STEPHENS COUNTY HOSPITAL (110032),2015,Acute Care,Government - Hospital District or Authority,75.0,34.59302,-83.347172,GA,5.0,1.0,10.0,10.0,3.0,5.45
770,MEDICAL COLLEGE OF GA HOSPITALS AND CLINICS (110034),2015,Acute Care,Voluntary non-profit - Other,481.0,33.471029,-81.991453,GA,8.0,5.0,10.0,10.0,6.5,7.725
771,WELLSTAR KENNESTONE HOSPITAL (110035),2015,Acute Care,Voluntary non-profit - Other,617.0,33.968128,-84.551241,GA,9.0,7.0,9.0,9.0,8.0,8.35
772,"MEMORIAL HEALTH UNIV MED CEN, INC (110036)",2015,Acute Care,Voluntary non-profit - Other,534.0,32.031785,-81.091827,GA,8.0,5.0,10.0,10.0,6.5,7.725
773,JOHN D ARCHBOLD MEMORIAL HOSPITAL (110038),2015,Acute Care,Voluntary non-profit - Private,328.0,,,GA,4.0,7.0,3.0,3.0,5.5,4.625
774,TRINITY HOSPITAL OF AUGUSTA (110039),2015,Acute Care,Proprietary,150.0,,,GA,5.0,9.0,5.0,5.0,7.0,6.3
775,NORTHRIDGE MEDICAL CENTER (110040),2015,Acute Care,Government - Hospital District or Authority,217.0,34.218475,-83.469116,GA,1.0,,6.0,6.0,1.0,2.75
776,HABERSHAM COUNTY MEDICAL CTR (110041),2015,Acute Care,Government - Hospital District or Authority,137.0,34.405879,-83.485989,GA,1.0,,7.0,7.0,1.0,3.1
777,WELLSTAR PAULDING HOSPITAL (110042),2015,Acute Care,Voluntary non-profit - Other,259.0,33.902429,-84.782727,GA,,,7.0,7.0,,7.0
778,ST JOSEPH'S HOSPITAL - SAVANNAH (110043),2015,Acute Care,Voluntary non-profit - Private,246.0,31.985079,-81.152792,GA,4.0,6.0,6.0,6.0,5.0,5.35
779,PHOEBE SUMTER MEDICAL CENTER (110044),2015,Acute Care,Government - Hospital District or Authority,54.0,32.06425,-84.255376,GA,4.0,,4.0,4.0,4.0,4.0
780,BARROW REGIONAL MEDICAL CENTER (110045),2015,Acute Care,Proprietary,55.0,34.007701,-83.706706,GA,1.0,,3.0,3.0,1.0,1.7
781,CLEARVIEW  REGIONAL MEDICAL CENTER (110046),2015,Acute Care,Proprietary,81.0,33.798635,-83.746316,GA,3.0,5.0,9.0,9.0,4.0,5.75
782,MURRAY MEDICAL CENTER (110050),2015,Acute Care,Voluntary non-profit - Private,28.0,34.779951,-84.782125,GA,,,5.0,5.0,,5.0
783,UNION GENERAL HOSPITAL (110051),2015,Acute Care,Government - Hospital District or Authority,190.0,34.884842,-83.963026,GA,,,9.0,9.0,,9.0
784,FLOYD MEDICAL CENTER (110054),2015,Acute Care,Government - Hospital District or Authority,293.0,34.260454,-85.179957,GA,3.0,7.0,1.0,1.0,5.0,3.6
785,MIDTOWN MEDICAL CENTER (110064),2015,Acute Care,Voluntary non-profit - Other,367.0,32.481728,-84.982008,GA,9.0,7.0,1.0,1.0,8.0,5.55
786,HOUSTON MEDICAL CENTER (110069),2015,Acute Care,Voluntary non-profit - Private,236.0,32.618198,-83.62941,GA,2.0,4.0,2.0,2.0,3.0,2.65
787,APPLING HOSPITAL (110071),2015,Acute Care,Government - Hospital District or Authority,158.0,31.768768,-82.349351,GA,1.0,,4.0,4.0,1.0,2.05
788,DORMINY MEDICAL CENTER (110073),2015,Acute Care,Government - Hospital District or Authority,60.0,31.697918,-83.260975,GA,1.0,,5.0,5.0,1.0,2.4
789,ATHENS REGIONAL MEDICAL CENTER (110074),2015,Acute Care,Voluntary non-profit - Other,350.0,33.962377,-83.397733,GA,9.0,7.0,9.0,9.0,8.0,8.35
790,EAST GEORGIA REGIONAL MEDICAL CENTER (110075),2015,Acute Care,Proprietary,146.0,32.415171,-81.76865,GA,3.0,3.0,6.0,6.0,3.0,4.05
791,DEKALB MEDICAL CENTER (110076),2015,Acute Care,Voluntary non-profit - Private,431.0,33.79216,-84.282679,GA,4.0,7.0,2.0,2.0,5.5,4.275
792,EMORY UNIVERSITY HOSPITAL MIDTOWN (110078),2015,Acute Care,Voluntary non-profit - Private,481.0,33.769592,-84.385188,GA,8.0,8.0,10.0,10.0,8.0,8.7
793,GRADY MEMORIAL HOSPITAL (110079),2015,Acute Care,Voluntary non-profit - Other,938.0,33.752156,-84.382609,GA,8.0,10.0,10.0,10.0,9.0,9.35
794,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC (110082)",2015,Acute Care,Voluntary non-profit - Private,294.0,33.908634,-84.35182,GA,8.0,3.0,10.0,10.0,5.5,7.075
795,PIEDMONT HOSPITAL (110083),2015,Acute Care,Voluntary non-profit - Private,512.0,33.808802,-84.393369,GA,10.0,10.0,10.0,10.0,10.0,10.0
796,WASHINGTON COUNTY REGIONAL MEDICAL CENTER (110086),2015,Acute Care,Government - Hospital District or Authority,115.0,32.996817,-82.805042,GA,1.0,,4.0,4.0,1.0,2.05
797,GWINNETT MEDICAL CENTER (110087),2015,Acute Care,Government - Hospital District or Authority,553.0,33.966455,-84.013012,GA,9.0,9.0,2.0,2.0,9.0,6.55
798,COFFEE REGIONAL MEDICAL CENTER (110089),2015,Acute Care,Government - Hospital District or Authority,86.0,31.509589,-82.86346,GA,1.0,7.0,4.0,4.0,4.0,4.0
799,ROCKDALE MEDICAL CENTER (110091),2015,Acute Care,Proprietary,141.0,33.682239,-84.001941,GA,1.0,10.0,2.0,2.0,5.5,4.275
800,DODGE COUNTY HOSPITAL (110092),2015,Acute Care,Government - Hospital District or Authority,49.0,32.186055,-83.178591,GA,1.0,,3.0,3.0,1.0,1.7
801,TIFT REGIONAL MEDICAL CENTER (110095),2015,Acute Care,Government - Hospital District or Authority,185.0,31.470402,-83.491076,GA,7.0,7.0,8.0,8.0,7.0,7.35
802,JEFFERSON HOSPITAL (110100),2015,Acute Care,Government - Hospital District or Authority,38.0,33.00976,-82.404384,GA,,,6.0,6.0,,6.0
803,COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR (110101),2015,Acute Care,Proprietary,134.0,31.109181,-83.426372,GA,,,6.0,6.0,,6.0
804,CRISP REGIONAL HOSPITAL (110104),2015,Acute Care,Government - Hospital District or Authority,210.0,31.977515,-83.782846,GA,7.0,10.0,10.0,10.0,8.5,9.025
805,COLQUITT REGIONAL MEDICAL CENTER (110105),2015,Acute Care,Government - Hospital District or Authority,132.0,31.126747,-83.782918,GA,2.0,9.0,6.0,6.0,5.5,5.675
806,MEDICAL CENTER OF CENTRAL GEORGIA (110107),2015,Acute Care,Government - Hospital District or Authority,615.0,32.833202,-83.636553,GA,7.0,6.0,5.0,5.0,6.5,5.975
807,EMANUEL MEDICAL CENTER (110109),2015,Acute Care,Government - Hospital District or Authority,97.0,32.59321,-82.346552,GA,,,6.0,6.0,,6.0
808,UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER (110111),2015,Acute Care,Government - Hospital District or Authority,25.0,33.523226,-82.504478,GA,,,2.0,2.0,,2.0
809,BURKE MEDICAL CENTER (110113),2015,Acute Care,Proprietary,40.0,33.083439,-82.011603,GA,,,6.0,6.0,,6.0
810,ATLANTA MEDICAL CENTER (110115),2015,Acute Care,Proprietary,517.0,33.76327,-84.373986,GA,6.0,6.0,9.0,9.0,6.0,7.05
811,GRADY GENERAL HOSPITAL (110121),2015,Acute Care,Voluntary non-profit - Private,45.0,30.863393,-84.200261,GA,,,3.0,3.0,,3.0
812,SOUTH GEORGIA MEDICAL CENTER (110122),2015,Acute Care,Government - Hospital District or Authority,312.0,30.86175,-83.288863,GA,10.0,2.0,6.0,6.0,6.0,6.0
813,WAYNE MEMORIAL HOSPITAL (110124),2015,Acute Care,Government - Hospital District or Authority,102.0,31.602952,-81.899094,GA,1.0,,3.0,3.0,1.0,1.7
814,FAIRVIEW PARK HOSPITAL (110125),2015,Acute Care,Proprietary,154.0,32.53429,-82.950571,GA,5.0,10.0,1.0,1.0,7.5,5.225
815,MEADOWS REGIONAL MEDICAL CENTER (110128),2015,Acute Care,Proprietary,64.0,,,GA,7.0,9.0,7.0,7.0,8.0,7.65
816,"ST FRANCIS HOSPITAL, INC (110129)",2015,Acute Care,Voluntary non-profit - Private,325.0,32.506927,-84.961378,GA,2.0,3.0,1.0,1.0,2.5,1.975
817,IRWIN COUNTY HOSPITAL (110130),2015,Acute Care,Government - Hospital District or Authority,64.0,31.602797,-83.250331,GA,,,9.0,9.0,,9.0
818,MEMORIAL HOSPITAL AND MANOR (110132),2015,Acute Care,Government - Hospital District or Authority,187.0,30.903781,-84.55367,GA,4.0,,2.0,2.0,4.0,3.3
819,TAYLOR REGIONAL HOSPITAL (110135),2015,Acute Care,Voluntary non-profit - Private,128.0,32.295625,-83.48581,GA,6.0,,8.0,8.0,6.0,6.7
820,EVANS MEMORIAL HOSPITAL (110142),2015,Acute Care,Government - Hospital District or Authority,79.0,32.164133,-81.900403,GA,,,5.0,5.0,,5.0
821,WELLSTAR COBB HOSPITAL (110143),2015,Acute Care,Voluntary non-profit - Other,377.0,33.856701,-84.601561,GA,10.0,9.0,9.0,9.0,9.5,9.325
822,SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS (110146),2015,Acute Care,Government - Hospital District or Authority,40.0,30.781226,-81.616234,GA,9.0,,4.0,4.0,9.0,7.25
823,OCONEE REGIONAL MEDICAL CENTER (110150),2015,Acute Care,Voluntary non-profit - Private,113.0,33.088431,-83.245145,GA,5.0,5.0,3.0,3.0,5.0,4.3
824,PERRY HOSPITAL (110153),2015,Acute Care,Voluntary non-profit - Private,39.0,32.459475,-83.711227,GA,,,5.0,5.0,,5.0
825,NORTHSIDE HOSPITAL (110161),2015,Acute Care,Voluntary non-profit - Private,558.0,33.907895,-84.354754,GA,6.0,3.0,10.0,10.0,4.5,6.425
826,COLISEUM MEDICAL CENTERS (110164),2015,Acute Care,Voluntary non-profit - Private,257.0,32.847315,-83.62027,GA,3.0,9.0,9.0,9.0,6.0,7.05
827,SOUTHERN REGIONAL MEDICAL CENTER (110165),2015,Acute Care,Voluntary non-profit - Private,272.0,33.577524,-84.390432,GA,7.0,7.0,9.0,9.0,7.0,7.7
828,REDMOND REGIONAL MEDICAL CENTER (110168),2015,Acute Care,Proprietary,225.0,34.278191,-85.194131,GA,9.0,9.0,1.0,1.0,9.0,6.2
829,DOCTORS HOSPITAL (110177),2015,Acute Care,Proprietary,292.0,33.482477,-82.091092,GA,3.0,8.0,10.0,10.0,5.5,7.075
830,EMORY-ADVENTIST HOSPITAL (110183),2015,Acute Care,Voluntary non-profit - Church,73.0,,,GA,10.0,,2.0,2.0,10.0,7.2
831,WELLSTAR DOUGLAS HOSPITAL (110184),2015,Acute Care,Voluntary non-profit - Private,102.0,33.738973,-84.73305,GA,9.0,1.0,8.0,8.0,5.0,6.05
832,CHESTATEE REGIONAL HOSPITAL (110187),2015,Acute Care,Proprietary,48.0,,,GA,,,2.0,2.0,,2.0
833,FANNIN REGIONAL HOSPITAL (110189),2015,Acute Care,Proprietary,50.0,34.916923,-84.375509,GA,,,7.0,7.0,,7.0
