,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample)
440,CHINO VALLEY MEDICAL CENTER (050586),2021,Acute Care,Proprietary,120.0,34.026351,-117.685988,CA,100.0,32.0,100.0,33.0,,,,,,,55.0,1093.0,,,3.0,46017.0,,,204.0,15.0,125.0,175.0,,,100.0,32.0,,,100.0,32.0,100.0,25.0
441,SAN DIMAS COMMUNITY HOSPITAL (050588),2021,Acute Care,Proprietary,77.0,34.099423,-117.835006,CA,82.0,28.0,,,,,,,,,55.0,615.0,,,3.0,17540.0,,,173.0,15.0,140.0,154.0,0.0,35.0,96.0,24.0,,,86.0,28.0,100.0,13.0
442,PLACENTIA LINDA HOSPITAL (050589),2021,Acute Care,Proprietary,114.0,33.886612,-117.842096,CA,62.0,21.0,96.0,137.0,,,,,,,84.0,788.0,,,0.0,30171.0,,,294.0,18.0,143.0,197.0,,,81.0,16.0,,,76.0,21.0,100.0,16.0
443,METHODIST HOSPITAL OF SACRAMENTO (050590),2021,Acute Care,Voluntary non-profit - Other,320.0,38.464232,-121.416333,CA,82.0,51.0,,,,,,,95.0,19.0,84.0,2242.0,,,,,,,593.0,17.0,178.0,181.0,0.0,27.0,95.0,44.0,100.0,13.0,90.0,52.0,97.0,33.0
444,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL (050597),2021,Acute Care,Voluntary non-profit - Private,105.0,34.133196,-117.872534,CA,50.0,92.0,99.0,113.0,,,,,,,91.0,836.0,,,1.0,42468.0,,,,,151.0,197.0,,,83.0,63.0,58.0,12.0,80.0,92.0,76.0,46.0
445,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER (050599),2021,Acute Care,Voluntary non-profit - Other,598.0,38.554375,-121.457535,CA,65.0,60.0,95.0,63.0,93.0,100.0,,,,,93.0,15426.0,,,10.0,82726.0,,,1301.0,22.0,281.0,166.0,0.0,11.0,93.0,42.0,,,85.0,60.0,74.0,34.0
446,MEMORIALCARE SADDLEBACK MEDICAL CENTER (050603),2021,Acute Care,Voluntary non-profit - Private,281.0,33.607762,-117.708258,CA,59.0,51.0,,,95.0,21.0,,,,,82.0,2474.0,,,2.0,39317.0,,,,,180.0,178.0,5.0,40.0,92.0,39.0,54.0,13.0,81.0,52.0,94.0,31.0
447,KAISER FOUNDATION HOSPITAL-SAN JOSE (050604),2021,Acute Care,Voluntary non-profit - Other,237.0,37.239327,-121.802084,CA,88.0,59.0,,,,,,,,,82.0,4250.0,,,,,,,,,,,0.0,62.0,95.0,55.0,,,95.0,59.0,97.0,36.0
448,ADVENTIST HEALTH DELANO (050608),2021,Acute Care,Proprietary,156.0,35.761418,-119.238878,CA,31.0,61.0,0.0,26.0,,,,,,,99.0,864.0,,,5.0,30301.0,,,,,156.0,174.0,14.0,21.0,68.0,41.0,25.0,12.0,75.0,61.0,87.0,39.0
449,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM (050609),2021,Acute Care,Voluntary non-profit - Other,456.0,33.854441,-117.84411,CA,89.0,227.0,,,,,,,,,75.0,6117.0,,,,,,,,,,,0.0,150.0,99.0,209.0,87.0,39.0,92.0,227.0,100.0,141.0
450,HENRY MAYO NEWHALL  HOSPITAL (050624),2021,Acute Care,Voluntary non-profit - Private,267.0,34.396342,-118.553143,CA,80.0,66.0,100.0,81.0,,,,,,,75.0,2920.0,,,2.0,69051.0,,,,,174.0,206.0,0.0,20.0,88.0,60.0,100.0,19.0,92.0,66.0,98.0,47.0
451,CEDARS-SINAI MEDICAL CENTER (050625),2021,Acute Care,Voluntary non-profit - Other,894.0,34.075496,-118.380122,CA,48.0,667.0,,,,,,,,,93.0,17704.0,,,3.0,144185.0,,,194.0,12.0,235.0,173.0,7.0,151.0,77.0,443.0,80.0,84.0,76.0,669.0,81.0,340.0
452,TWIN CITIES COMMUNITY HOSPITAL (050633),2021,Acute Care,Proprietary,122.0,35.554389,-120.72013,CA,60.0,120.0,97.0,31.0,,,,,,,52.0,939.0,,,0.0,32679.0,62.0,11.0,262.0,19.0,154.0,224.0,0.0,25.0,86.0,92.0,79.0,24.0,81.0,120.0,93.0,71.0
453,PALOMAR MEDICAL CENTER POWAY (050636),2021,Acute Care,Government - Hospital District or Authority,236.0,32.996802,-117.057852,CA,77.0,22.0,78.0,50.0,,,,,67.0,12.0,57.0,987.0,,,2.0,32500.0,,,570.0,16.0,224.0,167.0,0.0,42.0,100.0,18.0,,,82.0,22.0,100.0,14.0
454,EAST LOS ANGELES DOCTORS HOSPITAL (050641),2021,Acute Care,Proprietary,127.0,34.02393,-118.184285,CA,34.0,41.0,33.0,21.0,,,,,,,97.0,719.0,,,1.0,16646.0,,,112.0,26.0,114.0,150.0,1.0,132.0,71.0,24.0,,,73.0,41.0,77.0,26.0
455,LOS ANGELES COMMUNITY HOSPITAL (050663),2021,Acute Care,Proprietary,251.0,34.018874,-118.186461,CA,,,,,,,,,,,92.0,1853.0,,,,,,,320.0,20.0,140.0,150.0,,,,,,,,,,
456,LAGUNA HONDA HOSPITAL & REHABILITATION CENTER (050668),2021,Acute Care,Voluntary non-profit - Other,780.0,37.747824,-122.458636,CA,,,,,,,,,,,84.0,43.0,,,,,,,,,,,,,,,,,,,,
457,KAISER FOUNDATION HOSP SO SACRAMENTO (050674),2021,Acute Care,Voluntary non-profit - Other,222.0,38.471647,-121.423802,CA,81.0,43.0,,,,,,,,,73.0,5484.0,,,,,,,,,,,0.0,73.0,92.0,38.0,,,88.0,43.0,100.0,24.0
458,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS (050677),2021,Acute Care,Voluntary non-profit - Private,268.0,34.171852,-118.588183,CA,78.0,83.0,,,,,,,,,83.0,3290.0,,,,,,,,,,,0.0,45.0,84.0,79.0,,,96.0,83.0,98.0,52.0
459,MEMORIALCARE ORANGE COAST MEDICAL CENTER (050678),2021,Acute Care,Proprietary,219.0,33.701659,-117.956107,CA,82.0,62.0,,,,,,,,,78.0,2565.0,,,1.0,37269.0,,,,,158.0,177.0,3.0,68.0,94.0,54.0,100.0,13.0,92.0,62.0,94.0,48.0
460,MENIFEE GLOBAL MEDICAL CENTER (050684),2021,Acute Care,Government - Hospital District or Authority,84.0,33.718344,-117.166468,CA,52.0,29.0,,,,,,,,,57.0,353.0,,,2.0,20635.0,,,359.0,12.0,164.0,172.0,,,71.0,21.0,,,72.0,29.0,100.0,11.0
461,"KAISER FOUNDATION HOSPITAL, RIVERSIDE (050686)",2021,Acute Care,Government - Hospital District or Authority,226.0,33.906505,-117.47071,CA,86.0,77.0,,,,,,,,,74.0,4370.0,,,,,,,,,,,1.0,85.0,94.0,70.0,,,94.0,77.0,96.0,53.0
462,SAN RAMON REGIONAL MEDICAL CENTER (050689),2021,Acute Care,Proprietary,123.0,37.775988,-121.959274,CA,78.0,91.0,100.0,18.0,,,,,92.0,12.0,56.0,1659.0,,,0.0,19712.0,,,,,102.0,206.0,,,96.0,77.0,82.0,17.0,86.0,91.0,98.0,64.0
463,KAISER FOUNDATION HOSPITAL-SANTA ROSA (050690),2021,Acute Care,Voluntary non-profit - Other,169.0,38.470217,-122.724316,CA,59.0,58.0,,,,,,,,,79.0,3486.0,,,,,,,,,,,0.0,33.0,77.0,44.0,,,78.0,58.0,96.0,24.0
464,KECK HOSPITAL OF USC (050696),2021,Acute Care,Voluntary non-profit - Other,334.0,34.062168,-118.203234,CA,55.0,56.0,79.0,177.0,,,,,,,96.0,6590.0,,,,,,,,,,,,,78.0,41.0,,,79.0,57.0,91.0,33.0
465,PATIENTS' HOSPITAL OF REDDING (050697),2021,Acute Care,Physician,10.0,40.58549,-122.416264,CA,,,,,,,,,,,89.0,100.0,,,,,,,,,,,,,,,,,,,,
466,SOUTHWEST HEALTHCARE SYSTEM (050701),2021,Acute Care,Proprietary,241.0,33.557832,-117.184346,CA,45.0,53.0,,,,,,,91.0,33.0,51.0,2549.0,,,0.0,109906.0,,,,,158.0,191.0,0.0,23.0,83.0,30.0,,,66.0,53.0,78.0,23.0
467,MISSION COMMUNITY HOSPITAL (050704),2021,Acute Care,Voluntary non-profit - Private,141.0,34.221494,-118.456802,CA,76.0,153.0,,,,,,,,,49.0,1151.0,,,,,,,316.0,16.0,198.0,169.0,,,93.0,130.0,94.0,51.0,90.0,153.0,93.0,99.0
468,FRESNO SURGICAL HOSPITAL (050708),2021,Acute Care,Proprietary,28.0,36.824644,-119.781416,CA,,,,,,,,,,,82.0,601.0,,,,,,,,,,,,,,,,,,,,
469,DESERT VALLEY HOSPITAL (050709),2021,Acute Care,Proprietary,142.0,34.470911,-117.297099,CA,79.0,24.0,100.0,42.0,,,,,,,71.0,1056.0,,,7.0,44869.0,,,,,215.0,171.0,0.0,43.0,100.0,19.0,,,79.0,24.0,100.0,13.0
470,KAISER FOUNDATION HOSPITAL - FRESNO (050710),2021,Acute Care,Voluntary non-profit - Private,169.0,36.84278,-119.783436,CA,54.0,54.0,,,,,,,,,80.0,2902.0,,,,,,,,,,,2.0,56.0,78.0,41.0,,,83.0,54.0,88.0,32.0
471,SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ (050714),2021,Acute Care,Voluntary non-profit - Private,30.0,36.987865,-121.97818,CA,,,,,,,,,,,83.0,493.0,,,,,,,,,,,0.0,22.0,,,,,,,,
472,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR (050717),2021,Acute Care,Government - Local,234.0,,,CA,73.0,15.0,,,,,,,,,72.0,1648.0,,,,,,,,,,,,,92.0,12.0,,,80.0,15.0,,
473,KAISER FOUNDATION HOSPITAL - BALDWIN PARK (050723),2021,Acute Care,Voluntary non-profit - Other,259.0,34.064642,-117.984646,CA,64.0,87.0,,,,,,,,,81.0,3896.0,,,,,,,,,,,3.0,93.0,85.0,68.0,88.0,16.0,82.0,87.0,95.0,58.0
474,BAKERSFIELD HEART HOSPITAL (050724),2021,Acute Care,Proprietary,47.0,35.386106,-119.040847,CA,47.0,88.0,,,,,,,,,78.0,873.0,,,1.0,11323.0,,,,,268.0,176.0,,,81.0,57.0,,,74.0,88.0,85.0,54.0
475,STANISLAUS SURGICAL HOSPITAL (050726),2021,Acute Care,Proprietary,23.0,37.664558,-120.957516,CA,,,,,,,,,,,80.0,406.0,,,,,,,,,,,,,,,,,,,,
476,WHITTIER HOSPITAL MEDICAL CENTER (050735),2021,Acute Care,Proprietary,178.0,33.950748,-118.005114,CA,67.0,12.0,100.0,92.0,,,,,,,93.0,1360.0,,,1.0,31235.0,,,,,128.0,182.0,0.0,16.0,,,,,75.0,12.0,,
477,MONTEREY PARK HOSPITAL (050736),2021,Acute Care,Proprietary,101.0,34.049769,-118.138751,CA,78.0,18.0,95.0,78.0,,,,,,,74.0,629.0,,,0.0,26474.0,,,161.0,13.0,98.0,160.0,,,88.0,16.0,,,100.0,18.0,89.0,18.0
478,GARFIELD MEDICAL CENTER (050737),2021,Acute Care,Proprietary,210.0,34.067864,-118.122906,CA,57.0,35.0,,,,,,,,,92.0,1548.0,,,,,,,,,172.0,174.0,0.0,49.0,88.0,24.0,,,77.0,35.0,88.0,24.0
479,GREATER EL MONTE COMMUNITY HOSPITAL (050738),2021,Acute Care,Voluntary non-profit - Private,118.0,34.048705,-118.042452,CA,62.0,16.0,,,,,,,,,77.0,445.0,,,,,,,278.0,36.0,57.0,335.0,,,85.0,13.0,,,81.0,16.0,100.0,12.0
480,CENTINELA HOSPITAL MEDICAL CENTER (050739),2021,Acute Care,Proprietary,349.0,33.949086,-118.348214,CA,82.0,67.0,,,,,,,,,80.0,1480.0,,,10.0,61114.0,,,464.0,12.0,196.0,145.0,0.0,61.0,95.0,58.0,,,88.0,67.0,97.0,36.0
481,CEDAR-SINAI MARINA DEL REY HOSPITAL (050740),2021,Acute Care,Proprietary,98.0,33.981732,-118.440154,CA,91.0,142.0,,,,,,,,,94.0,1248.0,,,2.0,36987.0,244.0,14.0,408.0,17.0,129.0,166.0,,,96.0,135.0,100.0,32.0,96.0,142.0,99.0,109.0
482,OLYMPIA MEDICAL CENTER (050742),2021,Acute Care,Proprietary,204.0,34.057527,-118.359857,CA,81.0,42.0,,,,,,,,,92.0,540.0,,,,,,,214.0,15.0,114.0,195.0,,,95.0,37.0,92.0,12.0,93.0,42.0,93.0,29.0
483,ANAHEIM GLOBAL MEDICAL CENTER (050744),2021,Acute Care,Proprietary,185.0,33.820566,-117.909002,CA,54.0,78.0,,,,,,,,,,,,,,,,,392.0,42.0,132.0,138.0,0.0,19.0,80.0,55.0,,,72.0,78.0,97.0,36.0
484,CHAPMAN GLOBAL MEDICAL CENTER (050745),2021,Acute Care,Proprietary,112.0,33.787878,-117.827058,CA,50.0,22.0,,,,,,,,,61.0,431.0,,,,,,,224.0,17.0,100.0,187.0,,,100.0,13.0,,,82.0,22.0,71.0,17.0
485,ORANGE COUNTY GLOBAL MEDICAL CENTER (050746),2021,Acute Care,Proprietary,246.0,33.753636,-117.834209,CA,54.0,50.0,,,,,,,,,67.0,1835.0,,,,,,,426.0,14.0,152.0,150.0,0.0,18.0,77.0,35.0,,,74.0,50.0,96.0,25.0
486,COASTAL COMMUNITIES HOSPITAL (050747),2021,Acute Care,Proprietary,177.0,33.710692,-117.88541,CA,75.0,24.0,,,,,,,,,35.0,742.0,,,,,,,112.0,16.0,133.0,161.0,6.0,31.0,86.0,21.0,,,96.0,24.0,89.0,19.0
487,KAISER FOUNDATION HOSPITAL MANTECA (050748),2021,Acute Care,Voluntary non-profit - Private,238.0,37.797371,-121.246183,CA,61.0,36.0,,,,,,,,,72.0,4309.0,,,,,,,,,,,1.0,91.0,92.0,25.0,,,72.0,36.0,95.0,20.0
488,SHERMAN OAKS HOSPITAL (050755),2021,Acute Care,Voluntary non-profit - Private,150.0,34.15981,-118.448705,CA,81.0,37.0,,,,,,,,,68.0,1029.0,,,1.0,27742.0,,,520.0,14.0,99.0,170.0,,,91.0,35.0,,,95.0,37.0,100.0,22.0
489,ALVARADO HOSPITAL MEDICAL CENTER (050757),2021,Acute Care,Government - Federal,300.0,32.777136,-117.056602,CA,82.0,34.0,,,,,,,,,77.0,1378.0,,,2.0,23889.0,,,225.0,24.0,145.0,169.0,,,100.0,30.0,,,88.0,34.0,100.0,18.0
490,MONTCLAIR HOSPITAL MEDICAL CENTER (050758),2021,Acute Care,Voluntary non-profit - Private,103.0,34.077662,-117.696098,CA,89.0,28.0,100.0,60.0,,,,,,,68.0,724.0,,,4.0,28552.0,,,162.0,17.0,119.0,176.0,0.0,30.0,96.0,26.0,,,93.0,28.0,100.0,15.0
491,KAISER FOUNDATION HOSPITAL - ANTIOCH (050760),2021,Acute Care,Proprietary,138.0,37.949469,-121.774824,CA,83.0,41.0,,,,,,,,,73.0,2553.0,,,,,,,,,,,0.0,68.0,94.0,36.0,,,90.0,41.0,94.0,17.0
492,PROVIDENCE CEDARS SINAI TARZANA MEDICAL CENTER (050761),2021,Acute Care,Voluntary non-profit - Private,244.0,34.169777,-118.53183,CA,75.0,63.0,92.0,80.0,,,,,,,88.0,1953.0,,,1.0,51332.0,,,,,146.0,179.0,2.0,44.0,90.0,58.0,,,95.0,63.0,96.0,45.0
493,"L A DOWNTOWN MEDICAL CENTER, LLC (050763)",2021,Acute Care,Proprietary,218.0,34.06879,-118.26356,CA,,,100.0,239.0,,,,,,,93.0,839.0,,,3.0,7768.0,,,,,,,,,,,,,,,,
494,SHASTA REGIONAL MEDICAL CENTER (050764),2021,Acute Care,Proprietary,219.0,40.585376,-122.386683,CA,75.0,20.0,,,,,,,,,83.0,1425.0,,,2.0,41254.0,,,188.0,13.0,128.0,172.0,,,94.0,16.0,,,81.0,21.0,100.0,14.0
495,KAISER FOUNDATION HOSPITAL-MORENO VALLEY (050765),2021,Acute Care,Voluntary non-profit - Other,87.0,33.895697,-117.187121,CA,90.0,49.0,,,,,,,,,74.0,887.0,,,,,,,,,,,0.0,60.0,96.0,46.0,100.0,11.0,94.0,49.0,100.0,36.0
496,SUTTER SURGICAL HOSPITAL - NORTH VALLEY (050766),2021,Acute Care,Physician,14.0,39.132167,-121.613603,CA,,,,,,,,,,,85.0,226.0,,,,,,,,,,,,,,,,,,,,
497,KAISER FOUNDATION HOSPITAL - VACAVILLE (050767),2021,Acute Care,Proprietary,126.0,38.390073,-121.936776,CA,76.0,34.0,,,,,,,,,70.0,2556.0,,,,,,,,,,,0.0,33.0,87.0,30.0,,,94.0,34.0,89.0,19.0
498,HOAG ORTHOPEDIC INSTITUTE (050769),2021,Acute Care,Proprietary,70.0,33.66095,-117.774478,CA,,,,,,,,,,,79.0,724.0,,,,,,,,,,,,,,,,,,,,
499,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA (050770),2021,Acute Care,Proprietary,108.0,33.613435,-117.168923,CA,42.0,180.0,,,,,,,,,51.0,1954.0,,,1.0,44703.0,,,296.0,12.0,233.0,185.0,0.0,12.0,75.0,110.0,71.0,17.0,67.0,180.0,89.0,91.0
500,COAST PLAZA HOSPITAL (050771),2021,Acute Care,Proprietary,116.0,33.912428,-118.099156,CA,48.0,60.0,28.0,68.0,,,,,,,94.0,324.0,,,3.0,15345.0,,,158.0,17.0,96.0,158.0,,,91.0,34.0,,,57.0,60.0,100.0,25.0
501,KAISER FOUNDATION HOSPITAL - ROSEVILLE (050772),2021,Acute Care,Voluntary non-profit - Private,342.0,38.746698,-121.247166,CA,89.0,38.0,,,,,,,,,67.0,6701.0,,,,,,,,,,,1.0,147.0,100.0,35.0,,,95.0,39.0,95.0,19.0
502,TEMECULA VALLEY HOSPITAL (050775),2021,Acute Care,Proprietary,140.0,33.47929,-117.105744,CA,40.0,43.0,,,,,,,,,64.0,1394.0,,,0.0,46879.0,,,524.0,12.0,170.0,187.0,,,77.0,22.0,,,56.0,43.0,89.0,18.0
503,COLLEGE MEDICAL CENTER (050776),2021,Acute Care,Proprietary,213.0,33.807201,-118.193721,CA,50.0,34.0,,,,,,,,,62.0,1166.0,,,,,,,610.0,82.0,237.0,69.0,,,82.0,22.0,,,76.0,34.0,83.0,23.0
504,KAISER FOUNDATION HOSPITAL - SAN LEANDRO (050777),2021,Acute Care,Voluntary non-profit - Private,207.0,37.706524,-122.169447,CA,95.0,37.0,,,,,,,,,83.0,4130.0,,,,,,,,,,,0.0,76.0,100.0,35.0,,,95.0,39.0,100.0,23.0
505,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL (050778),2021,Acute Care,Voluntary non-profit - Private,345.0,34.049482,-117.261122,CA,,,,,,,,,,,85.0,4225.0,,,,,,,,,,,0.0,19.0,,,,,,,,
506,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL (050779)",2021,Acute Care,Voluntary non-profit - Private,131.0,33.924361,-118.244331,CA,72.0,246.0,,,,,,,,,97.0,1917.0,,,,,,,56.0,52.0,129.0,682.0,0.0,41.0,91.0,199.0,91.0,58.0,83.0,247.0,97.0,149.0
507,FOOTHILL REGIONAL MEDICAL CENTER (050780),2021,Acute Care,Proprietary,170.0,33.730773,-117.829485,CA,,,,,,,,,,,69.0,663.0,,,,,,,261.0,25.0,188.0,127.0,,,,,,,,,,
508,CASA COLINA HOSPITAL (050782),2021,Acute Care,Voluntary non-profit - Private,99.0,34.096242,-117.746861,CA,,,,,,,,,,,83.0,1224.0,,,,,,,,,,,,,,,,,,,,
509,COLUSA MEDICAL CENTER (050783),2021,Acute Care,Proprietary,50.0,39.207286,-121.999974,CA,,,,,,,,,,,78.0,288.0,,,,,,,122.0,26.0,96.0,552.0,,,,,,,,,,
510,ADVENTIST HEALTH TULARE (050784),2021,Acute Care,Voluntary non-profit - Private,80.0,36.220283,-119.337669,CA,15.0,13.0,,,,,,,,,,,,,,,,,,,125.0,204.0,0.0,22.0,,,,,77.0,13.0,,
511,EASTERN PLUMAS HOSPITAL - PORTOLA CAMPUS (051300),2021,Critical Access,Government - Hospital District or Authority,75.0,39.806144,-120.463129,CA,,,,,,,,,,,78.0,289.0,,,1.0,3915.0,,,,,,,,,,,,,,,,
512,ADVENTIST HEALTH TEHACHAPI VALLEY (051301),2021,Critical Access,Government - Hospital District or Authority,25.0,,,CA,80.0,20.0,,,,,,,,,94.0,363.0,,,2.0,17737.0,,,,,186.0,193.0,,,100.0,17.0,,,90.0,20.0,92.0,13.0
513,MAMMOTH HOSPITAL (051303),2021,Critical Access,Government - Hospital District or Authority,17.0,37.645071,-118.963911,CA,,,,,,,,,,,82.0,531.0,,,,,,,,,89.0,212.0,,,,,,,,,,
514,JOHN C FREMONT HEALTHCARE DISTRICT (051304),2021,Critical Access,Government - Hospital District or Authority,35.0,37.500531,-119.976948,CA,,,,,,,,,,,,,,,,,,,,,139.0,74.0,,,,,,,,,,
515,MAYERS MEMORIAL HOSPITAL (051305),2021,Critical Access,Government - Hospital District or Authority,120.0,41.023968,-121.424651,CA,,,,,,,,,,,96.0,268.0,,,,,,,,,,,,,,,,,,,,
516,CATALINA ISLAND MEDICAL CENTER (051307),2021,Critical Access,Voluntary non-profit - Church,12.0,33.339079,-118.330477,CA,,,,,,,,,,,85.0,94.0,,,,,,,,,,,,,,,,,,,,
517,JEROLD PHELPS COMMUNITY HOSPITAL (051309),2021,Critical Access,Government - Hospital District or Authority,17.0,40.101491,-123.792756,CA,,,,,,,,,,,62.0,114.0,,,,,,,,,,,,,,,,,,,,
518,ADVENTIST HEALTH HOWARD MEMORIAL (051310),2021,Critical Access,Voluntary non-profit - Church,25.0,39.389777,-123.339971,CA,,,,,,,,,,,95.0,454.0,,,,,,,,,102.0,199.0,,,,,,,,,,
519,ORCHARD HOSPITAL (051311),2021,Critical Access,Voluntary non-profit - Private,70.0,39.366974,-121.689717,CA,,,,,,,,,,,81.0,275.0,,,8.0,11809.0,,,,,,,,,,,,,,,,
520,MOUNTAINS COMMUNITY HOSPITAL (051312),2021,Critical Access,Government - Hospital District or Authority,37.0,34.2659,-117.167092,CA,,,,,,,,,,,62.0,309.0,,,,,,,,,,,,,,,,,,,,
521,KERN VALLEY HEALTHCARE DISTRICT (051314),2021,Critical Access,Government - Hospital District or Authority,98.0,35.635351,-118.4063,CA,,,,,,,,,,,76.0,250.0,,,,,,,393.0,14.0,195.0,315.0,,,,,,,,,,
522,TRINITY HOSPITAL (051315),2021,Critical Access,Government - Hospital District or Authority,47.0,40.737579,-122.939444,CA,,,,,,,,,,,74.0,186.0,,,,,,,,,,,,,,,,,,,,
523,FAIRCHILD MEDICAL CENTER (051316),2021,Critical Access,Voluntary non-profit - Other,25.0,41.718579,-122.645457,CA,29.0,38.0,,,,,,,,,91.0,622.0,,,,,,,,,188.0,66.0,,,79.0,19.0,,,53.0,38.0,93.0,15.0
524,ADVENTIST HEALTH CLEARLAKE (051317),2021,Critical Access,Voluntary non-profit - Church,25.0,,,CA,,,,,,,,,,,90.0,961.0,,,,,,,,,120.0,192.0,,,,,,,,,,
525,PROVIDENCE REDWOOD MEMORIAL HOSPITAL (051318),2021,Critical Access,Voluntary non-profit - Private,25.0,40.583071,-124.135942,CA,,,,,,,,,,,68.0,427.0,,,5.0,11768.0,,,222.0,16.0,137.0,178.0,,,,,,,,,,
526,MERCY MEDICAL CENTER OF MT SHASTA (051319),2021,Critical Access,Voluntary non-profit - Other,28.0,41.317764,-122.321554,CA,65.0,26.0,,,,,,,,,75.0,407.0,,,,,,,,,114.0,182.0,,,89.0,19.0,,,77.0,26.0,93.0,15.0
527,BANNER LASSEN MEDICAL CENTER (051320),2021,Critical Access,Voluntary non-profit - Private,25.0,40.438197,-120.627429,CA,,,100.0,66.0,,,,,,,76.0,235.0,,,2.0,11796.0,,,76.0,11.0,110.0,175.0,0.0,11.0,,,,,,,,
528,COLORADO RIVER MEDICAL CENTER (051323),2021,Critical Access,Voluntary non-profit - Private,25.0,34.832836,-114.618317,CA,,,,,,,,,,,,,,,,,,,,,209.0,113.0,,,,,,,,,,
529,NORTHERN INYO HOSPITAL (051324),2021,Critical Access,Government - Hospital District or Authority,25.0,37.362108,-118.407362,CA,37.0,19.0,,,,,,,,,89.0,641.0,,,1.0,9314.0,,,,,144.0,195.0,0.0,15.0,,,,,95.0,19.0,47.0,15.0
530,MENDOCINO COAST DISTRICT HOSPITAL (051325),2021,Critical Access,Government - Hospital District or Authority,25.0,39.432613,-123.800797,CA,,,,,,,,,,,93.0,433.0,,,,,,,,,,,,,,,,,,,,
531,PLUMAS DISTRICT HOSPITAL (051326),2021,Critical Access,Government - Hospital District or Authority,21.0,39.934767,-120.919251,CA,,,,,,,,,,,70.0,312.0,,,,,,,,,130.0,182.0,,,,,,,,,,
532,SENECA DISTRICT HOSPITAL (051327),2021,Critical Access,Government - Hospital District or Authority,26.0,40.305302,-121.234018,CA,,,,,,,,,,,92.0,127.0,,,1.0,2853.0,,,,,,,,,,,,,,,,
533,TAHOE FOREST HOSPITAL (051328),2021,Critical Access,Government - Hospital District or Authority,64.0,39.325163,-120.201344,CA,93.0,28.0,98.0,184.0,93.0,15.0,,,,,96.0,1192.0,,,0.0,13951.0,,,,,109.0,168.0,0.0,13.0,96.0,27.0,,,96.0,28.0,100.0,16.0
