,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders (ED_2_Strata_1 - Electronic Clinical Quality Measure),Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders (ED_2_Strata_1 - Electronic Clinical Quality Measure) (Sample),Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders (ED_2_Strata_2 - Electronic Clinical Quality Measure),Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders (ED_2_Strata_2 - Electronic Clinical Quality Measure) (Sample),Anticoagulation Therapy for Atrial Fibrillation/Flutter (STK_3 - Electronic Clinical Quality Measure),Anticoagulation Therapy for Atrial Fibrillation/Flutter (STK_3 - Electronic Clinical Quality Measure) (Sample),Antithrombotic Therapy by End of Hospital Day 2 (STK_5 - Electronic Clinical Quality Measure),Antithrombotic Therapy by End of Hospital Day 2 (STK_5 - Electronic Clinical Quality Measure) (Sample),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Discharged on Antithrombotic Therapy (STK_2 - Electronic Clinical Quality Measure),Discharged on Antithrombotic Therapy (STK_2 - Electronic Clinical Quality Measure) (Sample),Discharged on Statin Medication (STK_6 - Electronic Clinical Quality Measure),Discharged on Statin Medication (STK_6 - Electronic Clinical Quality Measure) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Healthcare Personnel Vaccination),Healthcare workers given influenza vaccination (IMM_3 - Healthcare Personnel Vaccination) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Intensive Care Unit Venous Thromboembolism Prophylaxis (VTE_2 - Electronic Clinical Quality Measure),Intensive Care Unit Venous Thromboembolism Prophylaxis (VTE_2 - Electronic Clinical Quality Measure) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percentage of healthcare personnel who completed COVID-19 primary vaccination series (HCP_COVID_19 - Healthcare Personnel Vaccination),Percentage of healthcare personnel who completed COVID-19 primary vaccination series (HCP_COVID_19 - Healthcare Personnel Vaccination) (Sample),Safe Use of Opioids - Concurrent Prescribing (SAFE_USE_OF_OPIOIDS - Electronic Clinical Quality Measure),Safe Use of Opioids - Concurrent Prescribing (SAFE_USE_OF_OPIOIDS - Electronic Clinical Quality Measure) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample),Venous Thromboembolism Prophylaxis (VTE_1 - Electronic Clinical Quality Measure),Venous Thromboembolism Prophylaxis (VTE_1 - Electronic Clinical Quality Measure) (Sample)
1135,CROSSROADS COMMUNITY HOSPITAL (140294),2023,Acute Care,Proprietary,48.0,38.312314,-88.936788,IL,,,,,,,,,58.0,33.0,,,,,89.0,28.0,,,,,65.0,476.0,,,,,1.0,9943.0,,,377.0,23.0,135.0,376.0,81.4,502.0,20.0,147.0,,,,,82.0,33.0,78.0,18.0,92.0,262.0
1136,PROVIDENT HOSPITAL OF CHICAGO (140300),2023,Acute Care,Government - Local,43.0,41.802158,-87.614193,IL,75.0,79.0,,,,,,,,,,,,,,,,,,,87.0,275.0,,,,,5.0,22326.0,,,,,183.0,287.0,96.3,272.0,,,,,,,,,,,97.0,109.0
1137,ADVENTHEALTH BOLINGBROOK (140304),2023,Acute Care,Voluntary non-profit - Private,136.0,41.679388,-88.083883,IL,,,,,,,94.0,34.0,61.0,127.0,91.0,43.0,88.0,40.0,92.0,72.0,,,100.0,16.0,84.0,1381.0,,,97.0,190.0,2.0,32892.0,,,402.0,31.0,168.0,401.0,94.1,1550.0,,,57.0,44.0,79.0,19.0,83.0,127.0,96.0,69.0,,
1138,THOMAS H BOYD MEMORIAL HOSPITAL (141300),2023,Critical Access,Voluntary non-profit - Private,25.0,39.29617,-90.412303,IL,,,,,,,,,,,,,,,,,,,,,95.0,169.0,,,,,,,,,,,,,,,,,,,,,,,,,77.0,83.0
1139,KIRBY MEDICAL CENTER (141301),2023,Critical Access,Voluntary non-profit - Private,16.0,40.060163,-88.56377,IL,,,,,,,,,40.0,15.0,,,,,,,,,,,96.0,485.0,,,,,,,,,102.0,18.0,100.0,443.0,,,,,,,,,73.0,15.0,,,94.0,54.0
1140,MIDWEST MEDICAL CENTER (141302),2023,Critical Access,Voluntary non-profit - Private,82.0,42.446622,-90.456972,IL,30.0,36.0,,,,,,,,,,,,,,,,,,,94.0,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,WARNER HOSPITAL AND HEALTH SERVICES (141303),2023,Critical Access,Government - Local,18.0,40.148953,-88.964616,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,42.0,,,,,,,,,,
1142,"GENESIS MEDICAL CENTER, ALEDO (141304)",2023,Critical Access,Voluntary non-profit - Private,22.0,41.20508,-90.758485,IL,,,,,,,,,,,,,,,100.0,16.0,,,,,97.0,509.0,,,,,0.0,3548.0,,,135.0,20.0,92.0,342.0,,,,,,,,,,,,,,
1143,MEMORIAL HOSPITAL (141305),2023,Critical Access,Voluntary non-profit - Private,22.0,40.409306,-91.111319,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4792.0,,,,,141.0,364.0,,,,,,,,,,,,,,
1144,COMMUNITY HOSPITAL OF STAUNTON (141306),2023,Critical Access,Voluntary non-profit - Private,25.0,39.015339,-89.78989,IL,,,,,,,,,,,,,,,,,,,,,97.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,56.0,163.0
1145,PINCKNEYVILLE COMMUNITY HOSPITAL (141307),2023,Critical Access,Government - Hospital District or Authority,21.0,38.08023,-89.368631,IL,,,,,,,,,,,,,,,98.0,41.0,,,,,,,83.0,109.0,,,0.0,3246.0,,,,,185.0,178.0,,,,,,,,,,,,,69.0,39.0
1146,WASHINGTON COUNTY HOSPITAL (141308),2023,Critical Access,Government - Hospital District or Authority,50.0,38.339118,-89.390016,IL,,,,,,,,,,,,,,,,,,,,,95.0,192.0,,,,,,,,,677.0,32.0,81.0,257.0,,,,,,,,,,,,,,
1147,CARLE EUREKA  HOSPITAL (141309),2023,Critical Access,Voluntary non-profit - Private,24.0,40.721405,-89.271661,IL,43.0,69.0,,,,,,,64.0,11.0,,,,,,,,,,,96.0,190.0,,,,,,,,,174.0,11.0,120.0,342.0,91.4,233.0,19.0,68.0,,,,,91.0,11.0,,,88.0,149.0
1148,OSF SAINT PAUL MEDICAL CENTER (141310),2023,Critical Access,Voluntary non-profit - Private,25.0,41.555187,-89.105497,IL,76.0,104.0,,,,,,,,,,,,,,,,,,,83.0,292.0,,,,,1.0,5433.0,,,,,,,89.5,239.0,24.0,45.0,,,,,,,,,85.0,135.0
1149,FAIRFIELD MEMORIAL HOSPITAL 1 (141311),2023,Critical Access,Voluntary non-profit - Private,64.0,38.381637,-88.374422,IL,,,,,,,,,,,,,,,100.0,83.0,,,,,90.0,434.0,,,,,0.0,6979.0,,,138.0,22.0,154.0,698.0,66.9,439.0,,,,,,,,,,,93.0,191.0
1150,ROCHELLE COMMUNITY HOSPITAL (141312),2023,Critical Access,Voluntary non-profit - Private,18.0,41.928573,-89.062801,IL,52.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,70.0,,,,,,,,,84.0,143.0
1151,MASON DISTRICT HOSPITAL (141313),2023,Critical Access,Government - Hospital District or Authority,25.0,40.305713,-90.056111,IL,,,,,,,,,,,,,,,92.0,13.0,,,,,96.0,342.0,,,,,0.0,3617.0,,,,,90.0,178.0,82.9,295.0,,,,,,,,,,,74.0,80.0
1152,ILLINI COMMUNITY HOSPITAL (141315),2023,Critical Access,Voluntary non-profit - Private,31.0,39.606793,-90.815055,IL,,,,,,,,,,,,,,,,,,,82.0,17.0,99.0,234.0,,,,,,,,,192.0,17.0,112.0,358.0,,,,,,,,,,,,,68.0,59.0
1153,CARLE HOOPESTON REGIONAL HEALTH CENTER (141316),2023,Critical Access,Voluntary non-profit - Private,39.0,40.459188,-87.660086,IL,54.0,118.0,,,,,,,,,,,,,,,,,,,99.0,141.0,,,,,,,,,,,,,94.0,207.0,25.0,69.0,,,,,,,,,91.0,171.0
1154,GIBSON COMMUNITY HOSPITAL (141317),2023,Critical Access,Voluntary non-profit - Private,67.0,40.478072,-88.370716,IL,97.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5782.0,,,,,,,,,,,,,,,,,,,65.0,221.0
1155,OSF HOLY FAMILY MEDICAL CENTER (141318),2023,Critical Access,Voluntary non-profit - Private,22.0,40.921291,-90.658986,IL,52.0,40.0,,,,,,,72.0,18.0,,,,,,,,,,,58.0,352.0,,,,,4.0,7045.0,,,318.0,18.0,119.0,368.0,87.7,203.0,36.0,36.0,,,,,89.0,18.0,,,96.0,68.0
1156,HAMMOND HENRY HOSPITAL (141319),2023,Critical Access,Government - Hospital District or Authority,64.0,41.460674,-90.158405,IL,92.0,114.0,,,,,,,,,,,,,,,,,,,94.0,503.0,,,,,,,,,238.0,15.0,120.0,376.0,,,,,,,,,,,,,80.0,202.0
1157,PARIS COMMUNITY HOSPITAL (141320),2023,Critical Access,Voluntary non-profit - Other,25.0,39.606712,-87.678311,IL,,,,,,,,,91.0,32.0,,,,,,,,,,,65.0,927.0,,,,,1.0,9038.0,,,204.0,14.0,115.0,371.0,,,,,,,,,94.0,32.0,96.0,25.0,,
1158,FRANKLIN HOSPITAL (141321),2023,Critical Access,Government - Hospital District or Authority,24.0,38.009137,-88.917142,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,173.0,,,16.0,25.0,,,,,,,,,74.0,68.0
1159,ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),2023,Critical Access,Voluntary non-profit - Private,25.0,40.152373,-89.388698,IL,65.0,172.0,,,,,,,,,,,,,,,,,,,92.0,441.0,,,,,1.0,13995.0,28.0,20.0,,,,,85.7,427.0,,,,,,,,,,,66.0,201.0
1160,MASSAC MEMORIAL HOSPITAL (141323),2023,Critical Access,Government - Hospital District or Authority,25.0,37.166836,-88.739578,IL,30.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6190.0,,,,,126.0,263.0,,,,,,,,,,,,,42.0,172.0
1161,FERRELL HOSPITAL COMMUNITY FOUNDATIONS (141324),2023,Critical Access,Voluntary non-profit - Private,25.0,37.815332,-88.441451,IL,53.0,172.0,,,,,,,,,,,,,,,,,,,94.0,351.0,,,,,,,,,,,,,83.6,340.0,29.0,154.0,,,,,,,,,87.0,350.0
1162,OSF SAINT LUKE MEDICAL CENTER (141325),2023,Critical Access,Voluntary non-profit - Church,25.0,41.222163,-89.947769,IL,73.0,63.0,,,,,,,67.0,30.0,,,,,,,,,,,82.0,234.0,,,,,1.0,9481.0,,,222.0,34.0,120.0,346.0,89.2,246.0,13.0,30.0,,,,,97.0,31.0,100.0,21.0,99.0,73.0
1163,HAMILTON MEMORIAL HOSPITAL (141326),2023,Critical Access,Government - Hospital District or Authority,25.0,38.087916,-88.541234,IL,,,,,,,,,,,,,,,,,,,,,96.0,243.0,,,,,0.0,4310.0,,,494.0,68.0,144.0,1149.0,82.3,177.0,,,,,,,,,,,66.0,117.0
1164,WABASH GENERAL HOSPITAL 1 (141327),2023,Critical Access,Government - Hospital District or Authority,25.0,38.421625,-87.768772,IL,,,,,,,,,79.0,14.0,,,,,86.0,14.0,,,,,90.0,575.0,,,,,0.0,8562.0,,,,,76.0,360.0,79.2,615.0,23.0,43.0,,,,,86.0,14.0,,,59.0,231.0
1165,HARDIN COUNTY GENERAL HOSPITAL & CLINIC (141328),2023,Critical Access,Voluntary non-profit - Private,25.0,,,IL,182.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,MORRISON COMMUNITY HOSPITAL (141329),2023,Critical Access,Government - Hospital District or Authority,38.0,41.809131,-89.956574,IL,,,,,,,,,,,,,,,,,,,,,82.0,217.0,,,,,0.0,2619.0,,,,,,,,,,,,,,,,,,,,
1167,HOPEDALE HOSPITAL (141330),2023,Critical Access,Voluntary non-profit - Private,164.0,40.418383,-89.417729,IL,,,,,,,,,,,,,,,,,,,,,55.0,446.0,,,,,1.0,2039.0,,,,,49.0,291.0,,,,,,,,,,,,,,
1168,MARSHALL BROWNING HOSPITAL (141331),2023,Critical Access,Voluntary non-profit - Private,25.0,38.024441,-89.2368,IL,,,,,,,,,,,,,,,,,,,,,95.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,73.0,233.0
1169,HILLSBORO AREA HOSPITAL (141332),2023,Critical Access,Voluntary non-profit - Private,25.0,39.153672,-89.481508,IL,,,,,,,,,,,,,,,,,75.0,12.0,,,,,,,,,0.0,5316.0,,,156.0,19.0,137.0,354.0,80.1,257.0,,,,,,,,,,,,
1170,SARAH D CULBERTSON MEMORIAL HOSPITAL (141333),2023,Critical Access,Government - Hospital District or Authority,25.0,40.117944,-90.563587,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,59.0
1171,ST JOSEPH MEMORIAL HOSPITAL (141334),2023,Critical Access,Voluntary non-profit - Private,25.0,37.773205,-89.32635,IL,72.0,86.0,,,,,,,67.0,27.0,,,,,92.0,98.0,,,,,99.0,344.0,,,,,1.0,7267.0,,,268.0,20.0,129.0,339.0,99.3,280.0,38.0,58.0,,,,,93.0,27.0,80.0,15.0,100.0,105.0
1172,MERCY HARVARD HOSPITAL (141335),2023,Critical Access,Voluntary non-profit - Private,57.0,42.425992,-88.607748,IL,97.0,73.0,,,,,,,,,,,,,94.0,35.0,,,,,80.0,187.0,,,,,1.0,4820.0,,,242.0,30.0,126.0,530.0,84.0,184.0,28.0,120.0,,,,,,,,,90.0,150.0
1173,ST JOSEPH'S HOSPITAL (141336),2023,Critical Access,Voluntary non-profit - Church,25.0,38.757077,-89.667358,IL,46.0,277.0,,,,,,,71.0,72.0,,,,,,,,,,,58.0,401.0,,,,,0.0,11724.0,,,,,,,81.7,292.0,31.0,136.0,53.0,19.0,,,84.0,73.0,100.0,33.0,99.0,294.0
1174,OSF SAINT CLARE MEDICAL CENTER (141337),2023,Critical Access,Government - Local,25.0,41.36801,-89.455958,IL,,,,,,,,,40.0,30.0,,,,,100.0,30.0,,,,,95.0,257.0,,,50.0,32.0,1.0,7453.0,,,418.0,19.0,133.0,282.0,87.5,242.0,,,,,,,74.0,31.0,87.0,15.0,36.0,109.0
1175,MEMORIAL HOSPITAL (141338),2023,Critical Access,Government - Hospital District or Authority,25.0,37.918529,-89.812888,IL,,,,,,,,,,,,,,,94.0,104.0,,,,,88.0,305.0,,,,,1.0,5837.0,,,488.0,20.0,174.0,408.0,,,,,,,,,,,,,94.0,103.0
1176,TAYLORVILLE MEMORIAL HOSPITAL (141339),2023,Critical Access,Voluntary non-profit - Private,32.0,39.553753,-89.293754,IL,86.0,234.0,,,,,,,,,,,,,,,,,,,88.0,412.0,,,,,2.0,11279.0,46.0,14.0,187.0,17.0,134.0,338.0,81.2,388.0,17.0,30.0,,,,,,,,,61.0,320.0
1177,VALLEY WEST COMMUNITY HOSPITAL (141340),2023,Critical Access,Voluntary non-profit - Private,25.0,41.657133,-88.62192,IL,,,,,,,,,72.0,32.0,,,,,,,,,,,,,,,,,,,,,278.0,24.0,154.0,340.0,,,,,,,,,91.0,32.0,95.0,21.0,,
1178,PANA COMMUNITY HOSPITAL (141341),2023,Critical Access,Voluntary non-profit - Private,22.0,39.380296,-89.084213,IL,3.0,69.0,,,,,,,,,,,,,,,,,45.0,11.0,97.0,285.0,,,,,,,,,175.0,13.0,116.0,378.0,,,,,,,,,,,,,95.0,84.0
1179,ANNA HOSPITAL CORPORATION D/B/A UNION COUNTY HOSPITAL (141342),2023,Critical Access,Proprietary,45.0,37.465305,-89.245019,IL,,,,,,,,,50.0,18.0,,,,,91.0,22.0,,,,,83.0,245.0,,,,,2.0,6905.0,,,312.0,22.0,126.0,370.0,79.0,200.0,,,,,,,72.0,18.0,91.0,11.0,75.0,154.0
1180,CRAWFORD MEMORIAL HOSPITAL (141343),2023,Critical Access,Government - Hospital District or Authority,57.0,39.013668,-87.748999,IL,55.0,73.0,,,,,,,73.0,37.0,,,,,100.0,60.0,,,,,91.0,542.0,,,,,2.0,7637.0,70.0,12.0,192.0,13.0,154.0,381.0,,,19.0,139.0,,,,,84.0,37.0,97.0,29.0,83.0,186.0
1181,LAWRENCE COUNTY MEMORIAL HOSPITAL (141344),2023,Critical Access,Voluntary non-profit - Private,25.0,38.729518,-87.69415,IL,,,,,,,,,,,,,,,,,,,,,98.0,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,SALEM TOWNSHIP HOSPITAL (141345),2023,Critical Access,Government - Local,25.0,38.64083,-88.948337,IL,,,,,,,,,,,,,,,,,,,53.0,15.0,,,,,,,2.0,7042.0,,,194.0,17.0,133.0,406.0,,,,,,,,,,,,,,
1183,CARLINVILLE AREA HOSPITAL (141347),2023,Critical Access,Voluntary non-profit - Private,25.0,39.299642,-89.88163,IL,83.0,125.0,,,,,,,,,,,,,,,,,,,91.0,340.0,,,,,,,,,330.0,11.0,150.0,222.0,,,12.0,33.0,,,,,,,,,85.0,186.0
1184,RED BUD REGIONAL HOSPITAL (141348),2023,Critical Access,Proprietary,25.0,38.209605,-89.996408,IL,,,,,,,,,92.0,40.0,,,,,99.0,95.0,,,,,78.0,406.0,,,,,1.0,5538.0,,,,,112.0,399.0,78.9,341.0,,,,,,,95.0,40.0,100.0,32.0,,
1185,SPARTA COMMUNITY HOSPITAL (141349),2023,Critical Access,Government - Hospital District or Authority,25.0,,,IL,,,,,,,,,,,,,,,100.0,40.0,,,,,99.0,381.0,,,,,1.0,7203.0,,,,,104.0,80.0,,,,,,,,,,,,,61.0,38.0
1186,ST FRANCIS HOSPITAL (141350),2023,Critical Access,Voluntary non-profit - Church,25.0,39.18081,-89.639636,IL,22.0,204.0,,,,,,,71.0,21.0,,,,,,,,,,,85.0,260.0,,,91.0,32.0,0.0,10562.0,,,,,,,85.7,167.0,19.0,113.0,,,,,95.0,22.0,100.0,19.0,94.0,195.0
1187,CLAY COUNTY HOSPITAL (141351),2023,Critical Access,Government - Local,20.0,38.680917,-88.470337,IL,46.0,112.0,,,,,,,,,,,,,,,,,42.0,12.0,98.0,293.0,,,,,,,,,,,85.0,243.0,69.8,288.0,,,,,,,,,,,92.0,139.0
1188,JOHNSON MEMORIAL HOSPITAL (150001),2023,Acute Care,Government - Local,83.0,39.480598,-86.076663,IN,63.0,578.0,,,,,,,75.0,83.0,,,,,97.0,33.0,,,,,90.0,1041.0,,,92.0,142.0,0.0,21263.0,48.0,12.0,230.0,14.0,196.0,278.0,83.8,933.0,,,77.0,39.0,90.0,20.0,92.0,84.0,95.0,58.0,94.0,502.0
1189,METHODIST HOSPITALS INC (150002),2023,Acute Care,Voluntary non-profit - Private,490.0,41.599436,-87.357023,IN,,,,,,,90.0,120.0,57.0,107.0,100.0,118.0,,,100.0,72.0,,,75.0,24.0,98.0,3444.0,,,99.0,688.0,0.0,61309.0,,,185.0,13.0,150.0,348.0,88.3,6365.0,,,79.0,24.0,94.0,17.0,76.0,108.0,72.0,50.0,99.0,3343.0
1190,FRANCISCAN HEALTH HAMMOND (150004),2023,Acute Care,Voluntary non-profit - Church,214.0,41.61449,-87.52201,IN,,,,,,,93.0,44.0,,,100.0,46.0,98.0,46.0,,,,,68.0,19.0,87.0,746.0,,,,,2.0,31263.0,41.0,15.0,428.0,12.0,142.0,328.0,94.0,897.0,,,,,,,,,,,91.0,962.0
1191,HENDRICKS REGIONAL HEALTH (150005),2023,Acute Care,Government - Local,128.0,39.76071,-86.500995,IN,,,,,,,100.0,51.0,72.0,303.0,100.0,60.0,,,100.0,72.0,,,100.0,21.0,96.0,2486.0,,,,,2.0,36007.0,46.0,16.0,208.0,11.0,168.0,405.0,90.3,2536.0,15.0,1193.0,67.0,123.0,92.0,62.0,88.0,304.0,99.0,178.0,,
1192,NORTHWEST HEALTH-LA PORTE (150006),2023,Acute Care,Voluntary non-profit - Private,143.0,41.609838,-86.723855,IN,,,,,,,94.0,32.0,63.0,133.0,88.0,42.0,88.0,43.0,96.0,56.0,,,,,66.0,1531.0,,,,,2.0,20204.0,,,310.0,26.0,172.0,385.0,94.5,1226.0,,,50.0,42.0,81.0,16.0,86.0,133.0,95.0,87.0,,
1193,COMMUNITY HOWARD REGIONAL HEALTH INC. (150007),2023,Acute Care,Voluntary non-profit - Private,119.0,40.446835,-86.127103,IN,,,,,,,100.0,26.0,28.0,196.0,100.0,35.0,100.0,35.0,100.0,29.0,,,82.0,17.0,93.0,1063.0,,,,,5.0,28928.0,,,468.0,16.0,177.0,383.0,84.5,957.0,18.0,760.0,40.0,48.0,24.0,17.0,65.0,197.0,68.0,95.0,,
1194,ST CATHERINE HOSPITAL INC (150008),2023,Acute Care,Voluntary non-profit - Private,188.0,41.634064,-87.448542,IN,131.0,968.0,98.0,39.0,,,93.0,30.0,66.0,98.0,,,,,93.0,41.0,,,,,95.0,2729.0,,,97.0,263.0,2.0,24304.0,,,216.0,16.0,144.0,384.0,96.0,1717.0,,,85.0,47.0,97.0,31.0,79.0,98.0,94.0,64.0,92.0,1240.0
1195,CLARK MEMORIAL HOSPITAL (150009),2023,Acute Care,Voluntary non-profit - Other,176.0,38.282784,-85.749248,IN,,,,,,,88.0,42.0,44.0,119.0,96.0,52.0,94.0,49.0,90.0,50.0,,,,,86.0,1968.0,,,,,5.0,37382.0,,,254.0,37.0,201.0,496.0,87.4,1153.0,29.0,1209.0,36.0,33.0,,,76.0,119.0,84.0,67.0,87.0,2110.0
1196,ASCENSION ST VINCENT KOKOMO (150010),2023,Acute Care,Voluntary non-profit - Church,144.0,40.487218,-86.155487,IN,182.0,1549.0,205.0,29.0,,,,,45.0,117.0,95.0,44.0,,,94.0,144.0,,,,,45.0,1425.0,,,95.0,265.0,3.0,26598.0,52.0,13.0,154.0,20.0,174.0,370.0,70.1,887.0,,,47.0,34.0,85.0,13.0,69.0,117.0,85.0,52.0,96.0,1237.0
1197,MARION GENERAL HOSPITAL (150011),2023,Acute Care,Voluntary non-profit - Private,119.0,40.563853,-85.665139,IN,,,,,,,,,48.0,227.0,94.0,33.0,91.0,33.0,96.0,55.0,,,70.0,27.0,91.0,1739.0,,,97.0,399.0,2.0,38535.0,,,217.0,19.0,138.0,368.0,77.0,1580.0,16.0,609.0,50.0,64.0,85.0,20.0,70.0,228.0,91.0,106.0,97.0,1025.0
1198,SAINT JOSEPH REGIONAL MEDICAL CENTER (150012),2023,Acute Care,Voluntary non-profit - Private,286.0,41.704501,-86.174459,IN,,,,,,,,,61.0,145.0,97.0,109.0,95.0,104.0,74.0,50.0,,,54.0,13.0,87.0,3423.0,,,91.0,639.0,5.0,47318.0,,,162.0,12.0,202.0,452.0,91.1,2842.0,,,64.0,50.0,93.0,29.0,88.0,145.0,81.0,100.0,,
1199,FRANCISCAN HEALTH MICHIGAN CITY (150015),2023,Acute Care,Voluntary non-profit - Church,160.0,,,IN,,,,,,,92.0,39.0,52.0,147.0,100.0,48.0,98.0,45.0,93.0,192.0,,,84.0,19.0,92.0,1720.0,,,,,2.0,31945.0,,,160.0,21.0,152.0,468.0,92.1,1621.0,,,56.0,48.0,87.0,15.0,77.0,147.0,87.0,85.0,94.0,1895.0
1200,LUTHERAN HOSPITAL OF INDIANA (150017),2023,Acute Care,Proprietary,389.0,41.037374,-85.245885,IN,,,,,59.0,59.0,70.0,196.0,43.0,144.0,93.0,213.0,91.0,205.0,87.0,239.0,,,,,72.0,4378.0,,,,,4.0,14502.0,,,,,167.0,411.0,78.4,2695.0,,,55.0,49.0,67.0,18.0,70.0,145.0,85.0,68.0,,
1201,ELKHART GENERAL HOSPITAL (150018),2023,Acute Care,Government - Local,261.0,41.678761,-85.991833,IN,,,,,69.0,26.0,94.0,97.0,43.0,209.0,95.0,114.0,93.0,112.0,92.0,112.0,,,55.0,11.0,85.0,2288.0,,,,,6.0,48572.0,,,301.0,27.0,198.0,434.0,84.4,1546.0,,,65.0,86.0,36.0,42.0,76.0,210.0,89.0,111.0,,
1202,PARKVIEW REGIONAL MEDICAL CENTER (150021),2023,Acute Care,Voluntary non-profit - Private,713.0,41.187063,-85.09946,IN,100.0,7656.0,88.0,368.0,,,,,48.0,114.0,96.0,346.0,95.0,327.0,100.0,88.0,,,,,97.0,12194.0,,,,,1.0,132684.0,,,,,144.0,398.0,78.1,9471.0,,,45.0,42.0,71.0,14.0,74.0,114.0,96.0,55.0,97.0,8855.0
1203,FRANCISCAN HEALTH CRAWFORDSVILLE (150022),2023,Acute Care,Voluntary non-profit - Church,42.0,40.066073,-86.908085,IN,,,,,,,,,39.0,82.0,,,,,92.0,66.0,,,65.0,17.0,88.0,529.0,,,,,2.0,17379.0,,,,,105.0,408.0,87.5,451.0,,,45.0,33.0,50.0,12.0,80.0,82.0,77.0,43.0,96.0,322.0
1204,UNION HOSPITAL INC (150023),2023,Acute Care,Voluntary non-profit - Other,278.0,39.484862,-87.407085,IN,,,,,70.0,33.0,93.0,105.0,52.0,613.0,92.0,125.0,96.0,124.0,83.0,305.0,,,79.0,14.0,95.0,3455.0,,,,,2.0,50039.0,,,416.0,101.0,194.0,1514.0,89.2,3019.0,,,68.0,225.0,80.0,98.0,78.0,613.0,85.0,381.0,,
1205,ESKENAZI HEALTH (150024),2023,Acute Care,Government - Local,325.0,39.78053,-86.17345,IN,,,,,,,91.0,96.0,78.0,95.0,99.0,96.0,99.0,92.0,99.0,124.0,,,,,97.0,6077.0,,,,,4.0,101706.0,,,277.0,27.0,204.0,364.0,95.5,4652.0,,,90.0,40.0,96.0,27.0,85.0,96.0,97.0,67.0,,
