,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample)
773,MEMORIAL HOSPITAL PEMBROKE (100230),2020,Acute Care,Government - Hospital District or Authority,268.0,26.030929,-80.24612,FL,70.0,70.0,97.0,31.0,100.0,47.0,,,,,,,85.0,1761.0,,,1.0,112388.0,48.0,18.0,,,136.0,736.0,130.0,355.0,,,88.0,60.0,65.0,20.0,89.0,70.0,96.0,49.0
774,WEST FLORIDA HOSPITAL (100231),2020,Acute Care,Proprietary,476.0,30.515161,-87.21692,FL,89.0,130.0,100.0,28.0,100.0,100.0,,,,,95.0,22.0,83.0,2157.0,,,1.0,84941.0,,,202.0,22.0,69.0,1109.0,113.0,500.0,4.0,45.0,96.0,123.0,88.0,24.0,95.0,131.0,99.0,87.0
775,PUTNAM COMMUNITY MEDICAL CENTER (100232),2020,Acute Care,Proprietary,96.0,29.642378,-81.693518,FL,66.0,151.0,100.0,46.0,97.0,73.0,,,,,,,91.0,675.0,,,1.0,46901.0,,,126.0,16.0,121.0,1142.0,102.0,439.0,9.0,35.0,94.0,109.0,85.0,27.0,78.0,152.0,90.0,84.0
776,FAWCETT MEMORIAL HOSPITAL (100236),2020,Acute Care,Proprietary,242.0,26.987872,-82.097729,FL,72.0,164.0,87.0,15.0,100.0,19.0,,,,,,,81.0,1355.0,,,0.0,32409.0,,,192.0,20.0,92.0,1296.0,150.0,472.0,,,93.0,137.0,73.0,33.0,88.0,165.0,93.0,115.0
777,NORTHSIDE HOSPITAL (100238),2020,Acute Care,Proprietary,220.0,27.826053,-82.700001,FL,75.0,199.0,95.0,21.0,100.0,43.0,,,,,,,61.0,2028.0,,,0.0,37894.0,,,193.0,19.0,65.0,1288.0,125.0,370.0,,,94.0,170.0,70.0,33.0,87.0,199.0,97.0,106.0
778,GULF COAST REGIONAL MEDICAL CENTER (100242),2020,Acute Care,Proprietary,210.0,30.189682,-85.666124,FL,57.0,169.0,100.0,21.0,100.0,102.0,,,,,92.0,24.0,56.0,1699.0,,,0.0,61051.0,,,469.0,12.0,290.0,1105.0,177.0,542.0,0.0,69.0,87.0,117.0,45.0,11.0,85.0,169.0,71.0,92.0
779,BRANDON REGIONAL HOSPITAL (100243),2020,Acute Care,Proprietary,417.0,27.934002,-82.288303,FL,81.0,160.0,100.0,41.0,100.0,100.0,,,,,71.0,14.0,86.0,3214.0,,,1.0,117827.0,,,,,91.0,1044.0,133.0,513.0,0.0,84.0,96.0,138.0,88.0,16.0,94.0,162.0,88.0,105.0
780,CAPE CORAL HOSPITAL (100244),2020,Acute Care,Government - Hospital District or Authority,289.0,26.639321,-81.940946,FL,49.0,218.0,90.0,41.0,95.0,110.0,,,,,73.0,15.0,88.0,2685.0,,,2.0,70214.0,28.0,15.0,227.0,23.0,156.0,972.0,198.0,389.0,3.0,31.0,73.0,148.0,92.0,13.0,78.0,218.0,83.0,128.0
781,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE (100246),2020,Acute Care,Proprietary,381.0,27.431942,-80.347352,FL,58.0,158.0,100.0,20.0,100.0,32.0,,,,,,,49.0,2521.0,,,0.0,77590.0,,,,,196.0,1208.0,140.0,477.0,1.0,98.0,88.0,112.0,36.0,11.0,73.0,158.0,96.0,95.0
782,LARGO MEDICAL CENTER (100248),2020,Acute Care,Proprietary,364.0,27.914914,-82.802671,FL,83.0,132.0,97.0,31.0,100.0,99.0,,,,,,,69.0,2998.0,,,1.0,65629.0,,,186.0,39.0,64.0,1140.0,123.0,434.0,,,92.0,119.0,100.0,25.0,92.0,133.0,97.0,93.0
783,BAYFRONT HEALTH SEVEN RIVERS (100249),2020,Acute Care,Proprietary,126.0,28.950896,-82.625866,FL,65.0,217.0,,,,,,,,,,,67.0,901.0,,,2.0,25217.0,,,217.0,13.0,126.0,929.0,144.0,401.0,0.0,30.0,94.0,161.0,69.0,36.0,75.0,218.0,98.0,112.0
784,RAULERSON HOSPITAL (100252),2020,Acute Care,Proprietary,100.0,27.260537,-80.829875,FL,86.0,90.0,100.0,51.0,100.0,70.0,,,82.0,11.0,95.0,19.0,86.0,564.0,,,0.0,28701.0,,,172.0,12.0,51.0,1070.0,122.0,416.0,,,95.0,83.0,88.0,16.0,94.0,90.0,97.0,64.0
785,JUPITER MEDICAL CENTER (100253),2020,Acute Care,Voluntary non-profit - Private,200.0,26.922824,-80.094539,FL,60.0,332.0,84.0,83.0,82.0,84.0,89.0,37.0,,,45.0,11.0,,,,,1.0,39491.0,,,182.0,18.0,189.0,784.0,194.0,393.0,7.0,30.0,85.0,252.0,78.0,63.0,79.0,332.0,94.0,184.0
786,CAPITAL REGIONAL MEDICAL CENTER (100254),2020,Acute Care,Proprietary,249.0,30.475376,-84.230728,FL,63.0,110.0,88.0,80.0,79.0,39.0,,,,,,,73.0,1423.0,,,0.0,104702.0,,,124.0,16.0,100.0,961.0,124.0,546.0,2.0,61.0,95.0,73.0,,,73.0,110.0,87.0,54.0
787,REGIONAL MEDICAL CENTER BAYONET POINT (100256),2020,Acute Care,Proprietary,283.0,28.360743,-82.690148,FL,86.0,109.0,,,,,,,,,,,76.0,1759.0,,,1.0,48369.0,,,257.0,18.0,58.0,1337.0,147.0,461.0,,,100.0,95.0,95.0,20.0,91.0,109.0,95.0,74.0
788,DELRAY MEDICAL CENTER (100258),2020,Acute Care,Proprietary,480.0,26.439246,-80.127919,FL,76.0,89.0,100.0,30.0,100.0,53.0,,,,,,,,,,,1.0,50251.0,,,202.0,44.0,196.0,1109.0,170.0,454.0,,,96.0,71.0,100.0,22.0,92.0,90.0,86.0,77.0
789,SOUTH BAY HOSPITAL (100259),2020,Acute Care,Proprietary,124.0,27.71239,-82.365168,FL,66.0,117.0,100.0,31.0,100.0,101.0,,,,,,,85.0,1031.0,,,0.0,23158.0,,,177.0,20.0,65.0,1189.0,142.0,424.0,,,89.0,88.0,80.0,15.0,81.0,117.0,93.0,67.0
790,ST LUCIE MEDICAL CENTER (100260),2020,Acute Care,Proprietary,225.0,27.288027,-80.29591,FL,78.0,144.0,,,73.0,15.0,,,,,,,68.0,1345.0,,,0.0,55683.0,39.0,13.0,158.0,15.0,92.0,1008.0,116.0,449.0,0.0,37.0,95.0,128.0,57.0,21.0,91.0,144.0,97.0,101.0
791,OAK HILL HOSPITAL (100264),2020,Acute Care,Voluntary non-profit - Other,279.0,28.533305,-82.534495,FL,75.0,157.0,100.0,26.0,100.0,28.0,,,,,89.0,19.0,81.0,2195.0,,,0.0,59986.0,,,,,98.0,1268.0,156.0,497.0,0.0,105.0,94.0,125.0,100.0,28.0,86.0,158.0,90.0,101.0
792,MORTON PLANT MEASE HEALTHCARE COUNTRYSIDE (100265),2020,Acute Care,Voluntary non-profit - Private,313.0,28.040326,-82.708971,FL,72.0,434.0,93.0,112.0,100.0,122.0,,,,,64.0,11.0,74.0,3200.0,,,1.0,60480.0,,,222.0,22.0,91.0,1161.0,162.0,655.0,3.0,176.0,87.0,365.0,93.0,71.0,86.0,435.0,98.0,286.0
793,GULF BREEZE HOSPITAL (100266),2020,Acute Care,Voluntary non-profit - Other,66.0,30.358649,-87.156803,FL,44.0,73.0,100.0,93.0,99.0,106.0,,,,,86.0,14.0,,,,,1.0,29837.0,57.0,19.0,,,137.0,577.0,147.0,410.0,,,80.0,40.0,,,75.0,73.0,59.0,37.0
794,ENGLEWOOD COMMUNITY HOSPITAL (100267),2020,Acute Care,Proprietary,100.0,26.949009,-82.327951,FL,87.0,115.0,,,,,,,,,98.0,40.0,90.0,487.0,,,1.0,21254.0,,,204.0,14.0,43.0,929.0,125.0,421.0,,,100.0,105.0,76.0,21.0,91.0,115.0,100.0,72.0
795,WEST BOCA MEDICAL CENTER (100268),2020,Acute Care,Proprietary,195.0,26.354571,-80.203236,FL,67.0,126.0,95.0,44.0,100.0,89.0,,,,,,,,,,,1.0,45091.0,,,172.0,14.0,110.0,848.0,138.0,468.0,5.0,58.0,79.0,108.0,82.0,34.0,88.0,126.0,96.0,78.0
796,PALMS WEST HOSPITAL (100269),2020,Acute Care,Proprietary,199.0,26.681928,-80.251439,FL,73.0,116.0,100.0,26.0,100.0,43.0,,,,,,,57.0,2220.0,,,0.0,54062.0,,,,,167.0,828.0,127.0,456.0,5.0,64.0,93.0,99.0,55.0,20.0,90.0,117.0,94.0,78.0
797,WELLINGTON REGIONAL MEDICAL CENTER LLC (100275),2020,Acute Care,Proprietary,222.0,26.650806,-80.204858,FL,62.0,127.0,,,100.0,23.0,,,,,,,,,,,0.0,50924.0,,,,,115.0,771.0,140.0,392.0,0.0,50.0,87.0,97.0,65.0,20.0,80.0,127.0,95.0,78.0
798,BROWARD HEALTH CORAL SPRINGS (100276),2020,Acute Care,Government - Hospital District or Authority,204.0,26.268779,-80.254161,FL,76.0,363.0,100.0,95.0,99.0,157.0,,,,,,,90.0,2791.0,,,0.0,66101.0,48.0,15.0,,,109.0,730.0,141.0,409.0,0.0,121.0,93.0,309.0,85.0,73.0,88.0,363.0,96.0,233.0
799,MEMORIAL HOSPITAL WEST (100281),2020,Acute Care,Government - Hospital District or Authority,415.0,26.013281,-80.309457,FL,71.0,153.0,99.0,214.0,100.0,154.0,98.0,52.0,,,89.0,18.0,85.0,5021.0,,,1.0,99213.0,,,309.0,12.0,206.0,670.0,195.0,341.0,0.0,94.0,87.0,128.0,81.0,31.0,89.0,154.0,92.0,105.0
800,WESTCHESTER GENERAL HOSPITAL (100284),2020,Acute Care,Proprietary,158.0,25.74804,-80.317224,FL,100.0,13.0,,,,,,,,,,,,,,,1.0,9686.0,,,411.0,192.0,,,206.0,921.0,,,100.0,11.0,100.0,11.0,100.0,13.0,100.0,12.0
801,MEMORIAL HOSPITAL MIRAMAR (100285),2020,Acute Care,Voluntary non-profit - Other,178.0,25.991087,-80.376005,FL,90.0,72.0,94.0,17.0,,,,,,,,,87.0,2379.0,,,1.0,65391.0,34.0,12.0,185.0,11.0,140.0,386.0,171.0,347.0,0.0,97.0,98.0,66.0,100.0,21.0,93.0,72.0,98.0,62.0
802,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE (100286),2020,Acute Care,Proprietary,207.0,26.211764,-81.730707,FL,70.0,279.0,100.0,126.0,100.0,126.0,,,,,53.0,15.0,69.0,2479.0,,,0.0,45609.0,,,182.0,18.0,92.0,1080.0,137.0,391.0,,,97.0,207.0,88.0,49.0,88.0,279.0,81.0,204.0
803,GOOD SAMARITAN MEDICAL CENTER (100287),2020,Acute Care,Proprietary,333.0,26.725062,-80.049968,FL,45.0,92.0,,,70.0,20.0,,,,,,,,,,,1.0,41366.0,,,250.0,18.0,142.0,958.0,128.0,409.0,0.0,43.0,78.0,54.0,,,65.0,93.0,90.0,48.0
804,ST MARY'S MEDICAL CENTER (100288),2020,Acute Care,Proprietary,456.0,26.753208,-80.062803,FL,46.0,95.0,,,,,,,,,,,,,,,1.0,69994.0,,,134.0,12.0,109.0,652.0,137.0,404.0,0.0,81.0,81.0,58.0,,,64.0,95.0,93.0,41.0
805,CLEVELAND CLINIC HOSPITAL (100289),2020,Acute Care,Proprietary,187.0,26.080401,-80.365467,FL,63.0,139.0,90.0,103.0,99.0,104.0,,,,,,,93.0,4578.0,,,0.0,37473.0,,,,,205.0,683.0,187.0,397.0,,,88.0,103.0,63.0,19.0,83.0,139.0,84.0,83.0
806,"VILLAGES REGIONAL HOSPITAL, THE (100290)",2020,Acute Care,Voluntary non-profit - Private,271.0,28.94944,-81.958131,FL,51.0,160.0,84.0,19.0,100.0,56.0,,,,,79.0,29.0,86.0,2198.0,,,3.0,36568.0,,,299.0,11.0,230.0,1027.0,177.0,375.0,,,87.0,95.0,94.0,17.0,72.0,160.0,78.0,95.0
807,MELBOURNE REGIONAL MEDICAL CENTER (100291),2020,Acute Care,Voluntary non-profit - Private,109.0,28.109804,-80.67261,FL,68.0,82.0,94.0,137.0,99.0,215.0,,,,,,,90.0,710.0,,,0.0,16167.0,,,,,116.0,388.0,117.0,372.0,,,88.0,66.0,71.0,14.0,83.0,82.0,95.0,44.0
808,SACRED HEART HOSPITAL ON THE EMERALD COAST (100292),2020,Acute Care,Voluntary non-profit - Other,62.0,30.376819,-86.306823,FL,89.0,135.0,58.0,106.0,86.0,234.0,,,,,69.0,16.0,,,,,2.0,29294.0,,,,,79.0,536.0,187.0,404.0,2.0,116.0,93.0,129.0,94.0,36.0,96.0,136.0,99.0,84.0
809,DOCTORS HOSPITAL (100296),2020,Acute Care,Voluntary non-profit - Other,256.0,25.724611,-80.273181,FL,74.0,205.0,,,,,,,,,,,86.0,1739.0,,,1.0,22029.0,,,,,128.0,884.0,202.0,466.0,,,88.0,176.0,90.0,42.0,89.0,205.0,95.0,132.0
810,LAKEWOOD RANCH MEDICAL CENTER (100299),2020,Acute Care,Proprietary,123.0,27.392671,-82.434725,FL,95.0,76.0,100.0,70.0,100.0,76.0,,,,,92.0,13.0,,,,,0.0,30569.0,,,179.0,11.0,62.0,877.0,119.0,395.0,0.0,35.0,96.0,75.0,100.0,15.0,99.0,76.0,100.0,51.0
811,ST CLOUD REGIONAL MEDICAL CENTER (100302),2020,Acute Care,Proprietary,84.0,28.242414,-81.302658,FL,60.0,135.0,81.0,31.0,86.0,88.0,,,,,25.0,16.0,91.0,589.0,,,1.0,26860.0,79.0,25.0,242.0,15.0,81.0,904.0,159.0,395.0,,,84.0,101.0,82.0,22.0,82.0,135.0,88.0,85.0
812,ASCENSION ST VINCENT'S SOUTHSIDE (100307),2020,Acute Care,Voluntary non-profit - Private,298.0,30.253096,-81.584126,FL,79.0,82.0,100.0,45.0,100.0,65.0,,,,,,,,,,,1.0,39431.0,,,311.0,11.0,94.0,534.0,155.0,392.0,0.0,28.0,96.0,70.0,76.0,17.0,87.0,82.0,98.0,45.0
813,ASCENSION SACRED HEART GULF (100313),2020,Acute Care,Voluntary non-profit - Private,19.0,29.776562,-85.287605,FL,,,38.0,21.0,88.0,49.0,,,,,,,,,,,1.0,9352.0,,,132.0,12.0,52.0,325.0,110.0,384.0,,,,,,,,,,
814,WEST KENDALL BAPTIST HOSPITAL (100314),2020,Acute Care,Voluntary non-profit - Private,132.0,25.679344,-80.456967,FL,67.0,175.0,100.0,19.0,100.0,18.0,,,,,92.0,12.0,83.0,2525.0,,,2.0,64543.0,33.0,21.0,237.0,19.0,131.0,1293.0,191.0,958.0,0.0,46.0,90.0,138.0,67.0,30.0,81.0,176.0,97.0,112.0
815,VIERA HOSPITAL (100315),2020,Acute Care,Voluntary non-profit - Private,84.0,28.229812,-80.729434,FL,66.0,95.0,100.0,18.0,94.0,47.0,,,,,,,96.0,1227.0,,,1.0,25160.0,168.0,12.0,,,111.0,809.0,180.0,384.0,,,86.0,74.0,,,80.0,95.0,96.0,47.0
816,PALM BAY HOSPITAL (100316),2020,Acute Care,Proprietary,139.0,27.99833,-80.61208,FL,80.0,90.0,100.0,15.0,87.0,52.0,,,,,100.0,11.0,94.0,1183.0,,,1.0,49703.0,114.0,26.0,190.0,19.0,108.0,1155.0,144.0,372.0,,,88.0,83.0,87.0,31.0,93.0,90.0,98.0,59.0
817,ADVENTHEALTH WESLEY CHAPEL (100319),2020,Acute Care,Voluntary non-profit - Private,126.0,28.193718,-82.353402,FL,91.0,360.0,100.0,15.0,100.0,23.0,,,,,,,99.0,1945.0,,,1.0,44848.0,,,,,48.0,706.0,160.0,416.0,0.0,86.0,99.0,334.0,92.0,36.0,93.0,365.0,100.0,216.0
818,POINCIANA MEDICAL CENTER (100320),2020,Acute Care,Proprietary,66.0,28.142723,-81.472985,FL,66.0,93.0,100.0,28.0,96.0,83.0,,,,,69.0,13.0,61.0,684.0,,,0.0,51141.0,58.0,13.0,111.0,12.0,75.0,1151.0,118.0,458.0,,,89.0,73.0,58.0,12.0,83.0,93.0,93.0,59.0
819,ASCENSION ST VINCENT'S CLAY COUNTY (100321),2020,Acute Care,Voluntary non-profit - Private,98.0,30.111135,-81.831298,FL,76.0,74.0,100.0,67.0,100.0,110.0,,,,,,,,,,,1.0,47949.0,75.0,18.0,265.0,12.0,112.0,803.0,143.0,388.0,0.0,47.0,97.0,59.0,,,84.0,74.0,92.0,39.0
820,OVIEDO MEDICAL CENTER (100329),2020,Acute Care,Proprietary,64.0,28.65604,-81.227973,FL,51.0,89.0,,,,,,,,,,,79.0,503.0,,,0.0,28555.0,44.0,26.0,188.0,13.0,66.0,833.0,105.0,451.0,0.0,31.0,81.0,63.0,45.0,11.0,80.0,89.0,86.0,58.0
821,ADVENTHEALTH WAUCHULA (101300),2020,Critical Access,Voluntary non-profit - Private,25.0,,,FL,,,,,,,,,,,,,94.0,184.0,,,0.0,15206.0,,,,,72.0,74.0,102.0,390.0,,,,,,,,,,
822,LAKE CITY MEDICAL CENTER SUWANNEE CAMPUS (101301),2020,Critical Access,Proprietary,22.0,,,FL,82.0,17.0,92.0,13.0,96.0,82.0,,,,,,,72.0,246.0,,,,,,,,,81.0,629.0,120.0,383.0,,,100.0,14.0,,,88.0,17.0,93.0,15.0
823,NORTHWEST FLORIDA COMMUNITY HOSPITAL (101308),2020,Critical Access,Voluntary non-profit - Private,59.0,30.76457,-85.542643,FL,,,,,,,,,,,,,97.0,327.0,,,,,,,,,,,,,,,,,,,,,,
824,HENDRY REGIONAL MEDICAL CENTER (101309),2020,Critical Access,Voluntary non-profit - Other,25.0,26.753239,-80.942276,FL,71.0,14.0,,,,,,,,,33.0,18.0,,,,,1.0,16558.0,,,,,,,126.0,431.0,,,,,,,71.0,14.0,,
825,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPU (101310),2020,Critical Access,Proprietary,25.0,29.941907,-82.10165,FL,72.0,40.0,100.0,69.0,100.0,76.0,,,,,,,93.0,270.0,,,2.0,21236.0,,,295.0,12.0,108.0,624.0,106.0,393.0,,,94.0,32.0,,,85.0,40.0,92.0,24.0
826,FISHERMEN'S COMMUNITY HOSPITAL (101312),2020,Critical Access,Voluntary non-profit - Private,16.0,24.71113,-81.09472,FL,,,,,,,,,,,87.0,15.0,58.0,222.0,,,,,,,186.0,16.0,62.0,17.0,100.0,343.0,,,,,,,,,,
827,MARINERS HOSPITAL (101313),2020,Critical Access,Voluntary non-profit - Private,24.0,25.005408,-80.521301,FL,,,77.0,79.0,99.0,94.0,,,73.0,11.0,86.0,14.0,69.0,437.0,,,1.0,12584.0,,,209.0,15.0,51.0,373.0,127.0,390.0,,,,,,,,,,
828,HAMILTON MEDICAL CENTER (110001),2020,Acute Care,Voluntary non-profit - Private,253.0,34.788884,-84.983657,GA,74.0,337.0,90.0,128.0,98.0,122.0,92.0,12.0,,,78.0,18.0,97.0,2653.0,,,3.0,58142.0,,,326.0,17.0,66.0,602.0,215.0,290.0,6.0,34.0,91.0,283.0,78.0,37.0,87.0,339.0,96.0,209.0
829,UPSON REGIONAL MEDICAL CENTER (110002),2020,Acute Care,Voluntary non-profit - Other,106.0,32.887252,-84.336109,GA,52.0,167.0,94.0,67.0,82.0,51.0,,,,,,,,,,,2.0,30677.0,91.0,15.0,228.0,17.0,93.0,531.0,152.0,402.0,6.0,34.0,78.0,131.0,29.0,24.0,84.0,167.0,92.0,106.0
830,MAYO CLINIC HEALTH SYSTEM IN WAYCROSS (110003),2020,Acute Care,Voluntary non-profit - Private,251.0,31.226007,-82.349239,GA,72.0,120.0,96.0,28.0,99.0,100.0,,,,,100.0,31.0,54.0,1003.0,,,1.0,31668.0,,,253.0,25.0,90.0,986.0,134.0,516.0,0.0,71.0,92.0,92.0,,,78.0,120.0,100.0,71.0
831,NORTHSIDE HOSPITAL FORSYTH (110005),2020,Acute Care,Voluntary non-profit - Private,265.0,34.178588,-84.139246,GA,66.0,365.0,96.0,73.0,100.0,104.0,76.0,21.0,,,100.0,23.0,95.0,4842.0,,,1.0,63599.0,,,290.0,19.0,105.0,632.0,156.0,387.0,0.0,249.0,87.0,287.0,84.0,61.0,83.0,366.0,93.0,213.0
832,ST MARY'S HOSPITAL (110006),2020,Acute Care,Voluntary non-profit - Private,262.0,33.945929,-83.404467,GA,53.0,291.0,89.0,115.0,99.0,147.0,,,,,54.0,13.0,94.0,2970.0,,,2.0,46808.0,,,209.0,15.0,128.0,524.0,136.0,391.0,0.0,135.0,81.0,209.0,59.0,46.0,76.0,291.0,93.0,169.0
833,PHOEBE PUTNEY MEMORIAL HOSPITAL (110007),2020,Acute Care,Government - Hospital District or Authority,478.0,31.590229,-84.156267,GA,32.0,145.0,62.0,636.0,96.0,2113.0,100.0,33.0,,,58.0,31.0,,,,,7.0,75337.0,,,259.0,19.0,204.0,678.0,219.0,465.0,0.0,674.0,75.0,71.0,50.0,12.0,66.0,145.0,59.0,58.0
834,NORTHSIDE HOSPITAL CHEROKEE (110008),2020,Acute Care,Voluntary non-profit - Other,123.0,34.227523,-84.460562,GA,64.0,303.0,95.0,174.0,100.0,337.0,100.0,24.0,,,83.0,23.0,92.0,3831.0,,,1.0,59949.0,,,184.0,22.0,140.0,708.0,176.0,386.0,0.0,205.0,84.0,240.0,85.0,54.0,83.0,304.0,93.0,162.0
835,EMORY UNIVERSITY HOSPITAL (110010),2020,Acute Care,Voluntary non-profit - Private,612.0,33.791881,-84.320977,GA,30.0,63.0,56.0,18.0,37.0,30.0,,,,,,,,,,,1.0,50812.0,,,290.0,24.0,158.0,546.0,276.0,346.0,,,72.0,29.0,,,52.0,63.0,80.0,20.0
836,TANNER MEDICAL CENTER - CARROLLTON (110011),2020,Acute Care,Government - Hospital District or Authority,175.0,33.570555,-85.072464,GA,56.0,597.0,97.0,143.0,99.0,160.0,96.0,75.0,,,100.0,12.0,96.0,3058.0,,,2.0,51323.0,,,299.0,13.0,144.0,712.0,167.0,382.0,1.0,157.0,82.0,435.0,71.0,98.0,82.0,597.0,84.0,357.0
837,TANNER MEDICAL CENTER VILLA RICA (110015),2020,Acute Care,Government - Hospital District or Authority,118.0,33.742992,-84.919477,GA,56.0,225.0,98.0,143.0,100.0,112.0,,,,,,,95.0,2251.0,,,2.0,34361.0,,,343.0,13.0,147.0,511.0,135.0,389.0,2.0,48.0,83.0,159.0,70.0,27.0,80.0,226.0,85.0,140.0
838,WELLSTAR WEST GEORGIA MEDICAL CENTER (110016),2020,Acute Care,Government - Hospital District or Authority,456.0,33.031301,-85.056671,GA,63.0,119.0,83.0,77.0,100.0,76.0,,,,,82.0,11.0,,,,,1.0,59472.0,,,909.0,17.0,103.0,952.0,124.0,367.0,2.0,42.0,89.0,94.0,47.0,17.0,83.0,119.0,93.0,74.0
839,PIEDMONT NEWTON HOSPITAL (110018),2020,Acute Care,Voluntary non-profit - Private,92.0,33.602673,-83.848082,GA,45.0,119.0,,,,,,,,,85.0,46.0,,,,,3.0,45847.0,46.0,20.0,,,72.0,924.0,183.0,406.0,0.0,38.0,79.0,78.0,31.0,16.0,86.0,119.0,70.0,79.0
840,ADVENTHEALTH GORDON (110023),2020,Acute Care,Voluntary non-profit - Church,69.0,34.511878,-84.92537,GA,67.0,308.0,94.0,109.0,99.0,151.0,100.0,23.0,,,86.0,21.0,93.0,1629.0,,,1.0,36142.0,,,311.0,18.0,66.0,527.0,152.0,407.0,7.0,29.0,91.0,246.0,48.0,44.0,81.0,308.0,99.0,181.0
841,CANDLER HOSPITAL (110024),2020,Acute Care,Voluntary non-profit - Other,260.0,32.027361,-81.101731,GA,36.0,356.0,96.0,133.0,99.0,77.0,100.0,50.0,,,,,92.0,4293.0,,,1.0,64897.0,56.0,24.0,,,333.0,470.0,160.0,372.0,0.0,69.0,86.0,203.0,2.0,47.0,66.0,356.0,82.0,181.0
842,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS (110025),2020,Acute Care,Government - Hospital District or Authority,308.0,31.173785,-81.484516,GA,31.0,135.0,93.0,42.0,98.0,52.0,21.0,38.0,,,100.0,28.0,92.0,2111.0,,,3.0,57509.0,,,176.0,19.0,165.0,829.0,159.0,397.0,17.0,58.0,81.0,52.0,,,53.0,135.0,52.0,42.0
843,"TY COBB REGIONAL MEDICAL CENTER, LLC (110027)",2020,Acute Care,Voluntary non-profit - Private,80.0,34.439485,-83.130855,GA,60.0,53.0,60.0,87.0,76.0,58.0,,,,,,,99.0,383.0,,,2.0,22189.0,,,244.0,16.0,72.0,404.0,143.0,395.0,0.0,35.0,88.0,42.0,62.0,13.0,92.0,53.0,80.0,35.0
