,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample)
1487,SEDAN CITY HOSPITAL (171318),2019,Critical Access,Government - Local,16.0,37.17144,-95.103054,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,45.0,81.0,125.0,160.0,56.0,,
1488,HOLTON COMMUNITY HOSPITAL (171319),2019,Critical Access,Voluntary non-profit - Private,12.0,39.479464,-95.750908,KS,,,,,,,,,,,,,93.0,305.0,,,76.0,41.0,,,1.0,2996.0,7.0,22.0,,,172.0,11.0,44.0,83.0,105.0,370.0,204.0,86.0,,
1489,MEADE DISTRICT HOSPITAL (171321),2019,Critical Access,Government - Hospital District or Authority,56.0,37.28549,-100.334267,KS,,,,,,,,,,,,,50.0,142.0,,,12.0,136.0,,,,,,,,,,,16.0,115.0,95.0,225.0,104.0,122.0,,
1490,HAMILTON COUNTY HOSPITAL (171322),2019,Critical Access,Government - Local,47.0,,,KS,,,,,,,,,,,,,59.0,41.0,,,,,,,0.0,633.0,,,,,120.0,11.0,,,94.0,155.0,,,,
1491,STAFFORD COUNTY HOSPITAL (171323),2019,Critical Access,Voluntary non-profit - Other,25.0,37.956859,-98.596151,KS,,,,,,,,,,,,,35.0,63.0,,,24.0,17.0,,,1.0,640.0,,,,,,,,,64.0,167.0,96.0,26.0,,
1492,SATANTA DISTRICT HOSPITAL (171324),2019,Critical Access,Government - Hospital District or Authority,57.0,,,KS,,,,,,,,,,,,,81.0,150.0,,,83.0,24.0,,,0.0,1117.0,,,,,,,16.0,29.0,109.0,197.0,118.0,29.0,,
1493,GRAHAM COUNTY HOSPITAL (171325),2019,Critical Access,Government - Local,19.0,39.371776,-99.845075,KS,,,,,,,,,,,,,74.0,84.0,,,52.0,89.0,,,,,,,,,,,15.0,98.0,101.0,85.0,81.0,123.0,,
1494,LOGAN COUNTY HOSPITAL (171326),2019,Critical Access,Government - Local,55.0,39.126915,-100.862279,KS,,,,,,,,,,,,,,,,,,,,,0.0,1098.0,,,,,154.0,11.0,,,108.0,225.0,,,,
1495,ELLSWORTH COUNTY MEDICAL CENTER (171327),2019,Critical Access,Government - Local,19.0,38.741969,-98.218892,KS,74.0,19.0,,,,,,,,,,,79.0,177.0,,,89.0,171.0,,,,,,,,,,,16.0,279.0,,,162.0,283.0,,
1496,OTTAWA COUNTY HEALTH CENTER (171328),2019,Critical Access,Voluntary non-profit - Other,38.0,39.128797,-97.704255,KS,,,,,,,,,,,,,71.0,90.0,,,62.0,40.0,,,,,,,,,,,7.0,39.0,92.0,210.0,99.0,49.0,,
1497,SUMNER COUNTY HOSPITAL DISTRICT NO 1 (171329),2019,Critical Access,Government - Hospital District or Authority,25.0,37.02628,-97.609616,KS,54.0,13.0,,,,,,,,,,,,,,,60.0,47.0,,,0.0,672.0,,,,,,,9.0,64.0,80.0,250.0,94.0,66.0,,
1498,HOSPITAL DISTRICT #1 OF RICE COUNTY (171330),2019,Critical Access,Government - Hospital District or Authority,25.0,38.34167,-98.216146,KS,,,,,,,,,,,,,95.0,196.0,,,10.0,144.0,,,,,,,,,,,,,,,,,,
1499,KIOWA DISTRICT HOSPITAL (171331),2019,Critical Access,Government - Hospital District or Authority,14.0,37.008547,-98.489795,KS,,,,,,,,,,,,,97.0,78.0,,,,,,,,,,,,,,,,,68.0,201.0,,,,
1500,KIOWA COUNTY MEMORIAL HOSPITAL (171332),2019,Critical Access,Government - Local,15.0,37.606167,-99.301774,KS,,,,,,,,,,,,,,,,,,,,,0.0,685.0,,,,,,,,,73.0,225.0,,,,
1501,CLARA BARTON HOSPITAL (171333),2019,Critical Access,Voluntary non-profit - Private,18.0,38.521549,-98.77941,KS,,,,,,,,,,,,,78.0,320.0,,,81.0,194.0,,,,,,,,,,,38.0,171.0,132.0,108.0,198.0,237.0,,
1502,MEDICINE LODGE MEMORIAL HOSPITAL (171334),2019,Critical Access,Government - Hospital District or Authority,22.0,37.289877,-98.577659,KS,,,,,,,,,,,,,58.0,144.0,,,74.0,54.0,,,0.0,902.0,12.0,18.0,,,,,5.0,35.0,68.0,256.0,84.0,44.0,,
1503,NESS COUNTY HOSPITAL DISTRICT #2 (171336),2019,Critical Access,Government - Hospital District or Authority,60.0,38.457811,-99.900932,KS,,,,,,,,,,,,,97.0,132.0,,,77.0,31.0,,,,,,,,,,,20.0,43.0,80.0,229.0,92.0,43.0,,
1504,WAMEGO HEALTH CENTER (171337),2019,Critical Access,Voluntary non-profit - Other,21.0,39.205511,-96.318193,KS,,,,,,,,,,,,,100.0,108.0,,,100.0,81.0,,,,,17.0,13.0,,,536.0,25.0,29.0,69.0,204.0,86.0,201.0,69.0,,
1505,SABETHA COMMUNITY HOSPITAL (171338),2019,Critical Access,Voluntary non-profit - Private,17.0,,,KS,,,,,,,,,,,,,100.0,137.0,,,62.0,48.0,,,0.0,1176.0,,,,,,,,,85.0,285.0,98.0,119.0,,
1506,GREENWOOD COUNTY HOSPITAL (171339),2019,Critical Access,Government - Local,25.0,37.835315,-96.29418,KS,,,,,,,,,,,,,63.0,192.0,,,46.0,136.0,,,0.0,2345.0,10.0,26.0,,,,,38.0,184.0,135.0,117.0,169.0,203.0,,
1507,HERINGTON MUNICIPAL HOSPITAL (171340),2019,Critical Access,Government - Local,21.0,38.679561,-96.942274,KS,,,,,,,,,,,,,,,,,,,,,2.0,2152.0,,,,,,,17.0,39.0,109.0,303.0,159.0,41.0,,
1508,RUSH COUNTY MEMORIAL HOSPITAL (171342),2019,Critical Access,Government - Local,29.0,38.530597,-99.316572,KS,,,,,,,,,,,,,63.0,108.0,,,49.0,61.0,,,0.0,523.0,,,,,,,0.0,38.0,110.0,217.0,136.0,40.0,,
1509,WILSON MEDICAL CENTER (171344),2019,Critical Access,Voluntary non-profit - Other,15.0,,,KS,61.0,18.0,,,,,,,,,,,88.0,216.0,,,68.0,40.0,,,,,7.0,17.0,,,,,53.0,94.0,89.0,289.0,155.0,99.0,,
1510,ANTHONY MEDICAL CENTER (171346),2019,Critical Access,Government - Hospital District or Authority,25.0,37.156336,-98.039323,KS,45.0,11.0,,,,,,,,,,,66.0,116.0,,,79.0,77.0,,,0.0,1166.0,6.0,13.0,,,,,13.0,82.0,86.0,216.0,107.0,135.0,,
1511,SHERIDAN COUNTY HOSPITAL (171347),2019,Critical Access,Government - Local,52.0,39.354188,-100.432735,KS,,,,,,,,,,,,,94.0,173.0,,,66.0,86.0,,,0.0,568.0,,,,,,,5.0,71.0,94.0,221.0,92.0,86.0,,
1512,NORTON COUNTY HOSPITAL (171348),2019,Critical Access,Government - Local,25.0,39.838529,-99.888742,KS,,,,,,,,,,,,,99.0,154.0,,,35.0,84.0,,,0.0,1956.0,15.0,11.0,,,120.0,20.0,9.0,76.0,107.0,471.0,123.0,105.0,,
1513,CLOUD COUNTY HEALTH CENTER (171349),2019,Critical Access,Voluntary non-profit - Private,22.0,39.565974,-97.672517,KS,40.0,20.0,,,,,,,,,,,,,,,70.0,166.0,,,0.0,2930.0,,,,,,,30.0,231.0,127.0,143.0,152.0,301.0,,
1514,RUSSELL REGIONAL HOSPITAL (171350),2019,Critical Access,Voluntary non-profit - Private,42.0,38.883262,-98.859836,KS,,,,,,,,,,,,,,,,,48.0,122.0,,,0.0,2350.0,,,,,94.0,18.0,34.0,142.0,62.0,220.0,124.0,143.0,,
1515,WASHINGTON COUNTY HOSPITAL (171351),2019,Critical Access,Government - Local,25.0,39.817478,-97.045572,KS,,,,,,,,,,,,,98.0,53.0,,,65.0,17.0,,,,,,,,,,,1.0,21.0,88.0,278.0,95.0,21.0,,
1516,DECATUR COUNTY HOSPITAL (171352),2019,Critical Access,Government - Local,36.0,39.816212,-100.53925,KS,,,,,,,,,,,,,100.0,89.0,,,78.0,54.0,,,0.0,699.0,9.0,11.0,,,,,22.0,57.0,108.0,215.0,135.0,56.0,,
1517,PHILLIPS COUNTY HEALTH SYSTEMS (171353),2019,Critical Access,Government - Local,25.0,39.755885,-99.313576,KS,,,,,,,,,,,,,,,,,68.0,65.0,,,,,4.0,21.0,,,152.0,11.0,28.0,89.0,124.0,217.0,147.0,120.0,,
1518,"COMMUNITY HOSPITAL, ONAGA AND ST MARYS CAMPUS (171354)",2019,Critical Access,Voluntary non-profit - Private,25.0,39.495155,-96.170861,KS,33.0,12.0,,,,,,,,,,,98.0,498.0,,,81.0,225.0,,,0.0,2057.0,6.0,28.0,,,,,16.0,31.0,99.0,214.0,148.0,110.0,,
1519,TREGO COUNTY LEMKE MEMORIAL HOSPITAL (171355),2019,Critical Access,Government - Local,62.0,39.027219,-99.87162,KS,,,,,,,,,,,,,98.0,276.0,,,78.0,139.0,,,0.0,1530.0,8.0,27.0,,,,,18.0,86.0,111.0,291.0,135.0,155.0,,
1520,ST LUKE HOSPITAL & LIVING CENTER (171356),2019,Critical Access,Government - Hospital District or Authority,42.0,38.342708,-97.010014,KS,,,,,,,,,,,,,86.0,145.0,,,93.0,46.0,,,0.0,1342.0,8.0,14.0,,,188.0,11.0,15.0,24.0,96.0,279.0,135.0,34.0,,
1521,HILLSBORO COMMUNITY HOSPITAL (171357),2019,Critical Access,Proprietary,16.0,38.361495,-97.187589,KS,,,,,,,,,,,,,90.0,107.0,,,,,,,0.0,1196.0,,,,,,,,,,,,,,
1522,LINDSBORG COMMUNITY HOSPITAL (171358),2019,Critical Access,Voluntary non-profit - Private,22.0,38.573435,-97.68359,KS,,,,,,,,,,,,,95.0,117.0,,,100.0,25.0,,,0.0,1901.0,,,,,,,14.0,44.0,98.0,209.0,133.0,53.0,,
1523,GREELEY COUNTY HEALTH SERVICES (171359),2019,Critical Access,Government - Local,826.0,38.470477,-101.749762,KS,,,,,,,,,,,,,78.0,120.0,,,50.0,58.0,,,,,,,,,,,35.0,36.0,101.0,223.0,120.0,92.0,,
1524,LINCOLN COUNTY HOSPITAL (171360),2019,Critical Access,Government - Local,10.0,39.045175,-98.14437,KS,,,,,,,,,,,,,,,,,73.0,48.0,,,,,10.0,15.0,,,,,28.0,62.0,138.0,260.0,155.0,63.0,,
1525,REPUBLIC COUNTY HOSPITAL (171361),2019,Critical Access,Voluntary non-profit - Private,50.0,39.818087,-97.636926,KS,,,,,,,,,,,,,100.0,231.0,,,64.0,138.0,,,20.0,1952.0,,,,,,,1.0,160.0,79.0,310.0,72.0,174.0,,
1526,CITIZENS MEDICAL CENTER (171362),2019,Critical Access,Voluntary non-profit - Private,82.0,39.379755,-101.045049,KS,,,,,,,,,,,,,100.0,354.0,,,9.0,174.0,,,,,,,,,,,33.0,128.0,,,176.0,140.0,,
1527,HANOVER HOSPITAL (171365),2019,Critical Access,Government - Hospital District or Authority,25.0,39.891047,-96.874771,KS,,,,,,,,,,,,,92.0,59.0,,,100.0,18.0,,,0.0,339.0,,,,,,,,,53.0,99.0,,,,
1528,GOVE COUNTY MEDICAL CENTER (171367),2019,Critical Access,Voluntary non-profit - Other,64.0,39.067161,-100.241311,KS,,,,,,,,,,,,,92.0,245.0,,,51.0,112.0,,,,,,,,,,,0.0,112.0,74.0,230.0,80.0,112.0,,
1529,MINNEOLA DISTRICT HOSPITAL NBR 2 (171368),2019,Critical Access,Government - Hospital District or Authority,52.0,37.441504,-100.013812,KS,,,,,,,,,,,,,98.0,129.0,,,61.0,59.0,,,0.0,1057.0,,,,,,,28.0,92.0,95.0,288.0,142.0,92.0,,
1530,HODGEMAN COUNTY HEALTH CENTER (171369),2019,Critical Access,Government - Local,33.0,38.08355,-99.881785,KS,,,,,,,,,,,,,83.0,95.0,,,72.0,74.0,,,,,,,,,,,12.0,63.0,,,106.0,63.0,,
1531,GOODLAND REGIONAL MEDICAL CENTER (171370),2019,Critical Access,Government - Local,21.0,39.35759,-101.713256,KS,,,,,,,,,,,,,,,,,90.0,108.0,,,0.0,2770.0,8.0,22.0,,,146.0,20.0,18.0,112.0,97.0,259.0,149.0,114.0,,
1532,CLAY COUNTY MEDICAL CENTER (171371),2019,Critical Access,Government - Local,19.0,39.391681,-97.124196,KS,,,,,,,,,,,,,89.0,359.0,,,67.0,214.0,,,0.0,3109.0,10.0,19.0,,,,,45.0,294.0,111.0,181.0,180.0,308.0,,
1533,SCOTT COUNTY HOSPITAL (171372),2019,Critical Access,Voluntary non-profit - Private,25.0,38.48487,-100.9035,KS,,,,,,,,,,,,,95.0,254.0,,,95.0,114.0,,,0.0,2668.0,10.0,15.0,,,127.0,11.0,29.0,69.0,108.0,262.0,126.0,150.0,,
1534,ALLEN COUNTY REGIONAL HOSPITAL (171373),2019,Critical Access,Proprietary,25.0,37.950342,-95.390674,KS,,,,,,,,,,,,,84.0,310.0,,,94.0,35.0,,,,,,,,,200.0,11.0,40.0,23.0,112.0,183.0,193.0,331.0,,
1535,FREDONIA REGIONAL HOSPITAL (171374),2019,Critical Access,Government - Local,31.0,37.533641,-95.814816,KS,,,,,,,,,,,,,99.0,180.0,,,73.0,140.0,,,1.0,2169.0,8.0,12.0,,,125.0,14.0,29.0,55.0,115.0,245.0,140.0,119.0,,
1536,MITCHELL COUNTY HOSPITAL HEALTH SYSTEMS (171375),2019,Critical Access,Government - Local,68.0,39.466499,-98.114235,KS,32.0,28.0,,,,,,,,,,,64.0,358.0,,,85.0,222.0,,,,,4.0,12.0,,,145.0,11.0,40.0,325.0,116.0,321.0,175.0,369.0,,
1537,GIRARD MEDICAL CENTER (171376),2019,Critical Access,Government - Hospital District or Authority,32.0,37.513852,-94.858541,KS,,,100.0,47.0,81.0,26.0,,,,,,,99.0,267.0,,,85.0,132.0,,,0.0,3425.0,8.0,12.0,,,,,15.0,138.0,105.0,245.0,184.0,190.0,,
1538,SMITH COUNTY MEMORIAL HOSPITAL (171377),2019,Critical Access,Government - Local,34.0,39.785249,-98.772768,KS,,,,,,,,,,,,,94.0,158.0,,,53.0,158.0,,,,,9.0,20.0,,,,,13.0,43.0,84.0,293.0,101.0,175.0,,
1539,KINGMAN COMMUNITY HOSPITAL (171378),2019,Critical Access,Voluntary non-profit - Private,25.0,37.646734,-98.123552,KS,,,,,,,,,,,,,66.0,139.0,,,92.0,138.0,,,0.0,1960.0,8.0,23.0,,,87.0,13.0,10.0,70.0,63.0,333.0,97.0,212.0,,
1540,MORRIS COUNTY HOSPITAL (171379),2019,Critical Access,Government - Local,24.0,38.665115,-96.500129,KS,,,,,,,,,,,,,80.0,142.0,,,86.0,95.0,,,1.0,1658.0,,,,,,,5.0,121.0,99.0,242.0,95.0,133.0,,
1541,NEOSHO MEMORIAL REGIONAL MEDICAL CENTER (171380),2019,Critical Access,Government - Local,22.0,37.67518,-95.470896,KS,65.0,51.0,99.0,74.0,95.0,63.0,,,,,,,99.0,664.0,,,93.0,242.0,,,0.0,10644.0,6.0,77.0,,,166.0,24.0,37.0,265.0,103.0,399.0,180.0,306.0,0.0,24.0
1542,MEMORIAL HOSPITAL (171381),2019,Critical Access,Government - Hospital District or Authority,106.0,38.924961,-97.206483,KS,,,,,,,,,,,,,90.0,377.0,,,77.0,164.0,,,1.0,5108.0,4.0,36.0,,,,,65.0,277.0,102.0,349.0,236.0,278.0,,
1543,ATCHISON HOSPITAL (171382),2019,Critical Access,Voluntary non-profit - Private,25.0,,,KS,,,,,,,,,,,,,99.0,379.0,,,,,,,,,,,,,,,,,,,,,,
1544,WILLIAM NEWTON HOSPITAL (171383),2019,Critical Access,Government - Local,22.0,37.244649,-96.98247,KS,70.0,50.0,100.0,102.0,100.0,80.0,,,,,80.0,15.0,100.0,447.0,,,98.0,474.0,,,1.0,10145.0,4.0,92.0,,,,,44.0,462.0,120.0,234.0,210.0,466.0,0.0,75.0
1545,NEWMAN REGIONAL HEALTH (171384),2019,Critical Access,Government - Local,30.0,38.412305,-96.195024,KS,72.0,112.0,,,,,,,,,63.0,19.0,84.0,957.0,,,96.0,261.0,,,0.0,13556.0,6.0,58.0,,,150.0,32.0,56.0,350.0,112.0,443.0,200.0,350.0,0.0,32.0
1546,CHILDREN'S MERCY HOSPITAL KANSAS (173300),2019,Childrens,Voluntary non-profit - Private,51.0,38.929326,-94.65354,KS,,,,,,,,,,,,,99.0,1059.0,,,,,,,,,,,,,,,,,,,,,,
1547,ST ELIZABETH FT THOMAS (180001),2019,Acute Care,Voluntary non-profit - Private,160.0,39.078281,-84.464654,KY,48.0,114.0,94.0,34.0,95.0,38.0,45.0,22.0,,,,,99.0,1378.0,,,100.0,592.0,,,0.0,33164.0,10.0,36.0,,,251.0,29.0,96.0,1063.0,149.0,382.0,252.0,1064.0,,
1548,WHITESBURG ARH HOSPITAL (180002),2019,Acute Care,Voluntary non-profit - Other,87.0,37.11182,-82.813612,KY,44.0,158.0,100.0,94.0,92.0,140.0,,,,,,,70.0,364.0,,,95.0,318.0,,,1.0,13728.0,2.0,41.0,,,273.0,14.0,55.0,306.0,113.0,416.0,183.0,306.0,4.0,116.0
1549,OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL (180004),2019,Acute Care,Voluntary non-profit - Private,97.0,37.196925,-87.189639,KY,71.0,104.0,89.0,110.0,95.0,57.0,,,,,58.0,12.0,98.0,567.0,,,96.0,277.0,,,2.0,18431.0,4.0,130.0,,,132.0,14.0,70.0,541.0,125.0,373.0,221.0,541.0,,
1550,HIGHLANDS REGIONAL MEDICAL CENTER (180005),2019,Acute Care,Proprietary,148.0,37.71054,-82.77025,KY,22.0,142.0,97.0,157.0,99.0,152.0,,,,,78.0,23.0,69.0,910.0,,,98.0,374.0,,,4.0,22534.0,11.0,123.0,,,359.0,14.0,212.0,405.0,192.0,500.0,422.0,406.0,1.0,68.0
1551,KING'S DAUGHTERS' MEDICAL CENTER (180009),2019,Acute Care,Voluntary non-profit - Private,444.0,38.470401,-82.635916,KY,55.0,106.0,95.0,21.0,100.0,25.0,,,,,,,89.0,4033.0,9.0,11.0,98.0,560.0,,,3.0,54018.0,,,,,159.0,12.0,135.0,691.0,167.0,381.0,306.0,691.0,0.0,44.0
1552,SAINT JOSEPH HOSPITAL (180010),2019,Acute Care,Voluntary non-profit - Church,265.0,,,KY,47.0,203.0,97.0,74.0,93.0,45.0,98.0,41.0,,,,,95.0,1633.0,0.0,15.0,94.0,576.0,,,4.0,31328.0,8.0,60.0,,,423.0,14.0,136.0,570.0,120.0,480.0,346.0,571.0,,
1553,SAINT JOSEPH LONDON (180011),2019,Acute Care,Voluntary non-profit - Private,144.0,37.118553,-84.106349,KY,52.0,50.0,100.0,44.0,100.0,56.0,,,,,61.0,31.0,93.0,1082.0,,,97.0,484.0,,,7.0,36736.0,9.0,41.0,,,,,180.0,593.0,194.0,342.0,388.0,594.0,6.0,115.0
1554,HARDIN MEMORIAL HOSPITAL (180012),2019,Acute Care,Government - Local,297.0,37.709917,-85.875048,KY,20.0,447.0,72.0,108.0,94.0,83.0,,,,,60.0,25.0,69.0,3328.0,,,91.0,526.0,,,4.0,79210.0,13.0,13.0,,,238.0,18.0,128.0,712.0,192.0,366.0,345.0,712.0,1.0,203.0
1555,THE MEDICAL CENTER AT BOWLING GREEN (180013),2019,Acute Care,Voluntary non-profit - Private,314.0,36.996366,-86.430232,KY,39.0,226.0,85.0,361.0,97.0,95.0,,,,,84.0,19.0,87.0,3788.0,5.0,21.0,91.0,531.0,,,6.0,43066.0,6.0,22.0,,,244.0,19.0,198.0,485.0,201.0,372.0,330.0,488.0,1.0,307.0
1556,JEWISH HOSPITAL - SHELBYVILLE (180016),2019,Acute Care,Voluntary non-profit - Private,33.0,38.208808,-85.236145,KY,17.0,23.0,91.0,89.0,71.0,73.0,,,,,,,99.0,211.0,,,94.0,247.0,,,1.0,15906.0,4.0,55.0,,,,,80.0,321.0,140.0,334.0,250.0,323.0,,
1557,T J SAMSON COMMUNITY HOSPITAL (180017),2019,Acute Care,Voluntary non-profit - Other,136.0,37.011566,-85.903862,KY,56.0,112.0,100.0,133.0,96.0,99.0,,,,,82.0,28.0,98.0,1238.0,,,86.0,470.0,,,2.0,28862.0,9.0,13.0,,,146.0,15.0,93.0,519.0,145.0,456.0,304.0,520.0,1.0,71.0
1558,ST CLAIRE REGIONAL MEDICAL CENTER (180018),2019,Acute Care,Government - Federal,128.0,38.180016,-83.442454,KY,49.0,319.0,96.0,80.0,100.0,159.0,,,,,89.0,19.0,99.0,1722.0,,,96.0,448.0,,,0.0,30591.0,6.0,42.0,,,172.0,14.0,76.0,746.0,149.0,390.0,225.0,746.0,0.0,34.0
1559,MEADOWVIEW REGIONAL MEDICAL CENTER (180019),2019,Acute Care,Proprietary,100.0,38.639572,-83.808804,KY,57.0,72.0,97.0,94.0,88.0,104.0,45.0,11.0,,,78.0,18.0,40.0,617.0,,,99.0,284.0,,,1.0,20439.0,5.0,55.0,,,,,80.0,381.0,127.0,391.0,248.0,381.0,14.0,21.0
1560,MIDDLESBORO APPALACHIAN REGIONAL HEALTHCARE HOSPIT (180020),2019,Acute Care,Voluntary non-profit - Private,66.0,36.605199,-83.740056,KY,77.0,66.0,82.0,33.0,68.0,87.0,,,,,92.0,12.0,98.0,416.0,,,97.0,259.0,,,2.0,17904.0,2.0,117.0,,,,,83.0,403.0,164.0,422.0,310.0,404.0,10.0,30.0
1561,SOUTHEASTERN KY MEDICAL CENTER (180021),2019,Acute Care,Voluntary non-profit - Other,107.0,36.763077,-83.708574,KY,,,,,,,,,,,,,,,,,91.0,201.0,,,,,9.0,24.0,,,163.0,56.0,42.0,198.0,121.0,1221.0,201.0,203.0,,
1562,SPRING VIEW HOSPITAL (180024),2019,Acute Care,Proprietary,75.0,37.570325,-85.259397,KY,63.0,81.0,94.0,32.0,96.0,51.0,,,,,,,65.0,366.0,,,99.0,238.0,,,0.0,16148.0,5.0,131.0,42.0,16.0,,,48.0,223.0,152.0,395.0,231.0,223.0,0.0,26.0
1563,FLAGET MEMORIAL HOSPITAL (180025),2019,Acute Care,Voluntary non-profit - Private,52.0,37.863995,-85.52376,KY,44.0,107.0,100.0,63.0,100.0,63.0,100.0,19.0,,,58.0,12.0,95.0,518.0,,,96.0,285.0,,,2.0,22934.0,7.0,217.0,53.0,15.0,211.0,15.0,80.0,345.0,164.0,438.0,306.0,345.0,0.0,19.0
1564,MURRAY-CALLOWAY COUNTY HOSPITAL (180027),2019,Acute Care,Voluntary non-profit - Other,296.0,36.60866,-88.309498,KY,28.0,90.0,13.0,196.0,91.0,99.0,,,,,,,94.0,1564.0,,,92.0,408.0,,,2.0,19233.0,13.0,194.0,35.0,13.0,184.0,19.0,78.0,397.0,155.0,393.0,241.0,397.0,0.0,33.0
1565,HAZARD ARH REGIONAL MEDICAL CENTER (180029),2019,Acute Care,Voluntary non-profit - Private,320.0,37.279027,-83.227413,KY,65.0,607.0,90.0,124.0,100.0,88.0,97.0,33.0,,,95.0,21.0,91.0,969.0,0.0,18.0,94.0,550.0,,,1.0,29302.0,,,,,230.0,29.0,162.0,690.0,155.0,433.0,317.0,691.0,2.0,49.0
1566,ST ELIZABETH MEDICAL CENTER NORTH (180035),2019,Acute Care,Voluntary non-profit - Church,500.0,39.014683,-84.561842,KY,39.0,180.0,87.0,71.0,88.0,72.0,78.0,45.0,,,83.0,23.0,99.0,6646.0,0.0,23.0,100.0,546.0,,,0.0,64149.0,12.0,82.0,,,180.0,44.0,133.0,643.0,140.0,776.0,300.0,643.0,0.0,95.0
1567,OUR LADY OF BELLEFONTE HOSPITAL (180036),2019,Acute Care,Voluntary non-profit - Private,157.0,38.509303,-82.69305,KY,34.0,88.0,96.0,131.0,89.0,153.0,,,,,67.0,24.0,87.0,2067.0,,,91.0,634.0,,,2.0,26244.0,4.0,16.0,,,159.0,22.0,53.0,672.0,176.0,397.0,242.0,676.0,,
1568,OWENSBORO HEALTH REGIONAL HOSPITAL (180038),2019,Acute Care,Voluntary non-profit - Private,447.0,37.777296,-87.069958,KY,51.0,144.0,100.0,71.0,100.0,72.0,88.0,49.0,,,95.0,21.0,93.0,5064.0,,,89.0,527.0,,,2.0,68691.0,,,,,,,53.0,767.0,154.0,404.0,211.0,771.0,0.0,223.0
1569,JEWISH HOSPITAL & ST MARY'S HEALTHCARE (180040),2019,Acute Care,Voluntary non-profit - Private,839.0,38.249328,-85.751137,KY,40.0,230.0,70.0,163.0,42.0,200.0,,,,,57.0,37.0,83.0,5215.0,4.0,26.0,89.0,617.0,,,3.0,133728.0,8.0,609.0,49.0,20.0,143.0,15.0,145.0,509.0,149.0,360.0,342.0,512.0,,
