,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
574,DELTA COUNTY MEMORIAL HOSPITAL (060071),2020,Acute Care,Government - Local,49.0,38.743166,-108.047515,CO,,0.0,0.593,951.0,0.941,2.0,2.125,4779.0,,584.0,0.0,0.405,,0.0,0.132,5025.0,,5.0,0.0,0.047,33.0,0.0,0.75,
575,VALLEY VIEW HOSPITAL ASSOCIATION (060075),2020,Acute Care,Voluntary non-profit - Private,44.0,39.532859,-107.322794,CO,1.516,2.0,1.319,1776.0,0.928,7.0,7.541,11396.0,,1037.0,0.0,0.823,,0.0,0.524,13861.0,,43.0,0.0,0.374,35.0,0.0,0.9,
576,STERLING REGIONAL MEDCENTER (060076),2020,Acute Care,Voluntary non-profit - Private,27.0,40.613684,-103.220524,CO,,1.0,0.224,439.0,,0.0,0.937,3808.0,,235.0,0.0,0.143,,0.0,0.096,4154.0,,1.0,0.0,0.008,11.0,0.0,0.25,
577,VAIL HEALTH HOSPITAL (060096),2020,Acute Care,Voluntary non-profit - Other,56.0,39.642949,-106.382866,CO,,0.0,0.647,1255.0,0.566,2.0,3.531,7193.0,,182.0,0.0,0.107,,0.0,0.184,8457.0,,1.0,0.0,0.007,14.0,0.0,0.284,
578,AURORA SOUTH HOSPITAL AND MEDICAL CENTER (060100),2020,Acute Care,Proprietary,327.0,39.689346,-104.83115,CO,0.544,6.0,11.027,8942.0,0.487,15.0,30.813,72539.0,0.372,10264.0,4.0,10.755,0.0,0.0,3.373,75287.0,,70.0,0.0,0.591,107.0,4.0,2.869,1.394
579,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL (060103),2020,Acute Care,Voluntary non-profit - Church,111.0,39.950847,-105.149154,CO,,1.0,0.85,1018.0,0.677,5.0,7.383,13578.0,,876.0,0.0,0.733,,0.0,0.535,15874.0,0.889,156.0,1.0,1.125,68.0,3.0,1.763,1.702
580,CENTURA HEALTH-ST ANTHONY NORTH HEALTH CAMPUS (060104),2020,Acute Care,Voluntary non-profit - Church,102.0,39.95581,-104.993671,CO,1.375,5.0,3.636,3620.0,0.352,5.0,14.194,23875.0,0.986,4530.0,4.0,4.056,0.0,0.0,1.07,23875.0,,108.0,2.0,0.958,69.0,2.0,1.812,1.104
581,NATIONAL JEWISH HEALTH (060107),2020,Acute Care,Voluntary non-profit - Private,21.0,39.740019,-104.942892,CO,,,,,,0.0,0.073,319.0,,98.0,0.0,0.075,,0.0,0.006,326.0,,,,,,,,
582,SKY RIDGE MEDICAL CENTER (060112),2020,Acute Care,Proprietary,242.0,39.529323,-104.870269,CO,0.731,5.0,6.843,5536.0,0.284,7.0,24.686,53659.0,0.51,5615.0,3.0,5.881,0.334,1.0,2.992,62295.0,0.743,525.0,3.0,4.038,237.0,1.0,5.872,0.17
583,"LITTLETON ADVENTIST HOSPITAL, CENTURA HEALTH (060113)",2020,Acute Care,Voluntary non-profit - Church,188.0,39.576554,-104.988489,CO,0.273,1.0,3.659,4283.0,1.242,32.0,25.768,39396.0,0.682,3478.0,2.0,2.934,0.492,1.0,2.031,41663.0,0.556,244.0,1.0,1.799,92.0,1.0,2.31,0.433
584,PARKER ADVENTIST HOSPITAL (060114),2020,Acute Care,Voluntary non-profit - Private,155.0,39.550058,-104.773433,CO,0.607,2.0,3.296,3186.0,0.982,19.0,19.351,29070.0,1.689,3277.0,5.0,2.96,0.0,0.0,1.375,32732.0,0.0,175.0,0.0,1.348,121.0,1.0,3.334,0.3
585,GOOD SAMARITAN MEDICAL CENTER LLC (060116),2020,Acute Care,Voluntary non-profit - Private,196.0,39.969753,-105.083065,CO,0.983,4.0,4.069,4826.0,0.203,4.0,19.74,45907.0,0.369,3980.0,1.0,2.712,0.0,0.0,2.078,50285.0,,29.0,0.0,0.274,266.0,8.0,6.868,1.165
586,"ANIMAS SURGICAL HOSPITAL, LLC (060117)",2020,Acute Care,Physician,12.0,37.248889,-107.870774,CO,,0.0,0.045,92.0,,0.0,0.238,1086.0,,19.0,0.0,0.012,,0.0,0.019,1086.0,,2.0,0.0,0.012,,,,
587,ST. ANTHONY SUMMIT MEDICAL CENTER (060118),2020,Acute Care,Voluntary non-profit - Church,34.0,39.569988,-106.078259,CO,,0.0,0.119,241.0,0.0,0.0,1.036,3812.0,,98.0,0.0,0.057,,0.0,0.087,4408.0,,42.0,0.0,0.276,7.0,0.0,0.208,
588,MEDICAL CENTER OF THE ROCKIES (060119),2020,Acute Care,Voluntary non-profit - Private,168.0,40.415194,-105.001451,CO,1.735,10.0,5.763,8093.0,0.501,15.0,29.935,47379.0,0.418,10315.0,3.0,7.172,0.824,2.0,2.427,50526.0,,70.0,2.0,0.636,189.0,6.0,4.888,1.227
589,ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS (060124),2020,Acute Care,Proprietary,48.0,39.717952,-105.128441,CO,,1.0,0.661,1997.0,,0.0,0.922,6128.0,,55.0,0.0,0.032,,0.0,0.07,6128.0,,,,,,,,
590,CASTLE ROCK ADVENTIST HOSPITAL (060125),2020,Acute Care,Voluntary non-profit - Private,56.0,39.404112,-104.886146,CO,,1.0,0.606,1174.0,0.327,2.0,6.115,11255.0,,1043.0,0.0,0.652,,0.0,0.336,11664.0,,48.0,0.0,0.384,38.0,0.0,1.003,0.0
591,BANNER FORT COLLINS MEDICAL CENTER (060126),2020,Acute Care,Voluntary non-profit - Other,25.0,40.521117,-105.010885,CO,,0.0,0.268,547.0,,2.0,0.969,4643.0,,297.0,0.0,0.172,,0.0,0.106,5437.0,,29.0,0.0,0.237,22.0,0.0,0.589,
592,LONGS PEAK HOSPITAL (060128),2020,Acute Care,Voluntary non-profit - Private,57.0,,,CO,,0.0,0.989,1933.0,0.65,4.0,6.15,12776.0,0.0,1876.0,0.0,1.148,,0.0,0.413,14449.0,,73.0,0.0,0.7,54.0,0.0,1.461,0.0
593,UCHEALTH BROOMFIELD HOSPITAL (060129),2020,Acute Care,Proprietary,32.0,39.9105,-105.093207,CO,,0.0,0.03,61.0,0.546,1.0,1.831,4622.0,,1655.0,0.0,0.96,,0.0,0.126,4622.0,,,,,,,,
594,UCHEALTH GRANDVIEW HOSPITAL (060130),2020,Acute Care,Voluntary non-profit - Private,21.0,38.910262,-104.816436,CO,,0.0,0.049,76.0,,0.0,0.455,2255.0,,45.0,0.0,0.032,,0.0,0.052,2255.0,,,,,,,,
595,UCHEALTH GREELEY HOSPITAL (060131),2020,Acute Care,Voluntary non-profit - Private,52.0,40.390073,-104.789043,CO,,0.0,0.397,776.0,0.896,3.0,3.35,5033.0,,937.0,0.0,0.571,,0.0,0.142,5584.0,,,,,21.0,0.0,0.481,
596,UCHEALTH HIGHLANDS RANCH HOSPITAL (060132),2020,Acute Care,Voluntary non-profit - Private,91.0,39.552776,-105.004228,CO,,0.0,0.415,595.0,0.239,1.0,4.192,6047.0,,985.0,1.0,0.671,,0.0,0.173,6156.0,,35.0,0.0,0.269,10.0,0.0,0.256,
597,WEISBROD MEMORIAL COUNTY HOSPITAL (061300),2020,Critical Access,Government - Hospital District or Authority,28.0,38.480198,-102.784468,CO,,0.0,0.103,42.0,0.0,0.0,1.762,7977.0,,,,,,0.0,0.166,7977.0,,,,,,,,
598,RIO GRANDE HOSPITAL (061301),2020,Critical Access,Voluntary non-profit - Private,16.0,37.674371,-106.36481,CO,,0.0,0.359,241.0,0.0,0.0,1.032,2588.0,,,,,,0.0,0.054,2588.0,,,,,,,,
599,COLORADO CANYONS HOSPITAL AND MEDICAL CENTER (061302),2020,Critical Access,Voluntary non-profit - Private,56.0,39.164337,-108.735901,CO,,,,,1.284,3.0,2.336,5904.0,,,,,,0.0,0.123,5914.0,,1.0,0.0,0.012,,,,
600,EAST MORGAN COUNTY HOSPITAL (061303),2020,Critical Access,Government - Hospital District or Authority,25.0,40.254738,-103.649178,CO,,,,,,0.0,0.528,1833.0,,,,,,0.0,0.042,2015.0,,,,,,,,
601,MELISSA MEMORIAL HOSPITAL (061305),2020,Critical Access,Government - Hospital District or Authority,15.0,40.578428,-102.290249,CO,,0.0,0.095,145.0,,0.0,0.308,1125.0,,88.0,0.0,0.024,,0.0,0.022,1125.0,,,,,,,,
602,RANGELY DISTRICT HOSPITAL (061307),2020,Critical Access,Government - Hospital District or Authority,25.0,40.080284,-108.80591,CO,,,,,,0.0,0.009,34.0,,,,,,0.0,0.001,34.0,,,,,,,,
603,SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL (061308),2020,Critical Access,Voluntary non-profit - Private,17.0,37.26375,-105.964095,CO,,0.0,0.435,178.0,,0.0,0.246,1114.0,,77.0,0.0,0.021,,0.0,0.024,1114.0,,,,,,,,
604,WRAY COMMUNITY DISTRICT HOSPITAL (061309),2020,Critical Access,Government - Hospital District or Authority,16.0,40.075405,-102.23466,CO,,1.0,0.135,208.0,,1.0,0.298,1356.0,,,,,,0.0,0.032,1560.0,,1.0,0.0,0.007,,,,
605,SOUTHEAST COLORADO HOSPITAL DISTRICT (061311),2020,Critical Access,Government - Hospital District or Authority,71.0,37.404165,-102.612423,CO,,,,,,2.0,0.388,1759.0,,,,,,0.0,0.037,1759.0,,,,,,,,
606,ESTES PARK MEDICAL CENTER (061312),2020,Critical Access,Government - Hospital District or Authority,84.0,40.372259,-105.514088,CO,,1.0,0.027,40.0,,0.0,0.239,587.0,,48.0,0.0,0.013,,0.0,0.013,635.0,,2.0,0.0,0.013,,,,
607,KIT CARSON COUNTY MEMORIAL HOSPITAL (061313),2020,Critical Access,Government - Hospital District or Authority,19.0,39.302378,-102.270711,CO,,0.0,0.354,145.0,,0.0,0.346,1565.0,,170.0,1.0,0.046,,0.0,0.035,1671.0,,,,,,,,
608,"MEMORIAL HOSPITAL, THE (061314)",2020,Critical Access,Government - Local,25.0,40.518288,-107.57863,CO,,1.0,0.417,263.0,,0.0,0.515,2330.0,,49.0,0.0,0.013,,0.0,0.051,2449.0,,6.0,0.0,0.046,2.0,1.0,0.041,
609,SPANISH PEAKS REGIONAL HEALTH CENTER (061316),2020,Critical Access,Government - Hospital District or Authority,141.0,37.607688,-104.819786,CO,,0.0,0.428,175.0,,2.0,0.264,1194.0,,,,,,0.0,0.024,1194.0,,,,,,,,
610,GRAND RIVER HOSPITAL DISTRICT (061317),2020,Critical Access,Government - Hospital District or Authority,66.0,39.522587,-107.77201,CO,,0.0,0.53,217.0,,2.0,0.721,1765.0,,,,,,0.0,0.037,1765.0,,,,,2.0,0.0,0.056,
611,MIDDLE PARK MEDICAL CENTER (061318),2020,Critical Access,Government - Hospital District or Authority,21.0,40.0575,-106.391183,CO,,0.0,0.163,249.0,,0.0,0.311,1410.0,,,,,,0.0,0.029,1410.0,,,,,1.0,0.0,0.021,
612,GUNNISON VALLEY HOSPITAL (061320),2020,Critical Access,Government - Local,20.0,38.551089,-106.924321,CO,,0.0,0.041,63.0,,0.0,0.458,2073.0,,63.0,0.0,0.017,,0.0,0.048,2273.0,,1.0,0.0,0.009,5.0,0.0,0.114,
613,MT SAN RAFAEL HOSPITAL (061321),2020,Critical Access,Voluntary non-profit - Private,25.0,37.17338,-104.488796,CO,,2.0,0.746,348.0,,2.0,0.853,3067.0,,76.0,0.0,0.021,,0.0,0.053,2555.0,,4.0,0.0,0.037,,,,
614,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER (061322),2020,Critical Access,Government - Hospital District or Authority,25.0,38.543102,-106.007291,CO,,1.0,0.172,263.0,,2.0,0.894,4047.0,,260.0,0.0,0.07,,0.0,0.084,4047.0,,14.0,1.0,0.108,12.0,2.0,0.259,
615,PROWERS MEDICAL CENTER (061323),2020,Critical Access,Government - Hospital District or Authority,25.0,38.070915,-102.609068,CO,,0.0,0.837,343.0,,2.0,0.831,2860.0,,117.0,0.0,0.032,,0.0,0.059,2860.0,,2.0,1.0,0.015,5.0,0.0,0.122,
616,ASPEN VALLEY HOSPITAL (061324),2020,Critical Access,Government - Hospital District or Authority,25.0,39.190057,-106.837784,CO,,0.0,0.103,157.0,,0.0,0.562,2102.0,,86.0,0.0,0.023,,0.0,0.053,2540.0,,8.0,0.0,0.049,4.0,0.0,0.082,
617,UCHEALTH PIKES PEAK REGIONAL HOSPITAL (061326),2020,Critical Access,Voluntary non-profit - Private,15.0,38.973932,-105.074267,CO,,1.0,0.125,192.0,,0.0,0.456,1659.0,,86.0,0.0,0.023,,0.0,0.035,1659.0,,,,,11.0,1.0,0.275,
618,SOUTHWEST MEMORIAL HOSPITAL (061327),2020,Critical Access,Voluntary non-profit - Private,25.0,37.36214,-108.572739,CO,,0.0,0.322,492.0,,0.0,0.766,3468.0,,132.0,0.0,0.037,,0.0,0.077,3708.0,,8.0,0.0,0.06,5.0,0.0,0.132,
619,ARKANSAS VALLEY REGIONAL MEDICAL CENTER (061336),2020,Critical Access,Voluntary non-profit - Private,124.0,37.976929,-103.548742,CO,,0.0,0.496,296.0,2.725,4.0,1.468,3230.0,,53.0,0.0,0.014,,0.0,0.073,3493.0,,,,,,,,
620,ST FRANCIS HOSPITAL & MEDICAL CENTER (070002),2020,Acute Care,Voluntary non-profit - Church,561.0,41.77508,-72.699468,CT,0.232,4.0,17.238,13525.0,0.501,45.0,89.804,114505.0,0.288,12828.0,4.0,13.912,0.849,7.0,8.246,124436.0,0.829,306.0,2.0,2.413,278.0,3.0,7.269,0.413
621,DAY KIMBALL HOSPITAL (070003),2020,Acute Care,Voluntary non-profit - Private,104.0,41.907746,-71.914692,CT,,2.0,0.638,1230.0,0.0,0.0,5.91,15684.0,,778.0,0.0,0.485,,0.0,0.489,16508.0,,21.0,0.0,0.165,38.0,0.0,1.064,0.0
622,SHARON HOSPITAL (070004),2020,Acute Care,Proprietary,79.0,41.879662,-73.481572,CT,,0.0,0.308,599.0,0.0,0.0,2.587,5090.0,,433.0,0.0,0.266,,0.0,0.234,5498.0,,3.0,0.0,0.025,5.0,0.0,0.142,
623,WATERBURY HOSPITAL (070005),2020,Acute Care,Voluntary non-profit - Private,249.0,41.558269,-73.058608,CT,1.754,9.0,5.132,4917.0,0.43,12.0,27.906,42770.0,0.904,4858.0,4.0,4.426,0.331,1.0,3.022,47920.0,,29.0,0.0,0.274,109.0,0.0,2.978,0.0
624,STAMFORD HOSPITAL (070006),2020,Acute Care,Voluntary non-profit - Private,303.0,,,CT,0.46,2.0,4.347,3451.0,0.423,17.0,40.208,62573.0,0.322,6111.0,2.0,6.22,0.359,1.0,2.783,70734.0,1.255,222.0,2.0,1.594,127.0,0.0,3.424,0.0
625,LAWRENCE & MEMORIAL HOSPITAL (070007),2020,Acute Care,Voluntary non-profit - Private,245.0,41.336428,-72.103074,CT,1.051,7.0,6.659,7332.0,0.668,26.0,38.897,60827.0,0.972,7909.0,6.0,6.172,0.638,2.0,3.135,65319.0,,47.0,0.0,0.418,84.0,2.0,2.044,0.978
626,JOHNSON MEMORIAL HOSPITAL (070008),2020,Acute Care,Voluntary non-profit - Private,88.0,,,CT,,0.0,0.472,906.0,0.805,2.0,2.485,6370.0,,604.0,0.0,0.372,,0.0,0.182,6745.0,,10.0,0.0,0.092,5.0,0.0,0.124,
627,BRIDGEPORT HOSPITAL (070010),2020,Acute Care,Voluntary non-profit - Private,378.0,41.188776,-73.16608,CT,0.78,10.0,12.825,9487.0,0.887,50.0,56.379,94670.0,0.795,13631.0,11.0,13.838,1.763,10.0,5.671,99994.0,1.085,235.0,2.0,1.843,163.0,9.0,4.221,2.132
628,CHARLOTTE HUNGERFORD HOSPITAL (070011),2020,Acute Care,Voluntary non-profit - Private,108.0,41.790846,-73.133143,CT,0.472,2.0,4.235,4038.0,0.183,2.0,10.942,20753.0,0.307,3674.0,1.0,3.259,0.709,1.0,1.41,21630.0,,3.0,0.0,0.028,40.0,0.0,1.06,0.0
629,ROCKVILLE GENERAL HOSPITAL (070012),2020,Acute Care,Voluntary non-profit - Other,222.0,41.866962,-72.450988,CT,0.0,0.0,1.001,1309.0,1.418,10.0,7.05,13288.0,,711.0,0.0,0.596,,0.0,0.846,13288.0,,,,,7.0,0.0,0.145,
630,SAINT MARY'S HOSPITAL (070016),2020,Acute Care,Voluntary non-profit - Other,167.0,,,CT,1.124,5.0,4.447,4330.0,0.347,5.0,14.426,33221.0,0.0,3914.0,0.0,3.616,0.502,1.0,1.991,37782.0,,103.0,1.0,0.84,121.0,5.0,3.088,1.619
631,MIDSTATE MEDICAL CENTER (070017),2020,Acute Care,Voluntary non-profit - Private,139.0,41.550036,-72.803878,CT,0.885,4.0,4.522,4394.0,0.686,10.0,14.576,37679.0,0.354,3160.0,1.0,2.821,0.479,1.0,2.087,39473.0,,79.0,2.0,0.612,125.0,4.0,3.106,1.288
632,GREENWICH HOSPITAL ASSOCIATION - (070018),2020,Acute Care,Voluntary non-profit - Private,184.0,41.034395,-73.629632,CT,0.0,0.0,2.897,2868.0,1.138,30.0,26.361,41321.0,0.654,3480.0,2.0,3.056,0.544,1.0,1.839,49179.0,,144.0,1.0,0.978,131.0,5.0,2.931,1.706
633,MIDDLESEX HOSPITAL (070020),2020,Acute Care,Voluntary non-profit - Private,228.0,41.554865,-72.647633,CT,0.241,1.0,4.143,3992.0,0.799,20.0,25.024,52143.0,0.621,3649.0,2.0,3.22,0.0,0.0,2.228,54491.0,,59.0,1.0,0.439,158.0,2.0,3.798,0.527
634,WINDHAM COMMUNITY MEMORIAL HOSPITAL (070021),2020,Acute Care,Voluntary non-profit - Private,64.0,41.716569,-72.224068,CT,,0.0,0.628,1281.0,1.104,3.0,2.717,10548.0,,517.0,0.0,0.299,,0.0,0.276,11650.0,,16.0,0.0,0.12,14.0,0.0,0.356,
635,YALE-NEW HAVEN HOSPITAL (070022),2020,Acute Care,Voluntary non-profit - Private,1347.0,41.304285,-72.934689,CT,0.56,35.0,62.549,39967.0,0.76,190.0,250.041,374732.0,0.818,60858.0,54.0,66.023,0.839,19.0,22.65,408494.0,1.45,805.0,10.0,6.897,662.0,28.0,17.463,1.603
636,WILLIAM W BACKUS HOSPITAL (070024),2020,Acute Care,Voluntary non-profit - Other,184.0,41.543402,-72.086747,CT,0.193,1.0,5.191,7311.0,0.523,14.0,26.762,48031.0,1.196,8734.0,7.0,5.851,0.9,2.0,2.222,50358.0,1.528,149.0,2.0,1.309,155.0,3.0,4.378,0.685
637,HARTFORD HOSPITAL (070025),2020,Acute Care,Voluntary non-profit - Private,895.0,41.754123,-72.68082,CT,0.789,31.0,39.309,23753.0,0.717,112.0,156.253,208600.0,1.039,24421.0,27.0,25.993,0.609,10.0,16.411,217191.0,0.512,518.0,2.0,3.903,534.0,5.0,14.098,0.355
638,MANCHESTER MEMORIAL HOSPITAL (070027),2020,Acute Care,Voluntary non-profit - Private,182.0,41.781087,-72.525221,CT,0.629,2.0,3.182,3070.0,0.93,15.0,16.129,23477.0,0.539,2017.0,1.0,1.855,0.0,0.0,1.695,27433.0,0.0,132.0,0.0,1.064,54.0,0.0,1.188,0.0
639,ST. VINCENT'S MEDICAL CENTER (070028),2020,Acute Care,Voluntary non-profit - Church,350.0,41.200083,-73.202486,CT,0.746,3.0,4.02,3319.0,0.608,16.0,26.331,46893.0,0.154,6535.0,1.0,6.489,0.316,1.0,3.165,49146.0,,111.0,1.0,0.896,89.0,3.0,2.337,1.284
640,BRISTOL HOSPITAL (070029),2020,Acute Care,Voluntary non-profit - Private,123.0,41.676078,-72.934878,CT,0.0,0.0,2.615,3771.0,0.925,12.0,12.979,21433.0,0.0,3690.0,0.0,2.565,,1.0,0.97,22779.0,,84.0,0.0,0.688,46.0,0.0,1.217,0.0
641,GRIFFIN HOSPITAL (070031),2020,Acute Care,Voluntary non-profit - Other,119.0,41.335978,-73.088689,CT,0.668,2.0,2.994,2848.0,0.382,10.0,26.193,25545.0,0.0,1397.0,0.0,1.287,1.436,2.0,1.393,26788.0,,30.0,1.0,0.264,110.0,3.0,2.804,1.07
642,DANBURY HOSPITAL (070033),2020,Acute Care,Voluntary non-profit - Private,370.0,41.406776,-73.444339,CT,0.564,6.0,10.646,8571.0,0.227,13.0,57.232,87807.0,0.147,6458.0,1.0,6.81,0.803,3.0,3.738,95101.0,0.0,184.0,0.0,1.435,214.0,6.0,5.646,1.063
643,NORWALK HOSPITAL (070034),2020,Acute Care,Voluntary non-profit - Private,278.0,41.110415,-73.421229,CT,0.351,1.0,2.852,2819.0,0.134,4.0,29.761,42533.0,0.489,4657.0,2.0,4.088,2.223,4.0,1.799,45680.0,,97.0,1.0,0.684,165.0,6.0,3.85,1.558
644,THE HOSPITAL OF CENTRAL CONNECTICUT (070035),2020,Acute Care,Voluntary non-profit - Other,297.0,41.662015,-72.787799,CT,0.46,5.0,10.866,8508.0,0.41,12.0,29.3,53296.0,2.093,8293.0,18.0,8.602,2.391,9.0,3.764,60824.0,0.643,207.0,1.0,1.555,186.0,4.0,4.426,0.904
645,JOHN DEMPSEY HOSPITAL (070036),2020,Acute Care,Government - Local,160.0,41.73509,-72.79582,CT,0.286,1.0,3.494,3080.0,0.467,11.0,23.538,39214.0,0.988,3056.0,3.0,3.037,0.46,1.0,2.175,40867.0,0.0,128.0,0.0,1.014,112.0,5.0,2.855,1.751
646,THE CONNECTICUT HOSPICE INC. (070038),2020,Acute Care,Voluntary non-profit - Private,52.0,41.256305,-72.833367,CT,,1.0,0.315,526.0,0.0,0.0,1.108,6528.0,,625.0,0.0,0.407,,0.0,0.192,7282.0,,,,,,,,
647,MASONICARE HEALTH CENTER HOSPITAL (070039),2020,Acute Care,Voluntary non-profit - Private,503.0,41.460698,-72.836586,CT,,0.0,0.292,539.0,,,,,,151.0,0.0,0.088,,,,,,,,,,,,
648,CONNECTICUT CHILDRENS MEDICAL CENTER (073300),2020,Childrens,Voluntary non-profit - Private,187.0,41.753482,-72.682812,CT,,2.0,0.886,716.0,0.217,2.0,9.215,26835.0,1.344,9767.0,17.0,12.647,,0.0,0.734,25550.0,,,,,5.0,0.0,0.149,
649,CHRISTIANA HOSPITAL (080001),2020,Acute Care,Voluntary non-profit - Private,1132.0,39.689909,-75.673228,DE,0.231,6.0,26.03,17214.0,0.454,89.0,196.006,280779.0,0.561,32647.0,20.0,35.661,0.778,17.0,21.84,290420.0,0.981,481.0,4.0,4.076,754.0,15.0,21.034,0.713
650,ST FRANCIS HOSPITAL (080003),2020,Acute Care,Voluntary non-profit - Private,161.0,,,DE,0.655,2.0,3.052,2925.0,0.766,10.0,13.047,18445.0,0.958,3472.0,3.0,3.132,,0.0,0.919,19670.0,,52.0,1.0,0.41,34.0,1.0,0.924,
651,"BAYHEALTH HOSPITAL, KENT CAMPUS (080004)",2020,Acute Care,Voluntary non-profit - Private,268.0,39.150687,-75.522327,DE,0.496,5.0,10.076,6507.0,0.599,36.0,60.059,77096.0,0.381,4930.0,2.0,5.243,0.715,6.0,8.393,83756.0,,97.0,0.0,0.784,143.0,4.0,3.873,1.033
652,NANTICOKE MEMORIAL HOSPITAL (080006),2020,Acute Care,Voluntary non-profit - Private,112.0,38.642332,-75.605325,DE,0.0,0.0,1.574,2299.0,1.062,14.0,13.179,23768.0,0.762,1904.0,1.0,1.313,0.0,0.0,1.145,25353.0,,29.0,0.0,0.275,37.0,0.0,0.971,
653,BEEBE MEDICAL CENTER (080007),2020,Acute Care,Voluntary non-profit - Private,183.0,38.777413,-75.13586,DE,2.268,6.0,2.645,3336.0,1.049,30.0,28.608,46658.0,0.395,3321.0,1.0,2.534,0.473,1.0,2.112,48312.0,,24.0,0.0,0.203,159.0,2.0,3.83,0.522
654,"BAYHEALTH HOSPITAL, SUSSEX CAMPUS (080009)",2020,Acute Care,Voluntary non-profit - Private,158.0,,,DE,0.0,0.0,1.18,1110.0,0.694,12.0,17.301,23827.0,,760.0,0.0,0.745,0.593,1.0,1.686,24715.0,,61.0,0.0,0.485,42.0,1.0,1.171,0.854
655,GEORGE WASHINGTON UNIV HOSPITAL (090001),2020,Acute Care,Proprietary,363.0,38.901169,-77.050119,DC,1.442,18.0,12.485,9855.0,0.406,20.0,49.269,107255.0,1.265,14482.0,20.0,15.815,1.124,12.0,10.678,120111.0,0.0,128.0,0.0,1.076,195.0,4.0,5.753,0.695
656,HOWARD UNIVERSITY HOSPITAL (090003),2020,Acute Care,Voluntary non-profit - Other,241.0,38.917011,-77.021896,DC,0.821,5.0,6.093,5751.0,0.585,17.0,29.041,49324.0,2.215,7744.0,16.0,7.223,1.39,5.0,3.597,54755.0,,37.0,0.0,0.353,36.0,0.0,1.072,0.0
657,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL (090004),2020,Acute Care,Voluntary non-profit - Private,396.0,38.912599,-77.074388,DC,0.603,12.0,19.895,10338.0,0.736,61.0,82.925,112292.0,0.63,13800.0,10.0,15.874,0.601,8.0,13.31,122297.0,,58.0,1.0,0.557,181.0,2.0,4.92,0.407
658,SIBLEY MEMORIAL HOSPITAL (090005),2020,Acute Care,Voluntary non-profit - Other,248.0,38.935747,-77.109889,DC,0.31,1.0,3.221,3825.0,0.34,12.0,35.329,57214.0,0.814,4673.0,3.0,3.684,0.348,1.0,2.873,70536.0,0.0,265.0,0.0,1.846,225.0,1.0,5.185,0.193
659,UNITED MEDICAL CENTER (090008),2020,Acute Care,Proprietary,187.0,38.834155,-76.984698,DC,0.568,1.0,1.76,2455.0,0.728,8.0,10.982,27232.0,0.0,1518.0,0.0,1.1,1.656,2.0,1.208,27232.0,,2.0,0.0,0.023,9.0,1.0,0.283,
660,MEDSTAR WASHINGTON HOSPITAL CENTER (090011),2020,Acute Care,Voluntary non-profit - Other,757.0,38.929157,-77.012268,DC,0.49,26.0,53.076,33191.0,0.328,47.0,143.152,199805.0,0.507,37285.0,20.0,39.45,1.016,22.0,21.647,215756.0,1.443,241.0,3.0,2.079,423.0,11.0,11.803,0.932
661,CHILDREN'S HOSPITAL NMC (093300),2020,Childrens,Voluntary non-profit - Private,312.0,38.926273,-77.013878,DC,0.313,2.0,6.393,4604.0,1.026,42.0,40.925,88410.0,0.466,23716.0,15.0,32.192,0.759,4.0,5.272,109643.0,,,,,7.0,0.0,0.301,
662,SHANDS JACKSONVILLE (100001),2020,Acute Care,Voluntary non-profit - Private,549.0,30.346799,-81.664228,FL,1.044,15.0,14.37,7944.0,0.826,96.0,116.233,153404.0,1.832,13612.0,29.0,15.827,0.803,12.0,14.945,162102.0,3.286,286.0,9.0,2.739,215.0,17.0,6.95,2.446
663,BETHESDA  HOSPITAL INC (100002),2020,Acute Care,Voluntary non-profit - Private,432.0,26.50404,-80.06868,FL,0.752,7.0,9.307,9703.0,0.699,39.0,55.817,83148.0,1.123,11040.0,12.0,10.682,0.691,5.0,7.233,95066.0,,116.0,0.0,0.931,242.0,5.0,5.875,0.851
664,ORLANDO HEALTH (100006),2020,Acute Care,Voluntary non-profit - Private,1590.0,28.526925,-81.378203,FL,0.765,26.0,34.0,21566.0,0.403,67.0,166.148,382310.0,0.394,33945.0,15.0,38.077,0.919,21.0,22.863,431532.0,1.28,891.0,9.0,7.031,740.0,11.0,21.639,0.508
