,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
1286,MERCY MEDICAL CENTER-NEW HAMPTON (161331),2016,Critical Access,Voluntary non-profit - Church,14.0,43.062677,-92.320425,IA,,,,,,60.0,0.0,0.018,,,,,,,,,,
1287,MANNING REGIONAL HEALTHCARE CENTER (161332),2016,Critical Access,Voluntary non-profit - Private,57.0,41.90665,-95.075013,IA,,0.0,0.29,960.0,,,,,,,,,,,,,,
1288,HEGG MEMORIAL HEALTH CENTER (161336),2016,Critical Access,Voluntary non-profit - Private,85.0,43.201693,-96.285086,IA,,0.0,0.085,384.0,,,,,,,,,,,,,,
1289,MONROE COUNTY HOSPITAL (161342),2016,Critical Access,Voluntary non-profit - Other,25.0,41.044838,-92.796475,IA,,,,,,192.0,0.0,0.056,,,,,,,,,,
1290,REGIONAL MEDICAL CENTER (161343),2016,Critical Access,Proprietary,26.0,42.483903,-91.466644,IA,,1.0,0.862,2383.0,,,,,,,,,,0.0,0.011,0.0,0.05,
1291,SIOUX CENTER HEALTH (161346),2016,Critical Access,Voluntary non-profit - Private,90.0,43.069685,-96.159287,IA,,0.0,0.182,824.0,,,,,,0.0,0.017,824.0,,,,,,
1292,FLOYD COUNTY MEDICAL CENTER (161347),2016,Critical Access,Voluntary non-profit - Other,25.0,43.052667,-92.682505,IA,,0.0,0.167,758.0,,517.0,0.0,0.153,,,,,,,,,,
1293,CLARKE COUNTY HOSPITAL (161348),2016,Critical Access,Voluntary non-profit - Other,25.0,41.02571,-93.767533,IA,,0.0,0.816,3696.0,,,,,,0.0,0.078,3696.0,,,,,,
1294,STEWART MEMORIAL COMMUNITY HOSPITAL (161350),2016,Critical Access,Voluntary non-profit - Private,25.0,42.266888,-94.748857,IA,,2.0,0.837,2505.0,,223.0,0.0,0.066,,0.0,0.056,2709.0,,,,1.0,0.115,
1295,AVERA HOLY FAMILY HOSPITAL (161351),2016,Critical Access,Voluntary non-profit - Church,22.0,43.410596,-94.833956,IA,,1.0,0.384,1737.0,,250.0,0.0,0.075,,,,,,,,,,
1296,KOSSUTH REGIONAL HEALTH CENTER (161353),2016,Critical Access,Government - Local,25.0,43.056822,-94.227124,IA,,0.0,0.432,951.0,,230.0,0.0,0.068,,,,,,,,,,
1297,HORN MEMORIAL HOSPITAL (161354),2016,Critical Access,Voluntary non-profit - Private,25.0,42.339303,-95.45891,IA,,1.0,0.429,1150.0,,500.0,0.0,0.147,,,,,,,,,,
1298,KNOXVILLE HOSPITAL & CLINICS (161355),2016,Critical Access,Voluntary non-profit - Private,25.0,41.310986,-93.109511,IA,,,,,,684.0,1.0,0.203,,,,,,,,,,
1299,HENRY COUNTY HEALTH CENTER (161356),2016,Critical Access,Government - Local,74.0,40.963116,-91.558018,IA,,0.0,0.001,5.0,,68.0,0.0,0.02,,,,,,,,,,
1300,BURGESS HEALTH CENTER (161359),2016,Critical Access,Voluntary non-profit - Private,25.0,42.025739,-96.105586,IA,,0.0,0.151,685.0,,,,,,,,,,,,,,
1301,VAN DIEST MEDICAL CENTER (161361),2016,Critical Access,Government - Local,25.0,42.452963,-93.813485,IA,,2.0,0.011,43.0,,257.0,0.0,0.077,,,,,,0.0,0.015,,,
1302,CHEROKEE REGIONAL MEDICAL CENTER (161362),2016,Critical Access,Voluntary non-profit - Private,25.0,42.759282,-95.546962,IA,,0.0,0.758,1669.0,,,,,,,,,,,,,,
1303,MONTGOMERY COUNTY MEMORIAL HOSPITAL (161363),2016,Critical Access,Government - Local,25.0,41.02654,-95.213919,IA,0.0,0.0,1.652,4962.0,,138.0,0.0,0.041,,,,,,0.0,0.023,0.0,0.131,
1304,GREATER REGIONAL MEDICAL CENTER (161365),2016,Critical Access,Government - Local,25.0,41.071214,-94.383744,IA,,0.0,0.608,2138.0,,,,,,,,,,0.0,0.063,0.0,0.162,
1305,SHENANDOAH MEDICAL CENTER (161366),2016,Critical Access,Voluntary non-profit - Private,25.0,40.753639,-95.369106,IA,,,,,,,,,,,,,,0.0,0.016,,,
1306,PELLA REGIONAL HEALTH CENTER (161367),2016,Critical Access,Voluntary non-profit - Other,50.0,41.412337,-92.911667,IA,0.783,2.0,2.555,5629.0,,148.0,0.0,0.044,,,,,,,,,,
1307,LORING HOSPITAL (161370),2016,Critical Access,Voluntary non-profit - Private,25.0,42.418706,-94.977991,IA,,0.0,0.403,1141.0,,91.0,0.0,0.027,,0.0,0.009,450.0,,,,,,
1308,RINGGOLD COUNTY HOSPITAL (161373),2016,Critical Access,Government - Local,16.0,40.71833,-94.223613,IA,,,,,,16.0,0.0,0.005,,0.0,0.0,8.0,,,,0.0,0.242,
1309,MYRTUE MEDICAL CENTER (161374),2016,Critical Access,Voluntary non-profit - Other,25.0,41.647473,-95.326202,IA,,,,,,,,,,,,,,0.0,0.007,0.0,0.137,
1310,BUENA VISTA REGIONAL MEDICAL CENTER (161375),2016,Critical Access,Government - Local,35.0,42.644356,-95.222008,IA,,,,,,148.0,0.0,0.044,,0.0,0.093,4473.0,,,,,,
1311,CASS COUNTY MEMORIAL HOSPITAL (161376),2016,Critical Access,Government - Local,29.0,41.401712,-94.992608,IA,0.0,0.0,1.099,3921.0,,515.0,0.0,0.152,,0.0,0.086,4169.0,,,,0.0,0.181,
1312,MERCY MEDICAL CENTER-CENTERVILLE (161377),2016,Critical Access,Voluntary non-profit - Private,44.0,,,IA,,0.0,0.276,1292.0,,,,,,0.0,0.052,2915.0,,,,,,
1313,MERCY MEDICAL CENTER-DYERSVILLE (161378),2016,Critical Access,Voluntary non-profit - Private,23.0,42.475924,-91.129632,IA,,0.0,0.247,1121.0,,,,,,0.0,0.021,1031.0,,,,,,
1314,MAHASKA  HEALTH PARTNERSHIP (161379),2016,Critical Access,Voluntary non-profit - Other,30.0,41.298562,-92.630131,IA,,,,,,159.0,0.0,0.125,,,,,,,,,,
1315,VIA CHRISTI HOSPITAL PITTSBURG INC (170006),2016,Acute Care,Voluntary non-profit - Private,92.0,37.38153,-94.68385,KS,0.624,4.0,6.406,12284.0,0.0,2774.0,0.0,1.815,,1.0,0.473,13555.0,,0.0,0.123,0.0,0.414,
1316,SAINT JOHN HOSPITAL (170009),2016,Acute Care,Voluntary non-profit - Other,63.0,39.283683,-94.903472,KS,0.482,1.0,2.074,2556.0,,121.0,0.0,0.088,,0.0,0.063,2556.0,,,,0.0,0.028,
1317,SALINA REGIONAL HEALTH CENTER (170012),2016,Acute Care,Voluntary non-profit - Private,205.0,38.833271,-97.610525,KS,1.211,31.0,25.604,35991.0,0.215,5650.0,1.0,4.662,0.0,0.0,1.718,38556.0,,0.0,0.04,1.0,1.95,0.513
1318,HAYS MEDICAL CENTER (170013),2016,Acute Care,Voluntary non-profit - Other,143.0,38.879604,-99.299273,KS,1.207,10.0,8.282,20040.0,0.778,1535.0,1.0,1.285,,0.0,0.981,21332.0,,0.0,0.193,0.0,1.304,0.0
1319,RANSOM MEMORIAL HOSPITAL (170014),2016,Acute Care,Government - Local,46.0,38.597285,-95.268759,KS,1.397,2.0,1.432,4985.0,,155.0,0.0,0.101,,0.0,0.112,5222.0,,0.0,0.058,0.0,0.24,
1320,ST FRANCIS HEALTH CENTER INC (170016),2016,Acute Care,Voluntary non-profit - Church,269.0,39.056107,-95.696692,KS,0.433,8.0,18.481,34204.0,0.314,3919.0,1.0,3.181,3.329,5.0,1.502,36497.0,,0.0,0.723,11.0,3.297,3.336
1321,SUSAN B ALLEN MEMORIAL HOSPITAL (170017),2016,Acute Care,Voluntary non-profit - Private,46.0,37.817438,-96.858795,KS,0.278,1.0,3.603,4985.0,,227.0,0.0,0.152,,0.0,0.133,5591.0,,0.0,0.013,0.0,0.358,
1322,HUTCHINSON REGIONAL MEDICAL CENTER INC (170020),2016,Acute Care,Proprietary,173.0,38.079485,-97.892275,KS,0.651,12.0,18.438,22509.0,0.0,2263.0,0.0,1.523,1.982,2.0,1.009,23668.0,,0.0,0.914,0.0,0.834,
1323,ST CATHERINE HOSPITAL (170023),2016,Acute Care,Voluntary non-profit - Private,98.0,37.968871,-100.868615,KS,0.906,6.0,6.624,16108.0,,1030.0,0.0,0.854,,0.0,0.677,17458.0,,0.0,0.167,0.0,1.357,0.0
1324,PRATT REGIONAL MEDICAL CENTER (170027),2016,Acute Care,Voluntary non-profit - Private,83.0,37.645365,-98.729367,KS,1.471,3.0,2.039,5206.0,,225.0,0.0,0.155,,0.0,0.123,5687.0,,1.0,0.034,0.0,0.562,
1325,SUMNER REGIONAL MEDICAL CENTER (170039),2016,Acute Care,Government - Local,61.0,37.277815,-97.394251,KS,,1.0,0.909,4127.0,,28.0,0.0,0.018,,0.0,0.093,4013.0,,,,,,
1326,UNIVERSITY OF KANSAS HOSPITAL (170040),2016,Acute Care,Government - Hospital District or Authority,770.0,39.055395,-94.608229,KS,1.343,201.0,149.713,182347.0,1.056,44903.0,52.0,49.239,1.095,18.0,16.432,194792.0,2.636,12.0,4.552,19.0,11.694,1.625
1327,OLATHE MEDICAL CENTER (170049),2016,Acute Care,Voluntary non-profit - Private,246.0,38.854524,-94.823673,KS,0.846,34.0,40.198,49455.0,1.083,5358.0,4.0,3.692,0.0,0.0,1.965,49455.0,,1.0,0.903,5.0,3.665,1.364
1328,MERCY HOSPITAL-FORT SCOTT (170058),2016,Acute Care,Voluntary non-profit - Church,51.0,,,KS,0.0,0.0,2.188,4878.0,,409.0,0.0,0.272,,0.0,0.177,5218.0,,1.0,0.144,0.0,0.199,
1329,SOUTHWEST MEDICAL CENTER (170068),2016,Acute Care,Government - Local,84.0,37.054216,-100.926569,KS,0.762,3.0,3.938,7491.0,,468.0,0.0,0.399,,0.0,0.238,8490.0,,0.0,0.057,0.0,0.558,
1330,GEARY COMMUNITY HOSPITAL (170074),2016,Acute Care,Government - Local,55.0,39.013979,-96.849798,KS,0.443,1.0,2.257,5559.0,,327.0,0.0,0.225,,0.0,0.117,6232.0,,0.0,0.063,0.0,0.366,
1331,MERCY HOSPITAL (170075),2016,Acute Care,Voluntary non-profit - Church,20.0,38.205072,-97.516996,KS,,1.0,0.55,1478.0,,4.0,0.0,0.003,,0.0,0.028,1542.0,,,,,,
1332,STORMONT VAIL HOSPITAL (170086),2016,Acute Care,Voluntary non-profit - Private,422.0,39.051129,-95.695627,KS,0.704,46.0,65.323,81038.0,0.453,14930.0,6.0,13.247,1.024,5.0,4.883,91285.0,,0.0,0.289,8.0,5.53,1.447
1333,COFFEY COUNTY HOSPITAL (170094),2016,Acute Care,Government - Local,102.0,,,KS,,0.0,0.644,1593.0,,8.0,0.0,0.006,,0.0,0.037,1736.0,,,,,,
1334,NEWTON MEDICAL CENTER (170103),2016,Acute Care,Voluntary non-profit - Private,100.0,38.023034,-97.33654,KS,1.294,8.0,6.18,9525.0,1.946,1551.0,2.0,1.028,,0.0,0.345,10546.0,,0.0,0.811,0.0,0.602,
1335,SHAWNEE MISSION MEDICAL CENTER (170104),2016,Acute Care,Voluntary non-profit - Church,370.0,38.995137,-94.69204,KS,0.431,26.0,60.394,78286.0,0.855,6304.0,5.0,5.847,0.535,2.0,3.738,86585.0,0.614,3.0,4.886,9.0,8.79,1.024
1336,MCPHERSON HOSPITAL INC (170105),2016,Acute Care,Voluntary non-profit - Private,37.0,38.379006,-97.672485,KS,0.784,1.0,1.275,3789.0,,61.0,0.0,0.05,,0.0,0.108,3816.0,,,,0.0,0.291,
1337,MIAMI COUNTY MEDICAL CENTER (170109),2016,Acute Care,Government - Hospital District or Authority,18.0,38.568591,-94.850849,KS,,0.0,0.524,2161.0,,58.0,0.0,0.037,,0.0,0.042,2161.0,,,,0.0,0.047,
1338,BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL (170110),2016,Acute Care,Government - Local,24.0,37.583992,-101.358013,KS,,0.0,0.041,225.0,,66.0,0.0,0.043,,0.0,0.006,234.0,,1.0,0.066,,,
1339,LABETTE HEALTH (170120),2016,Acute Care,Government - Local,56.0,37.322012,-95.266593,KS,1.718,5.0,2.911,6693.0,,547.0,0.0,0.374,,0.0,0.127,7227.0,,0.0,0.02,0.0,0.462,
1340,"VIA CHRISTI HOSPITALS WICHITA, INC (170122)",2016,Acute Care,Voluntary non-profit - Church,690.0,37.700627,-97.331694,KS,0.677,119.0,175.802,140581.0,1.123,20521.0,25.0,22.27,0.744,10.0,13.438,149015.0,0.448,1.0,2.234,11.0,8.938,1.231
1341,WESLEY MEDICAL CENTER (170123),2016,Acute Care,Proprietary,572.0,37.695489,-97.299058,KS,0.966,88.0,91.085,116434.0,0.547,19684.0,11.0,20.119,1.286,13.0,10.107,146381.0,0.257,1.0,3.893,8.0,5.537,1.445
1342,SAINT LUKE'S CUSHING HOSPITAL (170133),2016,Acute Care,Voluntary non-profit - Private,29.0,39.307773,-94.918355,KS,,0.0,0.639,2020.0,,187.0,0.0,0.128,,0.0,0.064,2485.0,,0.0,0.029,0.0,0.06,
1343,LAWRENCE MEMORIAL HOSPITAL (170137),2016,Acute Care,Government - Local,143.0,38.97815,-95.247649,KS,0.187,2.0,10.701,16879.0,,1077.0,0.0,0.733,,0.0,0.742,19514.0,,0.0,0.21,0.0,1.615,0.0
1344,"VIA CHRISTI HOSPITAL MANHATTAN, INC (170142)",2016,Acute Care,Voluntary non-profit - Church,100.0,39.203114,-96.598186,KS,0.693,5.0,7.22,16370.0,1.427,2113.0,2.0,1.402,,0.0,0.542,15972.0,,0.0,0.086,2.0,1.4,1.429
1345,COFFEYVILLE REGIONAL MEDICAL CENTER (170145),2016,Acute Care,Government - Local,69.0,37.040399,-95.638346,KS,0.512,2.0,3.905,9736.0,,582.0,0.0,0.385,,0.0,0.317,10122.0,,0.0,0.271,0.0,0.417,
1346,PROVIDENCE MEDICAL CENTER (170146),2016,Acute Care,Voluntary non-profit - Church,184.0,39.128582,-94.786329,KS,1.45,38.0,26.212,37503.0,0.545,5370.0,2.0,3.668,0.636,1.0,1.573,38908.0,,1.0,0.512,3.0,2.083,1.44
1347,SOUTH CENTRAL KS  MED CENTER (170150),2016,Acute Care,Government - Local,40.0,37.134534,-97.036568,KS,,1.0,0.837,3742.0,,226.0,0.0,0.152,,0.0,0.075,3815.0,,,,0.0,0.231,
1348,MORTON COUNTY HOSPITAL (170166),2016,Acute Care,Government - Local,31.0,,,KS,,0.0,0.455,1604.0,,,,,,0.0,0.038,1666.0,,,,,,
1349,WESTERN PLAINS MEDICAL COMPLEX (170175),2016,Acute Care,Proprietary,67.0,37.785487,-100.014975,KS,0.909,2.0,2.2,6112.0,,345.0,0.0,0.291,,0.0,0.175,6271.0,,0.0,0.149,0.0,0.666,
1350,OVERLAND PARK REG MED CTR (170176),2016,Acute Care,Proprietary,270.0,38.937613,-94.723726,KS,1.1,34.0,30.904,41224.0,0.787,4277.0,4.0,5.083,0.307,1.0,3.254,60277.0,0.331,1.0,3.02,3.0,1.965,1.527
1351,MENORAH MEDICAL CENTER (170182),2016,Acute Care,Voluntary non-profit - Other,255.0,38.912835,-94.651473,KS,0.791,14.0,17.689,26393.0,0.744,3935.0,2.0,2.687,0.984,1.0,1.016,28265.0,,0.0,0.975,6.0,5.788,1.037
1352,KANSAS SURGERY & RECOVERY CENTER (170183),2016,Acute Care,Proprietary,27.0,37.732911,-97.226256,KS,,0.0,0.961,4411.0,,,,,,0.0,0.078,4411.0,,,,,,
1353,SAINT LUKE'S SOUTH HOSPITAL (170185),2016,Acute Care,Voluntary non-profit - Other,121.0,38.905583,-94.667847,KS,0.418,4.0,9.568,15831.0,0.0,1700.0,0.0,1.166,,0.0,0.484,17553.0,,0.0,0.094,1.0,1.012,0.988
1354,KANSAS HEART HOSPITAL (170186),2016,Acute Care,Proprietary,46.0,37.749305,-97.226366,KS,0.837,3.0,3.585,7981.0,0.0,1687.0,0.0,1.192,,1.0,0.218,7981.0,,,,,,
1355,SALINA SURGICAL HOSPITAL (170187),2016,Acute Care,Proprietary,15.0,38.834346,-97.609162,KS,,1.0,0.344,2311.0,,46.0,0.0,0.03,,0.0,0.026,2311.0,,0.0,0.581,0.0,0.71,
1356,KANSAS CITY ORTHOPAEDIC INSTITUTE (170188),2016,Acute Care,Physician,11.0,38.927549,-94.628235,KS,,0.0,0.245,1700.0,,,,,,0.0,0.02,1722.0,,,,,,
1357,MANHATTAN SURGICAL HOSPITAL LLC (170190),2016,Acute Care,Physician,13.0,39.202826,-96.598183,KS,,0.0,0.19,998.0,,3.0,0.0,0.002,,0.0,0.017,998.0,,0.0,0.103,,,
1358,GREAT BEND REGIONAL HOSPITAL (170191),2016,Acute Care,Proprietary,32.0,38.3562,-98.791619,KS,1.961,2.0,1.02,4312.0,,177.0,0.0,0.118,,0.0,0.096,5362.0,,0.0,0.192,1.0,0.126,
1359,DOCTORS HOSPITAL LLC (170194),2016,Acute Care,Proprietary,9.0,38.927412,-94.6435,KS,,0.0,0.099,665.0,,157.0,0.0,0.102,,1.0,0.008,665.0,,,,,,
1360,"KANSAS SPINE & SPECIALTY HOSPITAL, LLC (170196)",2016,Acute Care,Physician,36.0,37.743966,-97.226326,KS,,0.0,0.678,4518.0,,118.0,0.0,0.078,,0.0,0.057,4518.0,,,,,,
1361,KANSAS MEDICAL CENTER LLC (170197),2016,Acute Care,Proprietary,56.0,37.72324,-97.14648,KS,0.0,0.0,3.709,9991.0,,1035.0,0.0,0.716,,0.0,0.345,9991.0,,,,0.0,0.629,
1362,"SUMMIT SURGICAL, LLC (170198)",2016,Acute Care,Physician,10.0,38.07953,-97.888595,KS,,0.0,0.061,554.0,,,,,,0.0,0.007,554.0,,,,,,
1363,MINIMALLY INVASIVE SURGERY HOSPITAL (170199),2016,Acute Care,Proprietary,9.0,38.924376,-94.769705,KS,,0.0,0.013,107.0,,,,,,0.0,0.0,107.0,,,,,,
1364,"VIA CHRISTI HOSPITAL WICHITA ST TERESA, INC (170200)",2016,Acute Care,Voluntary non-profit - Church,60.0,37.725045,-97.513786,KS,0.538,1.0,1.858,4146.0,,678.0,0.0,0.461,,1.0,0.127,4146.0,,,,1.0,0.594,
1365,PREMIER SURGICAL INSTITUTE (170203),2016,Acute Care,Government - Local,36.0,37.076624,-94.621802,KS,,0.0,0.371,2286.0,,8.0,0.0,0.006,,0.0,0.026,2286.0,,,,,,
1366,RAWLINS COUNTY HEALTH CENTER (171307),2016,Critical Access,Voluntary non-profit - Other,14.0,39.813264,-101.0385,KS,,0.0,0.456,1516.0,,,,,,0.0,0.032,1516.0,,,,,,
1367,MERCY HOSPITAL COLUMBUS (171308),2016,Critical Access,Voluntary non-profit - Church,17.0,37.172064,-94.843805,KS,,0.0,0.021,96.0,,,,,,,,,,,,,,
1368,ROOKS COUNTY HEALTH CENTER (171311),2016,Critical Access,Government - Hospital District or Authority,18.0,39.247967,-99.298203,KS,,0.0,0.308,1394.0,,,,,,0.0,0.031,1534.0,,,,,,
1369,COMANCHE COUNTY HOSPITAL (171312),2016,Critical Access,Government - Local,12.0,37.268976,-99.332016,KS,,0.0,0.013,57.0,,,,,,0.0,0.001,57.0,,,,,,
1370,KEARNY COUNTY HOSPITAL (171313),2016,Critical Access,Government - Local,62.0,37.945971,-101.251036,KS,,0.0,0.111,504.0,,83.0,0.0,0.024,,,,,,,,,,
1371,NEMAHA VALLEY COMMUNITY HOSPITAL (171315),2016,Critical Access,Voluntary non-profit - Private,24.0,39.837849,-96.07789,KS,,0.0,0.164,743.0,,51.0,0.0,0.014,,,,,,,,,,
1372,ELLSWORTH COUNTY MEDICAL CENTER (171327),2016,Critical Access,Government - Local,19.0,38.741969,-98.218892,KS,,4.0,0.754,2332.0,,107.0,0.0,0.032,,0.0,0.048,2332.0,,,,,,
1373,OTTAWA COUNTY HEALTH CENTER (171328),2016,Critical Access,Voluntary non-profit - Other,38.0,39.128797,-97.704255,KS,,,,,,9.0,0.0,0.003,,,,,,,,,,
1374,CLARA BARTON HOSPITAL (171333),2016,Critical Access,Voluntary non-profit - Private,18.0,38.521549,-98.77941,KS,1.355,2.0,1.476,3754.0,,,,,,0.0,0.078,3754.0,,0.0,0.007,0.0,0.055,
1375,MEDICINE LODGE MEMORIAL HOSPITAL (171334),2016,Critical Access,Government - Hospital District or Authority,22.0,37.289877,-98.577659,KS,0.766,1.0,1.306,4653.0,,,,,,0.0,0.097,4653.0,,,,,,
1376,WAMEGO HEALTH CENTER (171337),2016,Critical Access,Voluntary non-profit - Other,21.0,39.205511,-96.318193,KS,,0.0,0.314,1421.0,,148.0,0.0,0.044,,0.0,0.03,1421.0,,,,,,
1377,GREENWOOD COUNTY HOSPITAL (171339),2016,Critical Access,Government - Local,25.0,37.835315,-96.29418,KS,,0.0,0.551,2496.0,,38.0,0.0,0.012,,0.0,0.052,2496.0,,,,,,
1378,SHERIDAN COUNTY HOSPITAL (171347),2016,Critical Access,Government - Local,52.0,39.354188,-100.432735,KS,,0.0,0.191,866.0,,150.0,0.0,0.044,,1.0,0.018,866.0,,,,,,
1379,NORTON COUNTY HOSPITAL (171348),2016,Critical Access,Government - Local,25.0,39.838529,-99.888742,KS,,,,,,41.0,0.0,0.013,,,,,,,,,,
1380,CLOUD COUNTY HEALTH CENTER (171349),2016,Critical Access,Voluntary non-profit - Private,22.0,39.565974,-97.672517,KS,,0.0,0.311,1410.0,,,,,,,,,,,,,,
1381,LINDSBORG COMMUNITY HOSPITAL (171358),2016,Critical Access,Voluntary non-profit - Private,22.0,38.573435,-97.68359,KS,,0.0,0.043,193.0,,,,,,0.0,0.005,231.0,,,,,,
1382,REPUBLIC COUNTY HOSPITAL (171361),2016,Critical Access,Voluntary non-profit - Private,50.0,39.818087,-97.636926,KS,,0.0,0.057,257.0,,,,,,,,,,,,0.0,0.159,
1383,CITIZENS MEDICAL CENTER (171362),2016,Critical Access,Voluntary non-profit - Private,82.0,39.379755,-101.045049,KS,,0.0,0.366,806.0,,,,,,0.0,0.018,869.0,,0.0,0.009,0.0,0.047,
1384,ALLEN COUNTY REGIONAL HOSPITAL (171373),2016,Critical Access,Proprietary,25.0,37.950342,-95.390674,KS,,2.0,0.004,17.0,,336.0,0.0,0.099,,0.0,0.001,35.0,,,,,,
1385,FREDONIA REGIONAL HOSPITAL (171374),2016,Critical Access,Government - Local,31.0,37.533641,-95.814816,KS,,1.0,0.386,1749.0,,,,,,0.0,0.045,2148.0,,,,,,
1386,MITCHELL COUNTY HOSPITAL HEALTH SYSTEMS (171375),2016,Critical Access,Government - Local,68.0,39.466499,-98.114235,KS,,0.0,0.337,1527.0,,82.0,0.0,0.024,,0.0,0.033,1582.0,,,,,,
1387,GIRARD MEDICAL CENTER (171376),2016,Critical Access,Government - Hospital District or Authority,32.0,37.513852,-94.858541,KS,,0.0,0.463,2094.0,,116.0,0.0,0.034,,1.0,0.049,2329.0,,,,0.0,0.09,
1388,MORRIS COUNTY HOSPITAL (171379),2016,Critical Access,Government - Local,24.0,38.665115,-96.500129,KS,,0.0,0.328,1485.0,,,,,,0.0,0.032,1528.0,,0.0,0.049,,,
1389,NEOSHO MEMORIAL REGIONAL MEDICAL CENTER (171380),2016,Critical Access,Government - Local,22.0,37.67518,-95.470896,KS,1.056,3.0,2.84,7153.0,,186.0,0.0,0.055,,0.0,0.163,7852.0,,0.0,0.095,3.0,0.484,
1390,MEMORIAL HOSPITAL (171381),2016,Critical Access,Government - Hospital District or Authority,106.0,38.924961,-97.206483,KS,,1.0,0.671,2188.0,,371.0,0.0,0.109,,0.0,0.047,2280.0,,0.0,0.018,1.0,0.075,
1391,WILLIAM NEWTON HOSPITAL (171383),2016,Critical Access,Government - Local,22.0,37.244649,-96.98247,KS,2.467,3.0,1.216,4236.0,,114.0,1.0,0.034,,0.0,0.091,4370.0,,1.0,0.049,4.0,0.279,
1392,NEWMAN REGIONAL HEALTH (171384),2016,Critical Access,Government - Local,30.0,38.412305,-96.195024,KS,1.524,4.0,2.625,6659.0,,38.0,1.0,0.011,,1.0,0.156,7548.0,,1.0,0.253,1.0,0.052,
1393,ST ELIZABETH FT THOMAS (180001),2016,Acute Care,Voluntary non-profit - Private,160.0,39.078281,-84.464654,KY,1.426,40.0,28.052,39728.0,1.138,5143.0,4.0,3.516,2.969,7.0,2.358,39728.0,,1.0,0.981,2.0,2.826,0.708
1394,WHITESBURG ARH HOSPITAL (180002),2016,Acute Care,Voluntary non-profit - Other,87.0,37.11182,-82.813612,KY,0.439,2.0,4.56,14489.0,,1272.0,0.0,0.846,,0.0,0.432,15511.0,,0.0,0.279,0.0,0.488,
1395,OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL (180004),2016,Acute Care,Voluntary non-profit - Private,97.0,37.196925,-87.189639,KY,1.043,2.0,1.918,4861.0,,484.0,0.0,0.327,,0.0,0.129,4858.0,,0.0,0.05,0.0,0.256,
1396,HIGHLANDS REGIONAL MEDICAL CENTER (180005),2016,Acute Care,Proprietary,148.0,37.71054,-82.77025,KY,0.633,6.0,9.473,18720.0,2.27,2341.0,4.0,1.762,,2.0,0.84,20017.0,,0.0,0.202,0.0,0.669,
1397,KING'S DAUGHTERS' MEDICAL CENTER (180009),2016,Acute Care,Voluntary non-profit - Private,444.0,38.470401,-82.635916,KY,1.22,68.0,55.749,60443.0,1.044,4651.0,4.0,3.833,1.212,4.0,3.3,63925.0,1.621,2.0,1.234,2.0,2.224,0.899
1398,SAINT JOSEPH HOSPITAL (180010),2016,Acute Care,Voluntary non-profit - Church,265.0,,,KY,1.016,41.0,40.361,66634.0,0.11,10536.0,1.0,9.078,0.211,1.0,4.743,66634.0,,0.0,0.035,0.0,5.855,0.0
1399,SAINT JOSEPH LONDON (180011),2016,Acute Care,Voluntary non-profit - Private,144.0,37.118553,-84.106349,KY,0.5,8.0,15.997,23999.0,1.422,2049.0,2.0,1.406,,0.0,0.934,27775.0,,0.0,0.538,0.0,0.512,
1400,HARDIN MEMORIAL HOSPITAL (180012),2016,Acute Care,Government - Local,297.0,37.709917,-85.875048,KY,0.72,41.0,56.961,51296.0,1.381,6203.0,6.0,4.344,1.763,4.0,2.269,55210.0,0.0,0.0,1.284,0.0,2.326,0.0
1401,THE MEDICAL CENTER AT BOWLING GREEN (180013),2016,Acute Care,Voluntary non-profit - Private,314.0,36.996366,-86.430232,KY,0.934,53.0,56.773,92636.0,1.198,8828.0,9.0,7.511,1.896,12.0,6.328,98289.0,,0.0,0.587,3.0,3.515,0.853
1402,JEWISH HOSPITAL - SHELBYVILLE (180016),2016,Acute Care,Voluntary non-profit - Private,33.0,38.208808,-85.236145,KY,1.397,2.0,1.432,3375.0,,107.0,0.0,0.069,,0.0,0.077,3375.0,,,,0.0,0.23,
1403,T J SAMSON COMMUNITY HOSPITAL (180017),2016,Acute Care,Voluntary non-profit - Other,136.0,37.011566,-85.903862,KY,0.827,12.0,14.503,20043.0,,756.0,0.0,0.637,0.912,1.0,1.096,23806.0,,1.0,0.299,2.0,1.442,1.387
1404,ST CLAIRE REGIONAL MEDICAL CENTER (180018),2016,Acute Care,Government - Federal,128.0,38.180016,-83.442454,KY,1.445,12.0,8.307,15183.0,0.878,2826.0,2.0,2.279,,0.0,0.519,17159.0,,0.0,0.278,0.0,1.017,0.0
1405,MEADOWVIEW REGIONAL MEDICAL CENTER (180019),2016,Acute Care,Proprietary,100.0,38.639572,-83.808804,KY,1.621,7.0,4.319,7507.0,,1007.0,3.0,0.737,,0.0,0.214,8425.0,,1.0,0.452,0.0,0.429,
