,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Pneumonia Readmission Rate (READM-30 PN) (Denominator),30-Day Pneumonia Readmission Rate (READM-30 PN),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32)
579,COMMUNITY HOSPITAL (060054),2019,Acute Care,Voluntary non-profit - Private,45.0,39.106297,-108.615312,CO,62.0,19.1,536.0,13.8,133.0,16.0,67.0,18.7,169.0,3.8,,,,,,,62.0,-46.3,133.0,-3.1,85.0,14.7
580,VA EASTERN COLORADO HEALTHCARE SYSTEM (06005F),2019,Acute Care (VA),Government - Federal,,,,,409.0,21.9,,,158.0,17.0,,,,,147.0,17.9,,,,,,,,,,
581,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL (060064),2019,Acute Care,Voluntary non-profit - Church,237.0,39.67064,-104.973482,CO,194.0,20.5,2099.0,14.4,201.0,15.9,100.0,20.5,1423.0,3.5,51.0,15.3,83.0,11.4,51.0,-19.7,194.0,23.2,201.0,-11.3,72.0,14.3
582,NORTH SUBURBAN MEDICAL CENTER (060065),2019,Acute Care,Voluntary non-profit - Private,127.0,39.86438,-104.984783,CO,113.0,22.5,822.0,15.0,143.0,15.4,100.0,19.3,45.0,3.9,60.0,15.7,,,60.0,24.6,113.0,-6.3,143.0,-24.9,54.0,14.7
583,DELTA COUNTY MEMORIAL HOSPITAL (060071),2019,Acute Care,Government - Local,49.0,38.743166,-108.047515,CO,45.0,20.3,527.0,14.5,153.0,16.1,69.0,18.3,238.0,3.7,,,,,,,45.0,-23.2,153.0,-13.1,231.0,14.5
584,VALLEY VIEW HOSPITAL ASSOCIATION (060075),2019,Acute Care,Voluntary non-profit - Private,44.0,39.532859,-107.322794,CO,57.0,21.3,776.0,14.6,124.0,15.5,63.0,18.5,217.0,4.2,64.0,15.4,,,64.0,-23.8,57.0,41.7,124.0,-27.8,297.0,16.0
585,STERLING REGIONAL MEDCENTER (060076),2019,Acute Care,Voluntary non-profit - Private,27.0,40.613684,-103.220524,CO,86.0,21.5,366.0,15.3,111.0,16.0,72.0,19.8,55.0,3.8,,,,,,,86.0,-16.5,111.0,-12.9,132.0,15.3
586,GRAND JUNCTION VA MEDICAL CENTER (06007F),2019,Acute Care (VA),Government - Federal,,,,,100.0,20.8,,,145.0,15.2,,,,,,,,,,,,,,,,
587,VAIL HEALTH HOSPITAL (060096),2019,Acute Care,Voluntary non-profit - Other,56.0,39.642949,-106.382866,CO,,,528.0,13.9,32.0,16.2,,,283.0,3.8,,,,,,,,,32.0,4.6,34.0,14.6
588,"MEDICAL CENTER OF AURORA, THE (060100)",2019,Acute Care,Proprietary,327.0,39.689346,-104.83115,CO,480.0,20.1,2787.0,13.8,410.0,15.1,217.0,18.5,233.0,5.2,190.0,15.8,67.0,11.6,190.0,-8.4,480.0,0.7,410.0,9.4,123.0,14.7
589,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL (060103),2019,Acute Care,Voluntary non-profit - Church,111.0,39.950847,-105.149154,CO,45.0,20.9,453.0,15.4,87.0,15.3,,,194.0,3.9,29.0,15.5,,,29.0,1.8,45.0,-27.4,87.0,-20.0,168.0,13.8
590,ST ANTHONY NORTH HEALTH CAMPUS (060104),2019,Acute Care,Voluntary non-profit - Church,102.0,39.95581,-104.993671,CO,130.0,19.1,854.0,14.0,192.0,16.2,113.0,18.1,63.0,4.5,83.0,15.1,,,83.0,-18.0,130.0,-14.1,192.0,-14.1,89.0,14.2
591,NATIONAL JEWISH HEALTH (060107),2019,Acute Care,Voluntary non-profit - Private,21.0,39.740019,-104.942892,CO,,,,,,,,,,,,,,,,,,,,,163.0,14.5
592,SKY RIDGE MEDICAL CENTER (060112),2019,Acute Care,Proprietary,242.0,39.529323,-104.870269,CO,257.0,21.0,2728.0,14.2,264.0,16.3,98.0,18.8,1335.0,3.3,76.0,15.3,,,76.0,-18.7,257.0,-32.0,264.0,-4.3,107.0,15.1
593,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL (060113),2019,Acute Care,Voluntary non-profit - Church,188.0,39.576554,-104.988489,CO,310.0,19.7,2279.0,14.8,479.0,17.0,178.0,18.7,260.0,4.8,76.0,13.6,,,76.0,-28.6,310.0,-19.4,479.0,-6.2,66.0,14.7
594,PARKER ADVENTIST HOSPITAL (060114),2019,Acute Care,Voluntary non-profit - Private,155.0,39.550058,-104.773433,CO,202.0,18.9,1749.0,15.0,241.0,15.9,122.0,18.3,360.0,4.9,87.0,15.6,,,87.0,-8.7,202.0,-33.3,241.0,-17.5,177.0,15.1
595,GOOD SAMARITAN MEDICAL CENTER (060116),2019,Acute Care,Voluntary non-profit - Private,196.0,39.969753,-105.083065,CO,143.0,21.8,896.0,15.0,161.0,15.6,62.0,18.6,84.0,4.5,63.0,14.8,,,63.0,-30.1,143.0,-19.8,161.0,-16.0,98.0,16.1
596,"ANIMAS SURGICAL HOSPITAL, LLC (060117)",2019,Acute Care,Physician,12.0,37.248889,-107.870774,CO,,,229.0,14.1,,,,,469.0,3.9,,,,,,,,,,,,
597,ST ANTHONY SUMMIT MEDICAL CENTER (060118),2019,Acute Care,Voluntary non-profit - Church,34.0,39.569988,-106.078259,CO,,,212.0,14.5,,,,,103.0,3.9,,,,,,,,,,,,
598,MEDICAL CENTER OF THE ROCKIES (060119),2019,Acute Care,Voluntary non-profit - Private,168.0,40.415194,-105.001451,CO,352.0,17.3,3632.0,14.0,447.0,15.9,192.0,17.8,455.0,3.7,462.0,14.4,232.0,10.1,462.0,-21.8,352.0,-40.3,447.0,-21.9,288.0,15.6
599,ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS (060124),2019,Acute Care,Proprietary,48.0,39.717952,-105.128441,CO,,,858.0,14.0,,,,,1184.0,3.1,,,,,,,,,,,,
600,CASTLE ROCK ADVENTIST HOSPITAL (060125),2019,Acute Care,Voluntary non-profit - Private,56.0,39.404112,-104.886146,CO,78.0,21.1,718.0,15.0,130.0,16.5,71.0,19.0,66.0,4.6,,,,,,,78.0,-17.7,130.0,-21.9,101.0,14.7
601,BANNER FORT COLLINS MEDICAL CENTER (060126),2019,Acute Care,Voluntary non-profit - Other,25.0,40.521117,-105.010885,CO,,,96.0,15.3,,,,,52.0,4.0,,,,,,,,,,,34.0,15.1
602,LONGS PEAK HOSPITAL (060128),2019,Acute Care,Voluntary non-profit - Private,57.0,,,CO,,,336.0,14.7,26.0,15.9,,,,,,,,,,,,,26.0,-35.6,,
603,UCHEALTH GRANDVIEW HOSPITAL (060130),2019,Acute Care,Voluntary non-profit - Private,21.0,38.910262,-104.816436,CO,,,28.0,15.3,,,,,,,,,,,,,,,,,,
604,RIO GRANDE HOSPITAL (061301),2019,Critical Access,Voluntary non-profit - Private,16.0,37.674371,-106.36481,CO,47.0,21.7,220.0,14.9,66.0,16.1,41.0,19.0,,,,,,,,,47.0,-32.8,66.0,6.5,,
605,COLORADO CANYONS HOSPITAL AND MEDICAL CENTER (061302),2019,Critical Access,Voluntary non-profit - Private,56.0,39.164337,-108.735901,CO,,,91.0,15.1,,,,,,,,,,,,,,,,,,
606,EAST MORGAN COUNTY HOSPITAL (061303),2019,Critical Access,Government - Hospital District or Authority,25.0,40.254738,-103.649178,CO,46.0,20.9,126.0,14.7,84.0,15.1,32.0,19.6,,,,,,,,,46.0,-33.7,84.0,-33.4,37.0,15.0
607,HAXTUN HOSPITAL DISTRICT (061304),2019,Critical Access,Government - Hospital District or Authority,25.0,40.641386,-102.630866,CO,,,38.0,15.3,,,,,,,,,,,,,,,,,,
608,MELISSA MEMORIAL HOSPITAL (061305),2019,Critical Access,Government - Hospital District or Authority,15.0,40.578428,-102.290249,CO,,,94.0,15.6,40.0,15.9,,,,,,,,,,,,,40.0,-17.3,,
609,RANGELY DISTRICT HOSPITAL (061307),2019,Critical Access,Government - Hospital District or Authority,25.0,40.080284,-108.80591,CO,,,27.0,15.2,,,,,,,,,,,,,,,,,,
610,SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL (061308),2019,Critical Access,Voluntary non-profit - Private,17.0,37.26375,-105.964095,CO,,,27.0,15.2,25.0,16.3,,,,,,,,,,,,,25.0,6.8,,
611,WRAY COMMUNITY DISTRICT HOSPITAL (061309),2019,Critical Access,Government - Hospital District or Authority,16.0,40.075405,-102.23466,CO,,,98.0,15.3,38.0,15.8,,,39.0,4.3,,,,,,,,,38.0,-14.3,40.0,14.6
612,SEDGWICK COUNTY MEMORIAL HOSPITAL (061310),2019,Critical Access,Government - Local,41.0,40.993743,-102.269232,CO,,,50.0,15.4,38.0,16.2,,,,,,,,,,,,,38.0,24.1,,
613,SOUTHEAST COLORADO HOSPITAL (061311),2019,Critical Access,Government - Hospital District or Authority,71.0,37.404165,-102.612423,CO,30.0,21.9,120.0,15.1,64.0,16.8,,,,,,,,,,,30.0,-9.6,64.0,-24.4,,
614,ESTES PARK MEDICAL CENTER (061312),2019,Critical Access,Government - Hospital District or Authority,84.0,40.372259,-105.514088,CO,,,134.0,15.1,35.0,16.2,,,25.0,4.0,,,,,,,,,35.0,28.7,144.0,15.0
615,KIT CARSON COUNTY MEMORIAL HOSPITAL (061313),2019,Critical Access,Government - Hospital District or Authority,19.0,39.302378,-102.270711,CO,30.0,21.2,99.0,15.1,76.0,15.3,,,,,,,,,,,30.0,-28.3,76.0,-22.7,,
616,"MEMORIAL HOSPITAL, THE (061314)",2019,Critical Access,Government - Local,25.0,40.518288,-107.57863,CO,33.0,21.4,227.0,15.4,55.0,16.4,60.0,19.7,61.0,3.8,,,,,,,33.0,6.0,55.0,-6.2,,
617,YUMA DISTRICT HOSPITAL (061315),2019,Critical Access,Government - Hospital District or Authority,16.0,40.118445,-102.736654,CO,,,94.0,15.2,52.0,16.6,33.0,18.8,,,,,,,,,,,52.0,3.9,,
618,SPANISH PEAKS REGIONAL HEALTH CENTER (061316),2019,Critical Access,Government - Hospital District or Authority,141.0,37.607688,-104.819786,CO,,,78.0,14.5,35.0,15.6,35.0,18.5,,,,,,,,,,,35.0,-22.6,33.0,14.6
619,GRAND RIVER MEDICAL CENTER (061317),2019,Critical Access,Government - Hospital District or Authority,66.0,39.522587,-107.77201,CO,28.0,21.3,199.0,14.9,60.0,16.7,53.0,18.5,33.0,3.8,,,,,,,28.0,0.6,60.0,9.5,44.0,15.0
620,MIDDLE PARK MEDICAL CENTER (061318),2019,Critical Access,Government - Hospital District or Authority,21.0,40.0575,-106.391183,CO,,,32.0,15.2,,,,,,,,,,,,,,,,,,
621,GUNNISON VALLEY HOSPITAL (061320),2019,Critical Access,Government - Local,20.0,38.551089,-106.924321,CO,,,136.0,15.3,36.0,16.7,,,60.0,4.5,,,,,,,,,36.0,2.8,61.0,14.9
622,MT SAN RAFAEL HOSPITAL (061321),2019,Critical Access,Voluntary non-profit - Private,25.0,37.17338,-104.488796,CO,48.0,19.9,196.0,14.2,112.0,14.7,39.0,18.5,,,,,,,,,48.0,-30.7,112.0,-24.8,,
623,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER (061322),2019,Critical Access,Government - Hospital District or Authority,25.0,38.543102,-106.007291,CO,50.0,21.6,378.0,14.8,102.0,16.2,36.0,18.8,69.0,3.6,,,,,,,50.0,-16.9,102.0,-20.2,208.0,14.3
624,PROWERS MEDICAL CENTER (061323),2019,Critical Access,Government - Hospital District or Authority,25.0,38.070915,-102.609068,CO,48.0,22.0,193.0,14.5,113.0,16.5,31.0,19.1,,,,,,,,,48.0,4.7,113.0,-17.3,,
625,ASPEN VALLEY HOSPITAL (061324),2019,Critical Access,Government - Hospital District or Authority,25.0,39.190057,-106.837784,CO,,,132.0,15.0,,,,,76.0,3.6,,,,,,,,,,,93.0,14.2
626,PIONEERS MEDICAL CENTER (061325),2019,Critical Access,Government - Hospital District or Authority,44.0,,,CO,,,84.0,15.4,,,,,31.0,4.4,,,,,,,,,,,,
627,UCHEALTH PIKES PEAK REGIONAL HOSPITAL (061326),2019,Critical Access,Voluntary non-profit - Private,15.0,38.973932,-105.074267,CO,26.0,21.0,101.0,15.3,46.0,16.1,28.0,19.2,41.0,3.9,,,,,,,26.0,-20.3,46.0,-6.1,33.0,15.1
628,SOUTHWEST MEMORIAL HOSPITAL (061327),2019,Critical Access,Voluntary non-profit - Private,25.0,37.36214,-108.572739,CO,48.0,20.6,317.0,14.4,84.0,15.4,65.0,18.2,52.0,4.2,,,,,,,48.0,-32.2,84.0,-18.4,94.0,14.7
629,ARKANSAS VALLEY REGIONAL MEDICAL CENTER (061336),2019,Critical Access,Voluntary non-profit - Private,124.0,37.976929,-103.548742,CO,51.0,21.5,351.0,16.0,43.0,16.1,144.0,21.3,,,,,,,,,51.0,6.6,43.0,-30.0,75.0,14.4
630,CENTURA HEALTH-ST THOMAS MORE HOSPITAL (061344),2019,Critical Access,Voluntary non-profit - Private,116.0,38.455747,-105.230264,CO,71.0,20.6,425.0,14.7,136.0,16.2,97.0,19.5,109.0,4.0,,,,,,,71.0,-3.2,136.0,2.5,,
631,ST FRANCIS HOSPITAL & MEDICAL CENTER (070002),2019,Acute Care,Voluntary non-profit - Church,561.0,41.77508,-72.699468,CT,1489.0,19.0,6841.0,15.2,903.0,17.3,665.0,21.0,2415.0,3.5,506.0,13.9,258.0,13.3,506.0,-8.4,1489.0,-5.5,903.0,17.4,834.0,14.3
632,DAY KIMBALL HOSPITAL (070003),2019,Acute Care,Voluntary non-profit - Private,104.0,41.907746,-71.914692,CT,234.0,19.5,867.0,14.9,193.0,15.5,298.0,19.9,92.0,3.9,54.0,14.7,,,54.0,-40.8,234.0,-16.7,193.0,-10.5,363.0,14.9
633,SHARON HOSPITAL (070004),2019,Acute Care,Proprietary,79.0,41.879662,-73.481572,CT,156.0,19.6,718.0,14.5,205.0,15.3,113.0,18.5,35.0,3.8,35.0,15.8,,,35.0,-2.7,156.0,-31.2,205.0,-35.2,218.0,13.8
634,WATERBURY HOSPITAL (070005),2019,Acute Care,Voluntary non-profit - Private,249.0,41.558269,-73.058608,CT,596.0,23.6,2696.0,17.4,569.0,19.0,294.0,19.0,315.0,5.3,204.0,16.8,60.0,12.9,204.0,41.6,596.0,16.7,569.0,17.5,164.0,15.7
635,STAMFORD HOSPITAL (070006),2019,Acute Care,Voluntary non-profit - Private,303.0,,,CT,629.0,19.9,3291.0,15.2,618.0,16.1,218.0,18.4,390.0,3.4,229.0,14.3,32.0,12.1,229.0,-17.5,629.0,3.2,618.0,1.6,831.0,13.6
636,LAWRENCE & MEMORIAL HOSPITAL (070007),2019,Acute Care,Voluntary non-profit - Private,245.0,41.336428,-72.103074,CT,756.0,19.3,3209.0,14.8,777.0,16.5,539.0,20.8,705.0,3.7,159.0,15.4,,,159.0,1.6,756.0,-5.3,777.0,25.2,246.0,13.5
637,JOHNSON MEMORIAL HOSPITAL (070008),2019,Acute Care,Voluntary non-profit - Private,88.0,,,CT,147.0,23.0,532.0,15.6,217.0,18.5,176.0,18.1,33.0,4.2,,,,,,,147.0,20.6,217.0,48.0,193.0,13.3
638,BRIDGEPORT HOSPITAL (070010),2019,Acute Care,Voluntary non-profit - Private,378.0,41.188776,-73.16608,CT,848.0,24.9,4248.0,16.3,912.0,19.0,339.0,21.0,392.0,5.5,307.0,15.4,80.0,12.5,307.0,6.7,849.0,39.6,912.0,46.2,502.0,13.7
639,CHARLOTTE HUNGERFORD HOSPITAL (070011),2019,Acute Care,Voluntary non-profit - Private,108.0,41.790846,-73.133143,CT,215.0,24.2,1541.0,15.2,386.0,18.0,403.0,19.6,,,46.0,15.8,,,46.0,-1.9,215.0,41.6,386.0,12.9,61.0,15.1
640,ROCKVILLE GENERAL HOSPITAL (070012),2019,Acute Care,Voluntary non-profit - Other,222.0,41.866962,-72.450988,CT,185.0,23.0,619.0,17.3,269.0,16.7,108.0,19.6,,,,,,,,,185.0,25.4,269.0,-0.3,103.0,14.6
641,SAINT MARY'S HOSPITAL (070016),2019,Acute Care,Voluntary non-profit - Other,167.0,,,CT,543.0,21.3,2389.0,15.4,611.0,15.7,323.0,18.7,168.0,3.9,144.0,15.8,39.0,14.1,144.0,-10.5,543.0,9.6,611.0,-7.7,573.0,14.3
642,MIDSTATE MEDICAL CENTER (070017),2019,Acute Care,Voluntary non-profit - Private,139.0,41.550036,-72.803878,CT,343.0,21.0,2320.0,14.6,643.0,17.5,344.0,20.3,584.0,3.9,61.0,15.8,,,61.0,-8.7,343.0,0.2,643.0,24.3,608.0,14.5
643,GREENWICH HOSPITAL ASSOCIATION - (070018),2019,Acute Care,Voluntary non-profit - Private,184.0,41.034395,-73.629632,CT,583.0,23.8,3089.0,15.3,758.0,16.4,238.0,18.7,898.0,2.9,86.0,16.5,,,86.0,23.6,583.0,47.9,758.0,16.7,367.0,13.1
644,"MILFORD HOSPITAL, INC (070019)",2019,Acute Care,Voluntary non-profit - Private,106.0,,,CT,158.0,22.1,781.0,15.1,188.0,17.4,196.0,20.1,559.0,3.0,28.0,15.0,,,28.0,-12.8,159.0,7.0,188.0,11.3,142.0,14.6
645,MIDDLESEX HOSPITAL (070020),2019,Acute Care,Voluntary non-profit - Private,228.0,41.554865,-72.647633,CT,646.0,20.7,3642.0,16.4,1266.0,16.3,585.0,20.1,446.0,4.1,87.0,14.2,,,87.0,-8.9,646.0,4.1,1266.0,9.8,245.0,14.8
646,WINDHAM COMM MEM HOSP & HATCH HOSP (070021),2019,Acute Care,Voluntary non-profit - Private,64.0,41.716569,-72.224068,CT,288.0,21.3,786.0,14.9,259.0,15.7,124.0,19.1,96.0,3.6,,,,,,,288.0,31.7,259.0,6.8,357.0,14.6
647,YALE-NEW HAVEN HOSPITAL (070022),2019,Acute Care,Voluntary non-profit - Private,1347.0,41.304285,-72.934689,CT,2586.0,21.7,13390.0,16.7,2254.0,17.9,932.0,20.6,969.0,4.4,983.0,16.7,286.0,12.4,983.0,34.8,2591.0,36.3,2255.0,43.2,787.0,15.4
648,WILLIAM W BACKUS HOSPITAL (070024),2019,Acute Care,Voluntary non-profit - Other,184.0,41.543402,-72.086747,CT,475.0,18.3,2397.0,14.7,822.0,16.4,491.0,18.5,449.0,3.7,100.0,15.2,,,100.0,10.6,475.0,4.5,822.0,26.8,263.0,15.6
649,HARTFORD HOSPITAL (070025),2019,Acute Care,Voluntary non-profit - Private,895.0,41.754123,-72.68082,CT,1634.0,21.8,8685.0,15.9,1225.0,17.4,500.0,20.3,1283.0,3.9,914.0,15.7,311.0,13.6,914.0,6.0,1634.0,22.0,1226.0,22.0,785.0,16.8
650,MANCHESTER MEMORIAL HOSPITAL (070027),2019,Acute Care,Voluntary non-profit - Private,182.0,41.781087,-72.525221,CT,306.0,24.7,1551.0,16.4,555.0,19.4,211.0,19.6,228.0,4.2,,,,,,,306.0,28.4,555.0,37.4,432.0,13.6
651,ST VINCENT'S MEDICAL CENTER (070028),2019,Acute Care,Voluntary non-profit - Church,350.0,41.200083,-73.202486,CT,567.0,19.6,3082.0,14.7,717.0,18.1,335.0,18.4,272.0,4.2,326.0,16.8,80.0,14.2,326.0,9.7,568.0,19.3,717.0,24.9,148.0,15.1
652,BRISTOL HOSPITAL (070029),2019,Acute Care,Voluntary non-profit - Private,123.0,41.676078,-72.934878,CT,306.0,21.0,1227.0,17.3,330.0,21.0,224.0,20.4,184.0,4.5,52.0,15.9,,,52.0,-18.4,306.0,-0.8,331.0,37.3,152.0,15.5
653,GRIFFIN HOSPITAL (070031),2019,Acute Care,Voluntary non-profit - Other,119.0,41.335978,-73.088689,CT,353.0,22.8,1581.0,14.3,346.0,15.9,225.0,19.6,428.0,4.2,38.0,15.3,,,38.0,-14.8,353.0,35.9,346.0,22.6,257.0,16.9
654,DANBURY HOSPITAL (070033),2019,Acute Care,Voluntary non-profit - Private,370.0,41.406776,-73.444339,CT,1163.0,19.1,6575.0,15.6,1120.0,15.1,540.0,17.0,948.0,4.6,385.0,16.1,123.0,11.5,385.0,15.8,1163.0,-18.0,1121.0,-0.6,1694.0,12.9
655,NORWALK HOSPITAL ASSOCIATION (070034),2019,Acute Care,Voluntary non-profit - Private,278.0,41.110415,-73.421229,CT,700.0,20.7,3827.0,16.2,858.0,16.5,253.0,18.8,503.0,4.3,119.0,15.5,,,119.0,31.2,700.0,7.0,858.0,14.4,941.0,15.0
656,"HOSPITAL OF CENTRAL CONNECTICUT, THE (070035)",2019,Acute Care,Voluntary non-profit - Other,297.0,41.662015,-72.787799,CT,661.0,19.7,2579.0,15.3,639.0,16.7,341.0,20.0,222.0,4.5,148.0,16.1,,,148.0,7.0,661.0,-9.7,639.0,8.9,360.0,15.1
657,JOHN DEMPSEY HOSPITAL (070036),2019,Acute Care,Government - Local,160.0,41.73509,-72.79582,CT,503.0,22.2,2009.0,15.6,466.0,18.1,192.0,20.5,142.0,3.6,196.0,16.2,40.0,12.2,196.0,-0.8,503.0,1.3,466.0,3.0,262.0,14.3
658,MASONICARE HEALTH CENTER (070039),2019,Acute Care,Voluntary non-profit - Private,503.0,41.460698,-72.836586,CT,35.0,21.1,217.0,14.3,117.0,16.6,55.0,18.9,,,,,,,,,35.0,-12.8,117.0,37.8,72.0,15.9
659,WEST HAVEN VA MEDICAL CENTER (07003F),2019,Acute Care (VA),Government - Federal,,,,,425.0,23.5,,,307.0,17.7,,,,,93.0,16.3,,,,,,,,,,
660,HEBREW HOME AND HOSPITAL INC (070040),2019,Acute Care,Voluntary non-profit - Private,201.0,41.802774,-72.728931,CT,,,26.0,15.2,34.0,16.9,,,,,,,,,,,,,34.0,-3.4,,
661,"CHRISTIANA CARE HEALTH SERVICES, INC. (080001)",2019,Acute Care,Voluntary non-profit - Private,1132.0,39.689909,-75.673228,DE,2785.0,19.9,15618.0,14.9,2526.0,14.4,1691.0,19.4,2991.0,3.6,854.0,15.8,448.0,15.1,854.0,9.2,2786.0,9.9,2527.0,7.3,336.0,14.2
662,ST FRANCIS HOSPITAL (080003),2019,Acute Care,Voluntary non-profit - Private,161.0,,,DE,217.0,22.2,983.0,15.3,244.0,14.7,101.0,18.5,52.0,4.3,62.0,15.1,,,62.0,-26.3,218.0,14.5,245.0,-19.2,258.0,13.3
663,"BAYHEALTH HOSPITAL, KENT CAMPUS (080004)",2019,Acute Care,Voluntary non-profit - Private,268.0,39.150687,-75.522327,DE,879.0,24.1,4634.0,16.1,1143.0,17.9,782.0,20.0,491.0,3.9,452.0,16.4,118.0,12.5,452.0,12.4,879.0,43.4,1143.0,40.8,150.0,15.9
664,NANTICOKE MEMORIAL HOSPITAL (080006),2019,Acute Care,Voluntary non-profit - Private,112.0,38.642332,-75.605325,DE,495.0,21.5,1852.0,15.2,545.0,14.8,269.0,18.6,362.0,4.0,178.0,15.8,,,178.0,10.8,495.0,-5.1,545.0,-7.5,309.0,13.5
665,BEEBE MEDICAL CENTER (080007),2019,Acute Care,Voluntary non-profit - Private,183.0,38.777413,-75.13586,DE,920.0,21.3,4804.0,15.3,1041.0,18.2,698.0,19.8,1212.0,3.1,374.0,14.6,162.0,15.3,374.0,-0.2,920.0,19.1,1041.0,17.6,1164.0,13.6
666,"BAYHEALTH HOSPITAL, SUSSEX CAMPUS (080009)",2019,Acute Care,Voluntary non-profit - Private,158.0,,,DE,401.0,23.0,1596.0,15.3,439.0,16.4,255.0,18.6,297.0,3.8,57.0,15.4,,,57.0,29.3,401.0,39.7,439.0,2.0,333.0,13.9
667,WILMINGTON VA MEDICAL CENTER (08002F),2019,Acute Care (VA),Government - Federal,,,,,179.0,20.7,,,191.0,15.4,,,,,,,,,,,,,,,,
668,GEORGE WASHINGTON UNIV HOSPITAL (090001),2019,Acute Care,Proprietary,363.0,38.901169,-77.050119,DC,449.0,23.5,3088.0,16.6,304.0,20.6,126.0,21.2,152.0,3.7,203.0,15.4,69.0,14.8,203.0,12.7,450.0,28.3,305.0,29.4,438.0,15.4
669,HOWARD UNIVERSITY HOSPITAL (090003),2019,Acute Care,Voluntary non-profit - Other,241.0,38.917011,-77.021896,DC,177.0,25.9,812.0,16.7,136.0,16.4,100.0,19.3,,,42.0,16.4,,,42.0,12.7,177.0,61.0,136.0,9.9,164.0,14.2
670,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL (090004),2019,Acute Care,Voluntary non-profit - Private,396.0,38.912599,-77.074388,DC,179.0,22.5,3418.0,16.3,253.0,18.0,98.0,18.3,397.0,3.2,,,,,,,179.0,37.5,253.0,63.7,740.0,15.2
671,SIBLEY MEMORIAL HOSPITAL (090005),2019,Acute Care,Voluntary non-profit - Other,248.0,38.935747,-77.109889,DC,298.0,20.5,3113.0,14.1,539.0,16.5,129.0,17.3,1369.0,4.0,44.0,15.6,,,44.0,-13.0,298.0,-14.6,539.0,16.9,293.0,14.8
672,PROVIDENCE HOSPITAL (090006),2019,Acute Care,Voluntary non-profit - Private,467.0,,,DC,459.0,22.5,1639.0,15.5,354.0,17.6,251.0,20.5,168.0,4.7,84.0,16.4,,,84.0,72.1,459.0,48.5,355.0,52.4,261.0,16.8
673,UNITED MEDICAL CENTER (090008),2019,Acute Care,Proprietary,187.0,38.834155,-76.984698,DC,272.0,22.5,781.0,15.9,218.0,17.5,178.0,20.7,,,72.0,16.1,,,72.0,57.5,272.0,39.9,219.0,45.4,36.0,15.0
674,MEDSTAR WASHINGTON HOSPITAL CENTER (090011),2019,Acute Care,Voluntary non-profit - Other,757.0,38.929157,-77.012268,DC,1491.0,22.2,7312.0,15.4,568.0,17.0,351.0,19.5,275.0,4.5,1137.0,16.4,814.0,9.5,1138.0,26.2,1493.0,40.1,569.0,19.3,479.0,14.2
675,WASHINGTON DC VA MEDICAL CENTER (09002F),2019,Acute Care (VA),Government - Federal,,,,,602.0,26.4,,,329.0,19.3,,,,,119.0,17.7,,,,,,,,,,
676,UF HEALTH JACKSONVILLE (100001),2019,Acute Care,Voluntary non-profit - Private,549.0,30.346799,-81.664228,FL,502.0,23.0,3062.0,15.9,332.0,16.9,308.0,20.6,43.0,4.7,198.0,16.8,28.0,11.8,198.0,7.9,502.0,14.6,332.0,34.7,267.0,14.9
677,BETHESDA HOSPITAL EAST (100002),2019,Acute Care,Voluntary non-profit - Private,432.0,26.50404,-80.06868,FL,837.0,21.9,5526.0,15.4,1161.0,16.7,607.0,20.7,1099.0,3.2,381.0,14.7,93.0,11.3,381.0,-7.0,837.0,14.1,1161.0,8.9,148.0,14.7
