,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
338,DOMINICAN HOSPITAL (050242),2022,Acute Care,Voluntary non-profit - Church,234.0,36.988341,-121.983818,CA,475.0,20.7,2870.0,14.1,128.0,19.6,129.0,4.3,205.0,14.6,72.0,11.2,64.0,4.1,205.0,-6.6,203.0,43.0,475.0,-5.5,413.0,108.0,406.0,1.8,374.0,91.0,8.5,1159.0,13.2,105.0,1.2
339,DESERT REGIONAL MEDICAL CENTER (050243),2022,Acute Care,Proprietary,364.0,33.838861,-116.545598,CA,185.0,23.3,1495.0,15.5,104.0,19.5,59.0,3.8,169.0,14.1,37.0,11.5,81.0,4.1,169.0,-8.3,165.0,53.0,185.0,55.1,153.0,65.0,203.0,32.5,191.0,59.0,7.7,41.0,16.6,49.0,1.0
340,ARROWHEAD REGIONAL MEDICAL CENTER (050245),2022,Acute Care,Government - Local,454.0,34.072884,-117.352833,CA,98.0,20.4,582.0,14.9,35.0,19.8,,,,,,,29.0,4.7,,,,,98.0,-8.1,79.0,28.0,97.0,-9.2,91.0,18.0,7.6,64.0,15.9,,
341,NATIVIDAD MEDICAL CENTER (050248),2022,Acute Care,Government - Hospital District or Authority,172.0,36.695472,-121.63124,CA,85.0,23.2,696.0,14.7,53.0,20.3,,,,,,,,,,,,,85.0,-14.1,76.0,33.0,62.0,10.0,60.0,18.0,,103.0,15.1,,
342,MARSHALL MEDICAL CENTER (050254),2022,Acute Care,Voluntary non-profit - Other,114.0,38.724483,-120.790643,CA,291.0,22.5,1365.0,13.6,128.0,20.4,177.0,4.4,,,,,154.0,3.9,,,,,291.0,1.5,241.0,101.0,290.0,-14.5,266.0,69.0,7.5,969.0,13.5,240.0,0.8
343,GOOD SAMARITAN HOSPITAL (050257),2022,Acute Care,Proprietary,109.0,35.412258,-119.039498,CA,26.0,21.1,185.0,14.1,28.0,19.5,,,,,,,,,,,,,26.0,-47.8,23.0,10.0,47.0,-22.7,46.0,10.0,,,,,
344,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM) (05025F),2022,Acute Care (VA),Government - Federal,,,,,157.0,21.1,1793.0,15.9,158.0,19.3,109.0,4.2,76.0,14.5,,,,,76.0,-28.7,74.0,14.0,157.0,2.0,139.0,54.0,233.0,-8.7,223.0,59.0,,,,,
345,SIERRA VIEW MEDICAL CENTER (050261),2022,Acute Care,Voluntary non-profit - Private,163.0,36.069573,-119.027274,CA,187.0,21.3,776.0,15.1,108.0,20.8,90.0,4.0,57.0,15.8,,,69.0,4.1,57.0,22.5,56.0,24.0,187.0,8.2,151.0,54.0,290.0,21.1,262.0,76.0,7.3,712.0,14.7,119.0,1.0
346,RONALD REAGAN UCLA MEDICAL CENTER (050262),2022,Acute Care,Government - State,454.0,34.063939,-118.445411,CA,354.0,21.9,3129.0,14.7,52.0,19.1,,,139.0,13.6,90.0,10.9,309.0,3.4,139.0,2.4,136.0,30.0,354.0,39.5,308.0,107.0,284.0,15.4,268.0,71.0,8.3,1711.0,12.3,620.0,0.8
347,REDLANDS COMMUNITY HOSPITAL (050272),2022,Acute Care,Government - Federal,227.0,34.038404,-117.206414,CA,105.0,19.9,677.0,14.6,38.0,19.3,203.0,3.4,,,,,,,,,,,105.0,-7.9,90.0,30.0,186.0,-2.7,175.0,45.0,,76.0,16.2,57.0,0.9
348,CONTRA COSTA REGIONAL MEDICAL CENTER (050276),2022,Acute Care,Government - Local,150.0,38.006467,-122.130891,CA,72.0,20.6,335.0,14.3,43.0,20.0,,,,,,,50.0,4.4,,,,,72.0,10.1,61.0,13.0,54.0,41.3,49.0,7.0,7.2,,,,
349,PROVIDENCE HOLY CROSS MEDICAL CENTER (050278),2022,Acute Care,Voluntary non-profit - Church,374.0,34.279013,-118.459485,CA,392.0,20.8,1642.0,15.2,93.0,18.6,65.0,3.5,83.0,14.8,,,27.0,3.8,83.0,-4.7,82.0,22.0,392.0,6.3,320.0,113.0,249.0,-1.5,225.0,66.0,7.7,290.0,15.7,47.0,1.1
350,HI-DESERT MEDICAL CENTER (050279),2022,Acute Care,Government - Hospital District or Authority,178.0,34.132676,-116.276709,CA,29.0,21.8,163.0,14.7,33.0,19.0,,,,,,,,,,,,,29.0,-1.6,27.0,12.0,54.0,-12.0,51.0,16.0,,,,,
351,VA LONG BEACH HEALTHCARE SYSTEM (05027F),2022,Acute Care (VA),Government - Federal,,,,,460.0,26.9,2701.0,19.9,198.0,23.9,103.0,4.5,96.0,17.5,,,,,96.0,8.5,94.0,44.0,460.0,43.7,365.0,157.0,299.0,24.1,272.0,84.0,,,,,
352,MERCY MEDICAL CENTER REDDING (050280),2022,Acute Care,Voluntary non-profit - Private,266.0,,,CA,478.0,21.1,3426.0,13.7,260.0,18.1,373.0,4.0,284.0,13.3,47.0,13.1,348.0,5.2,284.0,-11.2,279.0,65.0,478.0,9.8,412.0,140.0,543.0,-3.2,491.0,140.0,9.0,120.0,16.3,380.0,1.1
353,ALHAMBRA HOSPITAL MEDICAL CENTER (050281),2022,Acute Care,Proprietary,144.0,34.090156,-118.145017,CA,72.0,20.8,514.0,16.1,41.0,19.9,,,,,,,,,,,,,72.0,30.1,60.0,19.0,248.0,86.5,235.0,71.0,,332.0,14.2,,
354,STANFORD HEALTH CARE - VALLEYCARE (050283),2022,Acute Care,Voluntary non-profit - Private,211.0,37.692133,-121.880027,CA,298.0,20.8,1510.0,13.5,109.0,18.5,294.0,2.9,75.0,15.7,30.0,10.8,,,75.0,20.3,75.0,24.0,298.0,11.9,254.0,87.0,314.0,14.3,282.0,82.0,,984.0,15.9,216.0,0.8
355,AHMC SETON MEDICAL CENTER (050289),2022,Acute Care,Voluntary non-profit - Church,443.0,37.680315,-122.47291,CA,183.0,22.0,659.0,15.4,85.0,20.1,37.0,4.2,77.0,16.0,34.0,11.4,,,77.0,32.7,74.0,22.0,183.0,8.1,158.0,50.0,149.0,38.3,141.0,38.0,,160.0,16.4,,
356,PROVIDENCE SAINT JOHN'S HEALTH CENTER (050290),2022,Acute Care,Voluntary non-profit - Private,260.0,34.03007,-118.478305,CA,315.0,21.7,3512.0,14.4,101.0,21.0,1786.0,3.2,154.0,15.4,36.0,10.7,127.0,3.3,154.0,7.4,148.0,40.0,315.0,22.4,264.0,87.0,419.0,37.9,385.0,96.0,8.5,133.0,15.4,349.0,0.9
357,SUTTER SANTA ROSA REGIONAL HOSPITAL (050291),2022,Acute Care,Voluntary non-profit - Other,92.0,38.496306,-122.750707,CA,195.0,19.2,1502.0,13.5,84.0,18.5,377.0,3.2,162.0,14.2,26.0,10.7,159.0,4.6,162.0,-23.3,161.0,40.0,195.0,-9.0,174.0,52.0,109.0,0.6,102.0,16.0,7.6,1512.0,15.1,174.0,0.9
358,RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER (050292),2022,Acute Care,Government - Local,400.0,33.910054,-117.195824,CA,111.0,20.1,785.0,14.5,52.0,19.1,,,,,,,,,,,,,111.0,-16.2,96.0,34.0,55.0,-6.7,53.0,12.0,,35.0,16.1,,
359,MERCY HOSPITAL (050295),2022,Acute Care,Voluntary non-profit - Other,226.0,35.373323,-119.027386,CA,121.0,22.3,987.0,14.9,125.0,18.6,95.0,3.4,28.0,13.8,,,,,28.0,-39.8,28.0,8.0,121.0,-16.7,109.0,44.0,234.0,-4.1,214.0,60.0,,237.0,14.4,148.0,0.9
360,BARSTOW COMMUNITY HOSPITAL (050298),2022,Acute Care,Proprietary,33.0,34.893696,-117.0166,CA,36.0,21.7,217.0,15.5,41.0,19.1,,,,,,,,,,,,,36.0,-27.8,31.0,10.0,50.0,-19.5,47.0,17.0,,70.0,16.9,,
361,ST MARY MEDICAL CENTER (050300),2022,Acute Care,Voluntary non-profit - Private,210.0,34.542046,-117.265602,CA,314.0,21.8,929.0,14.0,92.0,20.2,52.0,5.0,132.0,14.6,,,,,132.0,-12.8,129.0,29.0,314.0,36.0,268.0,102.0,236.0,40.6,220.0,74.0,,57.0,15.1,47.0,0.9
362,ADVENTIST HEALTH UKIAH VALLEY (050301),2022,Acute Care,Voluntary non-profit - Church,50.0,39.153019,-123.2038,CA,152.0,20.0,837.0,15.0,61.0,18.1,39.0,3.8,,,,,160.0,5.4,,,,,152.0,-50.8,130.0,46.0,170.0,-10.0,147.0,45.0,6.1,949.0,16.5,173.0,1.0
363,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP (050305),2022,Acute Care,Voluntary non-profit - Private,423.0,37.856488,-122.257329,CA,173.0,20.9,1356.0,14.0,66.0,21.7,195.0,3.4,,,,,185.0,4.0,,,,,173.0,-1.4,148.0,53.0,109.0,-41.3,107.0,28.0,9.7,372.0,14.1,85.0,1.0
364,EL CAMINO HOSPITAL (050308),2022,Acute Care,Government - Hospital District or Authority,448.0,37.369341,-122.077933,CA,667.0,20.1,4199.0,14.2,160.0,21.0,416.0,4.6,172.0,14.1,78.0,11.1,186.0,3.6,172.0,0.2,171.0,37.0,667.0,1.0,558.0,143.0,542.0,12.2,486.0,133.0,9.0,1015.0,14.8,530.0,0.9
365,SUTTER ROSEVILLE MEDICAL CENTER (050309),2022,Acute Care,Voluntary non-profit - Other,330.0,,,CA,615.0,17.2,4656.0,12.8,218.0,18.3,280.0,4.3,372.0,12.6,,,274.0,5.4,372.0,-9.5,364.0,98.0,615.0,-26.7,520.0,151.0,467.0,-5.0,442.0,98.0,8.4,40.0,16.0,658.0,0.8
366,VA N CALIFORNIA HEALTHCARE SYSTEM (05030F),2022,Acute Care (VA),Government - Federal,,,,,477.0,21.9,2146.0,15.1,203.0,19.7,,,,,,,,,,,,,477.0,-4.5,383.0,156.0,255.0,-25.8,232.0,67.0,,,,,
367,SUTTER TRACY COMMUNITY HOSPITAL (050313),2022,Acute Care,Voluntary non-profit - Private,80.0,37.744232,-121.43494,CA,127.0,19.7,517.0,13.7,50.0,19.6,51.0,4.0,,,,,,,,,,,127.0,-9.5,105.0,36.0,112.0,-3.6,103.0,29.0,,306.0,16.3,35.0,1.0
368,KERN MEDICAL CENTER (050315),2022,Acute Care,Voluntary non-profit - Other,221.0,35.380964,-118.967546,CA,47.0,21.1,338.0,15.4,,,46.0,4.1,,,,,28.0,4.7,,,,,47.0,-25.0,37.0,17.0,,,,,7.4,60.0,16.6,,
369,PALO ALTO VA MEDICAL CENTER (05031F),2022,Acute Care (VA),Government - Federal,,,,,367.0,19.7,2691.0,16.4,135.0,22.2,378.0,4.6,104.0,16.0,,,,,104.0,-3.8,99.0,34.0,367.0,-18.0,297.0,106.0,203.0,10.6,185.0,66.0,,,,,
370,HIGHLAND HOSPITAL (050320),2022,Acute Care,Government - Hospital District or Authority,416.0,37.799234,-122.231199,CA,157.0,21.0,1338.0,15.0,86.0,20.0,,,60.0,15.8,,,45.0,5.6,60.0,-0.9,56.0,17.0,157.0,-28.4,134.0,45.0,158.0,13.1,147.0,51.0,8.2,201.0,15.9,34.0,1.1
371,SCRIPPS MEMORIAL HOSPITAL LA JOLLA (050324),2022,Acute Care,Voluntary non-profit - Other,361.0,32.8855,-117.223022,CA,707.0,18.3,4238.0,13.8,124.0,18.9,318.0,3.2,362.0,14.1,81.0,11.2,,,362.0,10.5,352.0,98.0,707.0,-12.3,589.0,171.0,346.0,13.0,325.0,84.0,,814.0,13.8,305.0,1.3
372,LOMA LINDA UNIVERSITY MEDICAL CENTER (050327),2022,Acute Care,Voluntary non-profit - Private,571.0,34.049482,-117.261122,CA,351.0,21.1,2146.0,15.0,81.0,19.6,86.0,3.5,199.0,14.3,73.0,12.9,259.0,4.1,199.0,-2.8,194.0,54.0,351.0,-9.8,293.0,105.0,191.0,27.5,186.0,59.0,6.3,707.0,16.5,369.0,0.7
373,CORONA REGIONAL MEDICAL CENTER (050329),2022,Acute Care,Proprietary,238.0,33.873327,-117.566768,CA,132.0,20.6,655.0,15.1,44.0,18.0,,,34.0,14.6,,,,,34.0,4.5,34.0,10.0,132.0,3.6,112.0,43.0,140.0,16.1,128.0,41.0,,195.0,15.9,,
374,SALINAS VALLEY MEMORIAL HOSPITAL (050334),2022,Acute Care,Voluntary non-profit - Other,247.0,36.659979,-121.646327,CA,573.0,19.2,2371.0,13.9,136.0,20.1,60.0,4.4,175.0,14.8,81.0,13.0,130.0,3.2,175.0,7.1,168.0,47.0,573.0,-21.5,448.0,149.0,393.0,-7.4,361.0,94.0,9.9,110.0,17.1,156.0,0.9
375,ADVENTIST HEALTH SONORA (050335),2022,Acute Care,Voluntary non-profit - Church,152.0,37.976728,-120.369442,CA,263.0,19.9,1454.0,13.8,137.0,17.1,136.0,4.4,49.0,14.6,,,134.0,5.2,49.0,8.7,48.0,17.0,263.0,-18.9,226.0,72.0,275.0,-39.7,250.0,80.0,7.4,1449.0,16.8,387.0,1.1
376,ADVENTIST HEALTH LODI MEMORIAL (050336),2022,Acute Care,Voluntary non-profit - Other,200.0,38.121634,-121.285787,CA,365.0,21.7,1265.0,15.0,137.0,18.3,135.0,4.2,37.0,15.2,,,,,37.0,-16.5,37.0,16.0,365.0,-8.5,319.0,113.0,283.0,1.4,259.0,83.0,,326.0,16.2,167.0,1.1
377,PIONEERS MEMORIAL HEALTHCARE DISTRICT (050342),2022,Acute Care,Government - Hospital District or Authority,107.0,32.959947,-115.552723,CA,121.0,19.1,433.0,14.1,62.0,18.1,43.0,3.9,,,,,42.0,4.7,,,,,121.0,-10.9,106.0,27.0,164.0,-23.9,152.0,48.0,8.2,161.0,17.4,40.0,1.2
378,UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER (050348),2022,Acute Care,Government - Local,415.0,33.780111,-117.894303,CA,221.0,20.6,2468.0,15.4,42.0,20.0,109.0,4.0,74.0,14.8,35.0,12.4,518.0,2.9,74.0,26.3,72.0,24.0,221.0,25.1,192.0,67.0,180.0,3.4,168.0,47.0,8.5,1450.0,15.5,438.0,0.9
379,BEVERLY HOSPITAL (050350),2022,Acute Care,Voluntary non-profit - Private,211.0,34.016032,-118.100526,CA,134.0,22.6,658.0,16.4,42.0,18.6,32.0,4.0,50.0,15.8,,,,,50.0,12.5,50.0,17.0,134.0,38.2,100.0,41.0,134.0,59.2,123.0,40.0,,,,,
380,TORRANCE MEMORIAL MEDICAL CENTER (050351),2022,Acute Care,Voluntary non-profit - Other,505.0,33.812644,-118.34375,CA,611.0,22.7,3611.0,15.0,126.0,21.9,512.0,3.7,208.0,17.0,35.0,12.5,36.0,4.9,208.0,43.5,197.0,64.0,611.0,28.3,488.0,174.0,565.0,38.1,501.0,148.0,7.3,366.0,18.2,289.0,0.8
381,BARTON MEMORIAL HOSPITAL (050352),2022,Acute Care,Voluntary non-profit - Private,112.0,38.912337,-119.997711,CA,63.0,20.2,282.0,15.4,35.0,19.0,70.0,4.1,,,,,,,,,,,63.0,-11.6,54.0,16.0,60.0,-20.8,55.0,14.0,,562.0,15.8,80.0,1.2
382,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE (050353),2022,Acute Care,Voluntary non-profit - Church,442.0,33.837577,-118.35708,CA,302.0,21.3,1976.0,15.7,92.0,18.4,111.0,3.8,162.0,16.4,39.0,14.9,,,162.0,16.7,158.0,52.0,302.0,14.2,260.0,89.0,282.0,43.4,267.0,75.0,,814.0,15.1,102.0,1.2
383,GOLETA VALLEY COTTAGE HOSPITAL (050357),2022,Acute Care,Voluntary non-profit - Other,55.0,34.433699,-119.809322,CA,,,508.0,14.3,,,705.0,3.4,,,,,,,,,,,,,,,41.0,-34.0,41.0,9.0,,,,95.0,1.0
384,MARIN GENERAL HOSPITAL (050360),2022,Acute Care,Government - Local,258.0,37.948884,-122.535897,CA,307.0,19.5,2402.0,14.0,83.0,19.5,135.0,4.9,196.0,14.7,38.0,11.6,33.0,3.6,196.0,-17.1,192.0,50.0,307.0,-24.9,262.0,62.0,363.0,-18.1,343.0,60.0,7.4,736.0,13.6,250.0,1.1
385,NORTHBAY MEDICAL CENTER (050367),2022,Acute Care,Voluntary non-profit - Other,183.0,38.261108,-122.048104,CA,435.0,21.6,2263.0,14.3,223.0,20.1,92.0,4.2,186.0,15.8,52.0,11.7,125.0,4.2,186.0,15.0,179.0,59.0,435.0,2.3,358.0,135.0,489.0,25.4,432.0,131.0,8.4,115.0,15.0,136.0,1.1
386,LAC+USC MEDICAL CENTER (050373),2022,Acute Care,Government - Local,669.0,34.059872,-118.210308,CA,157.0,23.8,987.0,17.0,44.0,21.5,,,37.0,14.8,,,96.0,3.8,37.0,16.3,37.0,10.0,157.0,21.9,128.0,48.0,82.0,30.9,82.0,23.0,8.0,,,,
387,LAC/HARBOR-UCLA MED CENTER (050376),2022,Acute Care,Government - Local,433.0,33.831583,-118.294546,CA,76.0,20.7,648.0,15.3,35.0,19.9,25.0,4.6,42.0,16.7,,,35.0,4.5,42.0,22.5,41.0,20.0,76.0,-31.9,62.0,21.0,58.0,-14.6,56.0,13.0,8.7,,,,
388,PACIFICA HOSPITAL OF THE VALLEY (050378),2022,Acute Care,Proprietary,231.0,34.241134,-118.395669,CA,,,120.0,15.9,,,,,,,,,,,,,,,,,,,31.0,85.1,30.0,9.0,,,,,
389,GOOD SAMARITAN HOSPITAL (050380),2022,Acute Care,Proprietary,357.0,37.251104,-121.946563,CA,653.0,22.1,3462.0,15.1,130.0,21.0,329.0,4.5,246.0,15.3,47.0,13.6,,,246.0,10.7,240.0,57.0,653.0,15.8,529.0,183.0,488.0,9.8,457.0,125.0,,36.0,15.9,135.0,1.1
390,EMANATE HEALTH INTER-COMMUNITY HOSPITAL (050382),2022,Acute Care,Proprietary,491.0,34.089947,-117.893666,CA,304.0,22.4,1645.0,15.3,157.0,21.3,88.0,3.8,139.0,15.7,45.0,11.0,,,139.0,26.1,136.0,38.0,304.0,-1.4,262.0,84.0,513.0,33.8,447.0,128.0,,148.0,15.1,51.0,1.2
391,HEMET GLOBAL MEDICAL CENTER (050390),2022,Acute Care,Government - State,359.0,33.75122,-116.959859,CA,153.0,22.8,686.0,15.3,85.0,18.4,29.0,4.8,,,,,,,,,,,153.0,21.2,125.0,53.0,193.0,21.4,179.0,57.0,,,,34.0,0.9
392,PIH HOSPITAL - DOWNEY (050393),2022,Acute Care,Voluntary non-profit - Private,192.0,33.935563,-118.131703,CA,194.0,23.6,771.0,16.3,33.0,20.1,57.0,4.4,47.0,15.7,,,,,47.0,34.1,45.0,12.0,194.0,12.2,150.0,59.0,161.0,20.1,149.0,33.0,,139.0,15.4,,
393,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA (050394),2022,Acute Care,Voluntary non-profit - Private,216.0,34.274184,-119.257238,CA,273.0,18.9,1894.0,14.2,96.0,18.5,229.0,4.2,118.0,14.0,39.0,12.9,64.0,4.0,118.0,-0.6,114.0,35.0,273.0,-18.0,229.0,67.0,205.0,-10.7,193.0,53.0,7.8,489.0,18.8,450.0,1.0
394,SANTA BARBARA COTTAGE HOSPITAL (050396),2022,Acute Care,Voluntary non-profit - Private,377.0,34.429483,-119.723077,CA,474.0,17.8,3924.0,13.2,96.0,18.4,288.0,3.9,224.0,15.1,86.0,12.8,58.0,4.4,224.0,2.3,218.0,54.0,474.0,-28.7,400.0,117.0,424.0,-5.0,393.0,99.0,8.6,452.0,15.8,151.0,1.3
395,CHINESE HOSPITAL (050407),2022,Acute Care,Voluntary non-profit - Private,64.0,37.795695,-122.40925,CA,77.0,23.4,400.0,16.5,35.0,19.5,,,,,,,,,,,,,77.0,5.2,62.0,30.0,88.0,-24.7,83.0,23.0,,771.0,13.7,31.0,1.1
396,KAISER FOUNDATION HOSPITAL - SOUTH BAY (050411),2022,Acute Care,Voluntary non-profit - Other,257.0,33.788623,-118.294366,CA,,,160.0,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,MERCY HOSPITAL OF FOLSOM (050414),2022,Acute Care,Voluntary non-profit - Private,106.0,38.671125,-121.145833,CA,279.0,23.6,1456.0,16.5,123.0,21.3,174.0,5.1,26.0,15.3,,,,,26.0,-15.4,24.0,9.0,279.0,12.7,227.0,88.0,223.0,-11.2,200.0,56.0,,39.0,16.4,88.0,1.0
398,SUTTER COAST HOSPITAL (050417),2022,Acute Care,Government - Hospital District or Authority,49.0,41.772698,-124.194144,CA,130.0,20.9,462.0,15.3,67.0,18.2,31.0,4.4,,,,,48.0,4.4,,,,,130.0,-0.9,109.0,37.0,164.0,-17.6,154.0,50.0,10.6,176.0,16.7,,
399,PALO VERDE HOSPITAL (050423),2022,Acute Care,Government - Federal,46.0,33.61245,-114.595479,CA,,,35.0,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,SCRIPPS GREEN HOSPITAL (050424),2022,Acute Care,Voluntary non-profit - Private,161.0,32.897124,-117.241854,CA,71.0,21.9,1738.0,13.8,25.0,19.4,830.0,3.6,,,,,,,,,,,71.0,25.1,66.0,16.0,107.0,4.0,100.0,19.0,,2456.0,12.5,353.0,1.1
401,KAISER FOUNDATION HOSPITAL - SACRAMENTO (050425),2022,Acute Care,Voluntary non-profit - Private,281.0,38.602162,-121.392238,CA,29.0,21.2,437.0,14.6,,,,,,,,,,,,,,,29.0,-31.9,26.0,7.0,39.0,32.4,37.0,7.0,,,,,
402,WEST ANAHEIM MEDICAL CENTER (050426),2022,Acute Care,Proprietary,215.0,33.824735,-117.995115,CA,139.0,21.9,841.0,14.6,72.0,19.0,,,60.0,16.7,,,,,60.0,30.3,59.0,19.0,139.0,4.5,119.0,41.0,306.0,4.7,271.0,85.0,,,,,
403,HUNTINGTON HOSPITAL (050438),2022,Acute Care,Voluntary non-profit - Private,558.0,34.135761,-118.151803,CA,400.0,20.9,3399.0,15.0,209.0,19.7,466.0,3.5,143.0,14.2,56.0,13.5,,,143.0,-4.0,135.0,31.0,400.0,-7.3,345.0,91.0,643.0,11.6,587.0,146.0,,335.0,18.8,173.0,1.0
404,STANFORD HEALTH CARE (050441),2022,Acute Care,Voluntary non-profit - Private,500.0,37.433138,-122.176664,CA,566.0,21.0,6852.0,15.5,79.0,21.0,650.0,3.5,237.0,14.9,139.0,13.5,1363.0,4.5,237.0,6.1,228.0,59.0,566.0,0.5,493.0,162.0,452.0,12.6,413.0,119.0,9.2,2202.0,15.1,1311.0,0.7
405,MERCY MEDICAL CENTER (050444),2022,Acute Care,Voluntary non-profit - Private,186.0,37.340122,-120.465214,CA,535.0,23.2,1872.0,15.7,262.0,20.7,162.0,4.8,59.0,14.8,,,95.0,4.2,59.0,-15.8,58.0,15.0,535.0,15.1,402.0,170.0,630.0,9.2,540.0,175.0,8.7,84.0,16.6,121.0,1.1
406,UCSF MEDICAL CENTER (050454),2022,Acute Care,Voluntary non-profit - Other,739.0,37.763553,-122.457654,CA,463.0,21.0,5326.0,14.9,90.0,18.4,471.0,4.5,118.0,14.4,56.0,10.4,1185.0,3.0,118.0,-0.9,112.0,24.0,463.0,15.9,391.0,122.0,378.0,43.3,353.0,97.0,8.0,1866.0,16.6,830.0,0.7
407,ADVENTIST HEALTH BAKERSFIELD (050455),2022,Acute Care,Voluntary non-profit - Private,256.0,35.383056,-119.018857,CA,249.0,20.6,1416.0,14.0,108.0,19.7,104.0,4.2,173.0,14.5,,,120.0,3.7,173.0,11.2,166.0,57.0,249.0,-16.6,218.0,69.0,292.0,3.6,272.0,87.0,8.6,210.0,15.9,170.0,1.2
408,ST MARY'S MEDICAL CENTER (050457),2022,Acute Care,Voluntary non-profit - Private,182.0,37.77384,-122.454495,CA,214.0,22.5,912.0,16.1,44.0,20.1,189.0,3.6,58.0,15.3,,,36.0,3.8,58.0,61.9,55.0,16.0,214.0,1.0,175.0,61.0,163.0,-12.0,159.0,45.0,8.5,226.0,17.3,100.0,1.4
409,DOCTORS MEDICAL CENTER (050464),2022,Acute Care,Proprietary,445.0,37.665666,-120.99625,CA,360.0,23.5,2274.0,14.7,166.0,20.2,45.0,4.2,265.0,17.2,158.0,14.5,,,265.0,40.9,258.0,100.0,360.0,21.3,315.0,132.0,332.0,30.8,303.0,99.0,,472.0,16.6,201.0,0.9
410,MEMORIAL HOSPITAL OF GARDENA (050468),2022,Acute Care,Proprietary,172.0,33.892375,-118.295106,CA,90.0,19.6,495.0,16.3,70.0,20.0,,,,,,,,,,,,,90.0,-43.2,81.0,23.0,165.0,37.9,152.0,45.0,,,,,
411,GOOD SAMARITAN HOSPITAL (050471),2022,Acute Care,Proprietary,327.0,34.053209,-118.265292,CA,305.0,20.9,1638.0,16.0,46.0,20.2,62.0,4.4,96.0,14.3,42.0,10.5,,,96.0,5.6,94.0,19.0,305.0,-8.9,240.0,75.0,231.0,45.9,216.0,53.0,,116.0,15.2,111.0,1.0
412,WEST HILLS HOSPITAL & MEDICAL CENTER (050481),2022,Acute Care,Proprietary,225.0,34.202931,-118.628598,CA,294.0,24.9,1925.0,15.8,132.0,21.2,132.0,4.3,106.0,15.9,37.0,13.2,,,106.0,35.2,104.0,28.0,294.0,38.0,259.0,101.0,329.0,62.1,311.0,89.0,,,,63.0,0.9
413,LONG BEACH MEMORIAL MEDICAL CENTER (050485),2022,Acute Care,Voluntary non-profit - Other,457.0,33.807107,-118.185098,CA,332.0,19.4,2257.0,14.7,112.0,19.1,202.0,4.5,136.0,15.1,50.0,11.7,101.0,3.3,136.0,21.5,131.0,33.0,332.0,-1.5,277.0,72.0,239.0,39.3,225.0,69.0,9.4,70.0,15.6,128.0,0.9
414,EDEN MEDICAL CENTER (050488),2022,Acute Care,Voluntary non-profit - Other,152.0,,,CA,273.0,20.9,1801.0,14.5,72.0,18.2,126.0,4.0,36.0,14.9,,,,,36.0,-6.2,33.0,9.0,273.0,-8.5,227.0,81.0,204.0,14.6,198.0,58.0,,127.0,15.6,99.0,0.9
